# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 24.9700976883 734 0 12 12
10 7455 29.7873143118 922 0 12 12
20 13705 83.5253046348 1093 3 12 12
30 19955 89.6652450265 1594 4 12 12
40 26205 89.6652450265 2292 5 12 12
50 32455 89.6652450265 3346 5 12 12
60 38705 89.6652450265 4515 5 12 12
70 44955 89.6652450265 5714 5 12 12
80 51205 89.7476787130 6877 5 12 12
90 57455 89.8318342600 8170 5 12 12
100 63705 89.8802360774 9605 5 12 12
110 69955 89.8939682217 11109 5 12 12
120 76205 89.9116613887 12583 5 12 12
130 82455 89.9122307366 14097 5 12 12
140 88705 89.9122507771 15329 5 12 12
150 94955 89.9122711728 16468 5 12 12
159 100000 89.9122730120 17217 5 12 0
