# from_x0 from_x1 to_x0 to_x1 length
-2.5023069920 1.0939159105 -2.5023069920 1.0937744353 0.0000202107
-2.5023069920 1.0939998385 -2.5023069920 1.0939159105 0.0000119897
-2.5023069920 1.0940632884 -2.5023069920 1.0939998385 0.0000090643
-2.5023069920 1.0940672494 -2.5023069920 1.0940632884 0.0000005658
-2.5023069920 1.0941072999 -2.5023069920 1.0940672494 0.0000057215
-2.5023069920 1.0941432969 -2.5023069920 1.0941072999 0.0000051424
-2.5023069920 1.0941724924 -2.5023069920 1.0941432969 0.0000041708
-2.5023069920 1.0942341805 -2.5023069920 1.0941724924 0.0000088126
-2.5023069920 1.0942607440 -2.5023069920 1.0942341805 0.0000037948
-2.5023069920 1.0942626680 -2.5023069920 1.0942607440 0.0000002749
-2.5023069920 1.0942628683 -2.5023069920 1.0942626680 0.0000000286
-2.5023069920 1.0943134949 -2.5023069920 1.0942628683 0.0000072324
-2.5023069920 1.0943242036 -2.5023069920 1.0943134949 0.0000015298
-2.5023069920 1.0943342167 -2.5023069920 1.0943242036 0.0000014304
-2.5023069920 1.0943379741 -2.5023069920 1.0943342167 0.0000005368
-2.5023069920 1.0943681332 -2.5023069920 1.0943379741 0.0000043084
-2.5023069920 1.0943990969 -2.5023069920 1.0943681332 0.0000044234
-2.5023069920 1.0944042905 -2.5023069920 1.0943990969 0.0000007419
-2.5023069920 1.0944252316 -2.5023069920 1.0944042905 0.0000029916
-2.5023069920 1.0944327869 -2.5023069920 1.0944252316 0.0000010793
-2.5023069920 1.0944366148 -2.5023069920 1.0944327869 0.0000005468
-2.5023069920 1.0944374898 -2.5023069920 1.0944366148 0.0000001250
-2.5023069920 1.0944469502 -2.5023069920 1.0944374898 0.0000013515
-2.5023069920 1.0944526758 -2.5023069920 1.0944469502 0.0000008179
-2.5023069920 1.0944564502 -2.5023069920 1.0944526758 0.0000005392
-2.5023069920 1.0944578097 -2.5023069920 1.0944564502 0.0000001942
-2.5023069920 1.0944914328 -2.5023069920 1.0944578097 0.0000048033
-2.5023069920 1.0944940415 -2.5023069920 1.0944914328 0.0000003727
-2.5023069920 1.0944947378 -2.5023069920 1.0944940415 0.0000000995
-2.5023069920 1.0944966336 -2.5023069920 1.0944947378 0.0000002708
-2.5023069920 1.0945051660 -2.5023069920 1.0944966336 0.0000012189
-2.5023069920 1.0945113193 -2.5023069920 1.0945051660 0.0000008790
-2.5023069920 1.0945237739 -2.5023069920 1.0945113193 0.0000017792
-2.5023069920 1.0945455616 -2.5023069920 1.0945237739 0.0000031125
-2.5023069920 1.0945651896 -2.5023069920 1.0945455616 0.0000028040
-2.5023069920 1.0945682461 -2.5023069920 1.0945651896 0.0000004366
-2.5023069920 1.0945744005 -2.5023069920 1.0945682461 0.0000008792
-2.5023069920 1.0945865058 -2.5023069920 1.0945744005 0.0000017293
-2.5023069920 1.0945922092 -2.5023069920 1.0945865058 0.0000008148
-2.5023069920 1.0945931664 -2.5023069920 1.0945922092 0.0000001367
-2.5023069920 1.0946002320 -2.5023069920 1.0945931664 0.0000010094
-2.5023069920 1.0946022838 -2.5023069920 1.0946002320 0.0000002931
-2.5023069920 1.0946182766 -2.5023069920 1.0946022838 0.0000022847
-2.5023069920 1.0946295472 -2.5023069920 1.0946182766 0.0000016101
