# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.4770158778 0.8170038812 -0.1608888553 2.2190271681 17.0774658657 21.4946808556 17.0774658657 0.4770158778 0.8170038812 0.6358927132
0.7770199636 0.0172679143 1.9391397454 -3.3791245998 13.7231698843 15.1899061603 13.7231698843 0.7770199636 0.0172679143 0.5066127344
0.3568679766 0.1994086327 -1.0019241635 -2.1041395713 22.4394097285 21.4946808556 21.4946808556 0.3568679766 0.1994086327 0.8836858932
0.1893809941 0.3530884182 -2.1743330415 -1.0283810727 22.4394097285 12.2490216625 12.2490216625 0.1893809941 0.3530884182 0.0782220212
0.6727983511 0.3330250564 1.2095884575 -1.1688246054 17.0774658657 15.1899061603 15.1899061603 0.6727983511 0.3330250564 0.1998259302
0.2740937309 0.8249972190 -1.5813438838 2.2749805328 22.4394097285 17.0774658657 17.0774658657 0.2740937309 0.8249972190 0.4499275263
0.2787414670 0.0488185034 -1.5488097309 -3.1582704761 22.4394097285 17.9298360757 17.9298360757 0.2787414670 0.0488185034 0.3271977706
0.9171346056 0.9298529966 2.9199422391 3.0089709759 17.0774658657 14.6172038968 14.6172038968 0.9171346056 0.9298529966 0.9122247534
0.3487520148 0.1046154848 -1.0587358964 -2.7676916061 22.4394097285 21.4946808556 21.4946808556 0.3487520148 0.1046154848 0.6784513447
0.5234379842 0.9507242605 0.1640658896 3.1550698235 17.0774658657 14.7493860367 14.7493860367 0.5234379842 0.9507242605 0.6114394517
0.4944015785 0.2385592920 -0.0391889506 -1.8300849560 17.0774658657 21.4946808556 17.0774658657 0.4944015785 0.2385592920 0.9227791223
0.3399203253 0.3524247593 -1.1205577231 -1.0330266850 22.4394097285 15.1899061603 15.1899061603 0.3399203253 0.3524247593 0.1738835368
0.6826893899 0.0077414453 1.2788257291 -3.4458098830 13.7231698843 15.1899061603 13.7231698843 0.6826893899 0.0077414453 0.0767723821
