# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.8557209889 0.4467313942 2.4900469225 -0.3728802404 89.9975063005 89.9975082695 89.9975063005 0.8557209889 0.4467313942 0.8762845205
0.1120078736 0.6386133084 -2.7159448850 0.9702931587 89.9901623875 89.9592907133 89.9592907133 0.1120078736 0.6386133084 0.5127867806
0.8614518722 0.4429999656 2.5301631054 -0.3990002409 86.6483058220 89.2598338405 86.6483058220 0.8614518722 0.4429999656 0.8772492113
0.1053702311 0.6351815085 -2.7624083825 0.9462705594 88.9587755760 86.2030735795 86.2030735795 0.1053702311 0.6351815085 0.5385670337
0.1050635054 0.6452643207 -2.7645554624 1.0168502451 86.0925682574 88.6615563112 86.0925682574 0.1050635054 0.6452643207 0.5379040734
0.1210049930 0.6348369866 -2.6529650490 0.9438589063 84.9080486568 86.4655277611 84.9080486568 0.1210049930 0.6348369866 0.4771119018
0.8490336979 0.4658108099 2.4432358851 -0.2393243305 84.1491963562 84.2150319588 84.1491963562 0.8490336979 0.4658108099 0.9014016763
0.8618996056 0.4243949303 2.5332972395 -0.5292354877 84.6709853905 82.1842878800 82.1842878800 0.8618996056 0.4243949303 0.8472845978
0.0970376736 0.6420594357 -2.8207362851 0.9944160496 79.6877414617 80.9256367046 79.6877414617 0.0970376736 0.6420594357 0.5743061881
0.8565552354 0.4774016374 2.4958866475 -0.1581885385 79.7052539385 77.4148791241 77.4148791241 0.8565552354 0.4774016374 0.8683107564
0.8622429898 0.4444966689 2.5357009285 -0.3885233176 74.6556872516 74.7775328546 74.6556872516 0.8622429898 0.4444966689 0.8385391178
0.1312904843 0.6337361136 -2.5809666096 0.9361527950 73.8075406241 74.5117589673 73.8075406241 0.1312904843 0.6337361136 0.4355731932
0.8557563797 0.4081159950 2.4902946578 -0.6431880347 74.0695806228 72.1871197121 72.1871197121 0.8557563797 0.4081159950 0.8844875920
0.1197497703 0.6095796132 -2.6617516078 0.7670572921 72.3073605280 71.4235122373 71.4235122373 0.1197497703 0.6095796132 0.5320562169
0.1209910675 0.6063887261 -2.6530625272 0.7447210827 69.7619538614 72.9551553387 69.7619538614 0.1209910675 0.6063887261 0.4954632808
0.8657080504 0.4477650657 2.5599563530 -0.3656445400 67.8623746226 74.7784503427 67.8623746226 0.8657080504 0.4477650657 0.8367507576
0.0920371741 0.6434871858 -2.8557397815 1.0044103005 70.2939325270 67.5621532677 67.5621532677 0.0920371741 0.6434871858 0.6146431395
0.1014144029 0.6758661922 -2.7900991798 1.2310633453 67.9586618082 66.6653600396 66.6653600396 0.1014144029 0.6758661922 0.5083780158
0.8445064303 0.4873431468 2.4115450119 -0.0885979724 74.1850547136 66.6323126254 66.6323126254 0.8445064303 0.4873431468 0.9290116528
