# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.5735263867 0.7697553610 0.5146847070 1.8882875273 89.9962210016 89.9971531308 89.9962210016 0.5735263867 0.7697553610 0.4189887938
0.5735270122 0.7697476550 0.5146890851 1.8882335848 89.9961430872 89.9965957839 89.9961430872 0.5735270122 0.7697476550 0.4189547772
0.5735270122 0.7697476550 0.5146890851 1.8882335848 89.9961430872 89.9965957839 89.9961430872 0.5735270122 0.7697476550 0.4189547772
0.5735270122 0.7697476550 0.5146890851 1.8882335848 89.9961430872 89.9965957839 89.9961430872 0.5735270122 0.7697476550 0.4189547772
0.5735270122 0.7697476550 0.5146890851 1.8882335848 89.9961430872 89.9965957839 89.9961430872 0.5735270122 0.7697476550 0.4189547772
0.5734482582 0.7697703015 0.5141378077 1.8883921103 89.9960581417 89.9978193589 89.9960581417 0.5734482582 0.7697703015 0.4189948239
0.5735276096 0.7697666901 0.5146932674 1.8883668306 89.9960255913 89.9977082729 89.9960255913 0.5735276096 0.7697666901 0.4190052208
0.5735276096 0.7697666901 0.5146932674 1.8883668306 89.9960255913 89.9977082729 89.9960255913 0.5735276096 0.7697666901 0.4190052208
0.5735261157 0.7697626659 0.5146828102 1.8883386610 89.9959957591 89.9976281461 89.9959957591 0.5735261157 0.7697626659 0.4190196252
0.5735270122 0.7697638133 0.5146890851 1.8883466931 89.9959795964 89.9976537451 89.9959795964 0.5735270122 0.7697638133 0.4190160256
0.5735270122 0.7697638133 0.5146890851 1.8883466931 89.9959795964 89.9976537451 89.9959795964 0.5735270122 0.7697638133 0.4190160256
0.5735270122 0.7697638133 0.5146890851 1.8883466931 89.9959795964 89.9976537451 89.9959795964 0.5735270122 0.7697638133 0.4190160256
0.5735270122 0.7697638133 0.5146890851 1.8883466931 89.9959795964 89.9976537451 89.9959795964 0.5735270122 0.7697638133 0.4190160256
0.5735270122 0.7697638133 0.5146890851 1.8883466931 89.9959795964 89.9976537451 89.9959795964 0.5735270122 0.7697638133 0.4190160256
