# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.3580450437 0.5477648628 -0.9936846942 0.3343540393 89.9964255962 89.9969281176 89.9964255962 0.3580450437 0.5477648628 0.1807695971
0.3034230887 0.8954748853 -1.3760383794 2.7683241971 89.9612487997 89.9573737884 89.9573737884 0.3034230887 0.8954748853 0.2309912398
0.4172097915 0.5188581552 -0.5795314598 0.1320070864 89.7953015285 89.8036079581 89.7953015285 0.4172097915 0.5188581552 0.7963657888
0.7399003478 0.9299213871 1.6793024345 3.0094497099 89.7619706806 89.7466748968 89.7466748968 0.7399003478 0.9299213871 0.2559446880
0.3444841830 0.2281528653 -1.0886107187 -1.9029299427 88.9535118546 87.3221437096 87.3221437096 0.3444841830 0.2281528653 0.3212790532
0.7367088695 0.3438088290 1.6569620868 -1.0933381967 88.4991023551 87.1216690649 87.1216690649 0.7367088695 0.3438088290 0.6019309979
0.0390790298 0.7835163339 -3.2264467916 1.9846143374 86.1421915723 86.8673361125 86.1421915723 0.0390790298 0.7835163339 0.2300571236
0.5995901535 0.9154137400 0.6971310748 2.9078961800 88.8977590054 81.0593500261 81.0593500261 0.5995901535 0.9154137400 0.7395493963
0.3034199273 0.8941290510 -1.3760605089 2.7589033567 78.7933496941 82.9959335364 78.7933496941 0.3034199273 0.8941290510 0.1958769554
0.3858756001 0.5504048811 -0.7988707991 0.3528341675 78.5842770739 80.0990592947 78.5842770739 0.3858756001 0.5504048811 0.1789414125
0.2677532201 0.8940583764 -1.6257274592 2.7584086347 78.6069857972 78.5463450831 78.5463450831 0.2677532201 0.8940583764 0.2323352366
0.3567891389 0.5480561321 -1.0024760276 0.3363929246 78.6876324469 78.1861515565 78.1861515565 0.3567891389 0.5480561321 0.1364045157
0.4187160575 0.5093172945 -0.5689875973 0.0652210614 78.3050575213 78.0674410716 78.0674410716 0.4187160575 0.5093172945 0.7592860675
0.7364317235 0.9312162127 1.6550220645 3.0185134892 79.3514766835 77.8694327152 77.8694327152 0.7364317235 0.9312162127 0.2140418101
0.7026863236 0.9246364917 1.4188042649 2.9724554416 75.0847654747 74.6906817528 74.6906817528 0.7026863236 0.9246364917 0.2540012529
0.4151796649 0.4850341334 -0.5937423460 -0.1047610662 75.8120999861 73.6833717752 73.6833717752 0.4151796649 0.4850341334 0.7864323827
0.3228148360 0.5510816959 -1.2402961482 0.3575718710 75.3656570794 73.3276069774 73.3276069774 0.3228148360 0.5510816959 0.1778308584
0.3303309206 0.8925650347 -1.1876835561 2.7479552431 72.6738835427 74.8888677640 72.6738835427 0.3303309206 0.8925650347 0.2110547804
0.7453808354 0.3470449641 1.7176658475 -1.0706852510 71.5799138680 72.5512257019 71.5799138680 0.7453808354 0.3470449641 0.5852656512
0.7740374123 0.9308427961 1.9182618860 3.0158995725 70.9779550885 71.1488268517 70.9779550885 0.7740374123 0.9308427961 0.2515323480
0.3015340115 0.8574883767 -1.3892619192 2.5024186368 70.5234982986 71.7243735042 70.5234982986 0.3015340115 0.8574883767 0.2262085720
0.2774440108 0.8985068140 -1.5578919241 2.7895476978 69.2812822046 69.7891689176 69.2812822046 0.2774440108 0.8985068140 0.1983509889
0.7380993456 0.8935516977 1.6666954191 2.7548618841 71.3310271974 69.0956447579 69.0956447579 0.7380993456 0.8935516977 0.2488310735
0.7399003478 0.9299213871 1.6793024345 3.0094497099 77.0770080277 68.2357790735 68.2357790735 0.7399003478 0.9299213871 0.2109871950
0.3580450437 0.5117505269 -0.9936846942 0.0822536883 68.6059765060 68.1542976279 68.1542976279 0.3580450437 0.5117505269 0.1807695971
0.4025875983 0.5088757368 -0.6818868118 0.0621301574 65.7341987405 66.4892260339 65.7341987405 0.4025875983 0.5088757368 0.7635064911
0.3006459005 0.8893173153 -1.3954786964 2.7252212069 66.6139133307 65.1689913776 65.1689913776 0.3006459005 0.8893173153 0.1716453291
