# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.3580450437 0.5477648628 -0.9936846942 0.3343540393 89.9964255962 89.9969281176 89.9964255962 0.3580450437 0.5477648628 0.1807695971
0.3580450437 0.5477648628 -0.9936846942 0.3343540393 89.9964255962 89.9969281176 89.9964255962 0.3580450437 0.5477648628 0.1807695971
0.3034230887 0.8954748853 -1.3760383794 2.7683241971 89.9612487997 89.9573737884 89.9573737884 0.3034230887 0.8954748853 0.2309912398
0.3034230887 0.8954748853 -1.3760383794 2.7683241971 89.9612487997 89.9573737884 89.9573737884 0.3034230887 0.8954748853 0.2309912398
0.3566825741 0.5480271268 -1.0032219811 0.3361898877 89.9507332886 89.9518651421 89.9507332886 0.3566825741 0.5480271268 0.1807695971
0.3578540581 0.5469735157 -0.9950215936 0.3288146098 89.9366065930 89.9464104234 89.9366065930 0.3578540581 0.5469735157 0.1796591225
0.3583922903 0.5473842487 -0.9912539679 0.3316897406 89.9190418322 89.9304482832 89.9190418322 0.3583922903 0.5473842487 0.1785432228
0.3577837406 0.5466821561 -0.9955138157 0.3267750926 89.8967277346 89.9129488339 89.8967277346 0.3577837406 0.5466821561 0.1792502660
0.3568861040 0.5488704510 -1.0017972717 0.3420931570 89.8875523019 89.9032983279 89.8875523019 0.3568861040 0.5488704510 0.1819530097
0.3576977971 0.5463260499 -0.9961154205 0.3242823494 89.8365893054 89.8629737035 89.8365893054 0.3576977971 0.5463260499 0.1787505524
0.3581815748 0.5446804604 -0.9927289767 0.3127632226 89.7569526325 89.8177836244 89.7569526325 0.3581815748 0.5446804604 0.1801634752
0.4172097915 0.5188581552 -0.5795314598 0.1320070864 89.7953015285 89.8036079581 89.7953015285 0.4172097915 0.5188581552 0.7963657888
0.4172097915 0.5188581552 -0.5795314598 0.1320070864 89.7953015285 89.8036079581 89.7953015285 0.4172097915 0.5188581552 0.7963657888
0.3570298207 0.5494659397 -1.0007912549 0.3462615776 89.7146762330 89.7731698053 89.7146762330 0.3570298207 0.5494659397 0.1827886419
0.7399003478 0.9299213871 1.6793024345 3.0094497099 89.7619706806 89.7466748968 89.7466748968 0.7399003478 0.9299213871 0.2559446880
