# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.2997212752 0.2727093004 -1.4019510739 -1.5910348975 89.9990384347 89.9988317698 89.9988317698 0.2997212752 0.2727093004 0.2162354287 0.5680639126 0.2566414061
0.5734170729 0.4094892891 0.5139195105 -0.6335749765 89.1529060219 89.3932617515 89.1529060219 0.5734170729 0.4094892891 0.1354117162 0.7325576644 0.4388100255
0.2957311619 0.2670617759 -1.4298818667 -1.6305675688 87.0372141105 86.0558169854 86.0558169854 0.2957311619 0.2670617759 0.2213986138 0.5837492096 0.2676556061
0.6272307262 0.8979694724 0.8906150835 2.7857863068 85.9688858046 84.7934329672 84.7934329672 0.6272307262 0.8979694724 0.8706558470 0.2181163924 0.2259709799
0.5689421752 0.4166998428 0.4825952266 -0.5831011002 86.8206132106 83.4232557714 83.4232557714 0.5689421752 0.4166998428 0.1391693242 0.7286608828 0.4562524885
0.1305337043 0.8084852758 -2.5862640697 2.1593969304 83.7932092907 83.0323767737 83.0323767737 0.1305337043 0.8084852758 0.8759335230 0.7976852018 0.8116832526
0.2952748184 0.2811988047 -1.4330762715 -1.5316083674 83.1688307911 82.9610888931 82.9610888931 0.2952748184 0.2811988047 0.2075014166 0.5383249230 0.2362824131
0.2780501706 0.3856285550 -1.5536488058 -0.8006001150 80.7972594224 80.8697796677 80.7972594224 0.2780501706 0.3856285550 0.7715875442 0.7828897409 0.6551787405
0.6340005513 0.2234830043 0.9380038590 -1.9356189701 79.6366584928 81.2803556246 79.6366584928 0.6340005513 0.2234830043 0.6879865634 0.7862654306 0.3201400518
0.5817119652 0.4193002517 0.5719837564 -0.5648982378 77.5918034878 80.5698597500 77.5918034878 0.5817119652 0.4193002517 0.1399423563 0.7202551625 0.4089859258
0.3106725501 0.2735688233 -1.3252921490 -1.5850182368 77.5431189395 77.5323693990 77.5323693990 0.3106725501 0.2735688233 0.2219223154 0.6151381088 0.2682305120
0.6237292089 0.9065316469 0.8661044626 2.8457215285 80.6978498949 77.3386424169 77.3386424169 0.6237292089 0.9065316469 0.8541565041 0.2104274763 0.1985497673
0.2971749700 0.2765182582 -1.4197752099 -1.5643721929 77.2357285823 77.6388600287 77.2357285823 0.2971749700 0.2765182582 0.2108253647 0.5842126544 0.2343590007
0.2857359337 0.2684648084 -1.4998484644 -1.6207463413 77.1439635323 77.4714947642 77.1439635323 0.2857359337 0.2684648084 0.2300931953 0.5593638169 0.2763023624
0.3023183802 0.2580118687 -1.3837713388 -1.6939169192 76.6548813035 74.7193634973 74.7193634973 0.3023183802 0.2580118687 0.2318894493 0.6162549946 0.2862502182
0.2898473397 0.2774275884 -1.4710686219 -1.5580068812 76.1274576458 74.4304037234 74.4304037234 0.2898473397 0.2774275884 0.2030874392 0.5191485722 0.2309659973
0.2790965381 0.2594692551 -1.5463242331 -1.6837152143 74.2692473698 74.4571770339 74.2692473698 0.2790965381 0.2594692551 0.2236921107 0.5695866198 0.2732000567
0.6269979273 0.9043270401 0.8889854914 2.8302892807 72.8933217388 76.0301947896 72.8933217388 0.6269979273 0.9043270401 0.8572465495 0.2304117070 0.2568252260
0.3273035418 0.2918822218 -1.2088752072 -1.4568244474 72.7465730926 73.8633065794 72.7465730926 0.3273035418 0.2918822218 0.2030054911 0.5791702842 0.2401740869
0.6427206493 0.2218005868 0.9990445450 -1.9473958924 72.2410740896 75.3840446189 72.2410740896 0.6427206493 0.2218005868 0.6819774549 0.7787755739 0.2847299593
0.3194387903 0.2924194159 -1.2639284678 -1.4530640887 72.3923995107 69.4241197033 69.4241197033 0.3194387903 0.2924194159 0.1942853709 0.5572826266 0.2292132743
0.3167274321 0.2590356540 -1.2829079754 -1.6867504221 65.9787802084 68.5996661069 65.9787802084 0.3167274321 0.2590356540 0.2300382275 0.5838425319 0.2949725018
0.6204586633 0.8880636722 0.8432106428 2.7164457051 69.9733982393 65.8438976538 65.8438976538 0.6204586633 0.8880636722 0.8868721093 0.2339431749 0.2680795501
0.2716392817 0.2642209402 -1.5985250284 -1.6504534189 65.7243977359 77.0517869920 65.7243977359 0.2716392817 0.2642209402 0.2149322499 0.5268504254 0.2564413071
0.3125799830 0.2726575837 -1.3119401189 -1.5913969141 65.4542242650 71.5966058191 65.4542242650 0.3125799830 0.2726575837 0.2130548654 0.5441374255 0.2725868519
