# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.2997212752 0.2727093004 -1.4019510739 -1.5910348975 89.9990384347 89.9988317698 89.9988317698 0.2997212752 0.2727093004 0.2162354287 0.5680639126 0.2566414061
0.2997212752 0.2727093004 -1.4019510739 -1.5910348975 89.9990384347 89.9988317698 89.9988317698 0.2997212752 0.2727093004 0.2162354287 0.5680639126 0.2566414061
0.2996969053 0.2727873355 -1.4021216629 -1.5904886512 89.9989628412 89.9965595752 89.9965595752 0.2996969053 0.2727873355 0.2161691134 0.5680828049 0.2564871817
0.2997333009 0.2727276421 -1.4018668934 -1.5909065051 89.9989361932 89.9985265863 89.9985265863 0.2997333009 0.2727276421 0.2162367117 0.5681792796 0.2566318957
0.2997066706 0.2727701880 -1.4020533060 -1.5906086842 89.9988688116 89.9974562373 89.9974562373 0.2997066706 0.2727701880 0.2161816828 0.5679350260 0.2566447747
0.2997050386 0.2727535766 -1.4020647297 -1.5907249637 89.9988562476 89.9971526143 89.9971526143 0.2997050386 0.2727535766 0.2161778880 0.5679890677 0.2566088189
0.2997071572 0.2727276421 -1.4020498999 -1.5909065051 89.9988549385 89.9974563282 89.9974563282 0.2997071572 0.2727276421 0.2162030989 0.5681145686 0.2566409630
0.2998056383 0.2728717070 -1.4013605321 -1.5898980511 89.9986966602 89.9986096220 89.9986096220 0.2998056383 0.2728717070 0.2162101032 0.5680567537 0.2565849398
0.2997468755 0.2727276421 -1.4017718715 -1.5909065051 89.9986822356 89.9990261202 89.9986822356 0.2997468755 0.2727276421 0.2162522829 0.5681792796 0.2566263324
0.2997379385 0.2727970304 -1.4018344303 -1.5904207869 89.9986793894 89.9981206407 89.9981206407 0.2997379385 0.2727970304 0.2161887443 0.5679604030 0.2565306710
0.2997711970 0.2727997697 -1.4016016213 -1.5904016123 89.9986336689 89.9991089283 89.9986336689 0.2997711970 0.2727997697 0.2162361177 0.5680027798 0.2566724149
0.2997181850 0.2727133190 -1.4019727053 -1.5910067670 89.9986136478 89.9975551648 89.9975551648 0.2997181850 0.2727133190 0.2162133478 0.5681926132 0.2566444759
0.2997505021 0.2727133190 -1.4017464856 -1.5910067670 89.9985816950 89.9983423706 89.9983423706 0.2997505021 0.2727133190 0.2162289190 0.5681926132 0.2566389126
0.2997491214 0.2727184582 -1.4017561501 -1.5909707926 89.9985700551 89.9984426901 89.9984426901 0.2997491214 0.2727184582 0.2162616946 0.5682542758 0.2567756417
0.2997348742 0.2727110649 -1.4018558808 -1.5910225460 89.9984705376 89.9979933433 89.9979933433 0.2997348742 0.2727110649 0.2162355970 0.5680251571 0.2569271362
0.2997816285 0.2727746814 -1.4015286008 -1.5905772300 89.9984695157 89.9991340020 89.9984695157 0.2997816285 0.2727746814 0.2163830011 0.5683564459 0.2568914152
0.2997333009 0.2728828598 -1.4018668934 -1.5898199813 89.9984591382 89.9978487748 89.9978487748 0.2997333009 0.2728828598 0.2161979440 0.5680046236 0.2566212189
0.2996000089 0.2727804018 -1.4027999376 -1.5905371874 89.9984532021 89.9987635199 89.9984532021 0.2996000089 0.2727804018 0.2162118544 0.5676866489 0.2566025468
0.2996855534 0.2727043887 -1.4022011263 -1.5910692791 89.9984264300 89.9993143841 89.9984264300 0.2996855534 0.2727043887 0.2162433851 0.5679066119 0.2566444537
0.2996881999 0.2728784814 -1.4021826009 -1.5898506300 89.9984034111 89.9988981520 89.9984034111 0.2996881999 0.2728784814 0.2162293010 0.5678266035 0.2565497995
0.2996961459 0.2728339381 -1.4021269784 -1.5901624336 89.9982808941 89.9965579225 89.9965579225 0.2996961459 0.2728339381 0.2161656632 0.5680956213 0.2564038597
0.2997193919 0.2727016001 -1.4019642568 -1.5910887995 89.9982708585 89.9972654704 89.9972654704 0.2997193919 0.2727016001 0.2162098030 0.5682035224 0.2566492054
0.2997928632 0.2727276421 -1.4014499579 -1.5909065051 89.9982318226 89.9990026820 89.9982318226 0.2997928632 0.2727276421 0.2162522829 0.5681792796 0.2566263324
0.2997014908 0.2727838451 -1.4020895646 -1.5905130845 89.9982218723 89.9978702525 89.9978702525 0.2997014908 0.2727838451 0.2161660124 0.5677975138 0.2565105713
0.2996708084 0.2728818384 -1.4023043409 -1.5898271314 89.9982090558 89.9960542745 89.9960542745 0.2996708084 0.2728818384 0.2161110861 0.5676928872 0.2564137516
0.2997322996 0.2727708195 -1.4018739025 -1.5906042634 89.9981526867 89.9988237338 89.9981526867 0.2997322996 0.2727708195 0.2162146196 0.5678473665 0.2567337475
0.2998400337 0.2728828598 -1.4011197640 -1.5898199813 89.9981445181 89.9983908392 89.9981445181 0.2998400337 0.2728828598 0.2162249952 0.5680402147 0.2566131721
0.2997409767 0.2728202222 -1.4018131632 -1.5902584449 89.9981436491 89.9963393352 89.9963393352 0.2997409767 0.2728202222 0.2161415267 0.5678796645 0.2566263324
0.2997987919 0.2727513603 -1.4014084567 -1.5907404781 89.9981110792 89.9986833990 89.9981110792 0.2997987919 0.2727513603 0.2162433851 0.5682027841 0.2567636662
0.2997616317 0.2727490831 -1.4016685779 -1.5907564181 89.9980926059 89.9978900742 89.9978900742 0.2997616317 0.2727490831 0.2161973220 0.5679887852 0.2567536664
0.2996126849 0.2727530726 -1.4027112055 -1.5907284920 89.9980765959 89.9986962273 89.9980765959 0.2996126849 0.2727530726 0.2162084728 0.5676879181 0.2565750999
0.2997821463 0.2727005888 -1.4015249761 -1.5910958786 89.9980668937 89.9990159095 89.9980668937 0.2997821463 0.2727005888 0.2162883063 0.5681339289 0.2566459315
0.2997521295 0.2727794412 -1.4017350937 -1.5905439115 89.9980297825 89.9979293930 89.9979293930 0.2997521295 0.2727794412 0.2161911408 0.5679038354 0.2567615012
0.2998049271 0.2728263351 -1.4013655106 -1.5902156544 89.9980082622 89.9990181511 89.9980082622 0.2998049271 0.2728263351 0.2163743745 0.5683280144 0.2567259730
0.2998412690 0.2728778087 -1.4011111173 -1.5898553394 89.9979741157 89.9985593061 89.9979741157 0.2998412690 0.2728778087 0.2162301716 0.5680814626 0.2566952922
0.2997721687 0.2726687687 -1.4015948190 -1.5913186192 89.9979352676 89.9988315416 89.9979352676 0.2997721687 0.2726687687 0.2162555463 0.5682565835 0.2567257383
0.2996646013 0.2728356642 -1.4023477907 -1.5901503508 89.9978378264 89.9988222107 89.9978378264 0.2996646013 0.2728356642 0.2161963116 0.5676341188 0.2566130278
0.2998229997 0.2727954692 -1.4012390024 -1.5904317159 89.9978143345 89.9986468103 89.9978143345 0.2998229997 0.2727954692 0.2162284275 0.5682311449 0.2565945301
0.2997468755 0.2727288505 -1.4017718715 -1.5908980467 89.9977886463 89.9975012721 89.9975012721 0.2997468755 0.2727288505 0.2161831210 0.5679362682 0.2567627484
0.2996529709 0.2729063503 -1.4024292034 -1.5896555479 89.9977471534 89.9979518391 89.9977471534 0.2996529709 0.2729063503 0.2162099123 0.5678772821 0.2564603499
0.2997279046 0.2727362937 -1.4019046681 -1.5908459438 89.9976923824 89.9981332747 89.9976923824 0.2997279046 0.2727362937 0.2161924282 0.5678388179 0.2567636331
0.2997524967 0.2726540291 -1.4017325233 -1.5914217960 89.9976921811 89.9986881719 89.9976921811 0.2997524967 0.2726540291 0.2162726057 0.5681649224 0.2569710822
0.2997826797 0.2726442200 -1.4015212420 -1.5914904599 89.9976557623 89.9992187696 89.9976557623 0.2997826797 0.2726442200 0.2163055774 0.5682647735 0.2566985492
0.2998211393 0.2727965159 -1.4012520247 -1.5904243884 89.9976521624 89.9976307308 89.9976307308 0.2998211393 0.2727965159 0.2162286108 0.5682287390 0.2568472345
