# from_x0 from_x1 to_x0 to_x1 length
-1.4016659730 -1.5915503872 -1.4022011263 -1.5910692791 0.0003489091
-1.4017464856 -1.5915639154 -1.4016659730 -1.5915503872 0.0000395514
-1.4021881316 -1.5913173309 -1.4022011263 -1.5910692791 0.0001235513
-1.4015212420 -1.5914904599 -1.4017464856 -1.5915639154 0.0000745254
-1.4018427127 -1.5920771999 -1.4016659730 -1.5915503872 0.0000937902
-1.4020507499 -1.5926400682 -1.4018427127 -1.5920771999 0.0002271627
-1.4015286008 -1.5905772300 -1.4015212420 -1.5914904599 0.0002619482
-1.4017311605 -1.5917358386 -1.4017464856 -1.5915639154 0.0000493709
-1.4016016213 -1.5904016123 -1.4022011263 -1.5910692791 0.0001628351
-1.4017718715 -1.5909065051 -1.4016659730 -1.5915503872 0.0001114324
-1.4013655106 -1.5902156544 -1.4015286008 -1.5905772300 0.0001773832
-1.4015249761 -1.5910958786 -1.4017718715 -1.5909065051 0.0000755937
-1.4014499579 -1.5909065051 -1.4017718715 -1.5909065051 0.0000459876
-1.4013630856 -1.5916516157 -1.4015286008 -1.5905772300 0.0002680793
-1.4015518730 -1.5907937955 -1.4013655106 -1.5902156544 0.0001095945
-1.4021826009 -1.5898506300 -1.4022011263 -1.5910692791 0.0002141831
-1.4012737096 -1.5916888920 -1.4015212420 -1.5914904599 0.0000937943
-1.4014103389 -1.5915945315 -1.4017464856 -1.5915639154 0.0000488179
-1.4019510739 -1.5910348975 -1.4015249761 -1.5910958786 0.0001072380
-1.4015948190 -1.5913186192 -1.4015212420 -1.5914904599 0.0000634237
-1.4018739025 -1.5906042634 -1.4021881316 -1.5913173309 0.0001184646
-1.4023477907 -1.5901503508 -1.4021826009 -1.5898506300 0.0002110135
-1.4014713874 -1.5909836080 -1.4014499579 -1.5909065051 0.0000748444
-1.4027999376 -1.5905371874 -1.4023477907 -1.5901503508 0.0001016708
-1.4013778996 -1.5911943596 -1.4014713874 -1.5909836080 0.0000444179
-1.4026529614 -1.5910826271 -1.4027999376 -1.5905371874 0.0000931369
-1.4027112055 -1.5907284920 -1.4027999376 -1.5905371874 0.0000409139
-1.4015875724 -1.5918562036 -1.4012737096 -1.5916888920 0.0000780995
-1.4017325233 -1.5914217960 -1.4013630856 -1.5916516157 0.0001209483
-1.4014084567 -1.5907404781 -1.4015948190 -1.5913186192 0.0001095945
-1.4012390024 -1.5904317159 -1.4014499579 -1.5909065051 0.0000988898
-1.4021928488 -1.5913925813 -1.4014713874 -1.5909836080 0.0002376622
-1.4013605321 -1.5898980511 -1.4016016213 -1.5904016123 0.0001326763
-1.4018566749 -1.5922193193 -1.4018427127 -1.5920771999 0.0000820468
-1.4011111173 -1.5898553394 -1.4013605321 -1.5898980511 0.0001204064
-1.4017136273 -1.5916727544 -1.4015875724 -1.5918562036 0.0000597217
-1.4016967956 -1.5920763379 -1.4015875724 -1.5918562036 0.0002144548
-1.4018668934 -1.5909065051 -1.4017718715 -1.5909065051 0.0000213934
-1.4018141284 -1.5905289789 -1.4014713874 -1.5909836080 0.0001223348
-1.4018387401 -1.5915503872 -1.4016659730 -1.5915503872 0.0000388972
-1.4017561501 -1.5909707926 -1.4015948190 -1.5913186192 0.0000743888
-1.4016713986 -1.5912703409 -1.4015875724 -1.5918562036 0.0001213637
-1.4017718715 -1.5916727544 -1.4017136273 -1.5916727544 0.0000083206
-1.4011197640 -1.5898199813 -1.4013605321 -1.5898980511 0.0000509883
-1.4017464856 -1.5910067670 -1.4018668934 -1.5909065051 0.0000280852
-1.4018108341 -1.5919625013 -1.4015875724 -1.5918562036 0.0000437025
-1.4020843777 -1.5917120539 -1.4018387401 -1.5915503872 0.0000816681
-1.4012913943 -1.5891033619 -1.4011111173 -1.5898553394 0.0001566830
-1.4020483277 -1.5922737369 -1.4018108341 -1.5919625013 0.0001131048
-1.4018108341 -1.5919625013 -1.4018108341 -1.5919625013 0.0000033298
-1.4015861723 -1.5913539773 -1.4017561501 -1.5909707926 0.0000807597
-1.4009966586 -1.5897904356 -1.4011111173 -1.5898553394 0.0000823584
-1.4017464856 -1.5915639154 -1.4017325233 -1.5914217960 0.0000820468
