# from_x0 from_x1 to_x0 to_x1 length
-2.0489316453 -2.6410951097 -2.0482112287 -2.6410018194 0.0005041638
-2.0478169239 -2.6416879252 -2.0489316453 -2.6410951097 0.0007539630
-2.0476098544 -2.6417111631 -2.0478169239 -2.6416879252 0.0002141663
-2.0484453654 -2.6428770262 -2.0478169239 -2.6416879252 0.0004895785
-2.0487683378 -2.6415274732 -2.0489316453 -2.6410951097 0.0002849513
-2.0476504195 -2.6410733536 -2.0489316453 -2.6410951097 0.0003053426
-2.0471142445 -2.6395607840 -2.0482112287 -2.6410018194 0.0004391720
-2.0479023708 -2.6407326984 -2.0476098544 -2.6417111631 0.0001897096
-2.0472766706 -2.6417574518 -2.0476098544 -2.6417111631 0.0001178335
-2.0476504195 -2.6404879831 -2.0471142445 -2.6395607840 0.0002532490
-2.0480126437 -2.6404545352 -2.0479023708 -2.6407326984 0.0004230653
-2.0478259904 -2.6425796611 -2.0484453654 -2.6428770262 0.0001862229
-2.0465826939 -2.6400738418 -2.0479023708 -2.6407326984 0.0002938828
-2.0468655100 -2.6406018029 -2.0480126437 -2.6404545352 0.0002087570
-2.0464429345 -2.6395592490 -2.0468655100 -2.6406018029 0.0003091930
-2.0459196569 -2.6396474976 -2.0464429345 -2.6395592490 0.0002035154
-2.0472111353 -2.6417720864 -2.0478169239 -2.6416879252 0.0002142428
-2.0476504195 -2.6400591555 -2.0479023708 -2.6407326984 0.0002284486
-2.0473027128 -2.6426679097 -2.0472111353 -2.6417720864 0.0002157820
-2.0455275613 -2.6400591555 -2.0476504195 -2.6410733536 0.0003729048
-2.0479187197 -2.6401393756 -2.0482112287 -2.6410018194 0.0008290878
-2.0473027128 -2.6389563659 -2.0464429345 -2.6395592490 0.0002806035
-2.0481248617 -2.6396795940 -2.0479187197 -2.6401393756 0.0007251205
-2.0471999368 -2.6423965910 -2.0473027128 -2.6426679097 0.0003327864
-2.0465826939 -2.6411407944 -2.0468655100 -2.6406018029 0.0001975619
-2.0471798605 -2.6428340143 -2.0478259904 -2.6425796611 0.0001665509
-2.0481404729 -2.6421383387 -2.0473027128 -2.6426679097 0.0002526506
-2.0466990056 -2.6399872313 -2.0471142445 -2.6395607840 0.0001616649
-2.0487683378 -2.6407326984 -2.0479023708 -2.6407326984 0.0001782360
-2.0465836762 -2.6405452690 -2.0472111353 -2.6417720864 0.0003179404
-2.0484409994 -2.6391599144 -2.0480126437 -2.6404545352 0.0003002136
-2.0473027128 -2.6429812858 -2.0473027128 -2.6426679097 0.0001077598
-2.0492178082 -2.6412152894 -2.0484453654 -2.6428770262 0.0002908045
-2.0473676033 -2.6423387030 -2.0478169239 -2.6416879252 0.0002183374
-2.0470507614 -2.6430085649 -2.0484453654 -2.6428770262 0.0003186957
-2.0464050416 -2.6423993265 -2.0471999368 -2.6423965910 0.0002757301
-2.0476659341 -2.6408244494 -2.0471999368 -2.6423965910 0.0002903826
-2.0473027128 -2.6432376845 -2.0473027128 -2.6429812858 0.0000996689
-2.0483058821 -2.6408702158 -2.0476659341 -2.6408244494 0.0001639129
-2.0452751499 -2.6400760365 -2.0465826939 -2.6400738418 0.0002306916
-2.0495744316 -2.6401054583 -2.0480126437 -2.6404545352 0.0002556132
-2.0464429345 -2.6411821740 -2.0464429345 -2.6395592490 0.0002578303
-2.0473027128 -2.6423387030 -2.0476504195 -2.6410733536 0.0002835312
-2.0488846495 -2.6406062864 -2.0487683378 -2.6407326984 0.0001831915
-2.0459002114 -2.6404267190 -2.0465836762 -2.6405452690 0.0002925960
-2.0454410237 -2.6408939615 -2.0465836762 -2.6405452690 0.0002309315
-2.0455728693 -2.6406931419 -2.0459196569 -2.6396474976 0.0001893067
-2.0454830502 -2.6404938157 -2.0459002114 -2.6404267190 0.0002555485
-2.0464161894 -2.6412525807 -2.0455728693 -2.6406931419 0.0001704653
-2.0460467667 -2.6420012398 -2.0470507614 -2.6430085649 0.0002593842
-2.0487683378 -2.6427740475 -2.0481404729 -2.6421383387 0.0001961363
-2.0499370834 -2.6407326984 -2.0495744316 -2.6401054583 0.0002925145
-2.0471614613 -2.6418910630 -2.0473027128 -2.6423387030 0.0003873614
-2.0473942902 -2.6435637330 -2.0487683378 -2.6427740475 0.0002266046
-2.0505068945 -2.6377052921 -2.0471142445 -2.6395607840 0.0006887332
-2.0482541267 -2.6437540320 -2.0473942902 -2.6435637330 0.0003548328
-2.0449086340 -2.6415912329 -2.0455275613 -2.6400591555 0.0006101009
-2.0473027128 -2.6397171370 -2.0459002114 -2.6404267190 0.0002757583
-2.0469279091 -2.6431746695 -2.0473027128 -2.6423387030 0.0002289878
-2.0471919219 -2.6428062193 -2.0482541267 -2.6437540320 0.0006084946
-2.0470507614 -2.6428275013 -2.0473027128 -2.6423387030 0.0002364116
-2.0471114741 -2.6441027245 -2.0473942902 -2.6435637330 0.0002119852
-2.0453667273 -2.6409718598 -2.0464429345 -2.6411821740 0.0003541611
-2.0458473962 -2.6422630978 -2.0466990056 -2.6399872313 0.0004287888
-2.0457795126 -2.6436307661 -2.0473676033 -2.6423387030 0.0003434923
-2.0483675048 -2.6436007372 -2.0482541267 -2.6437540320 0.0002615070
-2.0456471657 -2.6435660163 -2.0471999368 -2.6423965910 0.0003337840
-2.0504523734 -2.6382399818 -2.0488846495 -2.6406062864 0.0005045266
-2.0445151640 -2.6366584627 -2.0476659341 -2.6408244494 0.0015045703
-2.0454410237 -2.6438447342 -2.0457795126 -2.6436307661 0.0001020810
-2.0488537847 -2.6408046226 -2.0476659341 -2.6408244494 0.0003902210
-2.0481557265 -2.6394812577 -2.0481248617 -2.6396795940 0.0009742044
-2.0432128788 -2.6378222713 -2.0445151640 -2.6366584627 0.0004057392
-2.0445606336 -2.6420362260 -2.0453667273 -2.6409718598 0.0003112491
-2.0487401309 -2.6391889293 -2.0476659341 -2.6408244494 0.0003385477
-2.0434237058 -2.6437732271 -2.0471919219 -2.6428062193 0.0006493476
-2.0469279091 -2.6437732271 -2.0471919219 -2.6428062193 0.0003650892
-2.0477608061 -2.6394812577 -2.0481557265 -2.6394812577 0.0000564172
-2.0454882038 -2.6452286024 -2.0457795126 -2.6436307661 0.0004208719
-2.0499370834 -2.6446358604 -2.0487683378 -2.6427740475 0.0005186708
-2.0502521059 -2.6365322175 -2.0505068945 -2.6377052921 0.0003286140
-2.0466759578 -2.6435153248 -2.0471614613 -2.6418910630 0.0004244273
-2.0426895216 -2.6404075312 -2.0434237058 -2.6437732271 0.0006179197
-2.0451147760 -2.6413125150 -2.0458473962 -2.6422630978 0.0005046429
-2.0485060780 -2.6434133768 -2.0483675048 -2.6436007372 0.0004222683
-2.0504523734 -2.6448075905 -2.0499370834 -2.6446358604 0.0003315630
-2.0510845524 -2.6362553516 -2.0505068945 -2.6377052921 0.0004916580
-2.0493984548 -2.6372666378 -2.0487401309 -2.6391889293 0.0006451815
-2.0477608061 -2.6420485366 -2.0469279091 -2.6437732271 0.0004983909
-2.0424949977 -2.6446358604 -2.0454882038 -2.6452286024 0.0006291770
-2.0557974469 -2.6414700812 -2.0505068945 -2.6377052921 0.0010525906
-2.0487730419 -2.6407054524 -2.0485060780 -2.6434133768 0.0006064093
-2.0485668999 -2.6409841703 -2.0477608061 -2.6420485366 0.0003112491
-2.0464363675 -2.6405858593 -2.0477608061 -2.6420485366 0.0006811068
-2.0401245378 -2.6429513993 -2.0434237058 -2.6437732271 0.0006849954
-2.0499370834 -2.6356938538 -2.0510845524 -2.6362553516 0.0005198762
-2.0415867103 -2.6432856644 -2.0434237058 -2.6437732271 0.0007602312
-2.0526093325 -2.6359740635 -2.0510845524 -2.6362553516 0.0003570922
-2.0473040771 -2.6446809696 -2.0445606336 -2.6420362260 0.0008296487
-2.0499370834 -2.6356938538 -2.0499370834 -2.6356938538 0.0001461501
-2.0401245378 -2.6413284743 -2.0401245378 -2.6429513993 0.0002740668
-2.0518755388 -2.6365919603 -2.0493984548 -2.6372666378 0.0004582031
-2.0464550786 -2.6460507987 -2.0451147760 -2.6413125150 0.0008153370
-2.0439178235 -2.6448075905 -2.0454410237 -2.6438447342 0.0004593647
-2.0416991795 -2.6353651968 -2.0432128788 -2.6378222713 0.0008842727
-2.0438926839 -2.6357971920 -2.0416991795 -2.6353651968 0.0003855331
-2.0471179960 -2.6448199011 -2.0469279091 -2.6437732271 0.0004405586
-2.0548135461 -2.6400388686 -2.0499370834 -2.6407326984 0.0007492224
