# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.1045164139 0.1051685175 -2.7683851028 -2.7638203774 49.4688386864 0.6137205523 0.6137205523 0.1045164139 0.1051685175 0.2174050390 0.4957404877 0.4852844094
0.1045164139 0.1051685175 -2.7683851028 -2.7638203774 49.4688386864 0.6137205523 0.6137205523 0.1045164139 0.1051685175 0.2174050390 0.4957404877 0.4852844094
0.1375807825 0.0823280355 -2.5369345226 -2.9237037516 41.3393875464 7.0262999921 7.0262999921 0.1375807825 0.0823280355 0.1798484769 0.5032838052 0.4438376485
0.1332718049 0.1709599044 -2.5670973660 -2.3032806689 40.7875227266 7.0262999921 7.0262999921 0.1332718049 0.1709599044 0.1808418725 0.4894453305 0.3901615616
0.1343321584 0.1842195495 -2.5596748910 -2.2104631532 40.5617881148 7.0262999921 7.0262999921 0.1343321584 0.1842195495 0.1576939164 0.4817380129 0.3846318511
0.1328311352 0.1506655334 -2.5701820538 -2.4453412659 39.1661654723 7.0262999921 7.0262999921 0.1328311352 0.1506655334 0.1714227901 0.4296885996 0.4493596364
0.1428935889 0.1254647058 -2.4997448774 -2.6217470593 38.6677521418 7.0262999921 7.0262999921 0.1428935889 0.1254647058 0.1958514279 0.4587945779 0.4537070986
0.1216910081 0.0837879783 -2.6481629431 -2.9134841519 38.5518526898 0.6137205523 0.6137205523 0.1216910081 0.0837879783 0.2345646591 0.6042652755 0.5103317051
0.1321704383 0.1351013678 -2.5748069320 -2.5542904254 38.1055531762 7.0262999921 7.0262999921 0.1321704383 0.1351013678 0.1522611262 0.4315394230 0.4508008382
0.1412372169 0.1367842830 -2.5113394817 -2.5425100192 37.0509464136 7.0262999921 7.0262999921 0.1412372169 0.1367842830 0.1362623409 0.4791556951 0.4866081146
0.1316506267 0.1714847330 -2.5784456134 -2.2996068690 36.9154053656 7.0262999921 7.0262999921 0.1316506267 0.1714847330 0.1749480587 0.4695042281 0.3759617121
0.1404381915 0.1351749899 -2.5169326597 -2.5537750710 36.1392783474 7.0262999921 7.0262999921 0.1404381915 0.1351749899 0.1689104218 0.5110410410 0.3812467388
0.1363674528 0.1262755171 -2.5454278303 -2.6160713805 36.0711727849 7.0262999921 7.0262999921 0.1363674528 0.1262755171 0.1911447881 0.6037804393 0.5024114262
0.1431432809 0.0955197166 -2.4979970336 -2.8313619836 35.9160611888 7.0262999921 7.0262999921 0.1431432809 0.0955197166 0.1761995363 0.5866569549 0.4914470914
