# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 1.8104214624 903 0 12 12
10 7455 30.6586957352 1130 0 12 12
20 13705 60.1627112377 1524 0 12 12
30 19955 74.1963376939 2216 2 12 12
40 26205 84.5028375328 3582 3 12 12
50 32455 88.8944203933 5228 3 12 12
60 38705 89.4224995415 6749 3 12 12
70 44955 89.5830327849 7817 3 12 12
80 51205 89.8477334439 8851 3 12 12
90 57455 89.8591543962 9858 3 12 12
100 63705 89.9156798786 10887 3 12 12
110 69955 89.9207208968 11886 3 12 12
120 76184 89.9742482117 12902 3 12 11
130 82161 89.9900388678 13862 3 12 10
140 87613 89.9923682120 14752 3 11 9
150 92246 89.9948960910 15513 3 7 7
160 96312 89.9992590508 16190 3 8 6
170 100000 89.9992590508 16832 3 6 4
