# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.6235007764 0.7015721639 0.8645054345 1.4110051473 89.9997508902 89.9989893783 89.9989893783 0.6235007764 0.7015721639 0.1659410787 0.7313253391 0.4460166198
0.6235007764 0.7015721639 0.8645054345 1.4110051473 89.9997508902 89.9989893783 89.9989893783 0.6235007764 0.7015721639 0.1659410787 0.7313253391 0.4460166198
0.6235379433 0.7015676863 0.8647656030 1.4109738044 89.9994180254 89.9984031969 89.9984031969 0.6235379433 0.7015676863 0.1659055350 0.7313573993 0.4459950125
0.6235254001 0.7014987542 0.8646778005 1.4104912792 89.9994000281 89.9987492252 89.9987492252 0.6235254001 0.7014987542 0.1659733694 0.7313148035 0.4459985690
0.6235707097 0.7015162700 0.8649949681 1.4106138903 89.9993843296 89.9992590508 89.9992590508 0.6235707097 0.7015162700 0.1659533670 0.7313192371 0.4460138110
0.6235126479 0.7015597650 0.8645885356 1.4109183552 89.9992002564 89.9994499272 89.9992002564 0.6235126479 0.7015597650 0.1659541841 0.7311905100 0.4459810200
0.6235220903 0.7016515792 0.8646546322 1.4115610546 89.9990601976 89.9985353481 89.9985353481 0.6235220903 0.7016515792 0.1659038544 0.7313591189 0.4459485438
0.6235938940 0.7014918061 0.8651572578 1.4104426425 89.9989926842 89.9971608085 89.9971608085 0.6235938940 0.7014918061 0.1659835556 0.7312588574 0.4460912770
0.6235635674 0.7014736688 0.8649449715 1.4103156815 89.9989566632 89.9984177581 89.9984177581 0.6235635674 0.7014736688 0.1659566236 0.7313335490 0.4460036859
0.6234145602 0.7015745974 0.8639019216 1.4110221817 89.9985707850 89.9957309386 89.9957309386 0.6234145602 0.7015745974 0.1660005372 0.7313616338 0.4460592854
0.6236555065 0.7014757723 0.8655885456 1.4103304061 89.9985506393 89.9942603240 89.9942603240 0.6236555065 0.7014757723 0.1659527833 0.7312418336 0.4458408478
0.6235570378 0.7016582563 0.8648992646 1.4116077943 89.9984943868 89.9947179148 89.9947179148 0.6235570378 0.7016582563 0.1660167773 0.7311891337 0.4460794937
0.6234419794 0.7014643678 0.8640938558 1.4102505744 89.9984898332 89.9952158622 89.9952158622 0.6234419794 0.7014643678 0.1660038595 0.7313148035 0.4460397055
0.6237003309 0.7015207117 0.8659023162 1.4106449819 89.9983382174 89.9967224076 89.9967224076 0.6237003309 0.7015207117 0.1659117013 0.7313323994 0.4459850180
0.6234996618 0.7014823082 0.8644976327 1.4103761576 89.9981977569 89.9992058462 89.9981977569 0.6234996618 0.7014823082 0.1659601052 0.7312165317 0.4459626108
0.6236219261 0.7014309971 0.8653534830 1.4100169795 89.9981579734 89.9948723183 89.9948723183 0.6236219261 0.7014309971 0.1659764132 0.7312718712 0.4461014021
0.6235286424 0.7016525410 0.8647004970 1.4115677873 89.9981140664 89.9990009105 89.9981140664 0.6235286424 0.7016525410 0.1659462638 0.7314073584 0.4460361753
0.6236219261 0.7014309971 0.8653534830 1.4100169795 89.9980463819 89.9940523174 89.9940523174 0.6236219261 0.7014309971 0.1660002088 0.7312718712 0.4461192641
0.6234944549 0.7014677787 0.8644611843 1.4102744511 89.9979148765 89.9962357047 89.9962357047 0.6234944549 0.7014677787 0.1659982761 0.7314073109 0.4461072194
0.6235432906 0.7016165230 0.8648030339 1.4113156612 89.9978847031 89.9992765650 89.9978847031 0.6235432906 0.7016165230 0.1659500447 0.7314116773 0.4460138110
