# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.0786690098 0.2489042172 -2.9493169314 -1.7576704796 89.9943769653 89.9934509748 89.9934509748 0.0786690098 0.2489042172 0.6671738453 0.7317283429 0.4455480572
0.0786690098 0.2489042172 -2.9493169314 -1.7576704796 89.9943769653 89.9934509748 89.9934509748 0.0786690098 0.2489042172 0.6671738453 0.7317283429 0.4455480572
0.0783892256 0.2488963498 -2.9512754208 -1.7577255511 89.9919078562 89.9925016990 89.9919078562 0.0783892256 0.2488963498 0.6672032278 0.7312464910 0.4456401886
0.0785597709 0.2489230805 -2.9500816036 -1.7575384365 89.9928803349 89.9921163443 89.9921163443 0.0785597709 0.2489230805 0.6672362736 0.7317753894 0.4458130996
0.0787259551 0.2489232931 -2.9489183143 -1.7575369483 89.9950441532 89.9921080745 89.9921080745 0.0787259551 0.2489232931 0.6673929657 0.7310554809 0.4455793554
0.0786142868 0.2488883358 -2.9496999926 -1.7577816495 89.9911920700 89.9919087304 89.9911920700 0.0786142868 0.2488883358 0.6670374066 0.7317476893 0.4452519799
0.0787264024 0.2489108717 -2.9489151832 -1.7576238984 89.9947298617 89.9918836633 89.9918836633 0.0787264024 0.2489108717 0.6673728682 0.7308170629 0.4457475574
0.0785501240 0.2488830082 -2.9501491318 -1.7578189425 89.9948420596 89.9918459784 89.9918459784 0.0785501240 0.2488830082 0.6674886900 0.7312403906 0.4457620342
0.0786726787 0.2489193254 -2.9492912489 -1.7575647219 89.9955721318 89.9918339751 89.9918339751 0.0786726787 0.2489193254 0.6675007331 0.7312403906 0.4455805160
0.0787792793 0.2489294957 -2.9485450449 -1.7574935303 89.9947728608 89.9914456671 89.9914456671 0.0787792793 0.2489294957 0.6674702032 0.7312403906 0.4455871181
0.0787380659 0.2489309904 -2.9488335387 -1.7574830674 89.9937319030 89.9912860339 89.9912860339 0.0787380659 0.2489309904 0.6673275685 0.7315087643 0.4454628287
0.0785356985 0.2488919868 -2.9502501107 -1.7577560921 89.9914764911 89.9905575687 89.9905575687 0.0785356985 0.2488919868 0.6672488599 0.7308254672 0.4456875017
0.0785455309 0.2488937715 -2.9501812837 -1.7577435995 89.9908170440 89.9895816092 89.9895816092 0.0785455309 0.2488937715 0.6672741054 0.7317469130 0.4456426096
0.0789131565 0.2489585714 -2.9476079048 -1.7572900004 89.9901219865 89.9894985515 89.9894985515 0.0789131565 0.2489585714 0.6672752309 0.7312806328 0.4454161091
0.0785990697 0.2489339954 -2.9498065120 -1.7574620321 89.9903507739 89.9887705019 89.9887705019 0.0785990697 0.2489339954 0.6672644348 0.7305596585 0.4457576586
0.0786062289 0.2488997581 -2.9497563979 -1.7577016930 89.9939494291 89.9884747854 89.9884747854 0.0786062289 0.2488997581 0.6676468380 0.7311803949 0.4460892641
0.0785757256 0.2489080480 -2.9499699206 -1.7576436637 89.9893225040 89.9867319623 89.9867319623 0.0785757256 0.2489080480 0.6673603013 0.7317749074 0.4455664019
0.0786418948 0.2489191192 -2.9495067364 -1.7575661658 89.9895906608 89.9864062179 89.9864062179 0.0786418948 0.2489191192 0.6673597224 0.7316491731 0.4453170101
0.0786220238 0.2489086353 -2.9496458336 -1.7576395526 89.9893744917 89.9852919935 89.9852919935 0.0786220238 0.2489086353 0.6674357451 0.7308144354 0.4454938401
0.0786072916 0.2489076605 -2.9497489591 -1.7576463765 89.9907335541 89.9837526344 89.9837526344 0.0786072916 0.2489076605 0.6676738977 0.7309720168 0.4456982033
0.0786470771 0.2488942856 -2.9494704601 -1.7577400008 89.9905018212 89.9836573699 89.9836573699 0.0786470771 0.2488942856 0.6676291218 0.7307058737 0.4457761483
0.0784821863 0.2488769744 -2.9506246960 -1.7578611793 89.9859092710 89.9830093279 89.9830093279 0.0784821863 0.2488769744 0.6674242097 0.7317839613 0.4462839774
0.0786071508 0.2489118321 -2.9497499441 -1.7576171750 89.9846646491 89.9820229486 89.9820229486 0.0786071508 0.2489118321 0.6673000621 0.7302938236 0.4455866999
0.0782037784 0.2489164822 -2.9525735515 -1.7575846247 89.9773823558 89.9815344220 89.9773823558 0.0782037784 0.2489164822 0.6669057918 0.7317843631 0.4455590594
0.0784941532 0.2488826332 -2.9505409273 -1.7578215677 89.9816469088 89.9811397405 89.9811397405 0.0784941532 0.2488826332 0.6672323068 0.7319836315 0.4452829326
0.0785067879 0.2488893671 -2.9504524844 -1.7577744302 89.9824292997 89.9809906584 89.9809906584 0.0785067879 0.2488893671 0.6672790777 0.7305878079 0.4453801402
0.0784941532 0.2488608716 -2.9505409273 -1.7579738988 89.9876039604 89.9807434452 89.9807434452 0.0784941532 0.2488608716 0.6676845453 0.7313566173 0.4463746924
0.0787944027 0.2489405561 -2.9484391810 -1.7574161072 89.9813638657 89.9806859256 89.9806859256 0.0787944027 0.2489405561 0.6671709168 0.7322233029 0.4451602513
0.0787846192 0.2489145618 -2.9485076653 -1.7575980671 89.9808458239 89.9796587894 89.9796587894 0.0787846192 0.2489145618 0.6671740241 0.7302600597 0.4452159896
0.0786596086 0.2489244450 -2.9493827401 -1.7575288853 89.9865305789 89.9789410249 89.9789410249 0.0786596086 0.2489244450 0.6676043855 0.7302586483 0.4459262254
0.0787488866 0.2489094735 -2.9487577941 -1.7576336854 89.9868172316 89.9785613750 89.9785613750 0.0787488866 0.2489094735 0.6676458059 0.7316182507 0.4452765802
0.0787969533 0.2489349250 -2.9484213270 -1.7574555250 89.9826821852 89.9782547664 89.9782547664 0.0787969533 0.2489349250 0.6674085617 0.7314113584 0.4447559953
0.0784696812 0.2488913703 -2.9507122318 -1.7577604079 89.9813264467 89.9776901240 89.9776901240 0.0784696812 0.2488913703 0.6674448466 0.7303109890 0.4458293884
0.0784446176 0.2488614050 -2.9508876769 -1.7579701651 89.9814406599 89.9766051113 89.9766051113 0.0784446176 0.2488614050 0.6675278115 0.7304891023 0.4457661325
0.0784627885 0.2488667800 -2.9507604805 -1.7579325398 89.9754820531 89.9764775609 89.9754820531 0.0784627885 0.2488667800 0.6671674004 0.7325042434 0.4453793664
0.0785301936 0.2488867545 -2.9502886449 -1.7577927185 89.9763329957 89.9764679179 89.9763329957 0.0785301936 0.2488867545 0.6671740241 0.7325042434 0.4452795314
0.0788615576 0.2488847545 -2.9479690970 -1.7578067182 89.9795883392 89.9763934142 89.9763934142 0.0788615576 0.2488847545 0.6673563152 0.7302890464 0.4454695661
0.0785601122 0.2488955697 -2.9500792149 -1.7577310123 89.9786999492 89.9752128153 89.9752128153 0.0785601122 0.2488955697 0.6673563152 0.7302938236 0.4453879030
0.0785501240 0.2488830082 -2.9501491318 -1.7578189425 89.9834795873 89.9742671861 89.9742671861 0.0785501240 0.2488830082 0.6677190565 0.7312403906 0.4450585292
0.0785360431 0.2489040230 -2.9502476980 -1.7576718387 89.9816908080 89.9740777972 89.9740777972 0.0785360431 0.2489040230 0.6676303632 0.7303032646 0.4458696319
0.0787264024 0.2489035126 -2.9489151832 -1.7576754120 89.9846571702 89.9735230315 89.9735230315 0.0787264024 0.2489035126 0.6677440206 0.7302685418 0.4457876962
0.0785409560 0.2489080350 -2.9502133083 -1.7576437549 89.9814955061 89.9734826769 89.9734826769 0.0785409560 0.2489080350 0.6676468462 0.7302856981 0.4459366539
0.0787633884 0.2489137834 -2.9486562815 -1.7576035159 89.9863305697 89.9729701718 89.9729701718 0.0787633884 0.2489137834 0.6679032032 0.7306384477 0.4458054581
0.0788029863 0.2489030108 -2.9483790956 -1.7576789247 89.9828621248 89.9717005610 89.9717005610 0.0788029863 0.2489030108 0.6677789258 0.7317348781 0.4453833852
