# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.0867417779 0.4659083572 -2.8928075544 -0.2386414995 71.5159580525 60.1483769268 60.1483769268 0.0867417779 0.4659083572 0.4001628758 0.7414026495 0.4453789015
0.0867417779 0.4659083572 -2.8928075544 -0.2386414995 71.5159580525 60.1483769268 60.1483769268 0.0867417779 0.4659083572 0.4001628758 0.7414026495 0.4453789015
0.0879112616 0.4655701072 -2.8846211690 -0.2410092493 71.1599168838 63.5780777700 63.5780777700 0.0879112616 0.4655701072 0.4429587934 0.7254866795 0.4535242105
0.0790068829 0.4594012808 -2.9469518194 -0.2841910347 69.9991490179 81.3494024110 69.9991490179 0.0790068829 0.4594012808 0.4310936159 0.7240692206 0.4237455660
0.7586116277 0.7931341873 1.8102813937 2.0519393111 64.4129622516 3.9790506388 3.9790506388 0.7586116277 0.7931341873 0.5343702394 0.6690190014 0.6820268927
0.7586116277 0.7931341873 1.8102813937 2.0519393111 64.4129622516 3.9790506388 3.9790506388 0.7586116277 0.7931341873 0.5343702394 0.6690190014 0.6820268927
0.0874440525 0.4552995260 -2.8878916322 -0.3129033183 61.4559249744 54.1110414149 54.1110414149 0.0874440525 0.4552995260 0.4473691253 0.7124946415 0.4168167921
0.0856936158 0.4651499107 -2.9001446894 -0.2439506253 60.5899044656 59.6584988908 59.6584988908 0.0856936158 0.4651499107 0.4361123170 0.7139047733 0.4117800521
0.0714395134 0.4766734080 -2.9999234064 -0.1632861437 59.6212253673 51.3275029906 51.3275029906 0.0714395134 0.4766734080 0.4238889087 0.7355641006 0.4279025928
0.0718903048 0.4520618389 -2.9967678661 -0.3355671280 53.5895596595 63.2920053401 53.5895596595 0.0718903048 0.4520618389 0.4296895976 0.7279418135 0.4375233792
0.0823822346 0.4543684666 -2.9233243579 -0.3194207341 52.8841760099 51.9480026007 51.9480026007 0.0823822346 0.4543684666 0.4547372963 0.7249959439 0.4693760840
0.0964679508 0.4442058474 -2.8247243442 -0.3905590682 50.7461899072 51.8154632574 50.7461899072 0.0964679508 0.4442058474 0.4124828853 0.7429819132 0.4476834976
0.0919017902 0.4476423086 -2.8566874685 -0.3665038397 48.5091747801 37.2717967198 37.2717967198 0.0919017902 0.4476423086 0.4451043458 0.7118190369 0.4443535443
0.0823857691 0.4575569313 -2.9232996162 -0.2971014807 47.2785424647 77.4940282177 47.2785424647 0.0823857691 0.4575569313 0.4330423325 0.7360925887 0.4339211111
0.0995531871 0.4524768638 -2.8031276906 -0.3326619536 45.0171759316 23.0006790812 23.0006790812 0.0995531871 0.4524768638 0.4587332886 0.7113936198 0.4301761595
0.0693195912 0.4667106043 -3.0147628617 -0.2330257702 42.0098770220 66.4867033852 42.0098770220 0.0693195912 0.4667106043 0.4385461424 0.7210703697 0.4319024400
0.0739805649 0.4514461306 -2.9821360458 -0.3398770859 42.0045420358 74.0101495043 42.0045420358 0.0739805649 0.4514461306 0.4382793487 0.7336950762 0.4365560945
0.0755929941 0.4869103321 -2.9708490415 -0.0916276751 41.4215788182 24.3567832205 24.3567832205 0.0755929941 0.4869103321 0.3852812824 0.7536842210 0.4473801914
0.0929220196 0.4421622208 -2.8495458626 -0.4048644547 40.1472752449 51.6034548497 40.1472752449 0.0929220196 0.4421622208 0.4100271936 0.7448730059 0.4578529763
0.0871856482 0.4468331540 -2.8897004627 -0.3721679218 38.6379283915 49.4170623124 38.6379283915 0.0871856482 0.4468331540 0.4009885676 0.7521713061 0.4588916622
0.0982882952 0.4759752507 -2.8119819337 -0.1681732453 38.1141713410 36.3473619916 36.3473619916 0.0982882952 0.4759752507 0.4376818619 0.7353984457 0.4899501901
0.0830835566 0.4476415353 -2.9184151037 -0.3665092532 37.6932519514 19.1746318440 19.1746318440 0.0830835566 0.4476415353 0.4742682496 0.7170605293 0.4745429949
0.0871856482 0.4569088084 -2.8897004627 -0.3016383414 37.6105517711 63.5264697958 37.6105517711 0.0871856482 0.4569088084 0.4497324417 0.7308640039 0.4897616769
0.0790921404 0.4412889745 -2.9463550174 -0.4109771785 37.1812103704 29.7680966802 29.7680966802 0.0790921404 0.4412889745 0.4668712473 0.7144457366 0.4607467872
0.0797063933 0.4555214999 -2.9420552468 -0.3113495007 37.0846210896 31.6421505763 31.6421505763 0.0797063933 0.4555214999 0.3970760185 0.7398370441 0.4292085150
0.0828826934 0.5012436444 -2.9198211465 0.0087055108 36.4197841887 54.7048031068 36.4197841887 0.0828826934 0.5012436444 0.4197468835 0.7363878671 0.4564473429
0.0851983671 0.4452695403 -2.9036114300 -0.3831132182 36.2793635581 65.8826089661 36.2793635581 0.0851983671 0.4452695403 0.4369883765 0.7146643188 0.4203443623
0.0689124777 0.4517326184 -3.0176126560 -0.3378716711 36.0070565970 24.2719198388 24.2719198388 0.0689124777 0.4517326184 0.4191639531 0.7536250115 0.4606156880
0.1031039512 0.4555214999 -2.7782723413 -0.3113495007 35.9710902420 19.6180441258 19.6180441258 0.1031039512 0.4555214999 0.4572756339 0.7176488178 0.4375352741
0.0842983594 0.4260176050 -2.9099114843 -0.5178767647 35.7379100553 46.7708375451 35.7379100553 0.0842983594 0.4260176050 0.4458146129 0.7335789824 0.4361610737
0.0653677203 0.4734283313 -3.0424259576 -0.1860016806 35.5251721291 54.7959007012 35.5251721291 0.0653677203 0.4734283313 0.4326090770 0.7327239861 0.4549394839
0.0797063933 0.4806840909 -2.9420552468 -0.1352113635 35.4742316251 26.7241499058 26.7241499058 0.0797063933 0.4806840909 0.3791331777 0.7398370441 0.4260181268
0.0746960190 0.5035468136 -2.9771278672 0.0248276952 34.1937464094 22.5288965749 22.5288965749 0.0746960190 0.5035468136 0.3942069006 0.7363646935 0.4358716109
0.0996162388 0.4312749541 -2.8026863281 -0.4810753216 33.9477611708 40.9933684902 33.9477611708 0.0996162388 0.4312749541 0.4448065413 0.7279746446 0.4583313427
0.0915297289 0.4324173573 -2.8592918980 -0.4730784988 33.4421961000 63.7820519675 33.4421961000 0.0915297289 0.4324173573 0.4277537033 0.7303447683 0.4392083868
0.0799613962 0.4922717712 -2.9402702267 -0.0540976014 33.3423848228 50.8689343622 33.3423848228 0.0799613962 0.4922717712 0.4029933391 0.7323011510 0.4498517791
0.0524336015 0.4745562862 -3.1329647896 -0.1781059967 33.3014746178 15.9180237082 15.9180237082 0.0524336015 0.4745562862 0.4200647785 0.7433185277 0.4227913245
0.0915166013 0.4670142862 -2.8593837912 -0.2308999964 32.3006956850 35.1256311839 32.3006956850 0.0915166013 0.4670142862 0.4459048807 0.7290037825 0.4165004530
0.0620407453 0.4749941210 -3.0657147829 -0.1750411530 31.9694839429 40.8321567681 31.9694839429 0.0620407453 0.4749941210 0.4403686065 0.7354244916 0.4366694838
0.0967145933 0.4931295578 -2.8229978469 -0.0480930953 31.8617119340 24.5572577692 24.5572577692 0.0967145933 0.4931295578 0.4369749707 0.7018642608 0.4360369311
0.0484715693 0.4738658752 -3.1606990149 -0.1829388738 31.7524760551 10.7805997935 10.7805997935 0.0484715693 0.4738658752 0.4191888555 0.7513936567 0.4512049474
0.0647036426 0.4580150604 -3.0470745017 -0.2938945771 31.5404727090 14.4071575878 14.4071575878 0.0647036426 0.4580150604 0.3985734257 0.7493743694 0.4477386203
0.0652595119 0.4796918264 -3.0431834168 -0.1421572151 30.2836246500 7.9485159739 7.9485159739 0.0652595119 0.4796918264 0.3664525310 0.7643357320 0.4745535310
0.0890896564 0.4546414803 -2.8763724053 -0.3175096378 29.8134350988 58.7513142602 29.8134350988 0.0890896564 0.4546414803 0.4219202384 0.7348623460 0.4221694107
0.0575424613 0.4874544561 -3.0972027706 -0.0878188072 29.7770625204 22.7040089920 22.7040089920 0.0575424613 0.4874544561 0.4122540708 0.7486597081 0.4306315859
0.0784636653 0.4728590026 -2.9507543431 -0.1899869820 29.4824845344 33.3773875874 29.4824845344 0.0784636653 0.4728590026 0.4571702686 0.7133813419 0.4538683530
0.0926849318 0.4391328908 -2.8512054777 -0.4260697645 29.4114847677 61.8235914681 29.4114847677 0.0926849318 0.4391328908 0.4243185954 0.7248757018 0.4282357000
0.0757698691 0.4882882814 -2.9696109161 -0.0819820304 29.1517807420 37.1894140921 29.1517807420 0.0757698691 0.4882882814 0.4158951868 0.7311104776 0.4672384626
0.0856715099 0.4779842685 -2.9002994306 -0.1541101204 28.7850621207 51.0186780433 28.7850621207 0.0856715099 0.4779842685 0.4260279430 0.7189607284 0.4614833648
0.0759926154 0.4595968202 -2.9680516921 -0.2828222588 28.7440550835 26.2429236246 26.2429236246 0.0759926154 0.4595968202 0.4068986746 0.7389955336 0.4928024475
0.1031039512 0.4553266793 -2.7782723413 -0.3127132449 28.1660313042 10.9512827575 10.9512827575 0.1031039512 0.4553266793 0.4812609095 0.7089845549 0.4211126186
0.0787298699 0.4944753844 -2.9488909108 -0.0386723091 28.1471641330 46.1758710476 28.1471641330 0.0787298699 0.4944753844 0.4094295192 0.7343937128 0.4503049330
0.0971718737 0.4229283481 -2.8197968840 -0.5395015631 27.9048083441 24.5025705686 24.5025705686 0.0971718737 0.4229283481 0.4671644512 0.7222878847 0.4719990314
0.0624271381 0.4719269339 -3.0630100331 -0.1965114625 27.8125322160 22.2111495929 22.2111495929 0.0624271381 0.4719269339 0.4241801583 0.7391592462 0.4601123248
0.0831948025 0.4630297477 -2.9176363828 -0.2587917661 27.2034707327 58.4681649510 27.2034707327 0.0831948025 0.4630297477 0.4428731833 0.7315132893 0.4819644659
0.0928784097 0.4566924043 -2.8498511318 -0.3031531697 27.0832837995 57.5354090965 27.0832837995 0.0928784097 0.4566924043 0.4040848870 0.7543081403 0.4928024475
0.0895838729 0.4567766193 -2.8729128895 -0.3025636651 26.7801335757 55.5255600302 26.7801335757 0.0895838729 0.4567766193 0.4047451781 0.7266765793 0.4261233144
0.0837524264 0.4727125414 -2.9137330155 -0.1910122103 26.4958157125 49.4857252645 26.4958157125 0.0837524264 0.4727125414 0.4369979050 0.7013316033 0.4105932059
0.0830550484 0.4512771363 -2.9186146611 -0.3410600461 26.0083252058 45.9121847710 26.0083252058 0.0830550484 0.4512771363 0.4504362738 0.7082839527 0.4185955752
0.0823096028 0.4604296658 -2.9238327801 -0.2769923391 25.8211267653 46.9014696027 25.8211267653 0.0823096028 0.4604296658 0.4407002803 0.7117282571 0.3940926720
0.0810809471 0.4835353924 -2.9324333705 -0.1152522529 23.6653518255 41.1343750755 23.6653518255 0.0810809471 0.4835353924 0.3982986762 0.7466756996 0.4069225870
0.0601573518 0.4802386388 -3.0788985373 -0.1383295281 23.6500940855 37.1162018637 23.6500940855 0.0601573518 0.4802386388 0.4509245382 0.7124225626 0.4518262872
0.0999788821 0.4526604732 -2.8001478255 -0.3313766874 23.6428596011 55.7089229586 23.6428596011 0.0999788821 0.4526604732 0.4208062782 0.7480405996 0.4949089688
0.1193980202 0.4574168045 -2.6642138586 -0.2980823688 23.2110891512 11.9074640993 11.9074640993 0.1193980202 0.4574168045 0.4480768759 0.7146643188 0.4284019863
0.0687888063 0.4568222910 -3.0184783559 -0.3022439627 23.0128203490 18.1479477735 18.1479477735 0.0687888063 0.4568222910 0.3965573290 0.7484909010 0.4280182612
0.0660888960 0.4878880272 -3.0373777277 -0.0847838093 22.6204560375 39.7494722630 22.6204560375 0.0660888960 0.4878880272 0.4447941010 0.7113936198 0.4273927282
0.1083911785 0.4689843490 -2.7412617508 -0.2171095572 22.3187589316 25.8509896012 22.3187589316 0.1083911785 0.4689843490 0.4052395504 0.7149517756 0.4313621902
0.0590143119 0.4654126786 -3.0868998167 -0.2421112501 22.2642759349 22.1910015396 22.1910015396 0.0590143119 0.4654126786 0.4137852022 0.7461753017 0.4588099952
0.0906863763 0.4867582197 -2.8651953660 -0.0926924620 22.1313052747 33.1308147957 22.1313052747 0.0906863763 0.4867582197 0.4487092968 0.7132535962 0.4312828845
0.0943645283 0.4493249986 -2.8394483020 -0.3547250095 21.8629903455 41.5647275693 21.8629903455 0.0943645283 0.4493249986 0.4419675692 0.7238350254 0.4081914674
0.0989754676 0.4347227772 -2.8071717268 -0.4569405593 21.5657579133 40.7791195324 21.5657579133 0.0989754676 0.4347227772 0.4246097817 0.7487149122 0.4876594662
0.0553888859 0.4864869396 -3.1122777988 -0.0945914228 20.7291278491 24.6017778237 20.7291278491 0.0553888859 0.4864869396 0.4332804011 0.7429799921 0.4174025092
0.0993200581 0.4780623808 -2.8047595935 -0.1535633341 20.2023026419 33.4977500663 20.2023026419 0.0993200581 0.4780623808 0.4480223907 0.7275024175 0.4355244063
0.0825770597 0.4666808296 -2.9219605822 -0.2332341931 20.1997107954 51.8589510546 20.1997107954 0.0825770597 0.4666808296 0.4563781365 0.7090384105 0.4121629747
0.1071199935 0.4674700101 -2.7501600455 -0.2277099293 20.0943117061 24.7137770909 20.0943117061 0.1071199935 0.4674700101 0.4164826457 0.7102783655 0.4014106060
0.1072510227 0.4546693576 -2.7492428414 -0.3173144971 20.0142404060 5.0574881833 5.0574881833 0.1072510227 0.4546693576 0.5009557510 0.6832832923 0.4169636598
0.0457580867 0.4638222729 -3.1796933931 -0.2532440894 19.6991168566 9.7828283372 9.7828283372 0.0457580867 0.4638222729 0.4247491678 0.7503673596 0.4712372679
0.0830193685 0.4327875554 -2.9188644204 -0.4704871122 19.5934632718 45.4158689366 19.5934632718 0.0830193685 0.4327875554 0.4643506577 0.7313430163 0.4619131590
0.0963663743 0.4814857069 -2.8254353802 -0.1296000517 19.3874697342 12.7605870414 12.7605870414 0.0963663743 0.4814857069 0.4521109820 0.7032987194 0.4032982971
