# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.9741775313 0.0757052083 3.3192427190 -2.9700635416 10.5638704969 7.6232743431 7.6232743431 0.9741775313 0.0757052083 0.5566116241 0.5131010240 0.4554611950
0.3494819737 0.0516728559 -1.0536261839 -3.1382900085 10.5638704969 3.9112210578 3.9112210578 0.3494819737 0.0516728559 0.7079649358 0.3033474619 0.0961456978
0.8485067844 0.5532499623 2.4395474911 0.3727497364 5.6391117831 5.6391117831 5.6391117831 0.8485067844 0.5532499623 0.3332711534 0.7022455455 0.2765392914
0.5554462405 0.8687681636 0.3881236833 2.5813771453 5.9374199804 5.6391117831 5.6391117831 0.5554462405 0.8687681636 0.6248458613 0.5501333786 0.1024790690
0.8170780913 0.2668925766 2.2195466394 -1.6317519638 5.6391117831 7.6232743431 5.6391117831 0.8170780913 0.2668925766 0.7202805260 0.1764851016 0.0411744769
0.4816955624 0.7023301754 -0.1281310633 1.4163112280 5.6391117831 5.6391117831 5.6391117831 0.4816955624 0.7023301754 0.2045609521 0.1490539883 0.3524618539
0.3956290072 0.1680099900 -0.7305969495 -2.3239300703 5.6391117831 3.8811144885 3.8811144885 0.3956290072 0.1680099900 0.9098916968 0.8058910638 0.1174644494
0.8999959605 0.3282518979 2.7999717238 -1.2022367150 5.6391117831 7.6232743431 5.6391117831 0.8999959605 0.3282518979 0.2233635207 0.5445884225 0.6187399858
0.2075107968 0.8921923265 -2.0474244222 2.7453462855 5.6391117831 4.1155937335 4.1155937335 0.2075107968 0.8921923265 0.0707511460 0.8894967337 0.2619785828
0.7278911497 0.2390730288 1.5952380481 -1.8264887983 5.6391117831 7.6232743431 5.6391117831 0.7278911497 0.2390730288 0.6294906632 0.9926841079 0.1588341012
0.6953173706 0.2580866074 1.3672215943 -1.6933937483 5.6391117831 7.6232743431 5.6391117831 0.6953173706 0.2580866074 0.1757856319 0.5139995815 0.2246274808
