# from_x0 from_x1 to_x0 to_x1 length
0.1890459213 1.2071061025 0.1894814157 1.2076371242 0.0002112876
0.1879498639 1.2075852832 0.1890459213 1.2071061025 0.0003206128
0.1888115412 1.2073653806 0.1890459213 1.2071061025 0.0001180929
0.1890107872 1.2075577665 0.1894814157 1.2076371242 0.0001872650
0.1896338298 1.2070446545 0.1894814157 1.2076371242 0.0002821232
0.1889839937 1.2073425904 0.1890459213 1.2071061025 0.0001491500
0.1895618779 1.2069932018 0.1890459213 1.2071061025 0.0002345728
0.1883076131 1.2077591330 0.1879498639 1.2075852832 0.0001091208
0.1903722380 1.2073297472 0.1895618779 1.2069932018 0.0002614673
0.1897217849 1.2070136567 0.1895618779 1.2069932018 0.0000828512
0.1895105608 1.2075496498 0.1895618779 1.2069932018 0.0000928214
0.1886819034 1.2072737891 0.1890459213 1.2071061025 0.0000996604
0.1888115412 1.2077614478 0.1886819034 1.2072737891 0.0000746492
0.1888055521 1.2077295701 0.1888115412 1.2077614478 0.0000808085
0.1885794476 1.2069779404 0.1888115412 1.2073653806 0.0001336429
0.1885326180 1.2073345540 0.1889839937 1.2073425904 0.0000835961
0.1889176777 1.2073994831 0.1888115412 1.2077614478 0.0001241978
0.1891031915 1.2075852832 0.1888115412 1.2077614478 0.0000906087
0.1876170438 1.2076327846 0.1879498639 1.2075852832 0.0000930906
0.1888351151 1.2072799907 0.1889176777 1.2073994831 0.0000587168
0.1885326180 1.2073345540 0.1885326180 1.2073345540 0.0000418266
0.1890107872 1.2075577665 0.1891031915 1.2075852832 0.0000377440
0.1891080492 1.2076750068 0.1891031915 1.2075852832 0.0000282767
0.1883503292 1.2071639923 0.1886819034 1.2072737891 0.0000950796
0.1880790039 1.2078607166 0.1879498639 1.2075852832 0.0001208828
0.1895056606 1.2078476230 0.1897217849 1.2070136567 0.0001435217
0.1891787069 1.2074171998 0.1895105608 1.2075496498 0.0000956594
0.1882643896 1.2079919099 0.1880790039 1.2078607166 0.0000649581
0.1897167622 1.2077295701 0.1895056606 1.2078476230 0.0000891016
0.1890032465 1.2074139118 0.1888351151 1.2072799907 0.0000901431
0.1899635224 1.2073297472 0.1897167622 1.2077295701 0.0001038643
0.1891320559 1.2076235467 0.1891787069 1.2074171998 0.0000819468
0.1895056606 1.2078476230 0.1895105608 1.2075496498 0.0000631628
