# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.7751592414 0.3290917595 1.9261146897 -1.1963576836 2.8999375370 4.1736141783 2.8999375370 0.7751592414 0.3290917595 0.6107674659 0.1979201232 0.9992827613
0.7810731896 0.3058172845 1.9675123270 -1.3592790085 2.8999375370 4.1098639150 2.8999375370 0.7810731896 0.3058172845 0.8769230534 0.5854784392 0.8327000122
0.6947961590 0.8808194562 1.3635731133 2.6657361931 4.1098639150 4.1098639150 4.1098639150 0.6947961590 0.8808194562 0.3392835886 0.0347914633 0.2150259802
0.6578335168 0.2246789164 1.1048346173 -1.9272475853 2.8999375370 3.6843573464 2.8999375370 0.6578335168 0.2246789164 0.9801321209 0.8694956808 0.7862198092
0.4406254412 0.5895244545 -0.4156219118 0.6266711815 4.1098639150 4.1736141783 4.1098639150 0.4406254412 0.5895244545 0.8590617373 0.2340924442 0.8351012866
0.3127432001 0.6365572879 -1.3107975996 0.9559010151 4.1098639150 4.1736141783 4.1098639150 0.3127432001 0.6365572879 0.9348991236 0.1416400501 0.2733228142
0.9497881102 0.6624789336 3.1485167716 1.1373525352 4.1098639150 3.1153563538 3.1153563538 0.9497881102 0.6624789336 0.2912969636 0.6931457436 0.9628062738
0.9549367497 0.2624731443 3.1845572477 -1.6626879901 2.8999375370 3.4361004697 2.8999375370 0.9549367497 0.2624731443 0.4890099521 0.7065498125 0.9923588709
0.2207638649 0.4102409021 -1.9546529459 -0.6283136851 4.1098639150 4.1736141783 4.1098639150 0.2207638649 0.4102409021 0.8306912268 0.4258482468 0.1594537755
0.7865258071 0.6596072720 2.0056806495 1.1172509038 4.1098639150 4.1098639150 4.1098639150 0.7865258071 0.6596072720 0.3465556927 0.3984146935 0.8169905887
0.4848615387 0.7569448700 -0.1059692288 1.7986140901 4.1098639150 4.1736141783 4.1098639150 0.4848615387 0.7569448700 0.6915579102 0.0973649354 0.0028983180
0.6016191566 0.8307735967 0.7113340963 2.3154151770 4.1098639150 4.1736141783 4.1098639150 0.6016191566 0.8307735967 0.8386537551 0.1562879981 0.2761607537
0.5905641564 0.0587067828 0.6339490949 -3.0890525203 3.1783476813 4.1098639150 3.1783476813 0.5905641564 0.0587067828 0.0601647165 0.8192821912 0.7972092394
0.9079593359 0.3454624487 2.8557153510 -1.0817628594 2.8999375370 3.9656569495 2.8999375370 0.9079593359 0.3454624487 0.8022192873 0.9676022992 0.9088235785
0.6915030416 0.9423811841 1.3405212910 3.0966682884 4.1098639150 4.1098639150 4.1098639150 0.6915030416 0.9423811841 0.0712633591 0.3452194917 0.7998187442
0.7558373794 0.2096932632 1.7908616559 -2.0321471578 2.8999375370 4.1098639150 2.8999375370 0.7558373794 0.2096932632 0.5794550843 0.3099238860 0.5600485309
0.7992817233 0.4354893470 2.0949720629 -0.4515745713 2.8999375370 4.1736141783 2.8999375370 0.7992817233 0.4354893470 0.9273590800 0.2669374220 0.3495747770
0.7884486482 0.0661232832 2.0191405373 -3.0371370173 3.4115227609 4.1098639150 3.4115227609 0.7884486482 0.0661232832 0.8263844701 0.6566451013 0.6250015874
0.1244602296 0.2059374775 -2.6287783929 -2.0584376578 4.1098639150 4.1098639150 4.1098639150 0.1244602296 0.2059374775 0.8099861294 0.6319160123 0.1636478005
0.3544889643 0.2304831724 -1.0185772501 -1.8866177930 4.1098639150 3.6843573464 3.6843573464 0.3544889643 0.2304831724 0.9679710594 0.1619040357 0.0759197293
0.2341160745 0.0482074051 -1.8611874788 -3.1625481640 4.1098639150 3.7760776953 3.7760776953 0.2341160745 0.0482074051 0.9599828402 0.8564463692 0.3410441975
0.5417951288 0.5630885053 0.2925659015 0.4416195373 4.1098639150 4.1098639150 4.1098639150 0.5417951288 0.5630885053 0.4685276858 0.0319871887 0.9040040383
0.4405057971 0.3267783130 -0.4164594204 -1.2125518087 2.8999375370 4.1098639150 2.8999375370 0.4405057971 0.3267783130 0.4770444225 0.5008513783 0.9011199893
0.5090184859 0.6944793538 0.0631294016 1.3613554768 3.7666171869 4.1736141783 3.7666171869 0.5090184859 0.6944793538 0.9732179029 0.2308189503 0.4469361802
0.1753447304 0.8070516895 -2.2725868874 2.1493618267 3.4349168801 4.1098639150 3.4349168801 0.1753447304 0.8070516895 0.3424328022 0.2415579982 0.6833631966
0.0400458076 0.8032677517 -3.2196793468 2.1228742620 3.4349168801 4.1098639150 3.4349168801 0.0400458076 0.8032677517 0.0435665257 0.5978038020 0.4831722476
0.5097946254 0.3725322353 0.0685623779 -0.8922743529 2.8999375370 4.1736141783 2.8999375370 0.5097946254 0.3725322353 0.7318107980 0.7444464627 0.6575720575
0.9527787295 0.8779114693 3.1694511067 2.6453802848 4.1098639150 3.1153563538 3.1153563538 0.9527787295 0.8779114693 0.2625549188 0.7841187611 0.1431236297
0.5852716905 0.0952106753 0.5969018336 -2.8335252728 3.1783476813 4.1098639150 3.1783476813 0.5852716905 0.0952106753 0.0521838316 0.4215658154 0.5060810619
0.5355623433 0.7364036892 0.2489364031 1.6548258247 4.1098639150 2.8955928955 2.8955928955 0.5355623433 0.7364036892 0.8441745919 0.0175594689 0.6491340307
0.9375586056 0.2698432043 3.0629102395 -1.6110975699 2.8999375370 3.9656569495 2.8999375370 0.9375586056 0.2698432043 0.8179471367 0.7398939188 0.7586347500
0.6244661304 0.7096252888 0.8712629128 1.4673770218 4.1098639150 4.1098639150 4.1098639150 0.6244661304 0.7096252888 0.0263809591 0.1500062057 0.7360978324
0.3564243814 0.5551724085 -1.0050293304 0.3862068596 4.1098639150 4.1736141783 4.1098639150 0.3564243814 0.5551724085 0.9421708927 0.2335002179 0.5708131983
0.3625285479 0.0706702287 -0.9623001645 -3.0053083992 4.1098639150 4.1098639150 4.1098639150 0.3625285479 0.0706702287 0.7828420231 0.1894952138 0.5026795627
0.5749212668 0.8658373289 0.5244488674 2.5608613022 4.1098639150 4.1736141783 4.1098639150 0.5749212668 0.8658373289 0.6158112806 0.5104555546 0.2139606158
0.8529419942 0.1918254548 2.4705939594 -2.1572218166 2.8999375370 3.9656569495 2.8999375370 0.8529419942 0.1918254548 0.8326546214 0.4843061812 0.0708446703
0.6873149708 0.7290243197 1.3112047958 1.6031702376 4.1098639150 4.1098639150 4.1098639150 0.6873149708 0.7290243197 0.0089157810 0.3658466943 0.4189372753
0.9429855418 0.7250570522 3.1008987925 1.5753993652 4.1098639150 2.9512252470 2.9512252470 0.9429855418 0.7250570522 0.4253922072 0.7224534812 0.9124024864
0.1887942833 0.4315319594 -2.1784400171 -0.4792762842 4.1098639150 4.1098639150 4.1098639150 0.1887942833 0.4315319594 0.1347139663 0.1129789926 0.9181757512
0.9995092831 0.2894548664 3.4965649814 -1.4738159352 2.8999375370 3.9656569495 2.8999375370 0.9995092831 0.2894548664 0.5425199081 0.4980387042 0.4791164847
0.4896008619 0.8772760367 -0.0727939670 2.6409322570 4.1098639150 4.1098639150 4.1098639150 0.4896008619 0.8772760367 0.4399457085 0.5981488882 0.0247510239
0.3329238735 0.7338839571 -1.1695328858 1.6371876998 4.1098639150 4.1736141783 4.1098639150 0.3329238735 0.7338839571 0.6190949200 0.8879377882 0.2690976253
0.9909888280 0.7695214617 3.4369217961 1.8866502318 4.1098639150 2.9512252470 2.9512252470 0.9909888280 0.7695214617 0.8575780531 0.7870490166 0.2313499246
0.0203140624 0.9996186627 -3.3578015634 3.4973306388 3.4349168801 4.1098639150 3.4349168801 0.0203140624 0.9996186627 0.0440541981 0.1979637933 0.1428097930
0.8683328677 0.5795207183 2.5783300736 0.5566450284 4.1098639150 3.2564079279 3.2564079279 0.8683328677 0.5795207183 0.8031122532 0.1684533553 0.9912809640
0.9948743192 0.5662625095 3.4641202342 0.4638375663 4.1098639150 2.9512252470 2.9512252470 0.9948743192 0.5662625095 0.6427139021 0.7447413491 0.1749063347
0.7501382435 0.3224576462 1.7509677045 -1.2427964765 2.8999375370 4.1736141783 2.8999375370 0.7501382435 0.3224576462 0.9478564177 0.7476360347 0.2380091851
0.4908656326 0.4328300566 -0.0639405716 -0.4701896035 3.1783476813 4.1098639150 3.1783476813 0.4908656326 0.4328300566 0.0179951760 0.2188677523 0.7898243421
0.6063121287 0.5830280284 0.7441849009 0.5811961990 4.1098639150 4.1098639150 4.1098639150 0.6063121287 0.5830280284 0.1728589742 0.9018739323 0.5369455437
0.7382856768 0.8899312686 1.6679997379 2.7295188800 4.1098639150 4.1098639150 4.1098639150 0.7382856768 0.8899312686 0.4673266834 0.7344318887 0.8273540024
0.1961565413 0.4079708484 -2.1269042110 -0.6442040610 4.1098639150 4.1098639150 4.1098639150 0.1961565413 0.4079708484 0.3132456643 0.6875733780 0.0993067319
0.5024503981 0.7974487841 0.0171527870 2.0821414890 4.1098639150 4.1736141783 4.1098639150 0.5024503981 0.7974487841 0.7283626455 0.9675916972 0.1482286934
0.3942865634 0.0675092594 -0.7399940560 -3.0274351844 2.8999375370 4.1098639150 2.8999375370 0.3942865634 0.0675092594 0.5968568224 0.7983867431 0.0021138482
0.8619285945 0.0173315917 2.5335001615 -3.3786788582 2.8999375370 3.9656569495 2.8999375370 0.8619285945 0.0173315917 0.6910060838 0.6770117821 0.4147502615
0.1992774453 0.1058224860 -2.1050578832 -2.7592425983 4.1098639150 4.1098639150 4.1098639150 0.1992774453 0.1058224860 0.6109060307 0.7917995198 0.7031008333
0.6938403403 0.3319657527 1.3568823823 -1.1762397311 2.8999375370 4.1736141783 2.8999375370 0.6938403403 0.3319657527 0.6497234923 0.3884775337 0.0754486421
0.2955176710 0.7680418746 -1.4313763029 1.8762931220 4.1098639150 4.1736141783 4.1098639150 0.2955176710 0.7680418746 0.8378046484 0.1249130264 0.5404706909
0.0405547296 0.0103870007 -3.2161168930 -3.4272909954 4.1098639150 4.1098639150 4.1098639150 0.0405547296 0.0103870007 0.8967977071 0.6342110302 0.2135558044
0.1050623778 0.6821568498 -2.7645633555 1.2750979486 4.1098639150 4.1098639150 4.1098639150 0.1050623778 0.6821568498 0.3546267030 0.4941100143 0.1398167817
0.4908555457 0.3758577349 -0.0640111798 -0.8689958560 2.8999375370 4.1736141783 2.8999375370 0.4908555457 0.3758577349 0.5232131643 0.9303075243 0.8355181163
0.1333684442 0.6298035768 -2.5664208908 0.9086250378 4.1098639150 4.1736141783 4.1098639150 0.1333684442 0.6298035768 0.6394534755 0.1424822032 0.9902646948
0.6600746377 0.6204015487 1.1205224636 0.8428108408 4.1098639150 4.1098639150 4.1098639150 0.6600746377 0.6204015487 0.3854494836 0.4274337955 0.7655111872
0.1494041028 0.3354819615 -2.4541712805 -1.1516262692 4.1098639150 4.1098639150 4.1098639150 0.1494041028 0.3354819615 0.3628483522 0.9569588165 0.0247980869
0.4315306752 0.5551475357 -0.4792852738 0.3860327497 4.1098639150 4.1736141783 4.1098639150 0.4315306752 0.5551475357 0.8019123970 0.7913130685 0.6613443316
0.8227179438 0.0498870484 2.2590256065 -3.1507906614 2.8999375370 3.9656569495 2.8999375370 0.8227179438 0.0498870484 0.5325613273 0.2160605352 0.4859686145
0.2243263708 0.0935715496 -1.9297154046 -2.8449991529 4.1098639150 4.1098639150 4.1098639150 0.2243263708 0.0935715496 0.1443067172 0.9194731235 0.6814367411
0.7719196893 0.6564321087 1.9034378254 1.0950247607 4.1098639150 4.1736141783 4.1098639150 0.7719196893 0.6564321087 0.7166300985 0.1729614802 0.4092679356
0.0008943515 0.3233428965 -3.4937395395 -1.2365997242 4.1098639150 4.1736141783 4.1098639150 0.0008943515 0.3233428965 0.6777651058 0.6094538144 0.1184179731
