# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.6014962399 0.8407183017 0.7104736792 2.3850281119 89.9928667646 89.9921053218 89.9921053218 0.6014962399 0.8407183017 0.3371226549 0.6327571668 0.3280785522
0.2790018820 0.1424114923 -1.5469868257 -2.5031195540 89.1876228490 88.5833929534 88.5833929534 0.2790018820 0.1424114923 0.6856598724 0.4142565220 0.4089273387
0.5955854109 0.8495783651 0.6690978761 2.4470485559 78.8915076176 78.1115899666 78.1115899666 0.5955854109 0.8495783651 0.3208188293 0.6484104092 0.3060321156
0.6096262740 0.8383276768 0.7673839182 2.3682937377 77.0586736458 76.3201311163 76.3201311163 0.6096262740 0.8383276768 0.3560975296 0.6100322340 0.3262423942
0.2764192299 0.1413026987 -1.5650653904 -2.5108811089 73.9525377729 75.7585130384 73.9525377729 0.2764192299 0.1413026987 0.6829637008 0.3980398937 0.3839873533
0.2877376819 0.1379373331 -1.4858362267 -2.5344386686 73.1122209025 73.2026536097 73.1122209025 0.2877376819 0.1379373331 0.6871703289 0.4344102728 0.4386842034
0.6051606133 0.8500633862 0.7361242930 2.4504437037 70.4375835496 69.5997281653 69.5997281653 0.6051606133 0.8500633862 0.3240465873 0.6573358173 0.3464628391
0.2699694841 0.1403256842 -1.6102136113 -2.5177202105 79.2401669984 68.6476163718 68.6476163718 0.2699694841 0.1403256842 0.7076061715 0.4185232449 0.4151044525
0.6093699569 0.8278349536 0.7655896982 2.2948446755 68.3739540900 72.6410393004 68.3739540900 0.6093699569 0.8278349536 0.3578526154 0.6116492740 0.3616536325
0.6109398381 0.8475898900 0.7765788666 2.4331292301 70.1962448105 68.3285266638 68.3285266638 0.6109398381 0.8475898900 0.3338416873 0.6251582554 0.2997712353
