# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.5573490972 0.6245707862 0.4014436806 0.8719955031 0.1495401546 0.1495401546 0.1495401546 0.5573490972 0.6245707862 0.3954127557 0.4862346555 0.6457532470
0.1336771315 0.6871840463 -2.5642600792 1.3102883242 0.1495401546 0.1495401546 0.1495401546 0.1336771315 0.6871840463 0.0553234397 0.7526218841 0.3472961943
0.9440123330 0.8375991274 3.1080863309 2.3631938917 0.1080043187 0.1495401546 0.1080043187 0.9440123330 0.8375991274 0.4692624337 0.7477659089 0.4334356972
0.3905441010 0.7750469643 -0.7661912929 1.9253287501 0.1495401546 0.1495401546 0.1495401546 0.3905441010 0.7750469643 0.2569036373 0.9384713751 0.0411453722
0.0588988642 0.4560186374 -3.0877079509 -0.3078695381 0.1495401546 0.1145782481 0.1145782481 0.0588988642 0.4560186374 0.6895140296 0.8207714854 0.8072261276
0.1141456814 0.2785755332 -2.7009802302 -1.5499712675 0.1495401546 0.1495401546 0.1495401546 0.1141456814 0.2785755332 0.1578686896 0.3293439133 0.1993869093
0.8608049138 0.0515876262 2.5256343963 -3.1388866169 0.1495401546 0.1495401546 0.1495401546 0.8608049138 0.0515876262 0.2706681887 0.3317523563 0.4210863913
0.6502463513 0.9784866446 1.0517244592 3.3494065125 0.1495401546 0.1495401546 0.1495401546 0.6502463513 0.9784866446 0.2883759151 0.8882303063 0.7103884369
0.6132608110 0.0527672613 0.7928256770 -3.1306291710 0.1495401546 0.1495401546 0.1495401546 0.6132608110 0.0527672613 0.8313525017 0.7639659599 0.6078120879
0.9836563499 0.2754870704 3.3855944495 -1.5715905075 0.1495401546 0.1495401546 0.1495401546 0.9836563499 0.2754870704 0.9835971909 0.5540690009 0.8058826364
0.4761133681 0.9948248752 -0.1672064235 3.4637741265 0.1495401546 0.1608822746 0.1495401546 0.4761133681 0.9948248752 0.9427241483 0.2404578881 0.2269960591
0.5706924458 0.8230954702 0.4948471208 2.2616682911 0.1495401546 0.1495401546 0.1495401546 0.5706924458 0.8230954702 0.1052562969 0.9774944373 0.0728713449
0.3455917883 0.7443929244 -1.0808574817 1.7107504708 0.1495401546 0.2030319398 0.1495401546 0.3455917883 0.7443929244 0.1147157537 0.1940257552 0.3270954575
0.6102680135 0.5856438438 0.7718760942 0.5995069065 0.1495401546 0.1495401546 0.1495401546 0.6102680135 0.5856438438 0.3228009831 0.6188199523 0.5017253135
0.8622850725 0.5776869063 2.5359955073 0.5438083443 0.1495401546 0.1495401546 0.1495401546 0.8622850725 0.5776869063 0.8183882363 0.8028742363 0.6260692602
0.6960923405 0.6962134263 1.3726463832 1.3734939840 0.1495401546 0.1495401546 0.1495401546 0.6960923405 0.6962134263 0.5727937442 0.2256280996 0.9984901133
0.9477952017 0.5472376561 3.1345664120 0.3306635929 0.1495401546 0.1495401546 0.1495401546 0.9477952017 0.5472376561 0.9239891267 0.2560144940 0.1139282256
0.0497447388 0.6419680625 -3.1517868284 0.9937764376 0.1495401546 0.1495401546 0.1495401546 0.0497447388 0.6419680625 0.4366093852 0.9135296043 0.1945817852
0.2133762596 0.6384384035 -2.0063661831 0.9690688248 0.1495401546 0.1495401546 0.1495401546 0.2133762596 0.6384384035 0.0627562585 0.5346473248 0.7436513812
0.7417265990 0.9335403184 1.6920861932 3.0347822291 0.1080043187 0.1321223043 0.1080043187 0.7417265990 0.9335403184 0.9483168625 0.9849240941 0.1300347584
0.7930334138 0.7685492941 2.0512338967 1.8798450589 0.1495401546 0.1495401546 0.1495401546 0.7930334138 0.7685492941 0.5736651458 0.8814923665 0.7969685452
0.0497656453 0.2600004039 -3.1516404832 -1.6799971726 0.1495401546 0.1495401546 0.1495401546 0.0497656453 0.2600004039 0.9460860388 0.5355250127 0.1928546583
0.5573402299 0.6549326322 0.4013816091 1.0845284252 0.1495401546 0.1495401546 0.1495401546 0.5573402299 0.6549326322 0.6473886678 0.5841608428 0.9272432762
0.7692531815 0.9595538565 1.8847722704 3.2168769957 0.1495401546 0.1495401546 0.1495401546 0.7692531815 0.9595538565 0.9826807519 0.4801205375 0.7012519297
0.3663747154 0.7401699689 -0.9353769925 1.6811897822 0.1495401546 0.1495401546 0.1495401546 0.3663747154 0.7401699689 0.9459284151 0.3438834539 0.7929919876
0.3124584511 0.4133598805 -1.3127908421 -0.6064808364 0.1416165722 0.1495401546 0.1416165722 0.3124584511 0.4133598805 0.7833898895 0.2027525972 0.0977159331
0.3695303006 0.5967585544 -0.9132878960 0.6773098805 0.1495401546 0.1495401546 0.1495401546 0.3695303006 0.5967585544 0.0731658430 0.4533807665 0.4675532314
0.5227059089 0.5217093697 0.1589413623 0.1519655877 0.1495401546 0.1495401546 0.1495401546 0.5227059089 0.5217093697 0.2593609745 0.8765526140 0.8944363080
0.3573866262 0.5028004836 -0.9982936166 0.0196033855 0.1495401546 0.1495401546 0.1495401546 0.3573866262 0.5028004836 0.1831188417 0.4840770861 0.2401793092
0.3639977274 0.3572926698 -0.9520159081 -0.9989513111 0.1495401546 0.1495401546 0.1495401546 0.3639977274 0.3572926698 0.8614875575 0.8871100558 0.0970162737
0.3324335553 0.0757593470 -1.1729651131 -2.9696845713 0.1244209502 0.1228635324 0.1228635324 0.3324335553 0.0757593470 0.1897602250 0.3980544522 0.7968628563
0.3744821266 0.5056170316 -0.8786251139 0.0393192214 0.1495401546 0.1495401546 0.1495401546 0.3744821266 0.5056170316 0.0962169439 0.6312877357 0.3098405571
0.6778312691 0.1769252934 1.2448188838 -2.2615229459 0.1495401546 0.1495401546 0.1495401546 0.6778312691 0.1769252934 0.7540101592 0.3549978179 0.8267972825
0.4994083577 0.4654687937 -0.0041414960 -0.2417184438 0.1495401546 0.1495401546 0.1495401546 0.4994083577 0.4654687937 0.9355081038 0.8960054489 0.0790332643
0.3712488989 0.9209081010 -0.9012577080 2.9463567067 0.1495401546 0.1495401546 0.1495401546 0.3712488989 0.9209081010 0.7089525027 0.2764012451 0.7329833291
0.9916851203 0.4310591163 3.4417958418 -0.4825861857 0.1495401546 0.1495401546 0.1495401546 0.9916851203 0.4310591163 0.8099253610 0.8339307505 0.1800143447
0.9516873000 0.9324333434 3.1618111002 3.0270334036 0.1495401546 0.1495401546 0.1495401546 0.9516873000 0.9324333434 0.5096439695 0.1173383791 0.1121812210
0.5392720177 0.5390637066 0.2749041238 0.2734459463 0.1495401546 0.1495401546 0.1495401546 0.5392720177 0.5390637066 0.4924876264 0.6758267358 0.7998360761
0.2037510473 0.4266975549 -2.0737426686 -0.5131171157 0.1495401546 0.1495401546 0.1495401546 0.2037510473 0.4266975549 0.7900175155 0.9972409612 0.1495811605
0.2945380328 0.8669829195 -1.4382337706 2.5688804367 0.1495401546 0.1495401546 0.1495401546 0.2945380328 0.8669829195 0.3935800627 0.1746628282 0.3607761677
0.4925275451 0.8908338593 -0.0523071843 2.7358370150 0.1080043187 0.1495401546 0.1080043187 0.4925275451 0.8908338593 0.5334681520 0.8698604650 0.4779456658
0.5062573867 0.8181304141 0.0438017069 2.2269128988 0.1495401546 0.1495401546 0.1495401546 0.5062573867 0.8181304141 0.7752412266 0.3328096663 0.5633332402
0.2227030951 0.0296063805 -1.9410783341 -3.2927553367 0.1495401546 0.1495401546 0.1495401546 0.2227030951 0.0296063805 0.0791194014 0.2290466641 0.3554799213
0.4970802826 0.7221214041 -0.0204380215 1.5548498285 0.1495401546 0.1145782481 0.1145782481 0.4970802826 0.7221214041 0.8651108213 0.8655402000 0.6328320951
0.6937119945 0.3901676278 1.3559839613 -0.7688266056 0.2546749231 0.1495401546 0.1495401546 0.6937119945 0.3901676278 0.3002318013 0.3534854098 0.2274566535
0.5584147803 0.0912343446 0.4089034619 -2.8613595875 0.1495401546 0.1495401546 0.1495401546 0.5584147803 0.0912343446 0.9258942889 0.5342983537 0.5424999086
0.8795988500 0.5327221561 2.6571919500 0.2290550926 0.1495401546 0.1495401546 0.1495401546 0.8795988500 0.5327221561 0.1920422531 0.4714865682 0.8176199546
0.9221805623 0.9037519302 2.9552639359 2.8262635117 0.1495401546 0.1495401546 0.1495401546 0.9221805623 0.9037519302 0.6068794624 0.0608580960 0.2689392295
0.9577699627 0.4970439560 3.2043897388 -0.0206923078 0.1495401546 0.1495401546 0.1495401546 0.9577699627 0.4970439560 0.9548841736 0.3141063681 0.3418372474
0.5619758091 0.9023079085 0.4338306638 2.8161553596 0.1495401546 0.1495401546 0.1495401546 0.5619758091 0.9023079085 0.9397954263 0.3964726545 0.1750590442
0.0392393945 0.6347666884 -3.2253242387 0.9433668188 0.1188534098 0.1145782481 0.1145782481 0.0392393945 0.6347666884 0.5379451062 0.5886044226 0.6611530404
0.5838784970 0.9404535527 0.5871494791 3.0831748692 0.1495401546 0.1495401546 0.1495401546 0.5838784970 0.9404535527 0.1761867551 0.4096024232 0.9776664526
0.7940439108 0.8633858929 2.0583073757 2.5437012506 0.1495401546 0.1495401546 0.1495401546 0.7940439108 0.8633858929 0.6173008754 0.5372004702 0.1993566184
0.0280296778 0.8917615055 -3.3037922553 2.7423305387 0.1495401546 0.1495401546 0.1495401546 0.0280296778 0.8917615055 0.8081534392 0.1622722021 0.9717266142
