# from_x0 from_x1 to_x0 to_x1 length
2.4064169611 0.9055863070 2.4064823014 0.9056688465 0.0000161642
2.4063876196 0.9055863070 2.4064169611 0.9055863070 0.0000041916
2.4063607541 0.9055657028 2.4063876196 0.9055863070 0.0000145889
2.4063872564 0.9056123330 2.4063607541 0.9055657028 0.0000139934
2.4063768920 0.9055827841 2.4063876196 0.9055863070 0.0000094138
2.4064659345 0.9055944773 2.4064169611 0.9055863070 0.0000217942
2.4065257908 0.9056895507 2.4064823014 0.9056688465 0.0000121463
2.4064269319 0.9056682625 2.4063872564 0.9056123330 0.0000171496
2.4064169611 0.9056615072 2.4063872564 0.9056123330 0.0000123952
2.4063279186 0.9055657028 2.4063607541 0.9055657028 0.0000133039
2.4063908196 0.9055720703 2.4063768920 0.9055827841 0.0000137172
2.4063524223 0.9055910062 2.4063768920 0.9055827841 0.0000237126
2.4064964493 0.9057463347 2.4065257908 0.9056895507 0.0000115416
2.4064069903 0.9056033468 2.4063607541 0.9055657028 0.0000198760
2.4063818015 0.9056121919 2.4063279186 0.9055657028 0.0000187224
2.4065257908 0.9057647509 2.4064964493 0.9057463347 0.0000245599
2.4064364659 0.9056031649 2.4064659345 0.9055944773 0.0000127491
2.4063279186 0.9055714518 2.4063279186 0.9055657028 0.0000187108
2.4064907568 0.9057060986 2.4064964493 0.9057463347 0.0000108867
2.4062787899 0.9054830633 2.4063768920 0.9055827841 0.0000224658
2.4062487037 0.9054802721 2.4063279186 0.9055657028 0.0000224946
2.4063143409 0.9055940799 2.4064069903 0.9056033468 0.0000186608
2.4063571048 0.9054943956 2.4062787899 0.9054830633 0.0000175699
2.4064350899 0.9057353170 2.4065257908 0.9057647509 0.0000202681
2.4064367483 0.9057534186 2.4065257908 0.9057647509 0.0000164736
2.4063823838 0.9056251746 2.4063818015 0.9056121919 0.0000130247
2.4065586264 0.9057647509 2.4064964493 0.9057463347 0.0000157306
2.4064806593 0.9056723435 2.4064350899 0.9057353170 0.0000292268
2.4063279186 0.9056534062 2.4064659345 0.9055944773 0.0000258751
2.4063279186 0.9055657028 2.4062787899 0.9054830633 0.0000308348
2.4065257908 0.9057903232 2.4065586264 0.9057647509 0.0000130416
2.4063629526 0.9056130229 2.4064806593 0.9056723435 0.0000199807
2.4063279186 0.9055863070 2.4063279186 0.9055657028 0.0000029435
2.4064062843 0.9055825673 2.4063823838 0.9056251746 0.0000200616
2.4065257908 0.9057534186 2.4065586264 0.9057647509 0.0000143365
2.4062460522 0.9054717345 2.4064062843 0.9055825673 0.0000466480
2.4062519244 0.9054737914 2.4062460522 0.9054717345 0.0000226857
2.4065151140 0.9056858110 2.4064907568 0.9057060986 0.0000300451
2.4063703697 0.9056424163 2.4063629526 0.9056130229 0.0000189142
2.4062105754 0.9055742469 2.4062487037 0.9054802721 0.0000354773
2.4070217292 0.9055863070 2.4065257908 0.9056895507 0.0000734967
2.4063741972 0.9056859913 2.4063703697 0.9056424163 0.0000238901
2.4065070726 0.9055088079 2.4062460522 0.9054717345 0.0000583284
2.4065257908 0.9057534186 2.4063279186 0.9055863070 0.0000377862
2.4065497720 0.9057062282 2.4064659345 0.9055944773 0.0000365837
2.4065473522 0.9056534062 2.4065497720 0.9057062282 0.0000260863
2.4062349214 0.9055677210 2.4063143409 0.9055940799 0.0000221220
2.4065159887 0.9056944375 2.4065151140 0.9056858110 0.0000246730
2.4063770473 0.9056483424 2.4063629526 0.9056130229 0.0000146212
2.4065439196 0.9058385607 2.4065257908 0.9057647509 0.0000210676
2.4064652758 0.9054582566 2.4065070726 0.9055088079 0.0000271737
2.4063279186 0.9057534186 2.4064367483 0.9057534186 0.0000187615
2.4062961256 0.9056336308 2.4063279186 0.9056534062 0.0000308558
2.4062937457 0.9055875486 2.4062460522 0.9054717345 0.0000364493
2.4062663346 0.9054325120 2.4062787899 0.9054830633 0.0000265692
2.4063229079 0.9057534186 2.4063279186 0.9057534186 0.0000247042
2.4065257908 0.9057429659 2.4065257908 0.9057903232 0.0000213711
2.4065826076 0.9057175605 2.4065497720 0.9057062282 0.0000143365
2.4062350338 0.9056837419 2.4063143409 0.9055940799 0.0000212435
2.4063999446 0.9057166539 2.4064907568 0.9057060986 0.0000336743
2.4065257908 0.9058566624 2.4065257908 0.9057534186 0.0000195519
2.4065571543 0.9056514018 2.4065826076 0.9057175605 0.0000216784
2.4065423414 0.9056331856 2.4065473522 0.9056534062 0.0000257574
2.4064099759 0.9057131122 2.4065151140 0.9056858110 0.0000293972
2.4064317376 0.9058566624 2.4065439196 0.9058385607 0.0000248382
2.4062018390 0.9055185684 2.4063629526 0.9056130229 0.0000328999
2.4065621651 0.9056716224 2.4065571543 0.9056514018 0.0000257574
2.4066272763 0.9057061290 2.4065473522 0.9056534062 0.0000165957
2.4062424895 0.9055941332 2.4063770473 0.9056483424 0.0000253749
2.4062887350 0.9055673280 2.4062937457 0.9055875486 0.0000257574
2.4063106687 0.9056218121 2.4063629526 0.9056130229 0.0000242550
2.4066346205 0.9058566624 2.4065257908 0.9058566624 0.0000155471
2.4065257908 0.9057534186 2.4065621651 0.9056716224 0.0000127885
2.4063987478 0.9056795384 2.4063770473 0.9056483424 0.0000229959
2.4066944769 0.9056331856 2.4065257908 0.9057429659 0.0000376937
2.4065198330 0.9054831035 2.4066944769 0.9056331856 0.0000417954
2.4064791730 0.9056257273 2.4065423414 0.9056331856 0.0000255408
2.4061012868 0.9055228111 2.4062105754 0.9055742469 0.0000331689
2.4064334904 0.9056836405 2.4063987478 0.9056795384 0.0000140474
2.4064819150 0.9056112867 2.4064791730 0.9056257273 0.0000132421
2.4066296098 0.9058364417 2.4065826076 0.9057175605 0.0000229688
2.4065457967 0.9057084307 2.4065257908 0.9057534186 0.0000511065
2.4065897174 0.9058224787 2.4066346205 0.9058566624 0.0000304315
2.4064018288 0.9057030933 2.4064099759 0.9057131122 0.0000273707
2.4065166804 0.9057166539 2.4065159887 0.9056944375 0.0000277353
2.4061262041 0.9055804982 2.4062350338 0.9056837419 0.0000336082
2.4066669889 0.9055471302 2.4064652758 0.9054582566 0.0000481045
2.4065737049 0.9056155131 2.4064819150 0.9056112867 0.0000250820
2.4065737049 0.9056420514 2.4065737049 0.9056155131 0.0000037912
2.4066926817 0.9056077497 2.4065571543 0.9056514018 0.0000304635
2.4065514443 0.9056514018 2.4064018288 0.9057030933 0.0000291705
2.4064421403 0.9057406626 2.4065166804 0.9057166539 0.0000197763
2.4064593903 0.9056845533 2.4065070726 0.9055088079 0.0000425815
2.4067227119 0.9054238399 2.4065621651 0.9056716224 0.0000499933
2.4064240640 0.9056207284 2.4064819150 0.9056112867 0.0000145441
2.4061006597 0.9054728272 2.4062961256 0.9056336308 0.0000608304
2.4061370057 0.9055559378 2.4061006597 0.9054728272 0.0000496662
2.4060261197 0.9054968359 2.4061006597 0.9054728272 0.0000197763
2.4063567050 0.9057570880 2.4064421403 0.9057406626 0.0000211143
2.4064741440 0.9055632364 2.4064240640 0.9056207284 0.0000461730
