# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.0826190685 0.1124429439 -2.9216665207 -2.7128993925 0.4677188567 0.4677188567 0.4677188567 0.0826190685 0.1124429439 0.6859060121 0.3731951513 0.1598122944 0.2724707075 0.7329074181 0.5954418592 0.3483212146 0.5416155565
0.6218344187 0.2791860871 0.8528409308 -1.5456973903 0.4677188567 0.4677188567 0.4677188567 0.6218344187 0.2791860871 0.4686116760 0.3475374920 0.9775678069 0.7359369474 0.4998618981 0.4406682084 0.5123722932 0.6947417765
0.1183855227 0.6174987805 -2.6713013412 0.8224914638 0.3291609374 0.4677188567 0.3291609374 0.1183855227 0.6174987805 0.7377830870 0.7044412017 0.0932285668 0.0735068982 0.3484964041 0.8963326866 0.7976651144 0.4693856499
0.5267741566 0.3382798423 0.1874190961 -1.1320411038 0.4677188567 0.4677188567 0.4677188567 0.5267741566 0.3382798423 0.7372207662 0.4413811016 0.7888113940 0.8648365017 0.5295645375 0.2013429140 0.0794425893 0.1520035215
0.0675288844 0.2313236853 -3.0272978091 -1.8807342032 0.4677188567 0.4677188567 0.4677188567 0.0675288844 0.2313236853 0.0814734299 0.8450644970 0.9467706968 0.6579655499 0.6362371990 0.1830525578 0.0236871136 0.5446464830
0.8364435920 0.0443816132 2.3551051440 -3.1893287077 0.3907590320 0.4677188567 0.3907590320 0.8364435920 0.0443816132 0.0148124243 0.1608701210 0.8592373552 0.8486206329 0.0788323655 0.3180846584 0.8989099521 0.9826658124
0.3005927682 0.4329195297 -1.3958506228 -0.4695632921 0.4677188567 0.4677188567 0.4677188567 0.3005927682 0.4329195297 0.0689817910 0.1789807743 0.7530481995 0.6994803332 0.7701617112 0.8436132610 0.9102066145 0.5454053495
0.0619419242 0.6251960679 -3.0664065304 0.8763724752 0.4677188567 0.4677188567 0.4677188567 0.0619419242 0.6251960679 0.7930370169 0.4543331474 0.8131299511 0.8456136110 0.6368582879 0.1791314936 0.1841633110 0.0732963420
0.0573123437 0.5889443005 -3.0988135941 0.6226101034 0.3291609374 0.4677188567 0.3291609374 0.0573123437 0.5889443005 0.8930400832 0.9572862676 0.1535022563 0.9742970175 0.6783301297 0.7003599351 0.8403063312 0.0337447457
0.3044843343 0.9091968265 -1.3686096599 2.8643777852 0.3170603689 0.3503227135 0.3170603689 0.3044843343 0.9091968265 0.2234716357 0.8310395648 0.9979565248 0.4776734768 0.9614532904 0.3707389990 0.4383344855 0.4423160165
0.3556186436 0.4430680151 -1.0106694945 -0.3985238945 0.4677188567 0.4677188567 0.4677188567 0.3556186436 0.4430680151 0.6756053025 0.9674931341 0.6253632099 0.9351115651 0.3639888796 0.5880533071 0.6834752133 0.4095984185
0.3493896828 0.5052874447 -1.0542722205 0.0370121128 0.4677188567 0.4677188567 0.4677188567 0.3493896828 0.5052874447 0.3920872485 0.9233383510 0.0532149280 0.0811319765 0.3008646875 0.4926547376 0.4721345800 0.9507452196
0.3927179114 0.6737135859 -0.7509746199 1.2159951014 0.4677188567 0.4677188567 0.4677188567 0.3927179114 0.6737135859 0.5457299132 0.5178630457 0.4102614840 0.2147196862 0.4245394347 0.6617446698 0.7313830278 0.9501633631
0.4039407818 0.2850421824 -0.6724145272 -1.5047047234 0.4677188567 0.4677188567 0.4677188567 0.4039407818 0.2850421824 0.2271129234 0.5148540064 0.9822386320 0.8410318147 0.5014634555 0.6981194051 0.6459419239 0.2441212290
0.6317002641 0.3776636515 0.9219018484 -0.8563544395 0.3907590320 0.4677188567 0.3907590320 0.6317002641 0.3776636515 0.0300131399 0.8047019024 0.1734927603 0.8099420197 0.8840112303 0.9994987364 0.7845302333 0.0812794758
0.6077941476 0.5539280381 0.7545590332 0.3774962668 0.4105471703 0.4170208829 0.4105471703 0.6077941476 0.5539280381 0.7504520840 0.8900341671 0.0344119261 0.7664588230 0.2598082860 0.5064427569 0.9256240152 0.2535086830
0.2695130014 0.1695054605 -1.6134089900 -2.3134617762 0.4677188567 0.4677188567 0.4677188567 0.2695130014 0.1695054605 0.5802331526 0.8242683905 0.0334561554 0.9713618294 0.2707768057 0.8124966975 0.7442664619 0.6923264885
0.6456988612 0.2033249451 1.0198920281 -2.0767253840 0.4677188567 0.4677188567 0.4677188567 0.6456988612 0.2033249451 0.2616319758 0.7292811294 0.3928267604 0.3129380009 0.4144971308 0.5313573220 0.2728648802 0.9701986623
0.2271518407 0.5271036262 -1.9099371149 0.1897253832 0.4677188567 0.3503227135 0.3503227135 0.2271518407 0.5271036262 0.0910739270 0.9538181302 0.5785227148 0.9841523350 0.1056511973 0.9123349433 0.4898343768 0.3606729252
0.1433322655 0.7296993478 -2.4966741415 1.6078954345 0.3291609374 0.4677188567 0.3291609374 0.1433322655 0.7296993478 0.6742758386 0.7045159780 0.4141481741 0.8155068536 0.0768049493 0.7613188623 0.9723830413 0.5588544785
0.5133827253 0.1485338801 0.0936790769 -2.4602628393 0.3907590320 0.4677188567 0.3907590320 0.5133827253 0.1485338801 0.1753636327 0.0996728076 0.0727241186 0.3559927956 0.8205376451 0.6078472525 0.3856302032 0.2158445858
0.8418973984 0.0080789797 2.3932817887 -3.4434471424 0.4677188567 0.4677188567 0.4677188567 0.8418973984 0.0080789797 0.3501422198 0.7251210867 0.3100456802 0.7010916805 0.9804573869 0.4113066431 0.9580325057 0.7729142122
0.4288168215 0.7816682885 -0.4982822492 1.9716780198 0.4677188567 0.4677188567 0.4677188567 0.4288168215 0.7816682885 0.1461330908 0.3576748597 0.7019065030 0.2535782612 0.3715387609 0.0132876457 0.1880859713 0.6667570897
