# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.0826190685 0.1124429439 -2.9216665207 -2.7128993925 0.4677188567 0.4677188567 0.4677188567 0.0826190685 0.1124429439 0.6859060121 0.3731951513 0.1598122944 0.2724707075 0.7329074181 0.5954418592 0.3483212146 0.5416155565
0.6218344187 0.2791860871 0.8528409308 -1.5456973903 0.4677188567 0.4677188567 0.4677188567 0.6218344187 0.2791860871 0.4686116760 0.3475374920 0.9775678069 0.7359369474 0.4998618981 0.4406682084 0.5123722932 0.6947417765
0.6770353464 0.2640371684 1.2392474251 -1.6517398210 0.4677188567 0.4677188567 0.4677188567 0.6770353464 0.2640371684 0.7286172994 0.6253729909 0.4719098299 0.8766379692 0.0516027104 0.6445860322 0.2456950189 0.8644507876
0.5267741566 0.3382798423 0.1874190961 -1.1320411038 0.4677188567 0.4677188567 0.4677188567 0.5267741566 0.3382798423 0.7372207662 0.4413811016 0.7888113940 0.8648365017 0.5295645375 0.2013429140 0.0794425893 0.1520035215
0.0675288844 0.2313236853 -3.0272978091 -1.8807342032 0.4677188567 0.4677188567 0.4677188567 0.0675288844 0.2313236853 0.0814734299 0.8450644970 0.9467706968 0.6579655499 0.6362371990 0.1830525578 0.0236871136 0.5446464830
0.7957175320 0.2918861943 2.0700227241 -1.4567966401 0.4677188567 0.4677188567 0.4677188567 0.7957175320 0.2918861943 0.5173164209 0.1742969496 0.1923806871 0.1280865910 0.7898374512 0.8281764159 0.1111381108 0.7015450414
0.3005927682 0.4329195297 -1.3958506228 -0.4695632921 0.4677188567 0.4677188567 0.4677188567 0.3005927682 0.4329195297 0.0689817910 0.1789807743 0.7530481995 0.6994803332 0.7701617112 0.8436132610 0.9102066145 0.5454053495
0.0619419242 0.6251960679 -3.0664065304 0.8763724752 0.4677188567 0.4677188567 0.4677188567 0.0619419242 0.6251960679 0.7930370169 0.4543331474 0.8131299511 0.8456136110 0.6368582879 0.1791314936 0.1841633110 0.0732963420
0.2897122204 0.3554959928 -1.4720144574 -1.0115280501 0.4677188567 0.4677188567 0.4677188567 0.2897122204 0.3554959928 0.3125921287 0.2067816482 0.3043046093 0.9480790828 0.6586845558 0.4476115392 0.9900578916 0.0238300406
0.8405457928 0.0227926012 2.3838205499 -3.3404517915 0.4677188567 0.4677188567 0.4677188567 0.8405457928 0.0227926012 0.3972201363 0.6535771166 0.8413858528 0.3770767378 0.6635865390 0.5268415843 0.1945095919 0.1674327252
0.3556186436 0.4430680151 -1.0106694945 -0.3985238945 0.4677188567 0.4677188567 0.4677188567 0.3556186436 0.4430680151 0.6756053025 0.9674931341 0.6253632099 0.9351115651 0.3639888796 0.5880533071 0.6834752133 0.4095984185
0.3493896828 0.5052874447 -1.0542722205 0.0370121128 0.4677188567 0.4677188567 0.4677188567 0.3493896828 0.5052874447 0.3920872485 0.9233383510 0.0532149280 0.0811319765 0.3008646875 0.4926547376 0.4721345800 0.9507452196
0.3927179114 0.6737135859 -0.7509746199 1.2159951014 0.4677188567 0.4677188567 0.4677188567 0.3927179114 0.6737135859 0.5457299132 0.5178630457 0.4102614840 0.2147196862 0.4245394347 0.6617446698 0.7313830278 0.9501633631
0.4039407818 0.2850421824 -0.6724145272 -1.5047047234 0.4677188567 0.4677188567 0.4677188567 0.4039407818 0.2850421824 0.2271129234 0.5148540064 0.9822386320 0.8410318147 0.5014634555 0.6981194051 0.6459419239 0.2441212290
0.3069815690 0.2628821514 -1.3511290168 -1.6598249404 0.4677188567 0.4677188567 0.4677188567 0.3069815690 0.2628821514 0.4174805853 0.0733362870 0.3390533387 0.1058761753 0.4151343895 0.3065777946 0.4336217408 0.0469082373
0.1971442992 0.3306863488 -2.1199899056 -1.1851955586 0.4677188567 0.4677188567 0.4677188567 0.1971442992 0.3306863488 0.3041678847 0.4383526849 0.8899653996 0.8683876194 0.9598281852 0.3084765482 0.3493374907 0.6573713346
0.2695130014 0.1695054605 -1.6134089900 -2.3134617762 0.4677188567 0.4677188567 0.4677188567 0.2695130014 0.1695054605 0.5802331526 0.8242683905 0.0334561554 0.9713618294 0.2707768057 0.8124966975 0.7442664619 0.6923264885
0.6456988612 0.2033249451 1.0198920281 -2.0767253840 0.4677188567 0.4677188567 0.4677188567 0.6456988612 0.2033249451 0.2616319758 0.7292811294 0.3928267604 0.3129380009 0.4144971308 0.5313573220 0.2728648802 0.9701986623
0.2440782274 0.4007344288 -1.7914524085 -0.6948589987 0.4677188567 0.4677188567 0.4677188567 0.2440782274 0.4007344288 0.5816196176 0.0810440965 0.4747837633 0.5514028920 0.5005504591 0.1992923756 0.1386073458 0.5789272312
0.2999936980 0.3872645477 -1.4000441142 -0.7891481664 0.4677188567 0.4677188567 0.4677188567 0.2999936980 0.3872645477 0.4324440410 0.7023339818 0.2356413466 0.0528829548 0.5654983434 0.1440567934 0.6874661790 0.2422401399
0.4857739206 0.1349851162 -0.0995825561 -2.5551041868 0.4677188567 0.4677188567 0.4677188567 0.4857739206 0.1349851162 0.5745337401 0.5374861130 0.6969855086 0.6414515316 0.4601099495 0.2215867962 0.9648320778 0.8994758274
0.8418973984 0.0080789797 2.3932817887 -3.4434471424 0.4677188567 0.4677188567 0.4677188567 0.8418973984 0.0080789797 0.3501422198 0.7251210867 0.3100456802 0.7010916805 0.9804573869 0.4113066431 0.9580325057 0.7729142122
0.4288168215 0.7816682885 -0.4982822492 1.9716780198 0.4677188567 0.4677188567 0.4677188567 0.4288168215 0.7816682885 0.1461330908 0.3576748597 0.7019065030 0.2535782612 0.3715387609 0.0132876457 0.1880859713 0.6667570897
