# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.1155809275 0.3058974491 -2.6909335074 -1.3587178563 0.5476033179 0.4677188567 0.4677188567 0.1155809275 0.3058974491 0.3037548104 0.2365942267 0.6142729502 0.2197548770 0.5695592237 0.5273581260 0.4709439826 0.5512640035
0.1155809275 0.3058974491 -2.6909335074 -1.3587178563 0.5476033179 0.4677188567 0.4677188567 0.1155809275 0.3058974491 0.3037548104 0.2365942267 0.6142729502 0.2197548770 0.5695592237 0.5273581260 0.4709439826 0.5512640035
0.0000000000 0.2709370297 -3.5000000000 -1.6034407924 0.4941754782 0.4677188567 0.4677188567 0.0000000000 0.2709370297 0.2365477828 0.1117404663 0.3086318661 0.5000968847 0.6181037922 0.4674844756 0.5586084345 0.5101767610
0.1380861745 0.3111994117 -2.5333967783 -1.3216041181 0.4814862097 0.4677188567 0.4677188567 0.1380861745 0.3111994117 0.3205513528 0.3095503372 0.6265462681 0.3643917379 0.3606791481 0.4138299038 0.3863966911 0.5913119676
0.0559079272 0.2923493452 -3.1086445095 -1.4535545837 0.4718575856 0.4677188567 0.4677188567 0.0559079272 0.2923493452 0.1866829856 0.2505526708 0.8692367554 0.3183625983 0.5884021039 0.2899216498 0.4967575210 0.5331979916
0.1015304395 0.2555970304 -2.7892869232 -1.7108207873 0.4714039086 0.4677188567 0.4677188567 0.1015304395 0.2555970304 0.3084248527 0.0772533735 0.6099157718 0.5158922093 0.5438484625 0.3710219182 0.4409248167 0.6425695007
0.1477966264 0.2155076980 -2.4654236154 -1.9914461140 0.4694298028 0.4677188567 0.4677188567 0.1477966264 0.2155076980 0.2872860951 0.3283139620 0.3694393296 0.5509903308 0.6119134876 0.4090745925 0.6159926932 0.5506423073
0.0000000000 0.2575462004 -3.5000000000 -1.6971765973 0.4678135253 0.4677188567 0.4677188567 0.0000000000 0.2575462004 0.3218841689 0.2931045805 0.6795272845 0.2777575118 0.4291413799 0.4152577192 0.3923484192 0.7505550373
0.0000000000 0.4263131387 -3.5000000000 -0.5158080293 0.4677299338 0.4677188567 0.4677188567 0.0000000000 0.4263131387 0.0941737990 0.1634615896 0.6515952109 0.2286813001 0.6446560296 0.5077728704 0.6226856911 0.4926606808
0.2248899213 0.5515948845 -1.9257705509 0.3611641914 0.4677196064 0.4677188567 0.4677188567 0.2248899213 0.5515948845 0.2132601773 0.0873389505 0.6202307018 0.3395847786 0.5971232329 0.6478027946 0.7009963785 0.5538476508
0.3196800879 0.0554060733 -1.2622393846 -3.1121574867 0.4677188567 0.4677188567 0.4677188567 0.3196800879 0.0554060733 0.2921775506 0.1340621540 0.5788495600 0.2754571652 0.5295705336 0.5149841187 0.6139516898 0.0161538419
0.0991166599 0.7117450174 -2.8061833804 1.4822151219 0.4677188567 0.4677188567 0.4677188567 0.0991166599 0.7117450174 0.6034612291 0.3221508942 0.7558469963 0.5149794684 0.6488528271 0.8596916341 0.0372888684 0.1140575464
0.1156110944 0.3957461840 -2.6907223393 -0.7297767117 0.4677188567 0.4677188567 0.4677188567 0.1156110944 0.3957461840 0.9498017937 0.3465967447 0.6069513267 0.3357209041 0.3521392249 0.9309655395 0.8266693733 0.6685698326
0.1603939480 0.2996133594 -2.3772423642 -1.4027064839 0.4677188567 0.4677188567 0.4677188567 0.1603939480 0.2996133594 0.6680720372 0.1800123244 0.6432038036 0.3216334016 0.9508921125 0.6838218027 0.4408019331 0.4683042985
0.3069815690 0.2628821514 -1.3511290168 -1.6598249404 0.4677188567 0.4677188567 0.4677188567 0.3069815690 0.2628821514 0.4174805853 0.0733362870 0.3390533387 0.1058761753 0.4151343895 0.3065777946 0.4336217408 0.0469082373
0.0402781151 0.2205757263 -3.2180531943 -1.9559699157 0.4677188567 0.4677188567 0.4677188567 0.0402781151 0.2205757263 0.9590495246 0.3013904988 0.4256419165 0.3271442733 0.7369299340 0.9547531249 0.8584708259 0.4485140395
0.3566615720 0.4052880584 -1.0033689958 -0.6629835909 0.4677188567 0.4677188567 0.4677188567 0.3566615720 0.4052880584 0.0998016618 0.5770727709 0.3763499814 0.2005294685 0.7432621956 0.9557418901 0.3314021386 0.5122468578
0.0722515917 0.3282831361 -2.9942388582 -1.2020180471 0.4677188567 0.4677188567 0.4677188567 0.0722515917 0.3282831361 0.1489941300 0.7844699975 0.7457336762 0.1586166286 0.7003892437 0.6712224537 0.7489354683 0.8184483007
0.1946627186 0.2178039506 -2.1373609696 -1.9753723457 0.4677188567 0.4677188567 0.4677188567 0.1946627186 0.2178039506 0.7507494295 0.7426316317 0.4977918202 0.1018326490 0.9049045180 0.4558115536 0.0795153816 0.4360480503
0.3504022201 0.0131799008 -1.0471844593 -3.4077406942 0.4677188567 0.4677188567 0.4677188567 0.3504022201 0.0131799008 0.3661842551 0.6196290031 0.3180408618 0.2039598518 0.3980271194 0.9672526656 0.6948094669 0.3858221296
0.1874176215 0.4509529884 -2.1880766494 -0.3433290814 0.4677188567 0.4677188567 0.4677188567 0.1874176215 0.4509529884 0.5020701605 0.3462927761 0.6202944329 0.3770889046 0.7497155752 0.2339639378 0.4583448376 0.5429854114
0.0819705497 0.2904554510 -2.9262061522 -1.4668118429 0.4677188567 0.5208584085 0.4677188567 0.0819705497 0.2904554510 0.8204695313 0.1787240634 0.5333522269 0.3636277167 0.6871984648 0.4370232549 0.7017200553 0.4759449833
