# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.2915314280 0.0537475652 -1.4592800038 -3.1237670438 0.0000000000 0.0000000129 0.0000000000 0.2915314280 0.0537475652 0.4161201329 0.6644314992 0.5233365622 0.6134288890 0.1868333578 0.9725359144 0.9358903892 0.9419252317
0.0847025487 0.5747601411 -2.9070821589 0.5233209878 0.0000000000 0.0004656868 0.0000000000 0.0847025487 0.5747601411 0.6344740390 0.9455119107 0.8474134942 0.5834056531 0.1523955373 0.1702089347 0.3021039421 0.5268148455
0.9856917632 0.3926387975 3.3998423421 -0.7515284174 0.0000000261 0.0000215868 0.0000000261 0.9856917632 0.3926387975 0.1346469666 0.5238227110 0.8497072221 0.8638830894 0.9941326203 0.6616374593 0.6488598430 0.2831693974
0.4130348256 0.3713396192 -0.6087562205 -0.9006226655 0.0000000000 0.0000000129 0.0000000000 0.4130348256 0.3713396192 0.6189365169 0.8568245853 0.2044398122 0.5982401847 0.4844109800 0.4786471609 0.4127711204 0.9852111005
0.3737661430 0.7052901049 -0.8836369990 1.4370307346 0.0000000000 0.0000000064 0.0000000000 0.3737661430 0.7052901049 0.3626303167 0.7500843646 0.6885849786 0.5667742765 0.8683265671 0.7400264906 0.1644748226 0.1762038988
0.8257526424 0.6896217619 2.2802684965 1.3273523332 0.0000000000 0.0000005915 0.0000000000 0.8257526424 0.6896217619 0.1419328222 0.7134404963 0.6195057382 0.5676895473 0.6812973898 0.1892265068 0.7769293381 0.9647856022
0.1711359863 0.2988887061 -2.3020480956 -1.4077790573 0.0000000000 0.0000000129 0.0000000000 0.1711359863 0.2988887061 0.3192430776 0.5202466438 0.8500634276 0.9903822384 0.0612642431 0.2508427800 0.2542446215 0.4097179378
0.1056001849 0.8640393378 -2.7607987056 2.5482753646 0.0000000000 0.0000000000 0.0000000000 0.1056001849 0.8640393378 0.8404355791 0.5876300950 0.4154350734 0.8992813832 0.3138946742 0.2545631579 0.5017815998 0.9595329831
0.7113084188 0.6718592608 1.4791589317 1.2030148255 0.0000000000 0.0000000000 0.0000000000 0.7113084188 0.6718592608 0.9168097772 0.5798954561 0.0581477015 0.8907986905 0.2447701817 0.9568300549 0.8491518344 0.5127534363
0.8941356839 0.4464265063 2.7589497876 -0.3750144562 0.0000729309 0.0000000000 0.0000000000 0.8941356839 0.4464265063 0.8118043802 0.3886219734 0.4973025661 0.5406038181 0.7195280097 0.7513221943 0.4021734012 0.2247499385
0.1859110937 0.6109505815 -2.1986223442 0.7766540705 0.0000000000 0.0000000064 0.0000000000 0.1859110937 0.6109505815 0.3334285915 0.8874361340 0.7427183383 0.7044797329 0.5771836210 0.1723026937 0.9141606991 0.1744622645
0.6950164255 0.5650360988 1.3651149786 0.4552526916 0.0000000000 0.0000000006 0.0000000000 0.6950164255 0.5650360988 0.7838972327 0.0746101336 0.1768450514 0.5454230009 0.1890219491 0.9861582906 0.3131257152 0.2662166721
0.8575717332 0.6115047594 2.5030021326 0.7805333161 0.0000000000 0.0000000006 0.0000000000 0.8575717332 0.6115047594 0.8650570201 0.2047162134 0.3042884862 0.0250164275 0.3197300423 0.1369010484 0.5204019876 0.4622295999
0.3130301947 0.5618003997 -1.3087886372 0.4326027977 0.0000000000 0.0000000000 0.0000000000 0.3130301947 0.5618003997 0.6200773753 0.1715041927 0.6933172201 0.3568730878 0.9482195050 0.9637636348 0.5432001550 0.9398361188
0.7068587881 0.4017382635 1.4480115170 -0.6878321552 0.0000729309 0.0000000314 0.0000000314 0.7068587881 0.4017382635 0.9306155080 0.2473645127 0.3003040252 0.5770703856 0.5440223815 0.6454905394 0.6186153294 0.7288140062
0.4994748062 0.9411060427 -0.0036763567 3.0877422987 0.0000004261 0.0000005915 0.0000004261 0.4994748062 0.9411060427 0.1786014143 0.7322928089 0.4818963112 0.0316796199 0.9481185104 0.7100716786 0.6796233578 0.3769197733
0.7487055918 0.0252271987 1.7409391428 -3.3234096093 0.0000000000 0.0000215868 0.0000000000 0.7487055918 0.0252271987 0.4829815481 0.6753845772 0.9472119136 0.4702139997 0.8610279973 0.3595872131 0.9719758474 0.9269124535
0.6481694754 0.3200028467 1.0371863276 -1.2599800733 0.0000000000 0.0000000000 0.0000000000 0.6481694754 0.3200028467 0.7049243376 0.7388802084 0.7551193890 0.0092322310 0.6354629540 0.7085564464 0.3630020126 0.9806162998
0.9053711458 0.6950717354 2.8375980203 1.3655021481 0.0000000000 0.0000005915 0.0000000000 0.9053711458 0.6950717354 0.3947107421 0.6143308233 0.6927223797 0.8256775125 0.3976354178 0.8642984872 0.6366741935 0.2681387715
0.9293331927 0.4128751880 3.0053323490 -0.6098736841 0.0000000261 0.0000215868 0.0000000261 0.9293331927 0.4128751880 0.0890983391 0.6519948551 0.0883439517 0.3670683369 0.9200190647 0.1304781237 0.4924416479 0.8164141278
0.3900248185 0.7782184897 -0.7698262702 1.9475294276 0.0000004261 0.0000000064 0.0000000064 0.3900248185 0.7782184897 0.1446413022 0.3773368906 0.3235283288 0.3273818467 0.0070247446 0.0845859285 0.0899001219 0.6984513787
0.2710716815 0.3324927347 -1.6024982295 -1.1725508569 0.0000000000 0.0000000000 0.0000000000 0.2710716815 0.3324927347 0.5362951068 0.1144750283 0.3635525760 0.2383971700 0.5349205680 0.5080831910 0.9196476941 0.1523844841
0.6415258249 0.5499775043 0.9906807741 0.3498425303 0.0000000000 0.0000005915 0.0000000000 0.6415258249 0.5499775043 0.0597626684 0.9867973362 0.4120530267 0.5189235632 0.4914430783 0.4909828310 0.9177162488 0.4785997907
0.6401077800 0.6176531523 0.9807544597 0.8235720663 0.0000000000 0.0000005915 0.0000000000 0.6401077800 0.6176531523 0.1663895920 0.8555342681 0.8315205571 0.7770168403 0.8675474816 0.2339941292 0.5785692916 0.2879136333
0.6385144356 0.8292912974 0.9696010494 2.3050390817 0.0000000000 0.0000000000 0.0000000000 0.6385144356 0.8292912974 0.6378829990 0.8399936260 0.7130961217 0.4863322381 0.6503024187 0.2685828549 0.6934666880 0.5526998968
0.4726937277 0.5991106218 -0.1911439058 0.6937743527 0.0000000000 0.0000000000 0.0000000000 0.4726937277 0.5991106218 0.7971318286 0.0002538643 0.4207662239 0.2617691644 0.5220791524 0.8432145548 0.9290132278 0.1413110438
0.4656934161 0.7771721733 -0.2401460873 1.9402052134 0.0000000000 0.0000000000 0.0000000000 0.4656934161 0.7771721733 0.8560846409 0.6724294707 0.7118802049 0.0930367292 0.5803793583 0.5786861229 0.5845102790 0.9349048040
0.9264640672 0.4272497881 2.9852484702 -0.5092514836 0.0000000000 0.0000215868 0.0000000000 0.9264640672 0.4272497881 0.4222004850 0.9710527173 0.6803856529 0.3015014701 0.8945891424 0.4904237256 0.4326392013 0.8847231318
0.2595554264 0.8473386307 -1.6831120149 2.4313704151 0.0000000000 0.0000000064 0.0000000000 0.2595554264 0.8473386307 0.3751056829 0.4699833119 0.5365484865 0.1854368901 0.0177332142 0.2233411594 0.5400227692 0.9967807005
0.9763548620 0.4551929299 3.3344840343 -0.3136494910 0.0000729309 0.0000066786 0.0000066786 0.9763548620 0.4551929299 0.3370923388 0.0786856917 0.5800621794 0.8689169801 0.7381335918 0.2191507546 0.3306162823 0.3990462263
