# from_x0 from_x1 to_x0 to_x1 length
1.7436553874 -2.3168097521 1.5466729070 -1.9884617373 0.3428278247
1.1212982196 -3.0016742944 1.7436553874 -2.3168097521 0.3900877015
0.9329910190 -1.3985897361 1.5466729070 -1.9884617373 0.2508856714
1.2928804200 -0.6973720488 0.9329910190 -1.3985897361 0.3709086592
1.6600589697 -1.4563548417 1.2928804200 -0.6973720488 0.3945326909
2.4049612436 -2.9051525989 1.7436553874 -2.3168097521 0.5331907609
3.3405138284 -2.8372017886 1.1212982196 -3.0016742944 1.0787902071
2.8909243859 -2.6503870244 1.1212982196 -3.0016742944 1.0647981379
3.0366308438 -3.0927833789 1.1212982196 -3.0016742944 1.0050261975
2.6776593645 -2.4625899798 1.1212982196 -3.0016742944 1.0886812263
3.2862897668 -2.8049880478 1.1212982196 -3.0016742944 1.0783489000
2.6778765622 -2.9976002831 1.1212982196 -3.0016742944 1.0588114405
2.9526126713 -2.8100896614 1.1212982196 -3.0016742944 1.0550407764
2.8647896412 -3.0769062561 1.1212982196 -3.0016742944 1.0399178811
3.1253294575 -2.9889864801 1.1212982196 -3.0016742944 1.0997070627
3.3712607822 -3.0689182243 1.1212982196 -3.0016742944 0.9956174434
2.8963544170 -2.5657362905 1.1212982196 -3.0016742944 1.0665700554
2.2193483590 -1.4199654406 2.4049612436 -2.9051525989 0.5335028584
3.2839897657 -2.4694309292 1.1212982196 -3.0016742944 1.1166210556
3.1016201718 -2.9809427793 1.1212982196 -3.0016742944 1.0797873140
1.9123021582 -1.1286208221 2.4049612436 -2.9051525989 0.5801661362
2.7414468354 -2.3915465596 1.1212982196 -3.0016742944 1.0754026949
3.0072354118 -2.6987294534 1.1212982196 -3.0016742944 1.0930753868
3.3073625284 -2.9129539865 1.1212982196 -3.0016742944 1.0187959467
0.8479760730 -1.4208086989 2.4049612436 -2.9051525989 0.9078640621
3.1189546444 -2.6370485046 1.1212982196 -3.0016742944 1.0713288791
3.3541045949 -2.6187891729 1.1212982196 -3.0016742944 1.1229923434
0.8216401764 -1.9626443721 2.4049612436 -2.9051525989 0.8071149388
0.8313147244 -2.8784218033 1.1212982196 -3.0016742944 0.7994973741
0.0758143749 -3.4212374368 1.1212982196 -3.0016742944 1.1329397992
1.5209456157 -1.4218783612 2.4049612436 -2.9051525989 0.6829662262
3.2228183673 -2.0699551381 1.1212982196 -3.0016742944 1.1074793857
2.3051813679 -1.3862220107 2.4049612436 -2.9051525989 0.5658786749
0.4541690111 -0.7367844807 1.6600589697 -1.4563548417 1.3037543656
3.4016761212 -3.2741722156 1.6600589697 -1.4563548417 1.1114913790
3.1683867769 -3.1229156412 1.1212982196 -3.0016742944 1.0702115715
3.5000000000 -1.4768981227 1.6600589697 -1.4563548417 1.0271305413
2.4073160086 -1.4059700358 1.6600589697 -1.4563548417 1.1157267257
2.4882908487 -3.2413073860 1.1212982196 -3.0016742944 1.0657510940
3.2453776195 -3.5000000000 2.4049612436 -2.9051525989 0.7253697343
3.2499598844 -2.9394904235 1.1212982196 -3.0016742944 1.1215016575
0.1832551606 -2.4678417037 1.6600589697 -1.4563548417 1.0205252966
1.3536267222 -2.6050922731 1.1212982196 -3.0016742944 0.9600312452
3.5000000000 -1.3135601582 2.4049612436 -2.9051525989 0.8753311547
1.5060872183 -1.5987671374 1.6600589697 -1.4563548417 0.8405914048
1.9045911973 -1.6809841552 1.6600589697 -1.4563548417 1.2751978339
2.0665434721 -0.7879127731 2.4049612436 -2.9051525989 1.0507481267
1.4403551319 -1.4717312703 2.4049612436 -2.9051525989 0.8667783496
0.0510688981 -1.3025674256 1.5466729070 -1.9884617373 0.9460534422
2.3937928236 -2.8245489435 1.1212982196 -3.0016742944 1.0101496352
3.1496358411 -2.9160824266 1.1212982196 -3.0016742944 1.0577439709
3.3455786834 -2.9788772412 1.6600589697 -1.4563548417 1.1626858480
3.5000000000 -3.0007407350 1.1212982196 -3.0016742944 1.0059203233
2.5811939081 -2.0945908244 2.4049612436 -2.9051525989 0.5303444550
3.2316607972 -0.7250419761 1.6600589697 -1.4563548417 1.3333629507
3.5000000000 -0.6691133266 1.1212982196 -3.0016742944 0.8496072725
2.0574273665 -0.8213262701 1.6600589697 -1.4563548417 0.9783828488
2.1947223843 -1.2162187351 2.4049612436 -2.9051525989 0.5802763024
2.0382299132 -1.9593667338 2.4049612436 -2.9051525989 0.7478591250
3.1029577309 -3.0068075552 1.1212982196 -3.0016742944 1.0578274141
1.2540595018 -1.5259727058 2.4049612436 -2.9051525989 0.8099492832
3.4665251191 -2.2757782301 1.1212982196 -3.0016742944 1.0377007539
2.6871910215 -1.4240997962 1.7436553874 -2.3168097521 0.6516275561
1.8969364504 -1.2702252127 1.6600589697 -1.4563548417 0.8271231629
3.5000000000 -1.7571346537 2.4049612436 -2.9051525989 1.1437880557
1.3626722188 -0.5066909488 1.6600589697 -1.4563548417 0.4296777772
1.2764897297 -1.7642119813 1.2928804200 -0.6973720488 0.4979204784
1.8590054171 -1.2884605255 2.4049612436 -2.9051525989 0.8371282493
3.0754621645 -1.2065485375 1.6600589697 -1.4563548417 1.4275827930
0.8269607157 -2.9560864085 1.1212982196 -3.0016742944 1.0055634182
2.7817968405 -3.0974279670 2.4049612436 -2.9051525989 1.0849195516
1.7776089652 -1.0984430085 2.4049612436 -2.9051525989 0.5965321957
3.5000000000 -3.2091235164 1.1212982196 -3.0016742944 1.0297449238
1.7634815193 -1.2419339889 1.6600589697 -1.4563548417 0.8264211443
1.6911862176 -0.8086702673 2.4049612436 -2.9051525989 0.7096284857
2.9948971125 -2.6184396804 1.1212982196 -3.0016742944 1.0798723003
1.9577683969 -1.2616610531 2.4049612436 -2.9051525989 0.5695543243
2.3494091939 -1.5952326913 1.6600589697 -1.4563548417 1.2222928782
3.1433510191 -2.9560864085 1.1212982196 -3.0016742944 1.0948233135
3.5000000000 -1.3513064588 1.2928804200 -0.6973720488 1.2989660613
1.4239484882 -1.4778097608 2.4049612436 -2.9051525989 0.8628805954
1.6814624375 -0.9181764214 1.6600589697 -1.4563548417 0.7739638960
2.9458279969 -2.9964689165 1.1212982196 -3.0016742944 1.1013527770
1.5059903646 -1.1518196792 1.6600589697 -1.4563548417 0.8233674076
3.5000000000 -0.9145352397 1.2928804200 -0.6973720488 0.8877838492
2.6258363469 -1.2780340756 2.4049612436 -2.9051525989 0.8835716300
2.8391170065 -3.2812510757 1.1212982196 -3.0016742944 1.0463803297
3.5000000000 -3.0298289714 1.5466729070 -1.9884617373 1.2326766642
2.0857414559 -1.2216595433 1.6600589697 -1.4563548417 1.1677521329
3.5000000000 -0.9720247987 1.2928804200 -0.6973720488 0.8754174148
2.2245696944 -3.5000000000 2.4049612436 -2.9051525989 1.0905389961
3.3230471060 -2.7668099686 1.1212982196 -3.0016742944 1.2363961487
3.4512336659 -2.4547547052 1.1212982196 -3.0016742944 1.0865004112
