# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.1451750523 1.0000000000 -2.4837746341 3.5000000000 0.0000000000 0.0006465750 0.0000000000 0.1451750523 1.0000000000 0.8086401179 0.9122674190 0.5302506510 0.3657385283 0.3342323355 0.7763314019 0.5386706827 0.7338835847
0.1451750523 1.0000000000 -2.4837746341 3.5000000000 0.0000000000 0.0006465750 0.0000000000 0.1451750523 1.0000000000 0.8086401179 0.9122674190 0.5302506510 0.3657385283 0.3342323355 0.7763314019 0.5386706827 0.7338835847
0.0000000000 0.8900049161 -3.5000000000 2.7300344124 0.0000000000 0.0004670389 0.0000000000 0.0000000000 0.8900049161 0.9222867506 0.8219978840 0.7107531517 0.1666951047 0.5361347149 0.8699709589 0.7477990054 0.9043186306
0.3037423450 1.0000000000 -1.3738035847 3.5000000000 0.0000000000 0.0004664401 0.0000000000 0.3037423450 1.0000000000 0.7541385625 0.9324717905 0.4646203627 0.6618438572 0.4345575054 0.7009396663 0.4327974148 0.9178619255
0.2213133770 0.7849976694 -1.9508063609 1.9949836857 0.0000000000 0.0004664098 0.0000000000 0.2213133770 0.7849976694 0.8654100125 0.9306424677 0.6797757568 0.0000000000 0.3691046887 0.8069996385 0.7476073456 0.8960683113
0.2243085510 0.9481532651 -1.9298401431 3.1370728558 0.0000000000 0.0004657440 0.0000000000 0.2243085510 0.9481532651 0.8400828395 0.7688412067 0.7987359274 0.0689548936 0.7098739092 0.6762698880 0.7802633504 0.7710598928
0.2762644182 0.7703795797 -1.5661490726 1.8926570578 0.0000000000 0.0004656869 0.0000000000 0.2762644182 0.7703795797 0.8690869433 0.9796187150 0.6692715536 0.0034683652 0.3287502755 0.7626405281 0.7757473998 0.9400308790
0.0432688815 0.9472228986 -3.1971178294 3.1305602900 0.0000000000 0.0004656868 0.0000000000 0.0432688815 0.9472228986 0.7876190861 0.9819317279 0.0364887304 0.7607311835 0.4773897150 0.2663264735 0.4892633126 0.0216731351
0.0334672240 1.0000000000 -3.2657294320 3.5000000000 0.0000000000 0.0004656868 0.0000000000 0.0334672240 1.0000000000 0.7815756255 0.9859679187 0.0425285986 0.7370347816 0.4562345132 0.2900855460 0.3967425493 0.0046956262
0.0467183381 1.0000000000 -3.1729716334 3.5000000000 0.0000000000 0.0004656868 0.0000000000 0.0467183381 1.0000000000 0.7600297589 0.9793210966 0.0427060981 0.7493982628 0.4732918259 0.2587941010 0.4239372792 0.0000000000
0.0198192402 0.9741692431 -3.3612653187 3.3191847014 0.0000000000 0.0004656868 0.0000000000 0.0198192402 0.9741692431 0.7387389376 0.9834716841 0.0494924076 0.7333864488 0.4566589005 0.2552376356 0.4000240313 0.0142556252
0.1130252382 1.0000000000 -2.7088233324 3.5000000000 0.0000000000 0.0004656868 0.0000000000 0.1130252382 1.0000000000 0.7042471729 0.9634989904 0.0726825791 0.7428481704 0.4531131387 0.2603573793 0.3721090477 0.0354193622
0.0592674539 0.9312741846 -3.0851278229 3.0189192921 0.0000000000 0.0004656868 0.0000000000 0.0592674539 0.9312741846 0.7309278033 0.9798161123 0.0634668387 0.7195534779 0.4772602245 0.2397246864 0.3334063540 0.0000000000
0.0950686868 0.9605188132 -2.8345191927 3.2236316924 0.0000000000 0.0004656868 0.0000000000 0.0950686868 0.9605188132 0.7091816999 1.0000000000 0.0992987522 0.7248968702 0.4523417133 0.2930982997 0.3950411341 0.0000000000
0.1148962960 0.9276680420 -2.6957259279 2.9936762943 0.0000000000 0.0004656868 0.0000000000 0.1148962960 0.9276680420 0.7066405160 0.9523229859 0.1048774259 0.7084454815 0.4683197496 0.3243978124 0.4486792797 0.0421464628
0.0910605635 0.8944187776 -2.8625760553 2.7609314433 0.0000000000 0.0004656868 0.0000000000 0.0910605635 0.8944187776 0.7158443661 0.8992723953 0.0868003808 0.6587131859 0.4807529405 0.2537230133 0.3786285228 0.0000000000
0.0873504624 0.9193168739 -2.8885467633 2.9352181176 0.0000000000 0.0004656868 0.0000000000 0.0873504624 0.9193168739 0.7463600189 0.9279935904 0.0980799164 0.7364302000 0.4319942754 0.2508785033 0.3860369962 0.0000000000
0.1001960014 0.9167952319 -2.7986279901 2.9175666233 0.0000000000 0.0004656868 0.0000000000 0.1001960014 0.9167952319 0.7400678478 0.9495871653 0.0624545994 0.7075176357 0.4572643931 0.2643952388 0.3835101615 0.0000000000
0.0991975475 0.9576693421 -2.8056171674 3.2036853946 0.0000000000 0.0004656868 0.0000000000 0.0991975475 0.9576693421 0.7386769954 0.9949930244 0.1119956254 0.6622650949 0.4459226478 0.3414060920 0.3730359499 0.0141429560
0.1221306095 0.9283889351 -2.6450857337 2.9987225454 0.0000000000 0.0004656868 0.0000000000 0.1221306095 0.9283889351 0.7177729944 0.9776368382 0.1134228722 0.7036070226 0.5116534352 0.2998830525 0.4161636524 0.0528779003
0.1068286157 0.9136250592 -2.7521996902 2.8953754142 0.0000000000 0.0004656868 0.0000000000 0.1068286157 0.9136250592 0.6729413374 0.9282759264 0.0174023735 0.7045309253 0.4821382416 0.2715898968 0.3744294896 0.0000000000
0.1170338145 0.9220396648 -2.6807632982 2.9542776535 0.0000000000 0.0004656868 0.0000000000 0.1170338145 0.9220396648 0.7350300858 0.9954721190 0.0976791307 0.7240366800 0.4493587828 0.2779848607 0.3795643902 0.0000000000
0.0829392652 0.9042461659 -2.9194251437 2.8297231610 0.0000000000 0.0004656868 0.0000000000 0.0829392652 0.9042461659 0.7667902812 0.9263965751 0.1303771607 0.6980571172 0.4611564238 0.2493909180 0.3743094118 0.0019492288
0.1089457566 0.9095065240 -2.7373797036 2.8665456679 0.0000000000 0.0004656868 0.0000000000 0.1089457566 0.9095065240 0.6933127728 0.9731797181 0.0832623000 0.6953074134 0.4288548260 0.2375486303 0.3865508294 0.0000000000
0.0328828189 1.0000000000 -3.2698202676 3.5000000000 0.0000000000 0.0004656868 0.0000000000 0.0328828189 1.0000000000 0.7648842402 1.0000000000 0.0180158846 0.7040562448 0.4936145565 0.3584855739 0.3931847494 0.0469477577
0.0178157409 0.9603911492 -3.3752898135 3.2227380445 0.0000000000 0.0004656868 0.0000000000 0.0178157409 0.9603911492 0.7357777475 0.9840310919 0.0000000000 0.7111637899 0.4533118026 0.3469160013 0.5078077662 0.0000000000
0.0420581190 0.9325367049 -3.2055931670 3.0277569346 0.0000000000 0.0004656868 0.0000000000 0.0420581190 0.9325367049 0.7365807991 1.0000000000 0.0181344254 0.6913308743 0.4190279481 0.3473416260 0.4231143786 0.0000000000
0.0027010032 0.9981922506 -3.4810929773 3.4873457545 0.0000000000 0.0004656868 0.0000000000 0.0027010032 0.9981922506 0.7301628822 1.0000000000 0.0561422413 0.7009993199 0.4519567597 0.3500031334 0.4528134433 0.0227496267
0.0174412824 0.9862782840 -3.3779110233 3.4039479882 0.0000000000 0.0004656868 0.0000000000 0.0174412824 0.9862782840 0.7410119065 1.0000000000 0.0000000000 0.6822661802 0.4552747459 0.3406524317 0.4247891284 0.0361012782
0.4157610656 0.7321343514 -0.5896725410 1.6249404596 0.0000000000 0.0004656868 0.0000000000 0.4157610656 0.7321343514 0.9576695641 0.7596911055 0.1365468686 0.3344267936 0.1935908799 0.9288487469 0.8277974274 0.2764974150
0.0564386382 0.9616195915 -3.1049295327 3.2313371406 0.0000000000 0.0004656868 0.0000000000 0.0564386382 0.9616195915 0.7146495856 1.0000000000 0.0000000000 0.6629809965 0.4410368642 0.4106416630 0.4528893231 0.0169123785
0.0424200745 0.9469086535 -3.2030594786 3.1283605744 0.0000000000 0.0004656868 0.0000000000 0.0424200745 0.9469086535 0.7538594255 0.9933858285 0.0000000000 0.6952280165 0.4982715029 0.4002198097 0.4093806084 0.0000000000
0.0454176323 0.8098261058 -3.1820765740 2.1687827409 0.0000000000 0.0004656868 0.0000000000 0.0454176323 0.8098261058 0.8182634053 0.8625347262 0.7167237785 0.6710072207 0.0604104469 0.2924110944 0.2096792290 0.0000000000
0.0427507462 0.7954487534 -3.2007447766 2.0681412737 0.0000000000 0.0004656868 0.0000000000 0.0427507462 0.7954487534 0.8074929106 0.9037065722 0.8185963554 0.6850646565 0.0212786747 0.2759346752 0.1751703903 0.0284360707
0.0000000000 0.7928860399 -3.5000000000 2.0502022795 0.0000000000 0.0004656868 0.0000000000 0.0000000000 0.7928860399 0.8158293414 0.8582494131 0.7567934033 0.6873734590 0.0144473281 0.2603333582 0.1405751701 0.0000000000
0.0370497152 0.8036173101 -3.2406519939 2.1253211710 0.0000000000 0.0004656868 0.0000000000 0.0370497152 0.8036173101 0.8343112526 0.8607751916 0.6912290496 0.7456622199 0.0364201354 0.2741220867 0.1525899405 0.0232892587
0.0271764687 0.7657316185 -3.3097647191 1.8601213298 0.0000000000 0.0004656868 0.0000000000 0.0271764687 0.7657316185 0.8511841493 0.8041681969 0.7345896156 0.6405758723 0.1471586948 0.2742370619 0.1088303141 0.0371078730
0.0212869570 0.8174012870 -3.3509913012 2.2218090090 0.0000000000 0.0004656868 0.0000000000 0.0212869570 0.8174012870 0.7821277526 0.8869248166 0.7561080727 0.6838955298 0.0587695334 0.2721824456 0.1735965319 0.0000000000
0.0644596328 0.7326325970 -3.0487825705 1.6284281792 0.0000000000 0.0004656868 0.0000000000 0.0644596328 0.7326325970 0.8494098454 0.8769577703 0.7593623742 0.6709691301 0.0426210907 0.3198235978 0.1088273945 0.0000000000
0.0568031581 0.7781918662 -3.1023778930 1.9473430631 0.0000000000 0.0004656868 0.0000000000 0.0568031581 0.7781918662 0.8670417147 0.8685395966 0.7160840747 0.7220989326 0.0957628103 0.2902842609 0.1733435494 0.0000000000
0.0376829765 0.8137642865 -3.2362191646 2.1963500057 0.0000000000 0.0004656868 0.0000000000 0.0376829765 0.8137642865 0.8314895349 0.8796985054 0.7756102430 0.6822863466 0.0787170711 0.2628628178 0.1262344398 0.0179237463
0.0206826298 0.7788218394 -3.3552215917 1.9517528757 0.0000000000 0.0004656868 0.0000000000 0.0206826298 0.7788218394 0.8076747459 0.8403844319 0.7540602895 0.6578261065 0.0425194344 0.2617224346 0.1630086982 0.0254643258
0.0153157621 0.8545265621 -3.3927896655 2.4816859344 0.0000000000 0.0004656868 0.0000000000 0.0153157621 0.8545265621 0.8591389780 0.8907157886 0.7662060814 0.7035931554 0.0930032357 0.2791944671 0.1329509074 0.0000000000
0.0013803661 0.7561504526 -3.4903374376 1.7930531679 0.0000000000 0.0004656868 0.0000000000 0.0013803661 0.7561504526 0.7692134458 0.8691160333 0.8042935789 0.6806924936 0.0640656047 0.3062305015 0.1762660281 0.0036888178
0.4075835716 0.7006207278 -0.6469149990 1.4043450944 0.0000000000 0.0004656868 0.0000000000 0.4075835716 0.7006207278 0.9682101600 0.7667265487 0.1622647700 0.2950667998 0.1966517781 0.9481304756 0.7906498138 0.2085451497
0.0336965771 0.8055795214 -3.2641239600 2.1390566501 0.0000000000 0.0004656868 0.0000000000 0.0336965771 0.8055795214 0.7319583349 0.9428903255 0.8055163483 0.7029650753 0.1322959180 0.2189902249 0.1205897920 0.0070707720
0.0355289843 0.8021852245 -3.2512971098 2.1152965714 0.0000000000 0.0004656868 0.0000000000 0.0355289843 0.8021852245 0.7925190639 0.9331847647 0.7883159524 0.7068878905 0.1111740381 0.2356984133 0.1129203498 0.0602081437
0.0592812726 0.7805999004 -3.0850310921 1.9641993026 0.0000000000 0.0004656868 0.0000000000 0.0592812726 0.7805999004 0.8063113153 0.8782507659 0.8209197706 0.7052889905 0.1138986875 0.2839391399 0.1542408261 0.0269069550
0.0000000000 0.7891967775 -3.5000000000 2.0243774422 0.0000000000 0.0004656868 0.0000000000 0.0000000000 0.7891967775 0.7894833718 0.8896551532 0.8224449354 0.7147903294 0.0829082141 0.2474843594 0.1702495012 0.0275644905
0.0000000000 0.6869266845 -3.5000000000 1.3084867917 0.0000000000 0.0004656868 0.0000000000 0.0000000000 0.6869266845 0.7496720743 0.9513091291 0.8400824541 0.7340068187 0.0621631847 0.2287796615 0.2022848554 0.0851746525
0.0000000000 0.7410714150 -3.5000000000 1.6874999048 0.0000000000 0.0004656868 0.0000000000 0.0000000000 0.7410714150 0.7970508458 0.9230004539 0.8015158872 0.6782963421 0.1073691944 0.2217726376 0.2081972856 0.0605085919
0.0603728402 0.7828335983 -3.0773901186 1.9798351883 0.0000000000 0.0004656868 0.0000000000 0.0603728402 0.7828335983 0.8190895805 0.9106764406 0.8444441832 0.6720062043 0.1325004296 0.2867151087 0.1712134375 0.0616204874
0.0054265413 0.7570993114 -3.4620142109 1.7996951799 0.0000000000 0.0004656868 0.0000000000 0.0054265413 0.7570993114 0.8170885863 0.9070952736 0.8233522794 0.6793164948 0.1167991715 0.2770081879 0.2200536921 0.0996902058
0.0654758245 0.7133587705 -3.0416692282 1.4935113934 0.0000000000 0.0004656868 0.0000000000 0.0654758245 0.7133587705 0.7897034910 0.8916860062 0.7836628593 0.7009197992 0.1092675714 0.2396123001 0.2226064283 0.0635182522
0.0000000000 0.7621950135 -3.5000000000 1.8353650945 0.0000000000 0.0004656868 0.0000000000 0.0000000000 0.7621950135 0.7270318193 0.8777578505 0.8100165923 0.7001224863 0.1162210096 0.1740607857 0.1448903530 0.0733885899
0.0000000000 0.7190278457 -3.5000000000 1.5331949199 0.0000000000 0.0004656868 0.0000000000 0.0000000000 0.7190278457 0.7896271479 0.9501882927 0.8283940985 0.7097272308 0.0654858912 0.2293549920 0.2221095457 0.1081771679
0.0523516325 0.7400003561 -3.1335385727 1.6800024929 0.0000000000 0.0004656868 0.0000000000 0.0523516325 0.7400003561 0.8198911972 0.9401543803 0.8008480832 0.6874998516 0.1021548629 0.2715025968 0.1685170264 0.0128396486
0.0000000000 0.8201780591 -3.5000000000 2.2412464134 0.0000000000 0.0004656868 0.0000000000 0.0000000000 0.8201780591 0.8097882099 0.8979974511 0.8158732630 0.7138360373 0.0704681214 0.2591562032 0.1472517349 0.0196781947
0.0581261158 0.7750467473 -3.0931171896 1.9253272308 0.0000000000 0.0004656868 0.0000000000 0.0581261158 0.7750467473 0.7858302786 0.9620005814 0.8728937980 0.8061642643 0.0909300297 0.2021327962 0.2087367608 0.0965696461
0.0150635831 0.7511760883 -3.3945549184 1.7582326180 0.0000000000 0.0004656868 0.0000000000 0.0150635831 0.7511760883 0.7761835420 0.9234175918 0.8542213673 0.7663726928 0.1061000901 0.2385632168 0.1620604069 0.1400730694
0.0248078203 0.7376065441 -3.3263452581 1.6632458084 0.0000000000 0.0004656868 0.0000000000 0.0248078203 0.7376065441 0.7795698747 0.9804387394 0.8611954278 0.7835245858 0.1377912650 0.2114766807 0.1670883483 0.0759526957
0.0045802231 0.7197904470 -3.4679384386 1.5385331291 0.0000000000 0.0004656868 0.0000000000 0.0045802231 0.7197904470 0.7968991666 0.9779724344 0.8538122918 0.7241574872 0.1157442632 0.2106038144 0.1566434486 0.1169337965
0.0014425574 0.7893458130 -3.4899020984 2.0254206910 0.0000000000 0.0004656868 0.0000000000 0.0014425574 0.7893458130 0.7708779876 0.9373849954 0.8185296957 0.8119523216 0.1798774701 0.1995716218 0.1193968116 0.1283382463
0.0256077308 0.7870694152 -3.3207458846 2.0094859063 0.0000000000 0.0004656868 0.0000000000 0.0256077308 0.7870694152 0.8455852256 1.0000000000 0.8141923660 0.7946853768 0.1152242914 0.2267822676 0.1426982438 0.1003441939
0.0000000000 0.7692609742 -3.5000000000 1.8848268192 0.0000000000 0.0004656868 0.0000000000 0.0000000000 0.7692609742 0.7786604433 0.9517840896 0.8640516106 0.7880196503 0.1126802844 0.1962063611 0.1831903919 0.1024382878
0.0615470001 0.7741224313 -3.0691709995 1.9188570188 0.0000000000 0.0004656868 0.0000000000 0.0615470001 0.7741224313 0.7830070164 0.9765605396 0.8149699329 0.7666620668 0.0954947072 0.1953973370 0.1485985349 0.1199143014
0.0353819078 0.7576298506 -3.2523266452 1.8034089539 0.0000000000 0.0004656868 0.0000000000 0.0353819078 0.7576298506 0.7833964457 0.9724219216 0.8555046579 0.7965003201 0.1110867087 0.2393723402 0.1528925950 0.1333018969
0.0608757577 0.7792878454 -3.0738696963 1.9550149179 0.0000000000 0.0004656868 0.0000000000 0.0608757577 0.7792878454 0.7607659688 0.9258652132 0.8306139201 0.8179185611 0.1144213913 0.2332454471 0.1751732012 0.1221971878
