# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.8676843015 0.4707744314 2.5737901102 -0.2045789800 0.0364180652 0.0364180652 0.0364180652 0.8676843015 0.4707744314 0.5647093434 0.7394186981 0.9466228088 0.8381390813 0.3665153152 0.8025328348 0.4721795449 0.3541633998
0.9667134861 0.3486985960 3.2669944030 -1.0591098282 0.0364180652 0.0364180652 0.0364180652 0.9667134861 0.3486985960 0.9540075914 0.8030993597 0.6567342197 0.5964863811 0.1692387696 0.8986958026 0.8436953266 0.8206995759
0.9727644634 0.3160544414 3.3093512438 -1.2876189100 0.0364180652 0.0364180652 0.0364180652 0.9727644634 0.3160544414 0.6744361665 0.8637127684 0.8532065581 0.0154938856 0.3571845767 0.3252107327 0.8419543675 0.6478394043
0.8615965477 0.2321784061 2.5311758338 -1.8747511575 0.0364180652 0.0364180652 0.0364180652 0.8615965477 0.2321784061 0.9382072023 0.6727543330 0.8067339005 0.9166451959 0.9558078054 0.6656779053 0.8142915737 0.1849980356
0.8975475275 0.4040966823 2.7828326927 -0.6713232238 0.0364180652 0.0364180652 0.0364180652 0.8975475275 0.4040966823 0.7956985095 0.7638761689 0.3178760274 0.2749082563 0.1175251009 0.1171209989 0.0359800122 0.7828670041
0.8986821617 0.3058864776 2.7907751318 -1.3587946566 0.0364180652 0.0364180652 0.0364180652 0.8986821617 0.3058864776 0.5781102674 0.8712024058 0.9904701395 0.5235512038 0.1501453839 0.0125750383 0.0701150541 0.9727082740
0.8576456736 0.2222311952 2.5035197154 -1.9443816334 0.0364180652 0.0364180652 0.0364180652 0.8576456736 0.2222311952 0.8735324393 0.5782823903 0.1157853729 0.2733201005 0.1950710797 0.7920121471 0.6677375985 0.8611657940
0.8482974423 0.1951818535 2.4380820961 -2.1337270256 0.0364180652 0.0364180652 0.0364180652 0.8482974423 0.1951818535 0.4749575768 0.7883649152 0.5101219231 0.4020096033 0.9539120363 0.5196392671 0.1349445790 0.1716677796
0.7406581185 0.0866863793 1.6846068292 -2.8931953452 0.0364180652 0.0364180652 0.0364180652 0.7406581185 0.0866863793 0.8381852771 0.8266007326 0.1822717995 0.2989048685 0.2610261343 0.7239646808 0.5085940258 0.6164701806
0.8807645712 0.4151018984 2.6653519987 -0.5942867112 0.0364180652 0.0364180652 0.0364180652 0.8807645712 0.4151018984 0.9406936044 0.9154285660 0.4821754122 0.3653634198 0.0024966111 0.1178156687 0.3485343939 0.1304908661
0.8576456736 0.2222311952 2.5035197154 -1.9443816334 0.0364180652 0.0364180652 0.0364180652 0.8576456736 0.2222311952 0.8735324393 0.5782823903 0.1157853729 0.2733201005 0.1950710797 0.7920121471 0.6677375985 0.8611657940
0.7206436628 0.2863584323 1.5445056397 -1.4954909742 0.0364180652 0.0364180652 0.0364180652 0.7206436628 0.2863584323 0.2856657912 0.9054328257 0.9345316378 0.7839216287 0.6706960540 0.1895193334 0.4282771354 0.0910982954
