# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.6801945637 0.3181619114 1.2613619461 -1.2728666200 0.0000000045 0.0000000049 0.0000000045 0.6801945637 0.3181619114 0.2226202402 0.6805324653 0.8893746647 0.0487660004 0.2530661415 0.2754919271 0.3530134706 0.9428707861
0.2307360267 0.7478939655 -1.8848478134 1.7352577583 0.0000000042 0.0000000045 0.0000000042 0.2307360267 0.7478939655 0.6101022224 0.6553778900 0.3014659409 0.7087709979 0.7124695010 0.7213824535 0.4748550230 0.4524883404
0.3023874132 0.4163574519 -1.3832881073 -0.5854978370 0.0000000049 0.0000000049 0.0000000049 0.3023874132 0.4163574519 0.3637661141 0.6218097542 0.2871969860 0.9199641773 0.9385554323 0.8023459081 0.4320503130 0.3456287772
0.4968811250 0.3178360129 -0.0218321250 -1.2751479100 0.0000000049 0.0000000049 0.0000000049 0.4968811250 0.3178360129 0.9091298444 0.8982853483 0.5903812118 0.5805988505 0.3092371230 0.4104191804 0.1584913357 0.6976836142
0.4721282390 0.2967593946 -0.1951023273 -1.4226842378 0.0000000045 0.0000000049 0.0000000045 0.4721282390 0.2967593946 0.1824666866 0.5763230681 0.5817494524 0.0223798937 0.4495357066 0.6155830464 0.8033375931 0.4926941170
0.8041254809 0.3974416237 2.1288783664 -0.7179086338 0.0000000040 0.0000118284 0.0000000040 0.8041254809 0.3974416237 0.3683760218 0.1653836467 0.6045544097 0.8361583027 0.8923017571 0.7515602998 0.5615083263 0.2456411381
0.4903662184 0.1067792817 -0.0674364711 -2.7525450281 0.0000000040 0.0000000160 0.0000000040 0.4903662184 0.1067792817 0.9413155951 0.3753201026 0.3135212396 0.7004574931 0.6144190406 0.5384698361 0.9253076623 0.3376780242
0.0413510119 0.9943987597 -3.2105429165 3.4607913182 0.0000008559 0.0000000045 0.0000000045 0.0413510119 0.9943987597 0.6002928448 0.2024674721 0.2876983623 0.9660065402 0.7466075360 0.5591580001 0.2499683412 0.1846852433
0.7730655273 0.2795482676 1.9114586909 -1.5431621265 0.0000000040 0.0000000160 0.0000000040 0.7730655273 0.2795482676 0.8691534965 0.1618369885 0.7104709784 0.3883705973 0.5623702902 0.9413024273 0.8394436226 0.8825400730
0.7903141361 0.0764266282 2.0321989528 -2.9650136025 0.0000000040 0.0000000160 0.0000000040 0.7903141361 0.0764266282 0.8706663615 0.0569334366 0.8523451360 0.5507478800 0.0860578572 0.0521950038 0.9512456900 0.4932217086
