# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.3500838649 0.1046666436 -1.0494129456 -2.7673334946 0.6373675951 0.6875910835 0.6373675951 0.3500838649 0.1046666436 0.7297364435 0.7433197819 0.9413861420 0.5159634419 0.2803018161 0.6465424872 0.6052777096 0.2924158826
0.3500838649 0.1046666436 -1.0494129456 -2.7673334946 0.6373675951 0.6875910835 0.6373675951 0.3500838649 0.1046666436 0.7297364435 0.7433197819 0.9413861420 0.5159634419 0.2803018161 0.6465424872 0.6052777096 0.2924158826
0.3564061603 0.0988406601 -1.0051568777 -2.8081153794 0.4388689401 0.5163658239 0.4388689401 0.3564061603 0.0988406601 0.7282430423 0.7433566238 0.9669442638 0.5171519197 0.2821365484 0.6284659567 0.6267329913 0.2833671250
0.3554542486 0.1054203598 -1.0118202595 -2.7620574817 0.4035101102 0.4933983580 0.4035101102 0.3554542486 0.1054203598 0.7810668034 0.7309381734 0.9481244430 0.4845204400 0.2441807631 0.6236757163 0.6557089647 0.2978175194
0.3516011323 0.1002192530 -1.0387920739 -2.7984652292 0.5379045912 0.4888542635 0.4888542635 0.3516011323 0.1002192530 0.7267319790 0.7383394155 0.9662266547 0.5101732679 0.2696892665 0.6375651335 0.5972033634 0.2828682360
0.3635298219 0.1004137737 -0.9552912470 -2.7971035838 0.9921678297 0.4798692511 0.4798692511 0.3635298219 0.1004137737 0.7929619024 0.7459229347 0.9521464066 0.4810919382 0.2709201452 0.6651142175 0.5890190893 0.2953043607
0.3577532936 0.0812053649 -0.9957269450 -2.9315624455 0.5573433847 0.4445235435 0.4445235435 0.3577532936 0.0812053649 0.7643097209 0.7463277040 0.9684134854 0.5109572568 0.2545087903 0.6427319307 0.6311261593 0.2585792317
0.3793110999 0.0878813145 -0.8448223004 -2.8848307982 0.4417806431 0.4410679050 0.4410679050 0.3793110999 0.0878813145 0.7576498823 0.7553559542 0.9421518793 0.5007832965 0.2430885176 0.6247335295 0.6321268933 0.2672611462
0.3498526831 0.0810488754 -1.0510312185 -2.9326578725 0.4901671774 0.4292923794 0.4292923794 0.3498526831 0.0810488754 0.7506761174 0.7362590354 0.9710980316 0.4711464778 0.2784935142 0.6523219852 0.6078348304 0.2601177995
0.3665514413 0.0693552863 -0.9341399107 -3.0145129960 0.6352838614 0.4238854159 0.4238854159 0.3665514413 0.0693552863 0.7815212835 0.7022615613 0.9568934279 0.4774364768 0.2415577295 0.6651142175 0.5903097360 0.2745666859
0.3364166136 0.1066514663 -1.1450837049 -2.7534397358 0.4224290531 0.4088555490 0.4088555490 0.3364166136 0.1066514663 0.7119572390 0.7398711855 0.9480917402 0.4840288091 0.2534096996 0.6428651672 0.5838864734 0.2687900935
0.3648953056 0.0910750782 -0.9457328611 -2.8624744528 0.4611594201 0.4081934731 0.4081934731 0.3648953056 0.0910750782 0.7601009481 0.7554213290 0.9649726831 0.4960215983 0.2601267005 0.6321487005 0.6343141606 0.2584330925
0.3469068563 0.1228348378 -1.0716520060 -2.6401561351 0.5531473988 0.4057165323 0.4057165323 0.3469068563 0.1228348378 0.7386433696 0.7106196808 0.9681678741 0.4854126979 0.2985948349 0.6626065697 0.5625896756 0.2575597960
0.3306389609 0.1172834863 -1.1855272738 -2.6790155959 0.4383991758 0.4014442728 0.4014442728 0.3306389609 0.1172834863 0.7295951741 0.7084128604 0.9595178331 0.4790072455 0.2598527167 0.6556467513 0.6175790890 0.2774203261
0.3380887480 0.0979543267 -1.1333787640 -2.8143197134 0.3899408070 0.4005124603 0.3899408070 0.3380887480 0.0979543267 0.7455295652 0.7351578039 0.9672913094 0.4659112713 0.3450936594 0.6310878696 0.5903463457 0.2582697575
0.3539621511 0.1082898227 -1.0222649425 -2.7419712409 0.3334471696 0.3915989780 0.3334471696 0.3539621511 0.1082898227 0.7367131227 0.7055443670 0.9389546697 0.4933002682 0.2696892665 0.5996402056 0.6395297356 0.2828682360
0.3595583336 0.0856015172 -0.9830916649 -2.9007893799 0.9986029136 0.3892686844 0.3892686844 0.3595583336 0.0856015172 0.7994774576 0.7248954988 0.9975988520 0.4890227255 0.2802254213 0.6670156445 0.5853504122 0.2954207048
0.3595814634 0.0955338520 -0.9829297565 -2.8312630361 0.4042146112 0.3843448804 0.3843448804 0.3595814634 0.0955338520 0.7351069710 0.7097251830 0.9662266547 0.4794547553 0.2681607472 0.6454924769 0.6302235645 0.2644005105
0.3480321779 0.0960886792 -1.0637747546 -2.8273792453 0.3388453424 0.3779903727 0.3388453424 0.3480321779 0.0960886792 0.7447137086 0.7330639643 0.9663001479 0.4668174177 0.3442799656 0.6092909663 0.5824036132 0.2546334122
0.3481416775 0.1025278356 -1.0630082574 -2.7823051510 0.4760372771 0.3749291726 0.3749291726 0.3481416775 0.1025278356 0.7407653269 0.7460746923 0.9716287140 0.5234840473 0.2097476757 0.6170602821 0.6474877622 0.2774562121
0.3452800782 0.0807170463 -1.0830394524 -2.9349806758 0.5371856157 0.3747630468 0.3747630468 0.3452800782 0.0807170463 0.7510745448 0.7566141638 1.0000000000 0.5171519197 0.2691110969 0.6196200510 0.5809100130 0.2759210130
0.3563717995 0.0947032747 -1.0053974032 -2.8370770770 0.4212774149 0.3721011590 0.3721011590 0.3563717995 0.0947032747 0.7266142662 0.7110789604 0.9601956936 0.4990806819 0.2552757528 0.6629117570 0.6268346142 0.2200775805
0.3598989233 0.0993819621 -0.9807075369 -2.8043262653 0.3576905948 0.3698615041 0.3576905948 0.3598989233 0.0993819621 0.7335066485 0.7078863163 0.9689705721 0.4585337375 0.3218769473 0.6320902360 0.5797669850 0.2804399173
0.3488177118 0.0792347753 -1.0582760177 -2.9453565731 0.3023838355 0.3693386608 0.3023838355 0.3488177118 0.0792347753 0.7216020962 0.7495293785 0.9509687127 0.4699155156 0.3796519346 0.6298660274 0.6000900604 0.2762174266
0.3830652861 0.0570436818 -0.8185429974 -3.1006942273 0.3923431524 0.3658014785 0.3658014785 0.3830652861 0.0570436818 0.7623599161 0.7394333326 0.9401521204 0.4888958024 0.2629390183 0.6395608115 0.5678672828 0.2411727790
0.3946416247 0.0607180523 -0.7375086269 -3.0749736342 0.3041272427 0.3637111772 0.3041272427 0.3946416247 0.0607180523 0.7132904185 0.7487249599 0.9696304697 0.5002893430 0.2781956326 0.6496514774 0.5304663703 0.2878411515
0.3347368419 0.1062562841 -1.1568421064 -2.7562060110 0.3524060982 0.3621370660 0.3524060982 0.3347368419 0.1062562841 0.7112793207 0.7109471629 0.9652618108 0.4792041783 0.3468680407 0.6351612906 0.5881738370 0.2650232356
0.3490712593 0.1240208551 -1.0565011846 -2.6318540146 0.3198264937 0.3605752400 0.3198264937 0.3490712593 0.1240208551 0.7216229271 0.7388247186 0.9265901964 0.4811264584 0.2769115260 0.6369502414 0.6074853658 0.1954170562
0.3678985984 0.0994393436 -0.9247098111 -2.8039245947 0.8249798500 0.3565757107 0.3565757107 0.3678985984 0.0994393436 0.7515511438 0.7364695017 1.0000000000 0.4898400266 0.2238042915 0.6545472527 0.5910669090 0.3030728628
