# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.6810538343 0.3862091570 1.2673768398 -0.7965359008 0.0000000000 0.9612696316 0.0000000000 0.6810538343 0.3862091570 0.6131775470 0.8905245780 0.8690591171 0.1872627745 0.6826878878 0.5098560961 0.8225052903 0.5952262186
0.9223327137 0.4574891798 2.9563289957 -0.2975757414 0.0000000000 0.0000000000 0.0000000000 0.9223327137 0.4574891798 0.8554130798 0.9211935391 0.4078792311 0.7167893016 0.4719488182 0.1992447642 0.0051924714 0.8444233424
0.4242742467 0.5003918484 -0.5300802731 0.0027429391 0.0147551767 0.0000000000 0.0000000000 0.4242742467 0.5003918484 0.2492155984 0.7248944663 0.3837216614 0.2880739990 0.2093077198 0.5860087927 0.7455688217 0.5027422204
0.2108044688 0.7287168248 -2.0243687185 1.6010177737 0.0000000000 0.1258668862 0.0000000000 0.2108044688 0.7287168248 0.0497078029 0.4885568934 0.7931774918 0.3544312305 0.3882567095 0.0252595880 0.0039902105 0.2586488883
0.7498086233 0.3265773271 1.7486603631 -1.2139587104 0.0000000000 0.0000000000 0.0000000000 0.7498086233 0.3265773271 0.2285126925 0.9689154118 0.3504911428 0.4303000937 0.7783857994 0.2304822542 0.5943749927 0.4790864731
0.1273399514 0.3231851465 -2.6086203400 -1.2377039743 0.0000000000 0.1258668862 0.0000000000 0.1273399514 0.3231851465 0.2820354159 0.6425521154 0.6252426800 0.8415036635 0.0395000105 0.9167655489 0.6630164255 0.4976269995
0.4899833457 0.3226245734 -0.0701165798 -1.2416279864 0.0000000000 0.0000000000 0.0000000000 0.4899833457 0.3226245734 0.7495446318 0.9999763121 0.5449169243 0.2694096229 0.3298699437 0.6707062136 0.9323723648 0.0144596341
0.1630363736 0.3025410051 -2.3587453845 -1.3822129644 0.0000000000 0.1258668862 0.0000000000 0.1630363736 0.3025410051 0.3664676045 0.7738788268 0.7708491203 0.1491683413 0.6164421090 0.9026395815 0.6766666533 0.3993298868
0.0228362647 0.7271257090 -3.3401461468 1.5898799629 0.0147551767 0.1258668862 0.0147551767 0.0228362647 0.7271257090 0.2733322948 0.5610188004 0.8320557564 0.3337262404 0.3065475239 0.1000152018 0.0551251523 0.7391585092
0.2969051749 0.9604099216 -1.4216637760 3.2228694512 0.0147551767 0.3256157668 0.0147551767 0.2969051749 0.9604099216 0.3746642106 0.2091406068 0.8455425206 0.9334878213 0.9613849052 0.1438468736 0.4952451380 0.4817159701
