# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.2941987569 0.0235307738 -1.4406087019 -3.3352845834 0.9416939355 1.0066805960 0.9416939355 0.2941987569 0.0235307738 0.0136165296 0.4097844445 0.7611420787 0.8163685620 0.5248194966 0.6489613886 0.3687431107 0.1647272608
0.1804852042 0.4865857359 -2.2366035703 -0.0938998487 0.9416939355 1.0066805960 0.9416939355 0.1804852042 0.4865857359 0.0244635969 0.0369234613 0.8204332105 0.6760251386 0.0960767578 0.8739186504 0.1871279296 0.6970281914
0.0443380869 0.1985961942 -3.1896333920 -2.1098266409 0.9416939355 1.0066805960 0.9416939355 0.0443380869 0.1985961942 0.0088867903 0.1151122371 0.3943171849 0.5893171150 0.1384102916 0.6593390744 0.0544808613 0.5088245066
0.2941987569 0.0235307738 -1.4406087019 -3.3352845834 0.9416939355 1.0066805960 0.9416939355 0.2941987569 0.0235307738 0.0136165296 0.4097844445 0.7611420787 0.8163685620 0.5248194966 0.6489613886 0.3687431107 0.1647272608
0.0443380869 0.1985961942 -3.1896333920 -2.1098266409 0.9416939355 1.0066805960 0.9416939355 0.0443380869 0.1985961942 0.0088867903 0.1151122371 0.3943171849 0.5893171150 0.1384102916 0.6593390744 0.0544808613 0.5088245066
0.1804852042 0.4865857359 -2.2366035703 -0.0938998487 0.9416939355 1.0066805960 0.9416939355 0.1804852042 0.4865857359 0.0244635969 0.0369234613 0.8204332105 0.6760251386 0.0960767578 0.8739186504 0.1871279296 0.6970281914
0.2698988543 0.1959709699 -1.6107080201 -2.1282032107 0.9416939355 1.0066805960 0.9416939355 0.2698988543 0.1959709699 0.0151262635 0.3520253376 0.3187069933 0.2945099996 0.5727033750 0.8390277932 0.6123503234 0.1236707356
0.1804852042 0.4865857359 -2.2366035703 -0.0938998487 0.9416939355 1.0066805960 0.9416939355 0.1804852042 0.4865857359 0.0244635969 0.0369234613 0.8204332105 0.6760251386 0.0960767578 0.8739186504 0.1871279296 0.6970281914
0.2698988543 0.1959709699 -1.6107080201 -2.1282032107 0.9416939355 1.0066805960 0.9416939355 0.2698988543 0.1959709699 0.0151262635 0.3520253376 0.3187069933 0.2945099996 0.5727033750 0.8390277932 0.6123503234 0.1236707356
0.0443380869 0.1985961942 -3.1896333920 -2.1098266409 0.9416939355 1.0066805960 0.9416939355 0.0443380869 0.1985961942 0.0088867903 0.1151122371 0.3943171849 0.5893171150 0.1384102916 0.6593390744 0.0544808613 0.5088245066
0.2698988543 0.1959709699 -1.6107080201 -2.1282032107 0.9416939355 1.0066805960 0.9416939355 0.2698988543 0.1959709699 0.0151262635 0.3520253376 0.3187069933 0.2945099996 0.5727033750 0.8390277932 0.6123503234 0.1236707356
0.4317022598 0.2679145779 -0.4780841812 -1.6245979544 0.9416939355 1.0066805960 0.9416939355 0.4317022598 0.2679145779 0.0000000000 0.1147664617 0.6718266631 0.2351214598 0.3360409062 0.9412702027 0.4984633243 0.0000000000
0.2468588880 0.0000000000 -1.7719877842 -3.5000000000 0.9416939355 1.0066805960 0.9416939355 0.2468588880 0.0000000000 0.0018220128 0.3564095005 0.7520490749 0.8398799866 0.5495915403 0.6258692722 0.3618281173 0.1721454338
0.2054263929 0.4647668568 -2.0620152496 -0.2466320025 0.9416939355 1.0066805960 0.9416939355 0.2054263929 0.4647668568 0.0113672909 0.0545231657 0.7761399178 0.6809188362 0.1067627405 0.8385755929 0.1803613187 0.7062575462
0.1094593412 0.0000000000 -2.7337846113 -3.5000000000 0.9416939355 1.0066805960 0.9416939355 0.1094593412 0.0000000000 0.0000000000 0.6509665465 0.6776061301 0.9568020818 0.5555103500 0.7961796826 0.2862805042 0.0000000000
0.0572361081 0.0591760812 -3.0993472434 -3.0857674315 0.9416939355 1.0066805960 0.9416939355 0.0572361081 0.0591760812 0.0000000000 0.0000000000 0.0000000000 0.1942088673 0.1145716496 0.4702106885 0.0000000000 1.0000000000
0.1808796159 0.4747200896 -2.2338426887 -0.1769593727 0.9416939355 1.0066805960 0.9416939355 0.1808796159 0.4747200896 0.0000000000 0.0436343577 0.9938378274 0.5955725230 0.1772548570 0.0164824241 0.6617963367 0.6295338441
0.2705845393 0.2108014894 -1.6059082246 -2.0243895744 0.9416939355 1.0066805960 0.9416939355 0.2705845393 0.2108014894 0.0000000000 0.3536335380 0.3279273328 0.2508578490 0.5590836867 0.8424237393 0.5873768114 0.1502984929
0.4007567477 0.4475809487 -0.6947027664 -0.3669333589 0.9416939355 1.0066805960 0.9416939355 0.4007567477 0.4475809487 0.0000000000 0.6411431608 0.3901759810 0.7893647072 0.1211249263 0.1290522381 0.1216235489 0.1268739328
0.4317022598 0.2679145779 -0.4780841812 -1.6245979544 0.9416939355 1.0066805960 0.9416939355 0.4317022598 0.2679145779 0.0000000000 0.1147664617 0.6718266631 0.2351214598 0.3360409062 0.9412702027 0.4984633243 0.0000000000
0.1127214162 0.1397582589 -2.7109500864 -2.5216921878 0.9416939355 1.0066805960 0.9416939355 0.1127214162 0.1397582589 0.0000000000 1.0000000000 0.9437876042 0.0490429447 1.0000000000 0.2980556877 0.2734720127 0.7394093159
0.3876728092 0.0602753417 -0.7862903359 -3.0780726078 0.9416939355 1.0066805960 0.9416939355 0.3876728092 0.0602753417 0.0000000000 0.5230358334 0.2359873900 0.1455571656 0.4360678147 0.7659001546 0.7038318670 0.2247420530
0.0000000000 0.2392806641 -3.5000000000 -1.8250353514 0.9416939355 1.0066805960 0.9416939355 0.0000000000 0.2392806641 0.0000000000 0.8129958994 0.8623289435 0.2031025051 1.0000000000 0.6054097206 0.0000000000 0.8516255915
0.2033651442 0.3720358764 -2.0764439904 -0.8957488655 0.9416939355 1.0066805960 0.9416939355 0.2033651442 0.3720358764 0.0074683062 0.0046328778 0.7959567130 0.6410257009 0.0000000000 0.0000000000 0.8417559117 0.5542933665
0.4431326250 0.2668277093 -0.3980716247 -1.6322060350 0.9416939355 1.0066805960 0.9416939355 0.4431326250 0.2668277093 0.0000000000 0.0000000000 0.8564580009 0.7347859722 0.2661689408 0.2013300579 0.9048988340 0.5334006111
0.4159655974 0.2297412267 -0.5882408181 -1.8918114131 0.9416939355 1.0066805960 0.9416939355 0.4159655974 0.2297412267 0.0000000000 0.3346799284 0.0000000000 0.4266980120 0.4978433959 1.0000000000 0.4605096463 0.0000000000
0.1257020098 0.3079507345 -2.6200859316 -1.3443448583 0.9416939355 1.0066805960 0.9416939355 0.1257020098 0.3079507345 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.1966437053 0.0000000000 0.0966550817 0.9689071054
0.0568634291 0.1264303068 -3.1019559961 -2.6149878526 0.9416939355 1.0066805960 0.9416939355 0.0568634291 0.1264303068 0.0049825028 0.9717967419 1.0000000000 0.0000000000 0.4514485669 0.4881287100 0.0000000000 0.9166448081
0.0000000000 0.3395123991 -3.5000000000 -1.1234132065 0.9416939355 1.0066805960 0.9416939355 0.0000000000 0.3395123991 0.0165038219 1.0000000000 0.5705570485 0.3899709327 1.0000000000 0.7555279263 0.2000332366 0.8423274952
