# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.3913865616 0.2004470830 -0.7602940689 -2.0968704187 1.1429588519 0.3533286856 0.3533286856 0.3913865616 0.2004470830 0.0674136843 0.2647439872 0.4276196371 0.2558429527 0.5820473052 0.7745612564 0.6152356901 0.0205979165
0.3913865616 0.2004470830 -0.7602940689 -2.0968704187 1.1429588519 0.3533286856 0.3533286856 0.3913865616 0.2004470830 0.0674136843 0.2647439872 0.4276196371 0.2558429527 0.5820473052 0.7745612564 0.6152356901 0.0205979165
0.3277568653 0.1886435396 -1.2057019430 -2.1794952227 0.9561233429 0.3533286856 0.3533286856 0.3277568653 0.1886435396 0.0565617158 0.3733403388 0.3511163781 0.3059389522 0.5845935479 0.8204537803 0.5977477937 0.0764243614
0.4868966957 0.2007812704 -0.0917231303 -2.0945311072 0.9419524509 0.3533286856 0.3533286856 0.4868966957 0.2007812704 0.0865099001 0.4295820576 0.3312251737 0.5499445981 0.5858978950 0.9665528814 0.5953292313 0.0663139736
0.0817000309 0.2190360357 -2.9280997837 -1.9667477498 0.9416939355 1.0066805960 0.9416939355 0.0817000309 0.2190360357 0.0000000000 0.0000000000 0.9756298819 0.4489231665 0.0000000000 0.0425516181 0.7605879058 0.5421942647
0.4918766765 0.2990971190 -0.0568632645 -1.4063201671 0.9416939355 1.0066805960 0.9416939355 0.4918766765 0.2990971190 0.0000000000 0.0806424871 0.6944501256 0.2269790668 0.3317470974 0.9485877925 0.5615396927 0.0000000000
0.2347605415 0.3441075802 -1.8566762096 -1.0912469383 0.9416939355 1.0066805960 0.9416939355 0.2347605415 0.3441075802 0.0000000000 0.2716781071 0.8125046998 0.6218070257 0.0000000000 0.0000000000 0.6470378142 0.4666301771
0.3778950637 0.4336758614 -0.8547345542 -0.4642689703 0.9416939355 1.0066805960 0.9416939355 0.3778950637 0.4336758614 0.0015923202 0.0000000000 0.8630309904 0.3918719054 0.3420947313 1.0000000000 0.6741619368 0.0000000000
0.1547743316 0.3760699202 -2.4165796786 -0.8675105585 0.9416939355 1.0066805960 0.9416939355 0.1547743316 0.3760699202 0.0000000000 0.4130718654 0.9891527612 0.4820788755 0.2430597281 1.0000000000 0.5226999336 0.0000000000
0.3999494969 0.3460212777 -0.7003535218 -1.0778510562 0.9416939355 1.0066805960 0.9416939355 0.3999494969 0.3460212777 0.0000000000 0.1668287843 0.5971016467 0.2874277992 0.3534686011 0.9688029496 0.5100654844 0.0000000000
0.1573888545 0.3369041548 -2.3982780182 -1.1416709166 0.9416939355 1.0066805960 0.9416939355 0.1573888545 0.3369041548 0.0000000000 0.1699376999 0.6637064393 0.3316140846 0.0375472648 1.0000000000 0.4558137364 0.1713499530
0.1727670578 0.3100443401 -2.2906305953 -1.3296896190 0.9416939355 1.0066805960 0.9416939355 0.1727670578 0.3100443401 0.0000000000 0.0000000000 0.7596208013 0.3064371281 0.3327955669 0.9563179680 0.0490585167 0.2796485909
0.0000000000 0.0000000000 -3.5000000000 -3.5000000000 0.9416939355 1.0066805960 0.9416939355 0.0000000000 0.0000000000 0.0000000000 0.0996038600 0.8587473607 0.1586991847 0.9279371298 1.0000000000 0.7676906048 0.4883443116
