# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.0867674615 0.7019071103 -2.8926277694 1.4133497718 0.1876775711 0.1876775711 0.1876775711 0.0867674615 0.7019071103 0.1912632484 0.4976722704 0.4381347336 0.9277422622 0.5962431629 0.0481029992 0.3798425711 0.6084442072
0.4689432429 0.5838533019 -0.2173972998 0.5869731131 0.1732206925 0.3855571182 0.1732206925 0.4689432429 0.5838533019 0.3947104469 0.5957459704 0.3765608455 0.3642454141 0.8836707076 0.9746742114 0.5060451947 0.3726178821
0.5760714728 0.3003055510 0.5325003096 -1.3978611428 0.1607479747 0.1777332274 0.1607479747 0.5760714728 0.3003055510 0.0423197531 0.0042186275 0.1468762853 0.8481697875 0.1593771833 0.9438733137 0.1441007037 0.4388274775
0.3376060923 0.3989812939 -1.1367573537 -0.7071309429 0.1732206925 0.1925461087 0.1732206925 0.3376060923 0.3989812939 0.7844684806 0.6712379670 0.9757605965 0.8327670921 0.2216070081 0.4731513678 0.9670523659 0.3469539374
0.9387846864 0.8240795609 3.0714928047 2.2685569260 0.1550472516 0.1300748314 0.1300748314 0.9387846864 0.8240795609 0.9816310620 0.0303205796 0.1800980224 0.6201015241 0.2164611645 0.5869821510 0.3955460457 0.0562299237
0.7579829981 0.5872713730 1.8058809868 0.6108996110 0.1876775711 0.1621875925 0.1621875925 0.7579829981 0.5872713730 0.9199162998 0.6491208362 0.6495910916 0.9144472426 0.7288479923 0.8140721324 0.3864514733 0.7869489605
0.8320951763 0.2442827194 2.3246662340 -1.7900209641 0.1876775711 0.1876775711 0.1876775711 0.8320951763 0.2442827194 0.6495275993 0.6828150033 0.7160727766 0.8780008870 0.6414757116 0.9504282671 0.3328836738 0.0745908944
0.9262874316 0.1202015009 2.9840120212 -2.6585894937 0.1876775711 0.1876775711 0.1876775711 0.9262874316 0.1202015009 0.4961531880 0.4134864512 0.9742603994 0.9640399710 0.5047863016 0.4097295358 0.9907912671 0.7098751780
0.5285243353 0.3353834460 0.1996703468 -1.1523158780 0.1458385392 0.1925461087 0.1458385392 0.5285243353 0.3353834460 0.7069916773 0.4569366790 0.7769666017 0.3560535118 0.0487791162 0.0022392531 0.5595520871 0.3698276606
0.5651145899 0.7832519416 0.4558021293 1.9827635914 0.1876775711 0.1876775711 0.1876775711 0.5651145899 0.7832519416 0.5562235689 0.4243069256 0.8275752675 0.9965142758 0.9449930350 0.3044854282 0.2503273925 0.7559200721
0.3278000083 0.9325769448 -1.2053999421 3.0280386133 0.1640424564 0.1766021958 0.1640424564 0.3278000083 0.9325769448 0.8858491368 0.0187994310 0.6417766342 0.0522352077 0.0659762736 0.1474803326 0.6987631851 0.0223722697
0.3281523288 0.4003828386 -1.2029336987 -0.6973201299 0.1732206925 0.3855571182 0.1732206925 0.3281523288 0.4003828386 0.2203438856 0.7067909347 0.8746256494 0.0939866377 0.5878369326 0.3850051761 0.8557195147 0.5985832661
0.3650168552 0.4947930285 -0.9448820138 -0.0364488003 0.1732206925 0.3855571182 0.1732206925 0.3650168552 0.4947930285 0.1226476113 0.5989943442 0.6896583816 0.3152295065 0.7065012974 0.4875613520 0.9318729692 0.3375970206
0.3833363782 0.0782072247 -0.8166453529 -2.9525494274 0.1732206925 0.1925461087 0.1732206925 0.3833363782 0.0782072247 0.7790318798 0.9009755976 0.8912053104 0.1802316673 0.2836022525 0.4217318320 0.9229709334 0.3982800988
0.6209596759 0.6694778462 0.8467177310 1.1863449234 0.1412454139 0.1621875925 0.1412454139 0.6209596759 0.6694778462 0.9738925405 0.4268904661 0.4877992773 0.1885365969 0.9941382189 0.6125561178 0.5399359358 0.3333041823
0.8621145218 0.9336867137 2.5348016526 3.0358069961 0.1630081885 0.1621875925 0.1621875925 0.8621145218 0.9336867137 0.6658312796 0.5176051102 0.7714752541 0.7370264614 0.9756137478 0.7212518590 0.8659134319 0.0606537669
0.2379913182 0.8040461272 -1.8340607729 2.1283228907 0.1876775711 0.1876775711 0.1876775711 0.2379913182 0.8040461272 0.1101897425 0.4375052466 0.0919967122 0.6720210418 0.2843561599 0.1929882667 0.1456339487 0.3084752561
0.3637986055 0.1293632382 -0.9534097615 -2.5944573327 0.1732206925 0.3855571182 0.1732206925 0.3637986055 0.1293632382 0.1095151065 0.5270707141 0.6810649027 0.0970494392 0.6678320891 0.8410451594 0.2437277258 0.3940938871
0.3595971999 0.3676034628 -0.9828196005 -0.9267757603 0.1458385392 0.1383496568 0.1383496568 0.3595971999 0.3676034628 0.8907486268 0.0140723101 0.9111040676 0.0117040025 0.4592575651 0.5059830511 0.7409308752 0.7016033433
0.7307889002 0.8702069444 1.6155223011 2.5914486109 0.1550472516 0.1621875925 0.1550472516 0.7307889002 0.8702069444 0.7469241704 0.3138672962 0.6883508094 0.6413239895 0.7477095029 0.0448335621 0.3155099137 0.2058318725
0.7603545349 0.3867128993 1.8224817446 -0.7930097049 0.1876775711 0.1876775711 0.1876775711 0.7603545349 0.3867128993 0.3962994456 0.6157739574 0.9172263668 0.4595131178 0.4929369781 0.6642757348 0.7159633625 0.4884588804
0.9470210655 0.5292833523 3.1291474585 0.2049834664 0.1876775711 0.1621875925 0.1621875925 0.9470210655 0.5292833523 0.7328555502 0.5216568882 0.7916927923 0.9948869178 0.4202360929 0.0313175454 0.1446374646 0.2704221246
0.9870455890 0.4050126569 3.4093191228 -0.6649114017 0.1876775711 0.1876775711 0.1876775711 0.9870455890 0.4050126569 0.6055269048 0.1495064674 0.2485418784 0.6847795564 0.6289217879 0.1066631144 0.0259144787 0.5383021040
0.4063971316 0.2585088382 -0.6552200789 -1.6904381328 0.1607479747 0.3855571182 0.1607479747 0.4063971316 0.2585088382 0.0074489094 0.2349221857 0.2948224940 0.3365693595 0.4365430327 0.6014978076 0.6295588754 0.6056282856
0.0991355209 0.5164452730 -2.8060513536 0.1151169107 0.1732206925 0.1925461087 0.1732206925 0.0991355209 0.5164452730 0.7729714720 0.6851639895 0.9491571460 0.3415096504 0.5879914633 0.5459814922 0.4329286141 0.1380443379
0.2512700793 0.5475114842 -1.7411094449 0.3325803895 0.1732206925 0.3855571182 0.1732206925 0.2512700793 0.5475114842 0.2468943925 0.7765903869 0.9974487114 0.0887955342 0.9630730725 0.9678113559 0.3821698038 0.6624997464
0.1887331393 0.2408187948 -2.1788680247 -1.8142684363 0.1732206925 0.1925461087 0.1732206925 0.1887331393 0.2408187948 0.6549352441 0.9299284093 0.7361766756 0.4742994759 0.8727533649 0.6290226062 0.2437388824 0.0813158166
0.4880020515 0.3963732708 -0.0839856398 -0.7253871046 0.1732206925 0.1925461087 0.1732206925 0.4880020515 0.3963732708 0.6940730979 0.8088853965 0.3718643123 0.4536945402 0.8622222453 0.1051599769 0.0485196499 0.4653420608
0.9350534749 0.7653266513 3.0453743242 1.8572865594 0.1876775711 0.1621875925 0.1621875925 0.9350534749 0.7653266513 0.7833312155 0.7482013363 0.6540650892 0.7300155731 0.9798556229 0.8861717551 0.5766139313 0.7359055337
0.0942676353 0.3079542963 -2.8401265530 -1.3443199257 0.1732206925 0.1925461087 0.1732206925 0.0942676353 0.3079542963 0.6336321547 0.6747040565 0.3811726817 0.6207273586 0.4782125575 0.4287510728 0.1127851039 0.4471109610
0.1094021480 0.6797561753 -2.7341849640 1.2582932270 0.1876775711 0.1876775711 0.1876775711 0.1094021480 0.6797561753 0.3722941939 0.7061416764 0.9788422386 0.3449701065 0.3755661175 0.5015675792 0.5376263594 0.6050739066
0.0477690121 0.0330211475 -3.1656169151 -3.2688519673 0.1458385392 0.1925461087 0.1458385392 0.0477690121 0.0330211475 0.7170708540 0.2917772327 0.9365085903 0.8063384043 0.1758176570 0.8458985004 0.4022744799 0.2341882818
0.2063546322 0.1100579312 -2.0555175748 -2.7295944815 0.1458385392 0.3855571182 0.1458385392 0.2063546322 0.1100579312 0.1123721972 0.3849166396 0.0558415096 0.8686774343 0.7822292183 0.2958620776 0.5735822920 0.6423861204
0.9079462553 0.4461911469 2.8556237868 -0.3766619716 0.1709660125 0.1552227211 0.1552227211 0.9079462553 0.4461911469 0.1594524155 0.0352339851 0.9751229246 0.3850832495 0.4782351469 0.6829171031 0.6400699636 0.9948823575
0.0098710710 0.9493390343 -3.4309025032 3.1453732399 0.1876775711 0.1876775711 0.1876775711 0.0098710710 0.9493390343 0.7376984095 0.2683710984 0.0642437244 0.1156362328 0.2090137039 0.8392750628 0.4029682892 0.3670604054
0.6783461577 0.7668627061 1.2484231038 1.8680389425 0.1876775711 0.1621875925 0.1621875925 0.6783461577 0.7668627061 0.3197419186 0.3901235478 0.4032947269 0.2888617710 0.8726093723 0.0984545033 0.8057830564 0.2208398843
0.0017023383 0.7789220350 -3.4880836317 1.9524542449 0.1640424564 0.1876775711 0.1640424564 0.0017023383 0.7789220350 0.8182829564 0.0870971932 0.2044542927 0.8381672944 0.6493948860 0.5795641792 0.1912720426 0.7821774830
0.0527652168 0.6672582117 -3.1306434823 1.1708074818 0.1876775711 0.1876775711 0.1876775711 0.0527652168 0.6672582117 0.2548210889 0.5274508808 0.5692120677 0.2179270827 0.9678132100 0.3901625919 0.2153426873 0.8233004952
0.0875325064 0.5265566629 -2.8872724555 0.1858966402 0.1458385392 0.1925461087 0.1458385392 0.0875325064 0.5265566629 0.9055968214 0.3588456128 0.0420420712 0.1809102630 0.6797787781 0.1196034806 0.8465948934 0.3952557485
0.6004501890 0.9792676971 0.7031513232 3.3548738794 0.1876775711 0.1621875925 0.1621875925 0.6004501890 0.9792676971 0.6917644869 0.4175099223 0.2733841313 0.8405845040 0.3053098143 0.3682940096 0.2906533312 0.7675596171
0.1729342656 0.7754294093 -2.2894601407 1.9280058653 0.1876775711 0.1876775711 0.1876775711 0.1729342656 0.7754294093 0.3569910758 0.7778526141 0.5440719736 0.7874272957 0.5311695002 0.3974274155 0.5082178650 0.7798097479
0.0386937977 0.1254955830 -3.2291434158 -2.6215309192 0.1732206925 0.1925461087 0.1732206925 0.0386937977 0.1254955830 0.7529705725 0.8942978712 0.3036845459 0.9225468455 0.4243545132 0.6594973537 0.6178057764 0.5725730390
0.5945968788 0.1181542762 0.6621781518 -2.6729200666 0.1458385392 0.1876775711 0.1458385392 0.5945968788 0.1181542762 0.8254871215 0.0750933973 0.5410235492 0.1844674240 0.4663669738 0.5727486665 0.1876010670 0.1449212980
0.0142666698 0.3227613053 -3.4001333115 -1.2406708629 0.1458385392 0.1925461087 0.1458385392 0.0142666698 0.3227613053 0.9479271805 0.1388473819 0.1217563363 0.4312752807 0.0967563347 0.8085895414 0.7094447947 0.0831458782
0.0514723354 0.1373145024 -3.1396936520 -2.5387984835 0.1458385392 0.1925461087 0.1458385392 0.0514723354 0.1373145024 0.4992145699 0.1538155463 0.6248307966 0.8295406386 0.1535358493 0.3367981247 0.5273252724 0.0896790522
0.7639445484 0.5996868183 1.8476118386 0.6978077279 0.1709660125 0.1621875925 0.1621875925 0.7639445484 0.5996868183 0.3230948786 0.0785339784 0.4915220178 0.2720222206 0.3653723883 0.1515415400 0.0998080363 0.9154431652
