# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.0867674615 0.7019071103 -2.8926277694 1.4133497718 0.1876775711 0.1876775711 0.1876775711 0.0867674615 0.7019071103 0.1912632484 0.4976722704 0.4381347336 0.9277422622 0.5962431629 0.0481029992 0.3798425711 0.6084442072
0.6981752323 0.3746467620 1.3872266258 -0.8774726657 0.1876775711 0.1876775711 0.1876775711 0.6981752323 0.3746467620 0.1470195896 0.6038091804 0.6736698622 0.7397913558 0.3539878279 0.9797034663 0.0448794643 0.1228248767
0.0336388956 0.9301194289 -3.2645277308 3.0108360021 0.1876775711 0.1876775711 0.1876775711 0.0336388956 0.9301194289 0.6771924956 0.4686720904 0.2047346808 0.9121662886 0.3998441183 0.0703873813 0.8839708177 0.0053576806
0.5320056999 0.9629006681 0.2240398994 3.2403046768 0.1876775711 0.1876775711 0.1876775711 0.5320056999 0.9629006681 0.1952888720 0.8546357166 0.1750296588 0.2110578571 0.4728842416 0.1702024173 0.5849630345 0.9926778148
0.9608272468 0.2575159391 3.2257907275 -1.6973884263 0.1876775711 0.1876775711 0.1876775711 0.9608272468 0.2575159391 0.1906770410 0.1696867515 0.1010103336 0.3824388307 0.8081740518 0.3594248038 0.0530146796 0.5187559068
0.0246072977 0.7012472170 -3.3277489164 1.4087305192 0.1876775711 0.1876775711 0.1876775711 0.0246072977 0.7012472170 0.4719167133 0.8716878674 0.5600719729 0.0896998654 0.9803793798 0.9206456954 0.8524015487 0.4968237651
0.8320951763 0.2442827194 2.3246662340 -1.7900209641 0.1876775711 0.1876775711 0.1876775711 0.8320951763 0.2442827194 0.6495275993 0.6828150033 0.7160727766 0.8780008870 0.6414757116 0.9504282671 0.3328836738 0.0745908944
0.9262874316 0.1202015009 2.9840120212 -2.6585894937 0.1876775711 0.1876775711 0.1876775711 0.9262874316 0.1202015009 0.4961531880 0.4134864512 0.9742603994 0.9640399710 0.5047863016 0.4097295358 0.9907912671 0.7098751780
0.8164399496 0.3708505269 2.2150796472 -0.9040463119 0.1876775711 0.1876775711 0.1876775711 0.8164399496 0.3708505269 0.2586344211 0.9010270975 0.0547027459 0.7703776795 0.0207831830 0.7268239590 0.6104027674 0.0271990022
0.5651145899 0.7832519416 0.4558021293 1.9827635914 0.1876775711 0.1876775711 0.1876775711 0.5651145899 0.7832519416 0.5562235689 0.4243069256 0.8275752675 0.9965142758 0.9449930350 0.3044854282 0.2503273925 0.7559200721
0.8171129385 0.2964134509 2.2197905693 -1.4251058437 0.1876775711 0.1876775711 0.1876775711 0.8171129385 0.2964134509 0.5654772709 0.5128592317 0.0198202866 0.7798248010 0.2317731317 0.4678974726 0.1766392032 0.4048272992
0.7975650039 0.0498493513 2.0829550275 -3.1510545408 0.1876775711 0.1876775711 0.1876775711 0.7975650039 0.0498493513 0.2963407545 0.9566084176 0.2041419717 0.1075443806 0.1720003874 0.1696437747 0.8758333012 0.0927261748
0.7741799037 0.1679554473 1.9192593257 -2.3243118691 0.1876775711 0.1876775711 0.1876775711 0.7741799037 0.1679554473 0.4750237656 0.7175848156 0.9277439607 0.1298346133 0.3633393862 0.5411442503 0.7906670617 0.3271526996
0.1281187186 0.8880893523 -2.6031689697 2.7166254664 0.1876775711 0.1876775711 0.1876775711 0.1281187186 0.8880893523 0.7668563160 0.8758490636 0.0403316997 0.7130080561 0.8023610565 0.3517788397 0.1233896999 0.6768854397
0.6928250354 0.1533705954 1.3497752479 -2.4264058324 0.1876775711 0.1876775711 0.1876775711 0.6928250354 0.1533705954 0.6958263515 0.2101215786 0.3525330134 0.5653604350 0.9332094289 0.6241896268 0.6787576408 0.0198335071
0.3420167352 0.9732456004 -1.1058828535 3.3127192026 0.1876775711 0.1876775711 0.1876775711 0.3420167352 0.9732456004 0.5964758143 0.7280962446 0.6850711267 0.8917342567 0.2326419470 0.2652550087 0.3613147634 0.8223162956
0.2379913182 0.8040461272 -1.8340607729 2.1283228907 0.1876775711 0.1876775711 0.1876775711 0.2379913182 0.8040461272 0.1101897425 0.4375052466 0.0919967122 0.6720210418 0.2843561599 0.1929882667 0.1456339487 0.3084752561
0.4285537636 0.8400232421 -0.5001236545 2.3801626948 0.1876775711 0.1876775711 0.1876775711 0.4285537636 0.8400232421 0.6606571533 0.7831169754 0.3788602327 0.4959396303 0.9168503482 0.8659539571 0.8852429100 0.7541291413
0.7406989075 0.3538780852 1.6848923527 -1.0228534038 0.1876775711 0.1876775711 0.1876775711 0.7406989075 0.3538780852 0.7618330669 0.8234087655 0.3551448701 0.1279097713 0.2591687151 0.3566329700 0.7852528675 0.8024561752
0.3193499190 0.6604490870 -1.2645505673 1.1231436090 0.1876775711 0.1876775711 0.1876775711 0.3193499190 0.6604490870 0.4687566093 0.1771293069 0.0350031518 0.3897807526 0.8486086969 0.8913585497 0.1238017093 0.8889966025
0.7603545349 0.3867128993 1.8224817446 -0.7930097049 0.1876775711 0.1876775711 0.1876775711 0.7603545349 0.3867128993 0.3962994456 0.6157739574 0.9172263668 0.4595131178 0.4929369781 0.6642757348 0.7159633625 0.4884588804
0.3470580982 0.6502751562 -1.0705933126 1.0519260933 0.1936225173 0.1876775711 0.1876775711 0.3470580982 0.6502751562 0.7241919103 0.4230663203 0.6347002344 0.6767136815 0.2199299265 0.7424511917 0.5232368350 0.5660880148
0.9870455890 0.4050126569 3.4093191228 -0.6649114017 0.1876775711 0.1876775711 0.1876775711 0.9870455890 0.4050126569 0.6055269048 0.1495064674 0.2485418784 0.6847795564 0.6289217879 0.1066631144 0.0259144787 0.5383021040
0.0867674615 0.7019071103 -2.8926277694 1.4133497718 0.1876775711 0.1876775711 0.1876775711 0.0867674615 0.7019071103 0.1912632484 0.4976722704 0.4381347336 0.9277422622 0.5962431629 0.0481029992 0.3798425711 0.6084442072
0.2009409109 0.6569188423 -2.0934136239 1.0984318963 0.1876775711 0.1876775711 0.1876775711 0.2009409109 0.6569188423 0.3317176998 0.5668279999 0.5110590152 0.5915450230 0.2417011715 0.7202575392 0.3467099948 0.6817122778
0.2850307271 0.9645154721 -1.5047849106 3.2516083047 0.1876775711 0.1876775711 0.1876775711 0.2850307271 0.9645154721 0.1990024031 0.7005660821 0.4343059690 0.3582931101 0.2170678945 0.7471125813 0.0600386728 0.3709054881
0.1918045424 0.9014877855 -2.1573682034 2.8104144985 0.1876775711 0.1876775711 0.1876775711 0.1918045424 0.9014877855 0.0617452096 0.2568605372 0.3926879424 0.0383971020 0.7211490781 0.9154441234 0.4669358251 0.6079628395
0.0273181259 0.6541548340 -3.3087731186 1.0790838380 0.1876775711 0.1876775711 0.1876775711 0.0273181259 0.6541548340 0.1681078064 0.8514080162 0.3320662024 0.3735051261 0.2579401409 0.2287549429 0.2037516756 0.1462618258
0.5651145899 0.7832519416 0.4558021293 1.9827635914 0.1876775711 0.1876775711 0.1876775711 0.5651145899 0.7832519416 0.5562235689 0.4243069256 0.8275752675 0.9965142758 0.9449930350 0.3044854282 0.2503273925 0.7559200721
0.7722030435 0.1474613137 1.9054213045 -2.4677708043 0.1876775711 0.1876775711 0.1876775711 0.7722030435 0.1474613137 0.3741137948 0.6296012000 0.7538684712 0.4364251805 0.8427916102 0.6178835013 0.2875900963 0.6386186233
0.1094021480 0.6797561753 -2.7341849640 1.2582932270 0.1876775711 0.1876775711 0.1876775711 0.1094021480 0.6797561753 0.3722941939 0.7061416764 0.9788422386 0.3449701065 0.3755661175 0.5015675792 0.5376263594 0.6050739066
0.7686977315 0.0824201191 1.8808841204 -2.9230591660 0.1876775711 0.1876775711 0.1876775711 0.7686977315 0.0824201191 0.3659986713 0.8336487019 0.9713405892 0.0513096088 0.8843839400 0.2278454232 0.2768243300 0.4875484072
0.3040221351 0.8574522714 -1.3718450545 2.5021659001 0.1876775711 0.1876775711 0.1876775711 0.3040221351 0.8574522714 0.1555050339 0.5663450005 0.5396233872 0.8352380723 0.4468357160 0.1051967096 0.0506531780 0.6482114853
0.3470580982 0.6502751562 -1.0705933126 1.0519260933 0.1936225173 0.1876775711 0.1876775711 0.3470580982 0.6502751562 0.7241919103 0.4230663203 0.6347002344 0.6767136815 0.2199299265 0.7424511917 0.5232368350 0.5660880148
0.0098710710 0.9493390343 -3.4309025032 3.1453732399 0.1876775711 0.1876775711 0.1876775711 0.0098710710 0.9493390343 0.7376984095 0.2683710984 0.0642437244 0.1156362328 0.2090137039 0.8392750628 0.4029682892 0.3670604054
0.1558609129 0.7028418688 -2.4089736099 1.4198930819 0.1876775711 0.1876775711 0.1876775711 0.1558609129 0.7028418688 0.7076033882 0.5513012825 0.6165759914 0.8556298761 0.9034845116 0.3679585815 0.8319230339 0.8004290717
0.7362290958 0.3665002520 1.6536036709 -0.9344982357 0.1876775711 0.1876775711 0.1876775711 0.7362290958 0.3665002520 0.1296863340 0.6061042857 0.1114966651 0.9983706037 0.5831127181 0.3750007653 0.3296423595 0.0367991685
0.0527652168 0.6672582117 -3.1306434823 1.1708074818 0.1876775711 0.1876775711 0.1876775711 0.0527652168 0.6672582117 0.2548210889 0.5274508808 0.5692120677 0.2179270827 0.9678132100 0.3901625919 0.2153426873 0.8233004952
0.8671078095 0.2477795085 2.5697546665 -1.7655434408 0.1876775711 0.1876775711 0.1876775711 0.8671078095 0.2477795085 0.2952199108 0.8537555861 0.1286095431 0.1645502624 0.2435898183 0.5874201629 0.8162571982 0.5075987393
0.0725224496 0.9289459359 -2.9923428527 3.0026215514 0.1876775711 0.1876775711 0.1876775711 0.0725224496 0.9289459359 0.1257172020 0.4136954790 0.2175239282 0.0129666855 0.2779633875 0.1788956714 0.6745564300 0.0691665031
0.1729342656 0.7754294093 -2.2894601407 1.9280058653 0.1876775711 0.1876775711 0.1876775711 0.1729342656 0.7754294093 0.3569910758 0.7778526141 0.5440719736 0.7874272957 0.5311695002 0.3974274155 0.5082178650 0.7798097479
