# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.8469947453 0.9453636657 2.4289632173 3.1175456601 0.0002484695 0.0002484695 0.0002484695 0.8469947453 0.9453636657 0.8493700427 0.8243021794 0.6515013545 0.5488510369 0.3372530933 0.2448596110 0.5197817972 0.3473311381
0.1305045192 0.2703831049 -2.5864683657 -1.6073182659 0.0002484695 0.0002484695 0.0002484695 0.1305045192 0.2703831049 0.0835000511 0.0326062548 0.6132598212 0.2803891812 0.6267478365 0.4103614035 0.3359755691 0.0335303399
0.1486605156 0.8341959419 -2.4593763905 2.3393715931 0.0002484695 0.0002484695 0.0002484695 0.1486605156 0.8341959419 0.5992867054 0.2362722262 0.9876088803 0.4197319949 0.3488348883 0.0908097816 0.3061623265 0.8411533095
0.5114498733 0.2216578437 0.0801491129 -1.9483950940 0.0002484695 0.0002484695 0.0002484695 0.5114498733 0.2216578437 0.8354245167 0.4382641928 0.7460904430 0.1419528818 0.6471423578 0.4965129815 0.7857120294 0.4403199146
0.2114446865 0.6473833973 -2.0198871942 1.0316837810 0.0002484695 0.0002484695 0.0002484695 0.2114446865 0.6473833973 0.7897325707 0.9670258171 0.1085081811 0.4783593780 0.0734897217 0.8466174279 0.6626323699 0.8244057449
0.5526547925 0.6560560144 0.3685835476 1.0923921006 0.0002484695 0.0002484695 0.0002484695 0.5526547925 0.6560560144 0.7239492387 0.5579084136 0.8410533805 0.2946912162 0.6719498561 0.8988012440 0.2276708281 0.5012400194
0.3279545854 0.1549601841 -1.2043179025 -2.4152787110 0.0002484695 0.0002484695 0.0002484695 0.3279545854 0.1549601841 0.3228797731 0.4033365342 0.3740861700 0.8721379740 0.6859647474 0.2685775084 0.4112973643 0.3642277972
0.1957376487 0.6919102399 -2.1298364591 1.3433716790 0.0002484695 0.0002484695 0.0002484695 0.1957376487 0.6919102399 0.8863508841 0.6760354655 0.1560596026 0.6565006034 0.2717118273 0.9350541126 0.7073949191 0.4430682242
0.5174029296 0.8542797866 0.1218205069 2.4799585065 0.0002484695 0.0002484695 0.0002484695 0.5174029296 0.8542797866 0.3624669018 0.6572447232 0.0075610443 0.9504377715 0.2099605638 0.8339401276 0.8189568662 0.2286095078
0.0798987786 0.9912473931 -2.9407085498 3.4387317517 0.0002484695 0.0003037999 0.0002484695 0.0798987786 0.9912473931 0.9146625412 0.1771833640 0.4753941824 0.1870985781 0.5169040222 0.7623881343 0.6719237847 0.9242514729
