# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.7953178405 0.0363718028 2.0672248838 -3.2453973801 0.0056675107 0.0002484695 0.0002484695 0.7953178405 0.0363718028 0.4418851224 0.7962611790 0.4399580148 0.3593383202 0.4429760851 0.1313165511 0.4951573511 0.6058261102
0.7953178405 0.0363718028 2.0672248838 -3.2453973801 0.0056675107 0.0002484695 0.0002484695 0.7953178405 0.0363718028 0.4418851224 0.7962611790 0.4399580148 0.3593383202 0.4429760851 0.1313165511 0.4951573511 0.6058261102
0.7841187380 0.0000000000 1.9888311659 -3.5000000000 0.0013922214 0.0002484695 0.0002484695 0.7841187380 0.0000000000 0.4316472778 0.6800885273 0.3706564934 0.4066077869 0.0831092933 0.2041977386 0.2065169795 0.3675824209
0.6840636864 0.1734300240 1.2884458051 -2.2859898320 0.0008729537 0.0002484695 0.0002484695 0.6840636864 0.1734300240 0.3880923313 0.7451829813 0.4340898182 0.1194910157 0.3603809952 0.1538395091 0.3059916676 0.5837406527
0.8040878473 0.0312764753 2.1286149312 -3.2810646729 0.0006015365 0.0002484695 0.0002484695 0.8040878473 0.0312764753 0.4879727445 0.9389394727 0.2432317514 0.4407227011 0.4623008752 0.0000000000 0.4022115408 0.4761346766
0.7143418758 0.0000000000 1.5003931309 -3.5000000000 0.0005737369 0.0002484695 0.0002484695 0.7143418758 0.0000000000 0.3651325808 0.7526957248 0.4193165660 0.1584718560 0.3782034552 0.0000000000 0.5029500042 0.5700491698
0.7519822329 0.0083179934 1.7638756302 -3.4417740463 0.0004905943 0.0001757398 0.0001757398 0.7519822329 0.0083179934 0.3141279830 0.6811091574 0.3478229677 0.1946181964 0.2618183966 0.3514754861 0.5210921289 0.2222905439
0.8397591107 0.0755888459 2.3783137752 -2.9708780784 0.0004825090 0.0001757398 0.0001757398 0.8397591107 0.0755888459 0.2972205053 0.6647823729 0.2383563968 0.1929968281 0.5291299099 0.3105365186 0.1886205605 0.6087517278
0.7677271103 0.2683692459 1.8740897722 -1.6214152789 0.0004135160 0.0002484695 0.0002484695 0.7677271103 0.2683692459 0.4687721616 0.7261079547 0.3440230350 0.0000000000 0.3128315348 0.1405782879 0.3860660005 0.6004227921
0.8250926918 0.0938792606 2.2756488428 -2.8428451758 0.0004012798 0.0001757398 0.0001757398 0.8250926918 0.0938792606 0.4088316272 0.8547164930 0.2865129287 0.1307159795 0.3583633357 0.3365550482 0.2904779576 0.8330540117
0.6376935418 0.0000000000 0.9638547927 -3.5000000000 0.0003720343 0.0002484695 0.0002484695 0.6376935418 0.0000000000 0.3588542433 0.7629679911 0.3803796773 0.1052607359 0.2562366589 0.0000000000 0.4257959923 0.4178788044
0.8812072734 0.1630402206 2.6684509140 -2.3587184557 0.0003663204 0.0002484695 0.0002484695 0.8812072734 0.1630402206 0.3901266538 0.7884998292 0.4975583129 0.6501934298 0.4930648030 0.0000000000 0.5098536976 0.4489434788
0.6838006968 0.1015540707 1.2866048776 -2.7891215050 0.0003649082 0.0002484695 0.0002484695 0.6838006968 0.1015540707 0.4399469690 0.7118203523 0.3500274585 0.0000000000 0.4379495804 0.1371086347 0.5044564042 0.8331950981
0.7231929039 0.0000000000 1.5623503274 -3.5000000000 0.0003509582 0.0002484695 0.0002484695 0.7231929039 0.0000000000 0.4485796616 0.8137426883 0.5082183321 0.1064028924 0.4205049025 0.1072929273 0.3361726595 0.6999159493
0.7803995985 0.2597161828 1.9627971892 -1.6819867206 0.0003324087 0.0002484695 0.0002484695 0.7803995985 0.2597161828 0.3829820651 0.4711139686 0.4072201280 0.2746596236 0.5775710666 0.2015981552 0.5743756943 0.4987896221
0.6981198255 0.0000000000 1.3868387785 -3.5000000000 0.0003227727 0.0002484695 0.0002484695 0.6981198255 0.0000000000 0.4210577689 0.6493051133 0.4016693256 0.3247462051 0.4341790644 0.0000000000 0.5567218764 0.8617257882
0.7226755376 0.1390849280 1.5587287635 -2.5264055039 0.0003219136 0.0002484695 0.0002484695 0.7226755376 0.1390849280 0.4061760797 0.5222119876 0.4579759666 0.0000000000 0.3685988572 0.1348366700 0.2757201905 0.5961757507
0.7880817448 0.0425546353 2.0165722133 -3.2021175528 0.0003211934 0.0001757398 0.0001757398 0.7880817448 0.0425546353 0.3379069684 0.9607122956 0.2781577694 0.4575105329 0.2604716644 0.0000000000 0.5606401767 0.5564919392
1.0000000000 0.0000000000 3.5000000000 -3.5000000000 0.0002990950 0.0002484695 0.0002484695 1.0000000000 0.0000000000 0.4970180032 0.8043074225 0.2953724025 0.3141643674 0.5799046426 0.3947772558 0.4189192369 0.5365358096
0.5875131784 0.0436813320 0.6125922485 -3.1942306757 0.0002831092 0.0002484695 0.0002484695 0.5875131784 0.0436813320 0.4772255654 0.6589655682 0.3834990836 0.4510941985 0.5072677070 0.0122203238 0.5141266861 0.7885775296
1.0000000000 0.0000000000 3.5000000000 -3.5000000000 0.0002744911 0.0002484695 0.0002484695 1.0000000000 0.0000000000 0.4883567203 0.7676084601 0.5177535148 0.3783564429 0.3624355673 0.0000000000 0.4445303426 0.5073401026
0.9638771037 0.8558126532 3.2471397256 2.4906885726 0.0002681939 0.0002484695 0.0002484695 0.9638771037 0.8558126532 0.8203195420 0.7086264421 0.4233774793 0.3261567203 0.6378171755 0.2404964364 0.4204527938 0.3930957756
0.9353223725 0.0000000000 3.0472566078 -3.5000000000 0.0002653776 0.0002484695 0.0002484695 0.9353223725 0.0000000000 0.3726928211 0.9349882191 0.4487679354 0.1018673919 0.3047997424 0.2071891528 0.5368323721 0.4074709411
0.7558701009 0.0188370912 1.7910907061 -3.3681403615 0.0002541443 0.0002484695 0.0002484695 0.7558701009 0.0188370912 0.3019380585 0.7679830311 0.4138920658 0.0975101422 0.2783115951 0.0000000000 0.5712235553 0.7936672237
0.8164439020 0.8288890911 2.2151073139 2.3022236379 0.0002519622 0.0002484695 0.0002484695 0.8164439020 0.8288890911 0.9782958383 0.8179812761 0.4532754792 0.1244193642 0.1513002860 0.9339952808 0.5967312414 0.4463113766
0.5499562117 0.0000000000 0.3496934820 -3.5000000000 0.0002515469 0.0002484695 0.0002484695 0.5499562117 0.0000000000 0.4567268822 0.8116273548 0.4616952596 0.1904929089 0.2965735568 0.2868680761 0.3784892350 0.5939023976
0.7488353230 0.0000000000 1.7418472613 -3.5000000000 0.0002485501 0.0002484786 0.0002484786 0.7488353230 0.0000000000 0.7273629196 0.3425464809 0.6091351077 0.2236176533 0.3351828786 0.3836617577 0.4540379261 0.4442540246
0.4164384243 0.3970377380 -0.5849310297 -0.7207358339 0.0002484695 0.0002484695 0.0002484695 0.4164384243 0.3970377380 0.1851694911 0.8441406865 0.0078336056 0.6368138231 0.1519974909 0.7328924609 0.0726269842 0.1060902387
0.4288455936 0.3689086797 -0.4980808451 -0.9176392423 0.0002484695 0.0002484695 0.0002484695 0.4288455936 0.3689086797 0.1683051881 0.7967232325 0.0297691943 0.7073941617 0.1374743450 0.7562281412 0.0923790694 0.1118817749
0.4780888223 0.5489644484 -0.1533782437 0.3427511391 0.0002484695 0.0003037999 0.0002484695 0.4780888223 0.5489644484 0.8920544563 0.5195239255 0.2905917065 0.3920687149 0.1708525021 0.1510223686 0.0000000000 0.2093090185
0.4179626204 0.5338584885 -0.5742616574 0.2370094194 0.0002484695 0.0003037999 0.0002484695 0.4179626204 0.5338584885 0.6676385974 0.3127661851 0.4823383956 1.0000000000 0.0842353915 0.6054943230 0.1455913978 0.7237525187
0.6140621144 0.4419343095 0.7984348007 -0.4064598336 0.0002484695 0.0002484695 0.0002484695 0.6140621144 0.4419343095 0.2580832477 0.8705942843 0.5810271648 0.4685277129 0.4743554974 0.4991548176 0.2210019873 0.5048094495
0.7678785252 0.7968242926 1.8751496765 2.0777700485 0.0002484695 0.0002484695 0.0002484695 0.7678785252 0.7968242926 0.1169423335 0.9698756779 0.4780246268 0.2301364929 0.3418083232 0.5724098571 0.2184924726 0.2400825086
0.4409598288 0.9731550155 -0.4132811985 3.3120851088 0.0002484695 0.0002484695 0.0002484695 0.4409598288 0.9731550155 0.1575026042 0.5521477688 0.4544642202 0.6473351349 0.2071538793 0.0148764830 0.1257047096 0.7360336752
0.3147777543 0.5493396439 -1.2965557201 0.3453775075 0.0002484695 0.0002484695 0.0002484695 0.3147777543 0.5493396439 0.2417988608 0.8592457345 0.3906888557 0.0004038843 0.6271260228 0.1220025619 0.0211728226 0.1466816366
0.3028781870 0.9165704708 -1.3798526910 2.9159932953 0.0002484695 0.0002484695 0.0002484695 0.3028781870 0.9165704708 0.0242704729 0.6593381505 0.3700839820 0.3107936968 0.0228953389 0.6083367083 0.4985537143 0.5447121138
0.3161586829 0.6852642432 -1.2868892198 1.2968497023 0.0002484695 0.0002484695 0.0002484695 0.3161586829 0.6852642432 0.1284522667 0.7355458573 0.8140180365 0.0799690323 0.1275054998 0.6936699459 0.0737070496 0.7275546757
