# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.8202389803 0.3999249660 2.2416728621 -0.7005252380 36.3349537748 71.6981992974 36.3349537748 0.8202389803 0.3999249660
0.4647649738 0.3242521654 -0.2466451837 -1.2302348419 36.3349537748 36.3349537748 36.3349537748 0.4647649738 0.3242521654
0.8798538515 0.5111889989 2.6589769607 0.0783229920 36.3349537748 36.3349537748 36.3349537748 0.8798538515 0.5111889989
0.3137018798 0.2170754444 -1.3040868412 -1.9804718890 30.3138578493 36.3349537748 30.3138578493 0.3137018798 0.2170754444
0.6019323178 0.6286168397 0.7135262247 0.9003178780 36.3349537748 36.3349537748 36.3349537748 0.6019323178 0.6286168397
0.6393359138 0.6434998325 0.9753513963 1.0044988278 36.3349537748 39.7214886700 36.3349537748 0.6393359138 0.6434998325
0.7159859950 0.7250494649 1.5119019653 1.5753462540 30.9516796030 36.3349537748 30.9516796030 0.7159859950 0.7250494649
0.0182703003 0.6993397829 -3.3721078980 1.3953784804 25.2079813852 21.8203483292 21.8203483292 0.0182703003 0.6993397829
0.6403808211 0.6471343452 0.9826657475 1.0299404162 36.3349537748 38.9846809783 36.3349537748 0.6403808211 0.6471343452
0.7117033713 0.7262752492 1.4819235991 1.5839267447 30.9516796030 36.3349537748 30.9516796030 0.7117033713 0.7262752492
0.1546850366 0.5240678364 -2.4172047437 0.1684748545 36.3349537748 36.3349537748 36.3349537748 0.1546850366 0.5240678364
0.2378176112 0.8854884715 -1.8352767216 2.6984193005 69.1761222185 41.6367434912 41.6367434912 0.2378176112 0.8854884715
0.6915676273 0.0530046334 1.3409733910 -3.1289675663 25.2689056918 22.1048591903 22.1048591903 0.6915676273 0.0530046334
0.1567878479 0.4308614621 -2.4024850647 -0.4839697654 36.3349537748 36.3349537748 36.3349537748 0.1567878479 0.4308614621
0.0405846003 0.0933248066 -3.2159077981 -2.8467263537 36.3349537748 36.3349537748 36.3349537748 0.0405846003 0.0933248066
0.3106755051 0.9819213197 -1.3252714643 3.3734492381 36.3349537748 36.3349537748 36.3349537748 0.3106755051 0.9819213197
0.4353124555 0.5482412055 -0.4528128113 0.3376884382 36.3349537748 36.3349537748 36.3349537748 0.4353124555 0.5482412055
0.6162752517 0.6761381241 0.8139267620 1.2329668684 30.8615836352 36.3349537748 30.8615836352 0.6162752517 0.6761381241
0.5026853638 0.4627053811 0.0187975467 -0.2610623324 36.3349537748 36.3349537748 36.3349537748 0.5026853638 0.4627053811
0.0121253590 0.3009158180 -3.4151224869 -1.3935892739 36.3349537748 36.3349537748 36.3349537748 0.0121253590 0.3009158180
0.4235251612 0.3992278677 -0.5353238715 -0.7054049258 36.3349537748 51.1969890582 36.3349537748 0.4235251612 0.3992278677
0.5426544044 0.7591078032 0.2985808311 1.8137546221 30.8615836352 36.3349537748 30.8615836352 0.5426544044 0.7591078032
0.7327911769 0.0047457420 1.6295382384 -3.4667798059 25.2689056918 22.1048591903 22.1048591903 0.7327911769 0.0047457420
0.4147580735 0.0357930670 -0.5966934852 -3.2494485313 30.3138578493 23.5625552046 23.5625552046 0.4147580735 0.0357930670
0.9920112140 0.3033257660 3.4440784980 -1.3767196382 36.3349537748 36.3349537748 36.3349537748 0.9920112140 0.3033257660
0.2118890663 0.2421737528 -2.0167765359 -1.8047837306 36.3349537748 36.3349537748 36.3349537748 0.2118890663 0.2421737528
0.7308039168 0.3406253312 1.6156274178 -1.1156226816 36.3349537748 36.3349537748 36.3349537748 0.7308039168 0.3406253312
0.7411675467 0.6958532870 1.6881728267 1.3709730093 30.9516796030 36.3349537748 30.9516796030 0.7411675467 0.6958532870
0.4984907306 0.1462335938 -0.0105648861 -2.4763648434 36.3349537748 40.2993907852 36.3349537748 0.4984907306 0.1462335938
0.6411613844 0.5305201034 0.9881296906 0.2136407236 36.3349537748 36.3349537748 36.3349537748 0.6411613844 0.5305201034
0.1731502442 0.7519201594 -2.2879482907 1.7634411161 36.3349537748 27.2038660727 27.2038660727 0.1731502442 0.7519201594
0.8632363583 0.5480407239 2.5426545080 0.3362850674 36.3349537748 36.3349537748 36.3349537748 0.8632363583 0.5480407239
0.6556828760 0.5160199142 1.0897801321 0.1121393995 36.3349537748 36.3349537748 36.3349537748 0.6556828760 0.5160199142
0.9982658808 0.3712885559 3.4878611653 -0.9009801090 36.3349537748 36.3349537748 36.3349537748 0.9982658808 0.3712885559
0.2661438633 0.9550087846 -1.6369929568 3.1850614919 36.3349537748 36.3349537748 36.3349537748 0.2661438633 0.9550087846
0.2275933858 0.4438725727 -1.9068462992 -0.3928919911 36.3349537748 36.3349537748 36.3349537748 0.2275933858 0.4438725727
0.1415358699 0.1374648003 -2.5092489105 -2.5377463981 36.3349537748 23.5625552046 23.5625552046 0.1415358699 0.1374648003
0.3264019363 0.5586230380 -1.2151864461 0.4103612661 63.7066295638 51.4012056043 51.4012056043 0.3264019363 0.5586230380
0.5660376396 0.6750241157 0.4622634770 1.2251688100 30.8615836352 36.3349537748 30.8615836352 0.5660376396 0.6750241157
