# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.3378753910 0.4867134150 -1.1348722632 -0.0930060953 89.9874131558 89.9985266411 89.9874131558 0.3378753910 0.4867134150
0.9354398267 0.9187466662 3.0480787871 2.9312266632 89.9805254214 89.9360130326 89.9360130326 0.9354398267 0.9187466662
0.2864867302 0.8529052136 -1.4945928885 2.4703364951 89.9908774727 89.9187839095 89.9187839095 0.2864867302 0.8529052136
0.0912266605 0.3149065340 -2.8614133763 -1.2956542620 89.8482289845 89.9466162795 89.8482289845 0.0912266605 0.3149065340
0.7454440810 0.4066474404 1.7181085672 -0.6534679170 89.4737960549 89.4946250352 89.4737960549 0.7454440810 0.4066474404
0.5595908405 0.4829775611 0.4171358836 -0.1191570723 89.2462418477 89.9579538002 89.2462418477 0.5595908405 0.4829775611
0.9685361022 0.9036840909 3.2797527154 2.8257886360 83.5898240900 75.8189142486 75.8189142486 0.9685361022 0.9036840909
0.3467661981 0.4543107290 -1.0726366132 -0.3198248971 74.4825718117 78.0283064532 74.4825718117 0.3467661981 0.4543107290
0.3290004873 0.5259783390 -1.1969965892 0.1818483730 74.6521537280 73.3026769482 73.3026769482 0.3290004873 0.5259783390
0.5588755533 0.4396725757 0.4121288728 -0.4222919699 73.1040393418 74.3576374057 73.1040393418 0.5588755533 0.4396725757
0.5713332568 0.5076228397 0.4993327977 0.0533598776 72.6382934946 88.7063595717 72.6382934946 0.5713332568 0.5076228397
0.2579452227 0.8684025443 -1.6943834413 2.5788178098 79.4607887555 68.9782125098 68.9782125098 0.2579452227 0.8684025443
