# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.2864867302 0.8529052136 -1.4945928885 2.4703364951 89.9908774727 89.9187839095 89.9187839095 0.2864867302 0.8529052136
0.2864867302 0.8529052136 -1.4945928885 2.4703364951 89.9908774727 89.9187839095 89.9187839095 0.2864867302 0.8529052136
0.3378753910 0.4867134150 -1.1348722632 -0.0930060953 89.9874131558 89.9985266411 89.9874131558 0.3378753910 0.4867134150
0.3378753910 0.4867134150 -1.1348722632 -0.0930060953 89.9874131558 89.9985266411 89.9874131558 0.3378753910 0.4867134150
0.9354398267 0.9187466662 3.0480787871 2.9312266632 89.9805254214 89.9360130326 89.9360130326 0.9354398267 0.9187466662
0.9354398267 0.9187466662 3.0480787871 2.9312266632 89.9805254214 89.9360130326 89.9360130326 0.9354398267 0.9187466662
0.0919799599 0.3104130709 -2.8561402806 -1.3271085037 89.9635715150 89.3866700666 89.3866700666 0.0919799599 0.3104130709
0.0919799599 0.3104130709 -2.8561402806 -1.3271085037 89.9635715150 89.3866700666 89.3866700666 0.0919799599 0.3104130709
0.3386045127 0.4865528415 -1.1297684114 -0.0941301093 89.8443376422 89.9822824633 89.8443376422 0.3386045127 0.4865528415
0.7461432951 0.4194529469 1.7230030654 -0.5638293718 89.8120460839 84.7712365403 84.7712365403 0.7461432951 0.4194529469
0.7461432951 0.4194529469 1.7230030654 -0.5638293718 89.8120460839 84.7712365403 84.7712365403 0.7461432951 0.4194529469
0.3385887779 0.4845249855 -1.1298785547 -0.1083251012 89.7961998931 89.9467018989 89.7961998931 0.3385887779 0.4845249855
0.3386237440 0.4890313322 -1.1296337918 -0.0767806747 89.6980364831 89.7509150922 89.6980364831 0.3386237440 0.4890313322
0.5598540464 0.4869331515 0.4189783246 -0.0914679396 89.5693731707 88.6532830062 88.6532830062 0.5598540464 0.4869331515
0.5598540464 0.4869331515 0.4189783246 -0.0914679396 89.5693731707 88.6532830062 88.6532830062 0.5598540464 0.4869331515
0.3369114116 0.4810017960 -1.1416201189 -0.1329874278 89.5255902797 88.6897286272 88.6897286272 0.3369114116 0.4810017960
0.3356734923 0.4902172426 -1.1502855541 -0.0684793017 89.3436731757 89.9540414550 89.3436731757 0.3356734923 0.4902172426
0.2902833338 0.8523740982 -1.4680166632 2.4666186876 89.2003498588 89.8121534619 89.2003498588 0.2902833338 0.8523740982
0.3358022386 0.4850304201 -1.1493843295 -0.1047870595 89.1305066053 89.4286255322 89.1305066053 0.3358022386 0.4850304201
0.3368825101 0.4744225216 -1.1418224295 -0.1790423490 88.8233484798 85.0356715624 85.0356715624 0.3368825101 0.4744225216
0.3392888712 0.4735150777 -1.1249779016 -0.1853944562 88.7759471651 85.8939431957 85.8939431957 0.3392888712 0.4735150777
0.3354011802 0.4970258489 -1.1521917386 -0.0208190579 88.6831150737 88.5717988266 88.5717988266 0.3354011802 0.4970258489
0.3373565272 0.4698157503 -1.1385043093 -0.2112897477 88.6555814361 83.7453545246 83.7453545246 0.3373565272 0.4698157503
0.3363320277 0.4767414376 -1.1456758064 -0.1628099367 88.6109401030 86.8768012986 86.8768012986 0.3363320277 0.4767414376
0.3346795796 0.4931528942 -1.1572429430 -0.0479297407 88.4026245234 89.8669896739 88.4026245234 0.3346795796 0.4931528942
0.3367136785 0.5116598183 -1.1430042507 0.0816187284 88.3591119177 78.3184343342 78.3184343342 0.3367136785 0.5116598183
0.3346259118 0.4931528942 -1.1576186171 -0.0479297407 88.3545532817 89.8751823932 88.3545532817 0.3346259118 0.4931528942
0.2972148455 0.8429140053 -1.4194960812 2.4003980368 88.2656362373 36.3349537748 36.3349537748 0.2972148455 0.8429140053
0.3393089055 0.4669774037 -1.1248376617 -0.2311581743 88.1534073186 82.3142564112 82.3142564112 0.3393089055 0.4669774037
0.3382787616 0.4601208378 -1.1320486688 -0.2791541351 88.1326022593 76.1114504413 76.1114504413 0.3382787616 0.4601208378
0.2771066594 0.8575957095 -1.5602533844 2.5031699666 88.0627735417 86.7780886156 86.7780886156 0.2771066594 0.8575957095
0.2763462796 0.8582839607 -1.5655760429 2.5079877248 88.0534054963 85.8338907814 85.8338907814 0.2763462796 0.8582839607
0.3397157668 0.4682337408 -1.1219896323 -0.2223638145 87.9257338626 83.5294128728 83.5294128728 0.3397157668 0.4682337408
0.3346795796 0.5019630166 -1.1572429430 0.0137411161 87.5612409141 87.4208706936 87.4208706936 0.3346795796 0.5019630166
0.2750802309 0.8578576548 -1.5744383834 2.5050035839 87.4651590212 86.8590283401 86.8590283401 0.2750802309 0.8578576548
0.3005943469 0.8437329276 -1.3958395717 2.4061304931 87.3447056150 36.3349537748 36.3349537748 0.3005943469 0.8437329276
