# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.6042879856 0.3390067737 0.7300158995 -1.1269525838 31.4333728099 31.4333728099 31.4333728099 0.6042879856 0.3390067737
0.6427684610 0.6330266139 0.9993792268 0.9311862972 26.1127851713 54.6066972183 26.1127851713 0.6427684610 0.6330266139
0.9672081138 0.6115328762 3.2704567967 0.7807301336 31.4333728099 22.2318930370 22.2318930370 0.9672081138 0.6115328762
0.8330138977 0.8095053246 2.3310972839 2.1665372724 31.4333728099 31.4333728099 31.4333728099 0.8330138977 0.8095053246
0.9205445140 0.4599070327 2.9438115981 -0.2806507712 31.4333728099 22.2318930370 22.2318930370 0.9205445140 0.4599070327
0.9445649837 0.3595240148 3.1119548856 -0.9833318967 31.4333728099 31.4333728099 31.4333728099 0.9445649837 0.3595240148
0.4464849562 0.9544835159 -0.3746053063 3.1813846112 23.1086539393 31.4333728099 23.1086539393 0.4464849562 0.9544835159
0.9842136797 0.3746914098 3.3894957582 -0.8771601315 31.4333728099 31.4333728099 31.4333728099 0.9842136797 0.3746914098
0.5217989694 0.6884796871 0.1525927856 1.3193578095 26.1127851713 31.4333728099 26.1127851713 0.5217989694 0.6884796871
0.5781431572 0.6932837161 0.5470021007 1.3529860125 26.1127851713 31.4333728099 26.1127851713 0.5781431572 0.6932837161
0.2008828251 0.5009693427 -2.0938202241 0.0067853986 31.4333728099 24.5326185909 24.5326185909 0.2008828251 0.5009693427
0.5257995538 0.4738657433 0.1805968763 -0.1829397966 26.1127851713 26.2137118364 26.1127851713 0.5257995538 0.4738657433
0.9953699219 0.3436408914 3.4675894535 -1.0945137599 31.4333728099 31.4333728099 31.4333728099 0.9953699219 0.3436408914
0.9080884353 0.8666836037 2.8566190471 2.5667852262 25.3776017585 25.6550893350 25.3776017585 0.9080884353 0.8666836037
0.9278551230 0.7375646133 2.9949858613 1.6629522929 31.4333728099 22.2318930370 22.2318930370 0.9278551230 0.7375646133
0.1350287325 0.8646232286 -2.5547988727 2.5523626002 31.4333728099 31.4333728099 31.4333728099 0.1350287325 0.8646232286
0.7188731145 0.3468844402 1.5321118013 -1.0718089185 31.4333728099 31.4333728099 31.4333728099 0.7188731145 0.3468844402
0.3868424052 0.4081314064 -0.7921031635 -0.6430801550 31.4333728099 31.4333728099 31.4333728099 0.3868424052 0.4081314064
0.3388348641 0.0460039285 -1.1281559510 -3.1779725008 42.7095759937 31.4333728099 31.4333728099 0.3388348641 0.0460039285
0.1794147072 0.9908981489 -2.2440970497 3.4362870420 31.4333728099 31.4333728099 31.4333728099 0.1794147072 0.9908981489
0.1426152658 0.0894730979 -2.5016931395 -2.8736883147 31.4333728099 31.4333728099 31.4333728099 0.1426152658 0.0894730979
0.5310034658 0.6806039252 0.2170242604 1.2642274761 26.1127851713 31.4333728099 26.1127851713 0.5310034658 0.6806039252
0.1077513051 0.0704276919 -2.7457408640 -3.0070061565 32.1457219104 31.4333728099 31.4333728099 0.1077513051 0.0704276919
0.0029323821 0.2607417867 -3.4794733254 -1.6748074929 31.4333728099 31.4333728099 31.4333728099 0.0029323821 0.2607417867
0.9779673601 0.5375043886 3.3457715209 0.2625307199 31.4333728099 22.2318930370 22.2318930370 0.9779673601 0.5375043886
0.6756650671 0.9555385453 1.2296554698 3.1887698169 25.3776017585 31.4333728099 25.3776017585 0.6756650671 0.9555385453
0.9487789347 0.9204810725 3.1414525429 2.9433675077 25.3776017585 25.6550893350 25.3776017585 0.9487789347 0.9204810725
0.1533660171 0.7986944956 -2.4264378802 2.0908614695 31.4333728099 31.4333728099 31.4333728099 0.1533660171 0.7986944956
0.0978807670 0.0958187341 -2.8148346312 -2.8292688613 34.8314342557 31.4333728099 31.4333728099 0.0978807670 0.0958187341
0.2455979859 0.9924483976 -1.7808140986 3.4471387830 23.1086539393 31.4333728099 23.1086539393 0.2455979859 0.9924483976
0.2941511584 0.8458425187 -1.4409418912 2.4208976311 23.1086539393 31.4333728099 23.1086539393 0.2941511584 0.8458425187
0.1836352461 0.3722136053 -2.2145532774 -0.8945047629 31.4333728099 31.4333728099 31.4333728099 0.1836352461 0.3722136053
0.5684781826 0.5267205748 0.4793472783 0.1870440236 26.1127851713 26.2137118364 26.1127851713 0.5684781826 0.5267205748
0.9693109956 0.5153745771 3.2851769693 0.1076220397 31.4333728099 22.2318930370 22.2318930370 0.9693109956 0.5153745771
0.1142912102 0.2709446568 -2.6999615284 -1.6033874025 31.4333728099 31.4333728099 31.4333728099 0.1142912102 0.2709446568
0.5046718294 0.2289648547 0.0327028059 -1.8972460170 46.5842426284 31.4333728099 31.4333728099 0.5046718294 0.2289648547
0.6320805151 0.2331189111 0.9245636059 -1.8681676225 31.4333728099 31.4333728099 31.4333728099 0.6320805151 0.2331189111
0.1306269578 0.5961267465 -2.5856112953 0.6728872252 25.3213441936 31.4333728099 25.3213441936 0.1306269578 0.5961267465
0.1982853752 0.7786135383 -2.1120023734 1.9502947680 25.3213441936 31.4333728099 25.3213441936 0.1982853752 0.7786135383
0.0241430419 0.8825819694 -3.3309987064 2.6780737858 31.4333728099 31.4333728099 31.4333728099 0.0241430419 0.8825819694
0.8723402949 0.0718725076 2.6063820646 -2.9968924468 49.9025346536 51.5939261415 49.9025346536 0.8723402949 0.0718725076
0.6894449797 0.9116421420 1.3261148581 2.8814949942 25.3776017585 31.4333728099 25.3776017585 0.6894449797 0.9116421420
0.8671383357 0.6178078205 2.5699683497 0.8246547433 31.4333728099 22.2318930370 22.2318930370 0.8671383357 0.6178078205
0.1003260941 0.0827547159 -2.7977173416 -2.9207169887 33.9074252154 31.4333728099 31.4333728099 0.1003260941 0.0827547159
0.6242326167 0.0133574535 0.8696283169 -3.4064978257 31.4333728099 34.3632513085 31.4333728099 0.6242326167 0.0133574535
0.4921570653 0.8944486743 -0.0549005430 2.7611407204 40.2164296375 31.4333728099 31.4333728099 0.4921570653 0.8944486743
0.5555487764 0.2164378172 0.3888414351 -1.9849352793 29.0098222828 31.4333728099 29.0098222828 0.5555487764 0.2164378172
0.8928854294 0.6291712537 2.7501980059 0.9041987757 31.4333728099 22.2318930370 22.2318930370 0.8928854294 0.6291712537
0.2392774216 0.7871798297 -1.8250580487 2.0102588077 31.4333728099 31.4333728099 31.4333728099 0.2392774216 0.7871798297
0.5224249650 0.8144643619 0.1569747549 2.2012505333 20.6165225498 31.4333728099 20.6165225498 0.5224249650 0.8144643619
0.2205180215 0.8062548470 -1.9563738496 2.1437839289 31.4333728099 31.4333728099 31.4333728099 0.2205180215 0.8062548470
0.1416395408 0.1349184161 -2.5085232142 -2.5555710870 31.4333728099 31.4333728099 31.4333728099 0.1416395408 0.1349184161
0.0318327197 0.4677131530 -3.2771709621 -0.2260079290 34.3732030665 27.5203427878 27.5203427878 0.0318327197 0.4677131530
0.2092637336 0.4661673897 -2.0351538647 -0.2368282723 31.4333728099 24.5326185909 24.5326185909 0.2092637336 0.4661673897
0.1926126297 0.1983128346 -2.1517115922 -2.1118101580 31.4333728099 31.4333728099 31.4333728099 0.1926126297 0.1983128346
0.9050075983 0.6140144986 2.8350531879 0.7981014903 31.4333728099 22.2318930370 22.2318930370 0.9050075983 0.6140144986
0.5934336937 0.1674318646 0.6540358561 -2.3279769477 32.3680103069 31.4333728099 31.4333728099 0.5934336937 0.1674318646
0.8398449007 0.8784993775 2.3789143052 2.6494956422 25.3776017585 31.4333728099 25.3776017585 0.8398449007 0.8784993775
0.8465744926 0.3031799936 2.4260214481 -1.3777400451 31.4333728099 31.4333728099 31.4333728099 0.8465744926 0.3031799936
0.5652903427 0.1580857460 0.4570323989 -2.3933997781 29.0098222828 31.4333728099 29.0098222828 0.5652903427 0.1580857460
0.8057666766 0.6005698595 2.1403667365 0.7039890162 31.4333728099 31.4333728099 31.4333728099 0.8057666766 0.6005698595
0.5052082966 0.7345801942 0.0364580765 1.6420613595 20.6165225498 31.4333728099 20.6165225498 0.5052082966 0.7345801942
0.6443102358 0.4753776360 1.0101716503 -0.1723565481 31.4333728099 26.2137118364 26.2137118364 0.6443102358 0.4753776360
0.9936601328 0.1908297741 3.4556209298 -2.1641915811 31.4333728099 31.4333728099 31.4333728099 0.9936601328 0.1908297741
0.7114322522 0.2408449933 1.4800257656 -1.8140850469 31.4333728099 31.4333728099 31.4333728099 0.7114322522 0.2408449933
0.1318598459 0.6350505715 -2.5769810790 0.9453540008 40.9804626335 31.4333728099 31.4333728099 0.1318598459 0.6350505715
0.5790314306 0.1317057005 0.5532200144 -2.5780600968 29.0098222828 31.4333728099 29.0098222828 0.5790314306 0.1317057005
0.2883335232 0.8200454667 -1.4816653376 2.2403182668 31.4333728099 31.4333728099 31.4333728099 0.2883335232 0.8200454667
