# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7750129678 0.6857184130 1.9250907746 1.3000288911 89.9850434594 89.8897569425 89.8897569425 0.7750129678 0.6857184130
0.7750129678 0.6857184130 1.9250907746 1.3000288911 89.9850434594 89.8897569425 89.8897569425 0.7750129678 0.6857184130
0.7181990232 0.1061142520 1.5273931625 -2.7572002360 89.9534956814 89.8818315390 89.8818315390 0.7181990232 0.1061142520
0.7181990232 0.1061142520 1.5273931625 -2.7572002360 89.9534956814 89.8818315390 89.8818315390 0.7181990232 0.1061142520
0.0621716174 0.9275124857 -3.0647986779 2.9925873998 89.9119645317 89.9709244195 89.9119645317 0.0621716174 0.9275124857
0.0621716174 0.9275124857 -3.0647986779 2.9925873998 89.9119645317 89.9709244195 89.9119645317 0.0621716174 0.9275124857
0.7196253457 0.1041134126 1.5373774198 -2.7712061115 89.9062111773 89.9224747235 89.9062111773 0.7196253457 0.1041134126
0.3469115683 0.0665641189 -1.0716190218 -3.0340511679 89.9038552708 89.4186985465 89.4186985465 0.3469115683 0.0665641189
0.3469115683 0.0665641189 -1.0716190218 -3.0340511679 89.9038552708 89.4186985465 89.4186985465 0.3469115683 0.0665641189
0.4004808378 0.3003824509 -0.6966341353 -1.3973228440 89.8661422357 89.9525244540 89.8661422357 0.4004808378 0.3003824509
0.4004808378 0.3003824509 -0.6966341353 -1.3973228440 89.8661422357 89.9525244540 89.8661422357 0.4004808378 0.3003824509
0.7786576222 0.6815933283 1.9506033556 1.2711532981 89.8597757369 88.6595504356 88.6595504356 0.7786576222 0.6815933283
0.7746383888 0.6842508848 1.9224687216 1.2897561937 89.8554606102 89.9928888522 89.8554606102 0.7746383888 0.6842508848
0.3864888653 0.6385272993 -0.7945779431 0.9696910953 89.8219645798 89.9400309382 89.8219645798 0.3864888653 0.6385272993
0.3864888653 0.6385272993 -0.7945779431 0.9696910953 89.8219645798 89.9400309382 89.8219645798 0.3864888653 0.6385272993
0.7149144945 0.1073182000 1.5044014617 -2.7487725999 89.8049384674 88.1631290192 88.1631290192 0.7149144945 0.1073182000
0.7792353134 0.6822431724 1.9546471935 1.2757022071 89.8039029525 88.8829246268 88.8829246268 0.7792353134 0.6822431724
0.7216370198 0.1032346877 1.5514591383 -2.7773571862 89.7353976314 89.1517949911 89.1517949911 0.7216370198 0.1032346877
0.7796159696 0.6819471112 1.9573117873 1.2736297782 89.7258099290 88.6138602506 88.6138602506 0.7796159696 0.6819471112
0.7294305692 0.1030445597 1.6060139842 -2.7786880823 89.7050292785 81.6751928546 81.6751928546 0.7294305692 0.1030445597
0.7188529978 0.1075213006 1.5319709844 -2.7473508960 89.4936340131 89.8324615891 89.4936340131 0.7188529978 0.1075213006
0.9099749784 0.4047655118 2.8698248487 -0.6666414174 89.4681590930 67.8236399699 67.8236399699 0.9099749784 0.4047655118
0.9099749784 0.4047655118 2.8698248487 -0.6666414174 89.4681590930 67.8236399699 67.8236399699 0.9099749784 0.4047655118
0.7070751885 0.1086312394 1.4495263192 -2.7395813240 89.4272432393 78.5181686289 78.5181686289 0.7070751885 0.1086312394
0.7056473992 0.1093145952 1.4395317941 -2.7347978333 89.2574153348 75.8058584140 75.8058584140 0.7056473992 0.1093145952
0.0283218700 0.3358122345 -3.3017469103 -1.1493143586 89.2391309267 31.4333728099 31.4333728099 0.0283218700 0.3358122345
0.0283218700 0.3358122345 -3.3017469103 -1.1493143586 89.2391309267 31.4333728099 31.4333728099 0.0283218700 0.3358122345
0.7064432302 0.1094117880 1.4451026112 -2.7341174841 89.1888976230 76.9862750426 76.9862750426 0.7064432302 0.1094117880
0.7716613742 0.6925997982 1.9016296196 1.3481985875 89.1707661449 84.6897515832 84.6897515832 0.7716613742 0.6925997982
0.7362597095 0.1009163742 1.6538179662 -2.7935853808 89.0326412876 69.3606241416 69.3606241416 0.7362597095 0.1009163742
0.7366005894 0.1014618620 1.6562041256 -2.7897669660 88.9874401085 69.2406078086 69.2406078086 0.7366005894 0.1014618620
0.7642263749 0.6989992611 1.8495846246 1.3929948276 88.9754956437 70.7365859257 70.7365859257 0.7642263749 0.6989992611
0.7740283807 0.6920925306 1.9181986648 1.3446477142 88.5483152961 85.8442122137 85.8442122137 0.7740283807 0.6920925306
0.7358560200 0.0999316270 1.6509921402 -2.8004786113 88.4130522955 69.2089198362 69.2089198362 0.7358560200 0.0999316270
0.7636573835 0.7007328222 1.8456016844 1.4051297553 88.3842934814 70.7100421078 70.7100421078 0.7636573835 0.7007328222
0.7181933699 0.1097737709 1.5273535893 -2.7315836039 88.2223824852 89.2169471341 88.2223824852 0.7181933699 0.1097737709
0.7697934110 0.6965487242 1.8885538768 1.3758410694 88.0089641967 79.8418980414 79.8418980414 0.7697934110 0.6965487242
0.7284424893 0.0993483342 1.5990974251 -2.8045616603 87.9355598215 80.6568454481 80.6568454481 0.7284424893 0.0993483342
0.7710049254 0.6957911696 1.8970344779 1.3705381869 87.8798262160 82.1357289496 82.1357289496 0.7710049254 0.6957911696
0.7620571559 0.6964405944 1.8344000911 1.3750841611 87.6018608233 77.2181996313 77.2181996313 0.7620571559 0.6964405944
0.7062981542 0.1124987341 1.4440870793 -2.7125088611 87.4881114278 74.3497248014 74.3497248014 0.7062981542 0.1124987341
0.7471295684 0.0988055104 1.7299069785 -2.8083614274 87.4446869774 48.4804484663 48.4804484663 0.7471295684 0.0988055104
0.7660595148 0.6883932092 1.8624166036 1.3187524647 87.3496358380 86.6617766467 86.6617766467 0.7660595148 0.6883932092
0.7319381828 0.1061193732 1.6235672793 -2.7571643874 86.8782631370 80.1976911946 80.1976911946 0.7319381828 0.1061193732
0.7852522426 0.6837256648 1.9967656980 1.2860796539 86.6818186127 87.7125291971 86.6818186127 0.7852522426 0.6837256648
0.7614095317 0.6945365575 1.8298667220 1.3617559023 86.5397828558 75.3451449463 75.3451449463 0.7614095317 0.6945365575
0.7570537703 0.7026905820 1.7993763923 1.4188340742 86.5273213736 59.3702256787 59.3702256787 0.7570537703 0.7026905820
0.7225321290 0.0978970925 1.5577249032 -2.8147203522 86.4986176332 86.8374917946 86.4986176332 0.7225321290 0.0978970925
0.7604414520 0.7064463765 1.8230901638 1.4451246356 86.4296498407 56.5230265357 56.5230265357 0.7604414520 0.7064463765
0.7504623442 0.0998348387 1.7532364093 -2.8011561290 86.4202478245 44.0695359265 44.0695359265 0.7504623442 0.0998348387
0.6876373402 0.1151050665 1.3134613813 -2.6942645345 85.9963642863 40.0138719976 40.0138719976 0.6876373402 0.1151050665
0.7466343115 0.7200569415 1.7264401803 1.5403985902 83.9944924530 35.8936175720 35.8936175720 0.7466343115 0.7200569415
0.5430213405 0.3021857421 0.3011493834 -1.3846998051 82.8455418839 31.4333728099 31.4333728099 0.5430213405 0.3021857421
0.6516099231 0.1249759795 1.0612694619 -2.6251681437 78.3989458179 31.4333728099 31.4333728099 0.6516099231 0.1249759795
0.7900597987 0.0896846638 2.0304185907 -2.8722073531 77.5349402489 31.4333728099 31.4333728099 0.7900597987 0.0896846638
0.5991673716 0.5554126289 0.6941716010 0.3878884023 74.6126593973 31.4333728099 31.4333728099 0.5991673716 0.5554126289
0.7665056108 0.0824180562 1.8655392753 -2.9230736066 72.5289666180 31.4333728099 31.4333728099 0.7665056108 0.0824180562
0.1827011003 0.6233074544 -2.2210922980 0.8631521805 72.4954164244 31.4333728099 31.4333728099 0.1827011003 0.6233074544
0.7895894856 0.9062329997 2.0271263992 2.8436309978 72.2691179742 31.4333728099 31.4333728099 0.7895894856 0.9062329997
0.7193599203 0.7535502763 1.5355194421 1.7748519340 69.3467611455 31.4333728099 31.4333728099 0.7193599203 0.7535502763
0.7233765775 0.7308731188 1.5636360423 1.6161118318 68.2633325340 31.4333728099 31.4333728099 0.7233765775 0.7308731188
0.7476326497 0.0784198473 1.7334285481 -2.9510610687 65.8777669790 31.4333728099 31.4333728099 0.7476326497 0.0784198473
0.3800168731 0.2872158054 -0.8398818880 -1.4894893621 65.0475181861 41.4525491402 41.4525491402 0.3800168731 0.2872158054
0.3716009607 0.0550671804 -0.8987932751 -3.1145297370 64.4314874786 76.7632624365 64.4314874786 0.3716009607 0.0550671804
0.6875349824 0.1338440586 1.3127448768 -2.5630915896 63.9042985585 31.4333728099 31.4333728099 0.6875349824 0.1338440586
0.6764725495 0.1000280513 1.2353078464 -2.7998036407 61.5003500679 36.9702336340 36.9702336340 0.6764725495 0.1000280513
0.3878152946 0.0726745629 -0.7852929380 -2.9912780600 59.5109572829 32.1775119730 32.1775119730 0.3878152946 0.0726745629
0.6926285516 0.7715785873 1.3483998610 1.9010501109 54.8562460658 31.4333728099 31.4333728099 0.6926285516 0.7715785873
0.7269676440 0.7014117062 1.5887735081 1.4098819435 50.3287487496 45.6567561360 45.6567561360 0.7269676440 0.7014117062
0.5149450805 0.2561840726 0.1046155634 -1.7067114919 47.3282946861 31.4333728099 31.4333728099 0.5149450805 0.2561840726
0.7397305346 0.6805872005 1.6781137421 1.2641104036 45.8717168005 77.8696448309 45.8717168005 0.7397305346 0.6805872005
0.7991946479 0.7048656219 2.0943625356 1.4340593533 44.5995846398 81.4800430403 44.5995846398 0.7991946479 0.7048656219
0.3542502689 0.0855618807 -1.0202481175 -2.9010668349 44.0770180973 43.6309240606 43.6309240606 0.3542502689 0.0855618807
0.7506328487 0.7551271359 1.7544299409 1.7858899513 43.9372060857 31.4333728099 31.4333728099 0.7506328487 0.7551271359
0.6887650893 0.7460197855 1.3213556249 1.7221384988 42.9877302800 31.4333728099 31.4333728099 0.6887650893 0.7460197855
0.0652649399 0.2836393436 -3.0431454210 -1.5145245949 42.9575205445 40.7271542034 40.7271542034 0.0652649399 0.2836393436
0.7818717022 0.7256725655 1.9731019153 1.5797079583 41.8166636530 40.3707261654 40.3707261654 0.7818717022 0.7256725655
0.6945455026 0.8017280985 1.3618185180 2.1120966893 41.1179486910 31.4333728099 31.4333728099 0.6945455026 0.8017280985
0.1606207506 0.6060313632 -2.3756547455 0.7422195426 40.4204790386 31.4333728099 31.4333728099 0.1606207506 0.6060313632
0.7688438479 0.7426511762 1.8819069352 1.6985582335 38.7218064423 31.4333728099 31.4333728099 0.7688438479 0.7426511762
0.7015005748 0.7218986519 1.4105040237 1.5532905636 38.5531022408 31.4333728099 31.4333728099 0.7015005748 0.7218986519
0.7290554468 0.7879264847 1.6033881277 2.0154853930 35.7317813376 31.4333728099 31.4333728099 0.7290554468 0.7879264847
0.5942588257 0.5787145892 0.6598117796 0.5510021243 35.3067202598 31.4333728099 31.4333728099 0.5942588257 0.5787145892
0.7017156634 0.1475195135 1.4120096441 -2.4673634055 31.4333728099 31.4333728099 31.4333728099 0.7017156634 0.1475195135
0.4263122098 0.3424845637 -0.5158145312 -1.1026080541 31.4333728099 31.4333728099 31.4333728099 0.4263122098 0.3424845637
0.6950430096 0.6599947249 1.3653010675 1.1199630742 31.4333728099 74.4097179598 31.4333728099 0.6950430096 0.6599947249
0.3393355026 0.5929619084 -1.1246514819 0.6507333588 31.4333728099 31.4333728099 31.4333728099 0.3393355026 0.5929619084
0.3570412342 0.7153085083 -1.0007113609 1.5071595578 31.4333728099 31.4333728099 31.4333728099 0.3570412342 0.7153085083
0.4245287569 0.6616320375 -0.5282987017 1.1314242624 31.4333728099 49.2966807724 31.4333728099 0.4245287569 0.6616320375
0.7569394131 0.6648859706 1.7985758916 1.1542017944 31.4333728099 80.1570411987 31.4333728099 0.7569394131 0.6648859706
0.8896330111 0.4419064027 2.7274310779 -0.4066551812 31.4333728099 31.4333728099 31.4333728099 0.8896330111 0.4419064027
0.1756049278 0.4111765147 -2.2707655051 -0.6217643970 31.4333728099 31.4333728099 31.4333728099 0.1756049278 0.4111765147
0.0793688103 0.3309957637 -2.9444183281 -1.1830296543 31.4333728099 31.4333728099 31.4333728099 0.0793688103 0.3309957637
0.0000000000 0.9244496390 -3.5000000000 2.9711474733 31.4333728099 31.4333728099 31.4333728099 0.0000000000 0.9244496390
0.9678579546 0.4282143425 3.2750056824 -0.5024996025 31.4333728099 31.4333728099 31.4333728099 0.9678579546 0.4282143425
0.0586814004 0.9855751838 -3.0892301975 3.3990262864 31.4333728099 63.5781641759 31.4333728099 0.0586814004 0.9855751838
0.8812474315 0.3654479497 2.6687320202 -0.9418643518 31.4333728099 31.4333728099 31.4333728099 0.8812474315 0.3654479497
0.7790043177 0.9361721648 1.9530302238 3.0532051537 29.0249489118 31.4333728099 29.0249489118 0.7790043177 0.9361721648
0.5784316341 0.2809811164 0.5490214390 -1.5331321854 29.0098222828 31.4333728099 29.0098222828 0.5784316341 0.2809811164
0.5963589215 0.5114554886 0.6745124506 0.0801884199 26.1127851713 26.2137118364 26.1127851713 0.5963589215 0.5114554886
