# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.8724292342 0.9087138322 2.6070046394 2.8609968255 31.8992124675 0.0827281064 0.0827281064 0.8724292342 0.9087138322
0.6071705104 0.8547498996 0.7501935727 2.4832492972 3.5259946113 0.4883208927 0.4883208927 0.6071705104 0.8547498996
0.8305905635 0.0651124758 2.3141339446 -3.0442126696 0.0887690381 0.6960409702 0.0887690381 0.8305905635 0.0651124758
0.2606460060 0.3226905724 -1.6754779579 -1.2411659932 0.1020729468 51.8780950028 0.1020729468 0.2606460060 0.3226905724
0.9182204733 0.3705255522 2.9275433130 -0.9063211347 0.0887690381 0.0827281064 0.0827281064 0.9182204733 0.3705255522
0.8360473025 0.2786179039 2.3523311175 -1.5496746728 0.0887690381 0.6960409702 0.0887690381 0.8360473025 0.2786179039
0.0126117262 0.7143224237 -3.4117179165 1.5002569656 0.0694028538 0.0804509261 0.0694028538 0.0126117262 0.7143224237
0.3673731457 0.3345298090 -0.9283879799 -1.1582913372 0.1020729468 24.4717580198 0.1020729468 0.3673731457 0.3345298090
0.7333994428 0.5780958308 1.6337960995 0.5466708154 3.5259946113 0.4883208927 0.4883208927 0.7333994428 0.5780958308
0.5100846226 0.6669840051 0.0705923584 1.1688880359 3.5259946113 8.0487069001 3.5259946113 0.5100846226 0.6669840051
0.6408205498 0.7199363250 0.9857438484 1.5395542751 3.5259946113 0.4883208927 0.4883208927 0.6408205498 0.7199363250
0.1181571572 0.1265581259 -2.6728998998 -2.6140931189 24.9800046835 38.1068381934 24.9800046835 0.1181571572 0.1265581259
0.9632611966 0.2327764358 3.2428283761 -1.8705649493 0.0887690381 0.6960409702 0.0887690381 0.9632611966 0.2327764358
0.5403573279 0.7204249008 0.2825012952 1.5429743058 3.5259946113 8.0487069001 3.5259946113 0.5403573279 0.7204249008
0.7912336382 0.1832855648 2.0386354674 -2.2170010463 0.9298711659 0.6960409702 0.6960409702 0.7912336382 0.1832855648
0.1318009359 0.0272028124 -2.5773934487 -3.3095803133 1.6859148524 18.5361357496 1.6859148524 0.1318009359 0.0272028124
0.8814453270 0.4468470854 2.6701172890 -0.3720704021 0.0887690381 0.0827281064 0.0827281064 0.8814453270 0.4468470854
0.1978573950 0.0252461625 -2.1149982350 -3.3232768627 22.3054194375 21.5562007286 21.5562007286 0.1978573950 0.0252461625
0.5182892132 0.6507337283 0.1280244924 1.0551360979 3.5259946113 8.0487069001 3.5259946113 0.5182892132 0.6507337283
0.4341493685 0.3659747965 -0.4609544204 -0.9381764247 0.1020729468 8.0487069001 0.1020729468 0.4341493685 0.3659747965
0.4957920165 0.2342970725 -0.0294558845 -1.8599204926 0.0887690381 0.0872340966 0.0872340966 0.4957920165 0.2342970725
0.7213697578 0.9038617813 1.5495883046 2.8270324693 3.7364672952 0.4883208927 0.4883208927 0.7213697578 0.9038617813
0.5253364971 0.8275461362 0.1773554794 2.2928229532 3.5259946113 8.0487069001 3.5259946113 0.5253364971 0.8275461362
0.5488303880 0.4921285793 0.3418127158 -0.0550999446 0.0887690381 0.4883208927 0.0887690381 0.5488303880 0.4921285793
0.9367076449 0.1776147655 3.0569535141 -2.2566966418 0.0887690381 0.6960409702 0.0887690381 0.9367076449 0.1776147655
0.2994921487 0.9350674605 -1.4035549593 3.0454722232 0.0694028538 8.0487069001 0.0694028538 0.2994921487 0.9350674605
0.7802912514 0.4589340423 1.9620387597 -0.2874617042 0.0887690381 0.0827281064 0.0827281064 0.7802912514 0.4589340423
0.3075886678 0.2900072723 -1.3468793253 -1.4699490939 0.1020729468 0.0872340966 0.0872340966 0.3075886678 0.2900072723
0.7897341747 0.7989158571 2.0281392226 2.0924109999 3.5259946113 0.0827281064 0.0827281064 0.7897341747 0.7989158571
0.6969365645 0.8706684297 1.3785559518 2.5946790081 3.5259946113 0.4883208927 0.4883208927 0.6969365645 0.8706684297
0.1809649143 0.3774045219 -2.2332455996 -0.8581683470 0.1020729468 0.0804509261 0.0804509261 0.1809649143 0.3774045219
0.0749381303 0.7676287850 -2.9754330879 1.8734014948 0.1081327466 0.0804509261 0.0804509261 0.0749381303 0.7676287850
0.2551976387 0.7067590071 -1.7136165289 1.4473130500 0.5992565857 18.7221503918 0.5992565857 0.2551976387 0.7067590071
0.8750863176 0.2906701561 2.6256042234 -1.4653089075 0.0887690381 0.6960409702 0.0887690381 0.8750863176 0.2906701561
0.8662878475 0.2811778647 2.5640149322 -1.5317549469 0.0887690381 0.6960409702 0.0887690381 0.8662878475 0.2811778647
0.6371163072 0.9874900665 0.9598141505 3.4124304656 3.5259946113 0.4883208927 0.4883208927 0.6371163072 0.9874900665
0.1920452673 0.8884655548 -2.1556831291 2.7192588838 14.0912001038 0.0804509261 0.0804509261 0.1920452673 0.8884655548
0.7818854240 0.8070732798 1.9731979681 2.1495129587 3.5259946113 0.0827281064 0.0827281064 0.7818854240 0.8070732798
0.1505303237 0.8225926188 -2.4462877343 2.2581483318 44.5007977901 3.7467347721 3.7467347721 0.1505303237 0.8225926188
0.1301259750 0.1385772060 -2.5891181753 -2.5299595581 5.4419086493 21.4838621223 5.4419086493 0.1301259750 0.1385772060
0.6307263376 0.9817353525 0.9150843634 3.3721474674 3.5259946113 0.4883208927 0.4883208927 0.6307263376 0.9817353525
0.3007941057 0.3185816679 -1.3944412604 -1.2699283249 0.1020729468 45.4630342911 0.1020729468 0.3007941057 0.3185816679
0.2389341800 0.1162401597 -1.8274607397 -2.6863188824 0.1020729468 18.5249123266 0.1020729468 0.2389341800 0.1162401597
0.6449730920 0.9869159182 1.0148116439 3.4084114272 3.5259946113 0.4883208927 0.4883208927 0.6449730920 0.9869159182
0.3026438650 0.3871259137 -1.3814929449 -0.7901186038 0.1020729468 67.0151526199 0.1020729468 0.3026438650 0.3871259137
0.2243409398 0.3195257749 -1.9296134216 -1.2633195755 0.1020729468 38.4885152837 0.1020729468 0.2243409398 0.3195257749
0.3142217730 0.7133137703 -1.3004475890 1.4931963921 0.0694028538 12.1245593124 0.0694028538 0.3142217730 0.7133137703
0.9023517460 0.5094533226 2.8164622223 0.0661732579 0.0887690381 0.0827281064 0.0827281064 0.9023517460 0.5094533226
0.5100552119 0.4207935599 0.0703864834 -0.5544450807 0.0887690381 8.0487069001 0.0887690381 0.5100552119 0.4207935599
0.2049378807 0.0151897549 -2.0654348353 -3.3936717156 14.0004610522 13.1120789126 13.1120789126 0.2049378807 0.0151897549
0.3006946579 0.6068376657 -1.3951373945 0.7478636600 0.0694028538 40.5646856920 0.0694028538 0.3006946579 0.6068376657
0.1928756268 0.5395563437 -2.1498706127 0.2768944058 0.0694028538 0.0804509261 0.0694028538 0.1928756268 0.5395563437
0.1917590336 0.3720256013 -2.1576867649 -0.8958207912 0.1020729468 0.0804509261 0.0804509261 0.1917590336 0.3720256013
0.2171273605 0.4948876623 -1.9801084764 -0.0357863639 0.0694028538 0.0804509261 0.0694028538 0.2171273605 0.4948876623
0.0885433960 0.3171842043 -2.8801962279 -1.2797105700 0.1020729468 0.0804509261 0.0804509261 0.0885433960 0.3171842043
0.9476185807 0.1540266865 3.1333300650 -2.4218131945 0.0887690381 0.6960409702 0.0887690381 0.9476185807 0.1540266865
0.9294378030 0.7709069896 3.0060646213 1.8963489274 3.5259946113 0.0827281064 0.0827281064 0.9294378030 0.7709069896
0.4961840624 0.9801693939 -0.0267115630 3.3611857571 3.5259946113 8.0487069001 3.5259946113 0.4961840624 0.9801693939
0.8653753752 0.0656423905 2.5576276265 -3.0405032668 0.0887690381 0.6960409702 0.0887690381 0.8653753752 0.0656423905
