# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.1361853677 0.0840255918 -2.5467024260 -2.9118208576 88.1861146579 88.7482970496 88.1861146579 0.1361853677 0.0840255918
0.1361853677 0.0840255918 -2.5467024260 -2.9118208576 88.1861146579 88.7482970496 88.1861146579 0.1361853677 0.0840255918
0.1361853677 0.0843117501 -2.5467024260 -2.9098177491 88.2222248362 88.7424418035 88.2222248362 0.1361853677 0.0843117501
0.1392768791 0.0836866540 -2.5250618463 -2.9141934219 87.6817707231 88.7057464508 87.6817707231 0.1392768791 0.0836866540
0.1379822525 0.0847570114 -2.5341242322 -2.9067009204 87.8715195882 88.6842761404 87.8715195882 0.1379822525 0.0847570114
0.1365769923 0.0850431697 -2.5439610542 -2.9046978119 88.1128918268 88.6813269167 88.1128918268 0.1365769923 0.0850431697
0.1361853677 0.0852212165 -2.5467024260 -2.9034514843 88.0993328178 88.6661028254 88.0993328178 0.1361853677 0.0852212165
0.1379822525 0.0852212165 -2.5341242322 -2.9034514843 87.6800241429 88.6089608784 87.6800241429 0.1379822525 0.0852212165
0.1357937432 0.0856854217 -2.5494437977 -2.9002020482 88.0058134455 88.5986937663 88.0058134455 0.1357937432 0.0856854217
0.1403597715 0.0826720258 -2.5174815997 -2.9212958192 87.5534869633 88.5668143366 87.5534869633 0.1403597715 0.0826720258
0.1361853677 0.0860652259 -2.5467024260 -2.8975434186 87.8300642630 88.5000765122 87.8300642630 0.1361853677 0.0860652259
0.7112263369 0.1458959107 1.4785843583 -2.4787286251 90.3016596124 88.4702015843 88.4702015843 0.7112263369 0.1458959107
0.7112263369 0.1458959107 1.4785843583 -2.4787286251 90.3016596124 88.4702015843 88.4702015843 0.7112263369 0.1458959107
0.1407654977 0.0802757307 -2.5146415162 -2.9380698850 87.7475061861 88.3369166200 87.7475061861 0.1407654977 0.0802757307
0.1398276053 0.0800646994 -2.5212067630 -2.9395471043 87.5119043734 88.2413884923 87.5119043734 0.1398276053 0.0800646994
0.1443744993 0.0848790872 -2.4893785051 -2.9058463893 80.3099819076 88.1350032423 80.3099819076 0.1443744993 0.0848790872
0.1302454166 0.0831398942 -2.5882820839 -2.9180207405 81.7394191376 88.1117981239 81.7394191376 0.1302454166 0.0831398942
0.1328749800 0.0881076679 -2.5698751403 -2.8832463245 87.3249430704 88.0418971773 87.3249430704 0.1328749800 0.0881076679
0.1365704824 0.0878671404 -2.5440066233 -2.8849300173 86.7181704278 87.8612865906 86.7181704278 0.1365704824 0.0878671404
0.1428096736 0.0794991190 -2.5003322850 -2.9435061668 87.6668175842 87.8597486865 87.6668175842 0.1428096736 0.0794991190
0.1359790219 0.0880573010 -2.5481468468 -2.8835988933 86.7180718115 87.8254731408 86.7180718115 0.1359790219 0.0880573010
0.1343388843 0.0883683702 -2.5596278097 -2.8814214089 86.8690152564 87.8204784341 86.8690152564 0.1343388843 0.0883683702
0.1437979602 0.0794991190 -2.4934142784 -2.9435061668 87.0188852139 87.6228011766 87.0188852139 0.1437979602 0.0794991190
0.1276998675 0.0826890452 -2.6061009277 -2.9211766836 76.2255278291 87.5847178772 76.2255278291 0.1276998675 0.0826890452
0.7133525865 0.4425715513 1.4934681054 -0.4019991407 0.0887690381 87.5516261509 0.0887690381 0.7133525865 0.4425715513
0.7133525865 0.4425715513 1.4934681054 -0.4019991407 0.0887690381 87.5516261509 0.0887690381 0.7133525865 0.4425715513
0.1441925269 0.0796281735 -2.4906523120 -2.9426027852 86.6025784907 87.5398918893 86.6025784907 0.1441925269 0.0796281735
0.1445394807 0.0788483490 -2.4882236354 -2.9480615567 86.8592855470 87.3258216433 86.8592855470 0.1445394807 0.0788483490
0.1441043001 0.0779645565 -2.4912698992 -2.9542481044 87.0259406382 87.3056369093 87.0259406382 0.1441043001 0.0779645565
0.1291649880 0.0798284640 -2.5958450841 -2.9412007517 74.0692777856 87.2182050848 74.0692777856 0.1291649880 0.0798284640
0.1255915004 0.0825130327 -2.6208594970 -2.9224087708 71.2323524510 87.0049803430 71.2323524510 0.1255915004 0.0825130327
0.1454363875 0.0765465065 -2.4819452874 -2.9641744545 86.2633562848 86.6335498501 86.2633562848 0.1454363875 0.0765465065
0.1242917250 0.0824360024 -2.6299579248 -2.9229479833 67.9938219444 86.5879842690 67.9938219444 0.1242917250 0.0824360024
0.1331548315 0.0909433140 -2.5679161794 -2.8633968018 84.8920569461 86.4825264638 84.8920569461 0.1331548315 0.0909433140
0.1228971410 0.0804583974 -2.6397200133 -2.9367912180 60.2404944276 86.4329177203 60.2404944276 0.1228971410 0.0804583974
0.1243383138 0.0846181033 -2.6296318035 -2.9076732770 72.4976854203 86.2076376034 72.4976854203 0.1243383138 0.0846181033
0.1327521310 0.0774888734 -2.5707350833 -2.9575778863 77.3617529238 86.1652136705 77.3617529238 0.1327521310 0.0774888734
0.1251166240 0.0788509501 -2.6241836317 -2.9480433493 62.2914749166 86.0618273002 62.2914749166 0.1251166240 0.0788509501
0.1237634030 0.0791167660 -2.6336561793 -2.9461826383 59.4485502641 86.0539718789 59.4485502641 0.1237634030 0.0791167660
0.1467593817 0.0760095795 -2.4726843282 -2.9679329434 86.1313196735 86.0458297613 86.0458297613 0.1467593817 0.0760095795
0.1474212101 0.0770952917 -2.4680515292 -2.9603329581 85.4642050329 86.0367986676 85.4642050329 0.1474212101 0.0770952917
0.1467593817 0.0748174029 -2.4726843282 -2.9762781798 85.0162512466 85.7694106970 85.0162512466 0.1467593817 0.0748174029
0.1223721113 0.0832954132 -2.6433952206 -2.9169321074 65.1118472765 85.7046403548 65.1118472765 0.1223721113 0.0832954132
0.1268998610 0.0915891292 -2.6117009730 -2.8588760957 86.0702712053 85.7001856106 85.7001856106 0.1268998610 0.0915891292
0.1313734293 0.0926158049 -2.5803859949 -2.8516893654 83.6031303010 85.4698577751 83.6031303010 0.1313734293 0.0926158049
0.1237563545 0.0781968329 -2.6337055186 -2.9526221699 57.3590479791 85.3458341896 57.3590479791 0.1237563545 0.0781968329
0.1546147368 0.0871119164 -2.4176968427 -2.8902165850 51.7561368912 85.2348360054 51.7561368912 0.1546147368 0.0871119164
0.1476812969 0.0741705001 -2.4662309218 -2.9808064994 84.6141744793 85.2305433064 84.6141744793 0.1476812969 0.0741705001
0.1477822895 0.0740996759 -2.4655239734 -2.9813022687 84.5688072398 85.1690384949 84.5688072398 0.1477822895 0.0740996759
0.1329905262 0.0760292127 -2.5690663166 -2.9677955112 75.1756494564 85.0589679224 75.1756494564 0.1329905262 0.0760292127
0.2729819866 0.4472432888 -1.5891260941 -0.3692969787 0.0694028538 84.2348798926 0.0694028538 0.2729819866 0.4472432888
0.9413384381 0.6942422751 3.0893690665 1.3596959255 3.5259946113 83.1087074352 3.5259946113 0.9413384381 0.6942422751
0.1433276772 0.7865187103 -2.4967062593 2.0056309722 13.2239603218 81.0257079700 13.2239603218 0.1433276772 0.7865187103
0.1793794235 0.0954590250 -2.2443440353 -2.8317868253 5.2339855904 69.6534529789 5.2339855904 0.1793794235 0.0954590250
0.0940379283 0.0719577739 -2.8417345018 -2.9962955830 4.8599431561 69.4331557202 4.8599431561 0.0940379283 0.0719577739
0.1132418136 0.1097397582 -2.7073073047 -2.7318216926 62.6748770178 66.7080899684 62.6748770178 0.1132418136 0.1097397582
0.7308077814 0.4324545376 1.6156544700 -0.4728182369 0.0887690381 65.8003439245 0.0887690381 0.7308077814 0.4324545376
0.0957689771 0.0900831150 -2.8296171601 -2.8694181950 20.6949044989 65.5067561818 20.6949044989 0.0957689771 0.0900831150
0.1674354196 0.0572338699 -2.3279520629 -3.0993629106 65.3729932496 64.1047212285 64.1047212285 0.1674354196 0.0572338699
0.2269988018 0.4691331594 -1.9110083873 -0.2160678844 0.0694028538 63.9725119303 0.0694028538 0.2269988018 0.4691331594
0.3137644356 0.4333629251 -1.3036489510 -0.4664595240 0.1020729468 61.8200139950 0.1020729468 0.3137644356 0.4333629251
0.6591264191 0.1755326979 1.1138849335 -2.2712711150 13.2105245523 30.6264534914 13.2105245523 0.6591264191 0.1755326979
0.0699073906 0.0448892620 -3.0106482659 -3.1857751659 0.1020729468 22.7937421146 0.1020729468 0.0699073906 0.0448892620
