# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.4540121822 0.8414149409 -0.3219147245 2.3899045864 29.1088863835 3.3003368742 3.3003368742 0.4540121822 0.8414149409
0.0497320212 0.2467250574 -3.1518758517 -1.7729245985 29.1088863835 3.3003368742 3.3003368742 0.0497320212 0.2467250574
0.2141967294 0.7315017674 -2.0006228941 1.6205123716 29.1088863835 3.3003368742 3.3003368742 0.2141967294 0.7315017674
0.9361869580 0.1595083202 3.0533087063 -2.3834417585 3.3003368742 24.3000733978 3.3003368742 0.9361869580 0.1595083202
0.1701826034 0.0592662820 -2.3087217764 -3.0851360257 29.1088863835 12.5588268746 12.5588268746 0.1701826034 0.0592662820
0.7922482094 0.4618864824 2.0457374655 -0.2667946231 3.3003368742 24.3000733978 3.3003368742 0.7922482094 0.4618864824
0.4651760541 0.6980250656 -0.2437676216 1.3861754590 3.3003368742 3.3003368742 3.3003368742 0.4651760541 0.6980250656
0.6525053896 0.7995453981 1.0675377275 2.0968177865 3.3003368742 24.3000733978 3.3003368742 0.6525053896 0.7995453981
0.6298712967 0.9594671453 0.9090990772 3.2162700173 3.3003368742 12.7400838727 3.3003368742 0.6298712967 0.9594671453
0.7977933046 0.6555441014 2.0845531322 1.0888087099 3.3003368742 24.3000733978 3.3003368742 0.7977933046 0.6555441014
0.4629563409 0.5191321723 -0.2593056134 0.1339252061 3.3003368742 3.3003368742 3.3003368742 0.4629563409 0.5191321723
0.5151882447 0.0990509440 0.1063177127 -2.8066433921 5.1268076968 24.3000733978 5.1268076968 0.5151882447 0.0990509440
0.9463174311 0.4152666920 3.1242220176 -0.5931331558 3.3003368742 24.3000733978 3.3003368742 0.9463174311 0.4152666920
0.0577967240 0.6479408858 -3.0954229319 1.0355862003 37.5870059026 3.3003368742 3.3003368742 0.0577967240 0.6479408858
0.0096250158 0.8599411480 -3.4326248895 2.5195880361 29.1088863835 33.4434009337 29.1088863835 0.0096250158 0.8599411480
0.6795050330 0.0981260960 1.2565352311 -2.8131173278 2.4726987809 24.3000733978 2.4726987809 0.6795050330 0.0981260960
0.0269718180 0.8847451133 -3.3111972740 2.6932157930 29.1088863835 33.4434009337 29.1088863835 0.0269718180 0.8847451133
0.4506504716 0.0520635153 -0.3454466986 -3.1355553932 29.1088863835 12.5588268746 12.5588268746 0.4506504716 0.0520635153
0.6743023645 0.1373882038 1.2201165516 -2.5382825733 3.3003368742 24.3000733978 3.3003368742 0.6743023645 0.1373882038
0.5524132169 0.8099646570 0.3668925180 2.1697525987 3.3003368742 24.3000733978 3.3003368742 0.5524132169 0.8099646570
0.5064696976 0.2584482075 0.0452878834 -1.6908625472 3.3003368742 24.3000733978 3.3003368742 0.5064696976 0.2584482075
0.5609564476 0.3473516622 0.4266951333 -1.0685383648 3.3003368742 24.3000733978 3.3003368742 0.5609564476 0.3473516622
0.2649787523 0.4529397812 -1.6451487340 -0.3294215315 29.1088863835 3.3003368742 3.3003368742 0.2649787523 0.4529397812
0.7292017688 0.6974417489 1.6044123813 1.3820922426 3.3003368742 24.3000733978 3.3003368742 0.7292017688 0.6974417489
0.8358817096 0.4785103336 2.3511719670 -0.1504276650 9.8175740032 24.3000733978 9.8175740032 0.8358817096 0.4785103336
