# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7818042595 0.5926944772 1.9726298163 0.6488613407 89.9999818686 89.9998125066 89.9998125066 0.7818042595 0.5926944772
0.7818042595 0.5926944772 1.9726298163 0.6488613407 89.9999818686 89.9998125066 89.9998125066 0.7818042595 0.5926944772
0.7818327768 0.5928500054 1.9728294378 0.6499500381 89.9999809442 89.9996108453 89.9996108453 0.7818327768 0.5928500054
0.7818042595 0.5928500054 1.9726298163 0.6499500381 89.9998825602 89.9999013099 89.9998825602 0.7818042595 0.5928500054
0.7818357240 0.5929657385 1.9728500678 0.6507601693 89.9998532747 89.9985328987 89.9985328987 0.7818357240 0.5929657385
0.7817584513 0.5925893090 1.9723091592 0.6481251628 89.9996410085 89.9979674954 89.9979674954 0.7817584513 0.5925893090
0.7817180016 0.5922000493 1.9720260111 0.6454003453 89.9995715544 89.9861897882 89.9861897882 0.7817180016 0.5922000493
0.7817909974 0.5929564865 1.9725369815 0.6506954057 89.9995338142 89.9995378719 89.9995338142 0.7817909974 0.5929564865
0.7817879227 0.5923526843 1.9725154588 0.6464687904 89.9995323983 89.9949143430 89.9949143430 0.7817879227 0.5923526843
0.7818042595 0.5930055336 1.9726298163 0.6510387355 89.9995095314 89.9988811270 89.9988811270 0.7818042595 0.5930055336
0.7818855806 0.5928668272 1.9731990640 0.6500677902 89.9994998168 89.9983504919 89.9983504919 0.7818855806 0.5928668272
0.7817451892 0.5925402619 1.9722163244 0.6477818330 89.9994940222 89.9967591103 89.9967591103 0.7817451892 0.5925402619
0.7817584513 0.5927448372 1.9723091592 0.6492138603 89.9993830767 89.9995364416 89.9993830767 0.7817584513 0.5927448372
0.7817584513 0.5928720875 1.9723091592 0.6501046127 89.9991202452 89.9999299226 89.9991202452 0.7817584513 0.5928720875
0.7817880502 0.5930656895 1.9725163516 0.6514598266 89.9990879667 89.9986361151 89.9986361151 0.7817880502 0.5930656895
0.7817416325 0.5927243464 1.9721914278 0.6490704245 89.9990442893 89.9990841785 89.9990442893 0.7817416325 0.5927243464
0.7818011848 0.5922462032 1.9726082936 0.6457234227 89.9989521636 89.9930745292 89.9930745292 0.7818011848 0.5922462032
0.7817584513 0.5930276157 1.9723091592 0.6511933102 89.9987355821 89.9995554181 89.9987355821 0.7817584513 0.5930276157
0.7817343384 0.5927829110 1.9721403687 0.6494803767 89.9986964062 89.9994302446 89.9986964062 0.7817343384 0.5927829110
0.7817747307 0.5931340968 1.9724231150 0.6519386778 89.9985409762 89.9981835994 89.9981835994 0.7817747307 0.5931340968
0.7819096935 0.5926732252 1.9733678546 0.6487125763 89.9984378599 89.9996249920 89.9984378599 0.7819096935 0.5926732252
0.7818120356 0.5921590824 1.9726842493 0.6451135765 89.9983057088 89.9913502754 89.9913502754 0.7818120356 0.5921590824
0.7817289800 0.5928676435 1.9721028597 0.6500735042 89.9982777648 89.9998331791 89.9982777648 0.7817289800 0.5928676435
0.7817718410 0.5931958331 1.9724028868 0.6523708314 89.9981216177 89.9974127630 89.9974127630 0.7817718410 0.5931958331
0.7817066016 0.5927041817 1.9719462111 0.6489292718 89.9980268772 89.9979800390 89.9979800390 0.7817066016 0.5927041817
0.7817210763 0.5928893920 1.9720475339 0.6502257443 89.9979257573 89.9998384026 89.9979257573 0.7817210763 0.5928893920
0.7816499426 0.5921622870 1.9715495982 0.6451360093 89.9977929472 89.9789351319 89.9789351319 0.7816499426 0.5921622870
0.7817048670 0.5928640074 1.9719340691 0.6500480517 89.9973802796 89.9995367691 89.9973802796 0.7817048670 0.5928640074
0.7816366805 0.5922687681 1.9714567634 0.6458813769 89.9968188582 89.9822416149 89.9822416149 0.7816366805 0.5922687681
0.7817048670 0.5930195356 1.9719340691 0.6511367491 89.9967417282 89.9997421319 89.9967417282 0.7817048670 0.5930195356
0.7816916049 0.5929704885 1.9718412344 0.6507934193 89.9963250544 89.9997125500 89.9963250544 0.7816916049 0.5929704885
0.7818415070 0.5919224577 1.9728905488 0.6434572040 89.9957703508 89.9856585416 89.9856585416 0.7818415070 0.5919224577
0.7819001521 0.5920846212 1.9733010650 0.6445923486 89.9955670924 89.9943632853 89.9943632853 0.7819001521 0.5920846212
0.7819734589 0.5924461157 1.9738142122 0.6471228099 89.9945088409 89.9995457644 89.9945088409 0.7819734589 0.5924461157
0.7816072091 0.5925053928 1.9712504639 0.6475377493 89.9940179351 89.9885342817 89.9885342817 0.7816072091 0.5925053928
0.7816617176 0.5930949665 1.9716320230 0.6516647658 89.9939920300 89.9995281431 89.9939920300 0.7816617176 0.5930949665
0.7816378931 0.5928432381 1.9714652514 0.6499026669 89.9939690556 89.9978174546 89.9939690556 0.7816378931 0.5928432381
0.7816447117 0.5929183149 1.9715129820 0.6504282041 89.9939578904 89.9988899746 89.9939578904 0.7816447117 0.5929183149
