# from_x0 from_x1 to_x0 to_x1 length
1.9723091592 0.6501046127 1.9724226240 0.6501217224 0.0000163925
1.9726298163 0.6499500381 1.9724226240 0.6501217224 0.0000384400
1.9720475339 0.6502257443 1.9723091592 0.6501046127 0.0000411866
1.9721028597 0.6500735042 1.9720475339 0.6502257443 0.0000231402
1.9726298163 0.6488613407 1.9726298163 0.6499500381 0.0001555282
1.9719340691 0.6511367491 1.9720475339 0.6502257443 0.0001311491
1.9718412344 0.6507934193 1.9719340691 0.6511367491 0.0000508085
1.9733678546 0.6487125763 1.9726298163 0.6488613407 0.0001075546
1.9728294378 0.6499500381 1.9726298163 0.6499500381 0.0000285174
1.9723091592 0.6511933102 1.9719340691 0.6511367491 0.0000541901
1.9738142122 0.6471228099 1.9733678546 0.6487125763 0.0002358914
1.9725369815 0.6506954057 1.9723091592 0.6511933102 0.0000782215
1.9719340691 0.6500480517 1.9721028597 0.6500735042 0.0000243855
1.9723091592 0.6492138603 1.9726298163 0.6488613407 0.0000680772
1.9716320230 0.6516647658 1.9719340691 0.6511367491 0.0000869005
1.9721403687 0.6494803767 1.9723091592 0.6492138603 0.0000450671
1.9713648214 0.6516177807 1.9716320230 0.6516647658 0.0000387573
1.9721914278 0.6490704245 1.9723091592 0.6492138603 0.0000265093
1.9742462018 0.6450062601 1.9738142122 0.6471228099 0.0003085978
1.9715129820 0.6504282041 1.9718412344 0.6507934193 0.0000701502
1.9708990733 0.6520113519 1.9713648214 0.6516177807 0.0000871100
1.9726298163 0.6510387355 1.9725369815 0.6506954057 0.0000508085
1.9708990733 0.6531000494 1.9708990733 0.6520113519 0.0001555282
1.9725163516 0.6514598266 1.9723091592 0.6511933102 0.0000482256
1.9706690743 0.6522057081 1.9708990733 0.6520113519 0.0000430173
1.9728500678 0.6507601693 1.9725369815 0.6506954057 0.0000456735
1.9724226240 0.6481422725 1.9726298163 0.6488613407 0.0001069033
1.9731990640 0.6500677902 1.9728294378 0.6499500381 0.0000554185
1.9745660599 0.6435233896 1.9742462018 0.6450062601 0.0002167108
1.9744525951 0.6435233896 1.9745660599 0.6435233896 0.0000162092
1.9724231150 0.6519386778 1.9725163516 0.6514598266 0.0000696920
1.9724019940 0.6479785788 1.9724226240 0.6481422725 0.0000235698
1.9719462111 0.6489292718 1.9721914278 0.6490704245 0.0000404201
1.9723091592 0.6481251628 1.9724226240 0.6481422725 0.0000163925
1.9714652514 0.6499026669 1.9719340691 0.6500480517 0.0000701204
1.9751589133 0.6434198675 1.9745660599 0.6435233896 0.0000859748
1.9724028868 0.6523708314 1.9724231150 0.6519386778 0.0000618038
1.9700227480 0.6554910966 1.9708990733 0.6531000494 0.0003637967
1.9751905395 0.6415136423 1.9751589133 0.6434198675 0.0002723554
1.9722163244 0.6477818330 1.9724019940 0.6479785788 0.0000386460
1.9743344620 0.6431336898 1.9744525951 0.6435233896 0.0000581731
1.9696340784 0.6530803109 1.9708990733 0.6531000494 0.0001807356
1.9747723594 0.6418670171 1.9751905395 0.6415136423 0.0000782133
1.9725154588 0.6464687904 1.9722163244 0.6477818330 0.0001923837
1.9712741634 0.6489997656 1.9719462111 0.6489292718 0.0000965335
1.9733010650 0.6445923486 1.9742462018 0.6450062601 0.0001473997
1.9710441643 0.6491941218 1.9712741634 0.6489997656 0.0000430173
1.9726082936 0.6457234227 1.9725154588 0.6464687904 0.0001073038
1.9726842493 0.6451135765 1.9726082936 0.6457234227 0.0000877940
1.9733715255 0.6430447350 1.9743344620 0.6431336898 0.0001381481
1.9712504639 0.6475377493 1.9722163244 0.6477818330 0.0001423178
1.9700091685 0.6500687246 1.9710441643 0.6491941218 0.0001935778
1.9782944255 0.6381681155 1.9751905395 0.6415136423 0.0006519462
1.9664704760 0.6636385319 1.9700227480 0.6554910966 0.0012697367
1.9720260111 0.6454003453 1.9726082936 0.6457234227 0.0000951295
1.9728905488 0.6434572040 1.9733715255 0.6430447350 0.0000905166
1.9707016767 0.6479694155 1.9712504639 0.6475377493 0.0000997449
1.9681112712 0.6661841177 1.9664704760 0.6636385319 0.0004326524
1.9752480418 0.6380477781 1.9782944255 0.6381681155 0.0004355371
1.9714567634 0.6458813769 1.9720260111 0.6454003453 0.0001064678
1.9715495982 0.6451360093 1.9720260111 0.6454003453 0.0000778333
1.9700091685 0.6481251628 1.9707016767 0.6479694155 0.0001014009
1.9656762586 0.6570533860 1.9700227480 0.6554910966 0.0006598194
1.9694366818 0.6490383745 1.9700091685 0.6481251628 0.0001539743
1.9673379406 0.6696185351 1.9681112712 0.6661841177 0.0005029152
1.9807781481 0.6381681155 1.9782944255 0.6381681155 0.0003548175
1.9670945529 0.6522615429 1.9696340784 0.6530803109 0.0003811789
1.9706911505 0.6445931131 1.9715495982 0.6451360093 0.0001451016
1.9692198560 0.6473184446 1.9700091685 0.6481251628 0.0001612330
1.9796318328 0.6251025641 1.9807781481 0.6381681155 0.0018736773
1.9689409792 0.6684124850 1.9673379406 0.6696185351 0.0002865805
1.9812741086 0.6207500474 1.9796318328 0.6251025641 0.0006645771
1.9575249154 0.6883175462 1.9673379406 0.6696185351 0.0030167846
1.9630783717 0.6848016549 1.9575249154 0.6883175462 0.0009389787
1.9696093885 0.6432214527 1.9706911505 0.6445931131 0.0002495572
1.9696502655 0.6427197493 1.9696093885 0.6432214527 0.0000719094
1.9657916189 0.6790986369 1.9630783717 0.6848016549 0.0009022209
1.9715197419 0.6660847864 1.9681112712 0.6661841177 0.0004871311
1.9767172172 0.6272953824 1.9796318328 0.6251025641 0.0005210554
1.9868232253 0.6047891586 1.9812741086 0.6207500474 0.0024140011
1.9677499782 0.6446716029 1.9696093885 0.6432214527 0.0003368625
1.9802363493 0.6481797950 1.9738142122 0.6471228099 0.0009297911
1.9888741911 0.6292963031 1.9796318328 0.6251025641 0.0014499024
1.9626285156 0.6902900727 1.9575249154 0.6883175462 0.0007816466
1.9688625492 0.6772302096 1.9657916189 0.6790986369 0.0005135239
1.9645805007 0.6479810640 1.9677499782 0.6446716029 0.0006546244
1.9692822957 0.6376191394 1.9696502655 0.6427197493 0.0007305522
1.9720285577 0.6315275617 1.9767172172 0.6272953824 0.0009023198
1.9938041810 0.5840037613 1.9868232253 0.6047891586 0.0031323411
1.9758627760 0.6619236635 1.9715197419 0.6660847864 0.0008592461
1.9916856850 0.5997287138 1.9868232253 0.6047891586 0.0010025642
1.9916856850 0.6047891586 1.9868232253 0.6047891586 0.0006946371
1.9713307553 0.6727043341 1.9689409792 0.6684124850 0.0007017616
