# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7939486591 0.8836252852 2.0576406137 2.6853769962 0.7976477059 0.7976477059 0.7976477059 0.7939486591 0.8836252852
0.8478306962 0.8806623368 2.4348148737 2.6646363573 0.7976477059 0.7976477059 0.7976477059 0.8478306962 0.8806623368
0.6600252439 0.9604066898 1.1201767070 3.2228468287 0.7976477059 0.7976477059 0.7976477059 0.6600252439 0.9604066898
0.8279695695 0.8669260327 2.2957869866 2.5684822291 0.7976477059 0.7976477059 0.7976477059 0.8279695695 0.8669260327
0.2634335685 0.8104138250 -1.6559650206 2.1728967752 0.7976477059 0.7976477059 0.7976477059 0.2634335685 0.8104138250
0.7417205837 0.3749294893 1.6920440860 -0.8754935747 2.4415711576 0.7242264204 0.7242264204 0.7417205837 0.3749294893
0.1495503786 0.0092947245 -2.4531473498 -3.4349369285 0.7105792607 0.6305527109 0.6305527109 0.1495503786 0.0092947245
0.9559013154 0.8096261296 3.1913092081 2.1673829074 3.3796756423 5.0577065641 3.3796756423 0.9559013154 0.8096261296
0.0194198458 0.6636922726 -3.3640610793 1.1458459081 0.7976477059 0.7976477059 0.7976477059 0.0194198458 0.6636922726
0.0554765563 0.5574241605 -3.1116641057 0.4019691238 0.7976477059 0.7976477059 0.7976477059 0.0554765563 0.5574241605
0.3507184379 0.0639437471 -1.0449709345 -3.0523937705 13.0178545002 0.6305527109 0.6305527109 0.3507184379 0.0639437471
0.2521382236 0.2910320743 -1.7350324347 -1.4627754798 1.1779899799 11.9469099987 1.1779899799 0.2521382236 0.2910320743
0.1029579831 0.6077735859 -2.7792941183 0.7544151010 0.8585734401 0.7976477059 0.7976477059 0.1029579831 0.6077735859
0.1375027568 0.5721567858 -2.5374807025 0.5050975006 12.0071222839 1.9145467279 1.9145467279 0.1375027568 0.5721567858
0.6745990591 0.9180887086 1.2221934138 2.9266209601 0.7976477059 0.7976477059 0.7976477059 0.6745990591 0.9180887086
