# from_x0 from_x1 to_x0 to_x1 length
-1.4772765742 1.5983861390 0.6553812624 1.0909106375 0.3131720800
-1.4792368541 1.5959573734 -1.4772765742 1.5983861390 0.0004458791
-1.4772765742 1.5959573734 -1.4792368541 1.5959573734 0.0002800400
0.6473926816 1.0933613359 0.6553812624 1.0909106375 0.0011937195
0.6519973532 1.0808765434 0.6553812624 1.0909106375 0.0015127613
0.6553812624 1.0864947000 0.6553812624 1.0909106375 0.0006308482
-1.4804833118 1.5940058067 -1.4792368541 1.5959573734 0.0003308082
-1.4828009993 1.5959573734 -1.4804833118 1.5940058067 0.0004328427
0.6553812624 1.0828816602 0.6553812624 1.0864947000 0.0005161485
0.6432567926 1.0909106375 0.6473926816 1.0933613359 0.0006867775
-1.4767042847 1.5890907375 -1.4804833118 1.5940058067 0.0008857022
0.6453288949 1.0852924809 0.6432567926 1.0909106375 0.0008554423
0.6457893620 1.0840440016 0.6453288949 1.0852924809 0.0001900983
-1.4828009993 1.5915414359 -1.4804833118 1.5940058067 0.0004832880
0.6443471718 1.0855049580 0.6453288949 1.0852924809 0.0001434933
0.6507367945 1.0726338434 0.6519973532 1.0808765434 0.0011912188
0.6478614643 1.0784258450 0.6519973532 1.0808765434 0.0006867775
0.6595171514 1.0977772734 0.6553812624 1.0909106375 0.0011451429
-1.4725683957 1.5915414359 -1.4767042847 1.5890907375 0.0006867775
0.6411930059 1.0828417825 0.6443471718 1.0855049580 0.0005897296
0.6542510870 1.0655547304 0.6507367945 1.0726338434 0.0011290604
-1.4911731296 1.6142410587 -1.4828009993 1.5959573734 0.0028727634
-1.4891417980 1.6198432522 -1.4911731296 1.6142410587 0.0008513001
-1.4705135312 1.6230449447 -1.4891417980 1.6198432522 0.0027002009
0.6476542604 1.0522644331 0.6542510870 1.0655547304 0.0021196367
0.6244496546 1.0879095462 0.6411930059 1.0828417825 0.0024990694
0.6688574654 1.0810472032 0.6553812624 1.0828816602 0.0019429269
-1.5008691714 1.5847347751 -1.4828009993 1.5915414359 0.0027582510
0.6402072540 1.0570710625 0.6476542604 1.0522644331 0.0012662140
0.6523395958 1.0233272949 0.6476542604 1.0522644331 0.0041877136
0.6744185159 1.1065939774 0.6595171514 1.0977772734 0.0024734712
0.6288323223 1.0545189122 0.6402072540 1.0570710625 0.0016653892
-1.4884303156 1.5374334918 -1.5008691714 1.5847347751 0.0069870676
-1.4926172365 1.5430660969 -1.4884303156 1.5374334918 0.0010026144
-1.4609508999 1.5681394093 -1.4725683957 1.5915414359 0.0037324311
-1.5006086643 1.5544700208 -1.4926172365 1.5430660969 0.0019893205
-1.4487663540 1.6016333396 -1.4725683957 1.5915414359 0.0036933026
-1.4496309044 1.5992981089 -1.4487663540 1.6016333396 0.0003557329
0.6773220308 1.0708905621 0.6688574654 1.0810472032 0.0018887758
0.6140560056 1.0657942428 0.6288323223 1.0545189122 0.0026552705
-1.4933314758 1.6429384510 -1.4891417980 1.6198432522 0.0033531636
0.6948875915 1.0885726546 0.6773220308 1.0708905621 0.0035605701
0.6971844785 1.0892884859 0.6948875915 1.0885726546 0.0003436926
-1.4349858823 1.5992696599 -1.4487663540 1.6016333396 0.0019973880
-1.5251278184 1.6198152555 -1.4911731296 1.6142410587 0.0049155990
-1.4537519590 1.6391961980 -1.4705135312 1.6230449447 0.0033252690
-1.4264613110 1.5923116340 -1.4349858823 1.5992696599 0.0015719638
0.6761861105 1.0270617718 0.6523395958 1.0233272949 0.0034481660
-1.4111039254 1.6145079854 -1.4264613110 1.5923116340 0.0038558921
0.6412699196 0.9979978207 0.6523395958 1.0233272949 0.0039489601
0.7242818773 1.0805433722 0.6971844785 1.0892884859 0.0040676575
-1.4191242397 1.5769427406 -1.4264613110 1.5923116340 0.0024329184
-1.5346584976 1.5961416273 -1.5251278184 1.6198152555 0.0036457258
0.7064063733 1.1159644777 0.6971844785 1.0892884859 0.0040321460
0.7085519174 1.0621210275 0.7242818773 1.0805433722 0.0034606075
0.6800615510 1.0191271075 0.6761861105 1.0270617718 0.0012615017
-1.4840984449 1.4904531185 -1.4884303156 1.5374334918 0.0067399518
-1.4938371716 1.4976260674 -1.4840984449 1.4904531185 0.0017278865
-1.5028487078 1.4997506213 -1.4938371716 1.4976260674 0.0013226559
0.6400904348 0.9845966224 0.6412699196 0.9979978207 0.0019218576
-1.5371705668 1.6234228133 -1.5251278184 1.6198152555 0.0017959266
-1.5142347223 1.5062821752 -1.5028487078 1.4997506213 0.0018752008
0.6553812624 0.9724130360 0.6400904348 0.9845966224 0.0027930277
0.6263109102 0.9888197271 0.6400904348 0.9845966224 0.0020588778
0.7338505078 1.0570710625 0.7242818773 1.0805433722 0.0036211060
0.7417425265 1.1146816604 0.7064063733 1.1159644777 0.0050513473
-1.4191089047 1.5245858586 -1.4191242397 1.5769427406 0.0074795549
0.7378023778 1.1205682268 0.7417425265 1.1146816604 0.0010119332
0.6425331220 0.9674001497 0.6553812624 0.9724130360 0.0019702053
-1.3868071665 1.5835109932 -1.4191242397 1.5769427406 0.0047111140
0.7447080502 1.1106592056 0.7417425265 1.1146816604 0.0007139210
-1.4139056452 1.5205886073 -1.4191089047 1.5245858586 0.0009373424
-1.3895961620 1.5614366674 -1.3868071665 1.5835109932 0.0031785453
-1.3897551755 1.6320142983 -1.4111039254 1.6145079854 0.0039440995
-1.3904128777 1.5553473482 -1.3895961620 1.5614366674 0.0008776922
0.6553812624 0.9567293961 0.6553812624 0.9724130360 0.0022405200
0.7531442427 1.0919970759 0.7447080502 1.1106592056 0.0029257632
0.7437671752 1.0432491076 0.7338505078 1.0570710625 0.0024301958
0.5898713173 1.0220817029 0.6263109102 0.9888197271 0.0070482347
-1.5992075492 1.5942079497 -1.5346584976 1.5961416273 0.0092254298
-1.4731442381 1.4576317206 -1.4840984449 1.4904531185 0.0049430198
