# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.2035975174 0.6809867112 -2.0748173785 1.2669069786 22.3658462140 23.0964202224 22.3658462140 0.2035975174 0.6809867112
0.9099324015 0.4122553271 2.8695268108 -0.6142127104 58.1293075953 20.8161360901 20.8161360901 0.9099324015 0.4122553271
0.3554014595 0.7270222735 -1.0121897832 1.5891559147 22.3658462140 24.9715072655 22.3658462140 0.3554014595 0.7270222735
0.0651726803 0.1446722435 -3.0437912377 -2.4872942954 19.8880068484 23.1194566808 19.8880068484 0.0651726803 0.1446722435
0.4196519344 0.6763346191 -0.5624364591 1.2343423340 27.9683458820 24.9715072655 24.9715072655 0.4196519344 0.6763346191
0.4763054978 0.4618949846 -0.1658615157 -0.2667351077 19.5101980237 21.2601064538 19.5101980237 0.4763054978 0.4618949846
0.5849203260 0.4934510782 0.5944422818 -0.0458424526 19.5101980237 27.9683458820 19.5101980237 0.5849203260 0.4934510782
0.1023616583 0.4493519600 -2.7834683917 -0.3545362799 22.3658462140 23.0964202224 22.3658462140 0.1023616583 0.4493519600
0.4417096704 0.7811369733 -0.4080323073 1.9679588128 27.9683458820 27.9683458820 27.9683458820 0.4417096704 0.7811369733
0.5510897849 0.2661160810 0.3576284942 -1.6371874328 19.5101980237 21.2601064538 19.5101980237 0.5510897849 0.2661160810
0.7764908086 0.6570297007 1.9354356605 1.0992079046 27.9683458820 25.5635229677 25.5635229677 0.7764908086 0.6570297007
0.1123911642 0.7343508970 -2.7132618506 1.6404562793 50.5743368149 23.0964202224 23.0964202224 0.1123911642 0.7343508970
0.6268134400 0.9171913946 0.8876940798 2.9203397622 27.9683458820 35.1245898787 27.9683458820 0.6268134400 0.9171913946
0.3298774165 0.6989840398 -1.1908580845 1.3928882783 22.3658462140 24.9715072655 22.3658462140 0.3298774165 0.6989840398
0.0049391205 0.7902600082 -3.4654261567 2.0318200571 22.3658462140 23.0964202224 22.3658462140 0.0049391205 0.7902600082
0.3353691522 0.2168348294 -1.1524159348 -1.9821561939 19.8880068484 52.8855398318 19.8880068484 0.3353691522 0.2168348294
0.1528104395 0.1351719140 -2.4303269234 -2.5537966021 19.8880068484 23.1194566808 19.8880068484 0.1528104395 0.1351719140
0.7003152742 0.9254806776 1.4022069196 2.9783647429 27.9683458820 27.9683458820 27.9683458820 0.7003152742 0.9254806776
0.5709410656 0.4766389770 0.4965874589 -0.1635271612 19.5101980237 27.9683458820 19.5101980237 0.5709410656 0.4766389770
0.5510356561 0.7798069222 0.3572495926 1.9586484556 27.9683458820 27.9683458820 27.9683458820 0.5510356561 0.7798069222
0.7260375601 0.9738344170 1.5822629206 3.3168409188 27.9683458820 27.9683458820 27.9683458820 0.7260375601 0.9738344170
