# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034403372 0.8260218141 1.4240823601 2.2821526984 89.9999711788 89.9999928622 89.9999711788 0.7034403372 0.8260218141
0.7034492019 0.8260555405 1.4241444133 2.2823887834 89.9999901211 89.9999708375 89.9999708375 0.7034492019 0.8260555405
0.7034480529 0.8260301415 1.4241363703 2.2822109908 89.9999702868 89.9999974632 89.9999702868 0.7034480529 0.8260301415
0.7034480529 0.8260301415 1.4241363703 2.2822109908 89.9999702868 89.9999974632 89.9999702868 0.7034480529 0.8260301415
0.7034532298 0.8260475632 1.4241726089 2.2823329426 89.9999776872 89.9999688207 89.9999688207 0.7034532298 0.8260475632
0.7034527991 0.8260378740 1.4241695935 2.2822651177 89.9999685780 89.9999839960 89.9999685780 0.7034527991 0.8260378740
0.7034532298 0.8260555405 1.4241726089 2.2823887834 89.9999845672 89.9999542075 89.9999542075 0.7034532298 0.8260555405
0.7034532298 0.8260555405 1.4241726089 2.2823887834 89.9999845672 89.9999542075 89.9999542075 0.7034532298 0.8260555405
0.7034532298 0.8260555405 1.4241726089 2.2823887834 89.9999845672 89.9999542075 89.9999542075 0.7034532298 0.8260555405
0.7034532298 0.8260555405 1.4241726089 2.2823887834 89.9999845672 89.9999542075 89.9999542075 0.7034532298 0.8260555405
0.7034532298 0.8260555405 1.4241726089 2.2823887834 89.9999845672 89.9999542075 89.9999542075 0.7034532298 0.8260555405
0.7034532298 0.8260555405 1.4241726089 2.2823887834 89.9999845672 89.9999542075 89.9999542075 0.7034532298 0.8260555405
0.7034532298 0.8260555405 1.4241726089 2.2823887834 89.9999845672 89.9999542075 89.9999542075 0.7034532298 0.8260555405
