# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7034480529 0.8260301415 1.4241363703 2.2822109908 89.9999702868 89.9999974632 89.9999702868 0.7034480529 0.8260301415
0.7034480529 0.8260301415 1.4241363703 2.2822109908 89.9999702868 89.9999974632 89.9999702868 0.7034480529 0.8260301415
0.7034403372 0.8260218141 1.4240823601 2.2821526984 89.9999711788 89.9999928622 89.9999711788 0.7034403372 0.8260218141
0.7034438172 0.8260093606 1.4241067205 2.2820655242 89.9999448828 89.9999869437 89.9999448828 0.7034438172 0.8260093606
0.7034527991 0.8260378740 1.4241695935 2.2822651177 89.9999685780 89.9999839960 89.9999685780 0.7034527991 0.8260378740
0.7034255374 0.8260389980 1.4239787616 2.2822729863 89.9999976537 89.9999741420 89.9999741420 0.7034255374 0.8260389980
0.7034702798 0.8259778107 1.4242919584 2.2818446752 89.9997749493 89.9999728634 89.9997749493 0.7034702798 0.8259778107
0.7034492019 0.8260555405 1.4241444133 2.2823887834 89.9999901211 89.9999708375 89.9999708375 0.7034492019 0.8260555405
0.7034532298 0.8260475632 1.4241726089 2.2823329426 89.9999776872 89.9999688207 89.9999688207 0.7034532298 0.8260475632
0.7034532298 0.8260555405 1.4241726089 2.2823887834 89.9999845672 89.9999542075 89.9999542075 0.7034532298 0.8260555405
0.7034482411 0.8260700446 1.4241376877 2.2824903120 89.9999977199 89.9999477926 89.9999477926 0.7034482411 0.8260700446
0.7034479371 0.8260742224 1.4241355598 2.2825195568 89.9999988838 89.9999400619 89.9999400619 0.7034479371 0.8260742224
0.7034975026 0.8259333218 1.4244825181 2.2815332524 89.9993877414 89.9999374096 89.9993877414 0.7034975026 0.8259333218
0.7034567898 0.8260558896 1.4241975289 2.2823912274 89.9999789524 89.9999355718 89.9999355718 0.7034567898 0.8260558896
0.7035029853 0.8259512386 1.4245208974 2.2816586705 89.9994227627 89.9999330667 89.9994227627 0.7035029853 0.8259512386
0.7034430340 0.8259772396 1.4241012380 2.2818406775 89.9998619618 89.9999309650 89.9998619618 0.7034430340 0.8259772396
