# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.8680998737 0.1032762371 2.5766991162 -2.7770663402 0.0734389052 0.0649560990 0.0649560990 0.8680998737 0.1032762371
0.6700681468 0.5968137640 1.1904770277 0.6776963480 0.0734389052 25.8177441666 0.0734389052 0.6700681468 0.5968137640
0.3665869653 0.9495706490 -0.9338912430 3.1469945428 0.0625546507 51.0738146746 0.0625546507 0.3665869653 0.9495706490
0.9754630918 0.7970078980 3.3282416425 2.0790552863 0.0734389052 25.8177441666 0.0734389052 0.9754630918 0.7970078980
0.3805026005 0.4823366723 -0.8364817963 -0.1236432941 17.3273466718 51.0738146746 17.3273466718 0.3805026005 0.4823366723
0.3841663840 0.1385371661 -0.8108353120 -2.5302398375 17.3273466718 51.0738146746 17.3273466718 0.3841663840 0.1385371661
0.4604855049 0.4810956888 -0.2766014658 -0.1323301786 0.0734389052 60.7959761701 0.0734389052 0.4604855049 0.4810956888
0.7794627498 0.1239209991 1.9562392489 -2.6325530066 0.0734389052 0.0649560990 0.0649560990 0.7794627498 0.1239209991
0.8984170927 0.3253055504 2.7889196489 -1.2228611470 0.0734389052 25.8177441666 0.0734389052 0.8984170927 0.3253055504
0.9214017385 0.3033339141 2.9498121698 -1.3766626014 0.0734389052 25.8177441666 0.0734389052 0.9214017385 0.3033339141
0.7865116221 0.9781120463 2.0055813546 3.3467843242 45.0137257277 25.8177441666 25.8177441666 0.7865116221 0.9781120463
0.4466963461 0.1652047642 -0.3731255773 -2.3435666506 0.0734389052 51.0738146746 0.0734389052 0.4466963461 0.1652047642
0.7327484892 0.1439009622 1.6292394245 -2.4926932648 5.6036574731 0.0498947814 0.0498947814 0.7327484892 0.1439009622
0.8151452009 0.1533586552 2.2060164060 -2.4264894133 0.0734389052 0.0649560990 0.0649560990 0.8151452009 0.1533586552
0.7498354558 0.5788283688 1.7488481906 0.5517985815 0.9845937274 25.8177441666 0.9845937274 0.7498354558 0.5788283688
0.3960681604 0.8487823600 -0.7275228772 2.4414765200 17.3273466718 51.0738146746 17.3273466718 0.3960681604 0.8487823600
0.0501919604 0.6587103742 -3.1486562774 1.1109726193 17.3273466718 0.6031845859 0.6031845859 0.0501919604 0.6587103742
0.8953191775 0.5741607365 2.7672342428 0.5191251558 0.0734389052 25.8177441666 0.0734389052 0.8953191775 0.5741607365
0.9401626695 0.0557717306 3.0811386863 -3.1095978861 0.0734389052 0.0649560990 0.0649560990 0.9401626695 0.0557717306
0.8085285920 0.9062859627 2.1597001442 2.8440017391 0.0569087314 25.8177441666 0.0569087314 0.8085285920 0.9062859627
0.7140383309 0.2021686003 1.4982683163 -2.0848197977 11.8774103499 25.8177441666 11.8774103499 0.7140383309 0.2021686003
0.7749733424 0.6689484650 1.9248133970 1.1826392550 0.0734389052 25.8177441666 0.0734389052 0.7749733424 0.6689484650
0.8183932436 0.0683664974 2.2287527054 -3.0214345183 0.0734389052 0.0649560990 0.0649560990 0.8183932436 0.0683664974
0.2086980896 0.2735617328 -2.0391133729 -1.5850678706 17.3273466718 0.0734389052 0.0734389052 0.2086980896 0.2735617328
0.6606746996 0.4428295788 1.1247228969 -0.4001929487 0.0734389052 68.5317298883 0.0734389052 0.6606746996 0.4428295788
0.3820075165 0.5791910963 -0.8259473848 0.5543376740 17.3273466718 51.0738146746 17.3273466718 0.3820075165 0.5791910963
0.5045553163 0.8699224893 0.0318872138 2.5894574253 0.0581763743 51.0738146746 0.0581763743 0.5045553163 0.8699224893
0.8190014769 0.2715841843 2.2330103381 -1.5989107097 0.0734389052 64.6874943908 0.0734389052 0.8190014769 0.2715841843
0.0586989777 0.0224301800 -3.0891071564 -3.3429887397 17.3273466718 0.0569575213 0.0569575213 0.0586989777 0.0224301800
0.4203994715 0.0609358750 -0.5572036998 -3.0734488747 17.3273466718 0.0879647625 0.0879647625 0.4203994715 0.0609358750
0.5593875417 0.1138786343 0.4157127920 -2.7028495600 0.0734389052 51.0738146746 0.0734389052 0.5593875417 0.1138786343
0.9088063314 0.7877197362 2.8616443197 2.0140381532 0.0734389052 25.8177441666 0.0734389052 0.9088063314 0.7877197362
0.2427936552 0.3056905457 -1.8004444137 -1.3601661802 17.3273466718 0.0734389052 0.0734389052 0.2427936552 0.3056905457
0.3499988493 0.4574404756 -1.0500080546 -0.2979166708 17.3273466718 51.0738146746 17.3273466718 0.3499988493 0.4574404756
0.6563834035 0.1838142971 1.0946838247 -2.2132999202 0.0854849267 0.0498947814 0.0498947814 0.6563834035 0.1838142971
0.8817536307 0.9778017204 2.6722754148 3.3446120425 0.0573626481 25.8177441666 0.0573626481 0.8817536307 0.9778017204
0.8789333649 0.0045533875 2.6525335542 -3.4681262873 0.0734389052 0.0649560990 0.0649560990 0.8789333649 0.0045533875
0.7045824911 0.4926064577 1.4320774380 -0.0517547961 17.1269447826 41.0155403415 17.1269447826 0.7045824911 0.4926064577
0.6869526959 0.4386308638 1.3086688712 -0.4295839535 13.3420545869 75.5130681691 13.3420545869 0.6869526959 0.4386308638
