# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7209689667 0.3904794895 1.5467827669 -0.7666435737 89.9978193532 89.9999226184 89.9978193532 0.7209689667 0.3904794895
0.7209689667 0.3904794895 1.5467827669 -0.7666435737 89.9978193532 89.9999226184 89.9978193532 0.7209689667 0.3904794895
0.7208996576 0.3905887820 1.5462976034 -0.7658785261 89.9947988906 89.9998030676 89.9947988906 0.7208996576 0.3905887820
0.7208928418 0.3905626782 1.5462498923 -0.7660612524 89.9941500925 89.9997799010 89.9941500925 0.7208928418 0.3905626782
0.7209052342 0.3906101396 1.5463366397 -0.7657290227 89.9953019368 89.9997063644 89.9953019368 0.7209052342 0.3906101396
0.7208396441 0.3905677865 1.5458775089 -0.7660254943 89.9902580937 89.9996293210 89.9902580937 0.7208396441 0.3905677865
0.7208374292 0.3904717038 1.5458620045 -0.7666980731 89.9889865840 89.9996271637 89.9889865840 0.7208374292 0.3904717038
0.7213344033 0.3902865673 1.5493408230 -0.7679940290 89.9792799193 89.9993056704 89.9792799193 0.7213344033 0.3902865673
0.7210256667 0.3905608624 1.5471796671 -0.7660739630 89.9991004295 89.9992894786 89.9991004295 0.7210256667 0.3905608624
0.7209730075 0.3906144431 1.5468110522 -0.7656988982 89.9975469476 89.9992260148 89.9975469476 0.7209730075 0.3906144431
0.7211260267 0.3905020347 1.5478821870 -0.7664857568 89.9988998841 89.9989821864 89.9988998841 0.7211260267 0.3905020347
0.7212081394 0.3904539030 1.5484569759 -0.7668226790 89.9941807711 89.9986775884 89.9941807711 0.7212081394 0.3904539030
0.7209853999 0.3906619045 1.5468977996 -0.7653666685 89.9976014788 89.9985781550 89.9976014788 0.7209853999 0.3906619045
0.7208924344 0.3902768247 1.5462470411 -0.7680622271 89.9914505105 89.9984386460 89.9914505105 0.7208924344 0.3902768247
0.7209595045 0.3907031206 1.5467165314 -0.7650781560 89.9964941238 89.9983431640 89.9964941238 0.7209595045 0.3907031206
0.7215449061 0.3898842149 1.5508143430 -0.7708104955 89.9302491483 89.9982691516 89.9302491483 0.7215449061 0.3898842149
0.7207726951 0.3903113816 1.5454088658 -0.7678203286 89.9803298396 89.9976079201 89.9803298396 0.7207726951 0.3903113816
0.7210733854 0.3900590623 1.5475136976 -0.7695865638 89.9996097620 89.9972471893 89.9972471893 0.7210733854 0.3900590623
0.7208636745 0.3901957138 1.5460457213 -0.7686300036 89.9879917147 89.9968211950 89.9879917147 0.7208636745 0.3901957138
0.7202802088 0.3912316932 1.5419614618 -0.7613781478 89.9337981089 89.9966223994 89.9337981089 0.7202802088 0.3912316932
0.7210655656 0.3907136694 1.5474589595 -0.7650043143 89.9992757319 89.9965043890 89.9965043890 0.7210655656 0.3907136694
0.7209250468 0.3901227107 1.5464753273 -0.7691410252 89.9924913863 89.9963086186 89.9924913863 0.7209250468 0.3901227107
0.7208517707 0.3901501242 1.5459623951 -0.7689491306 89.9862363584 89.9957434463 89.9862363584 0.7208517707 0.3901501242
0.7208485281 0.3901377054 1.5459396967 -0.7690360622 89.9857380774 89.9954237551 89.9857380774 0.7208485281 0.3901377054
0.7214667389 0.3904168878 1.5502671723 -0.7670817857 89.9447284182 89.9946721970 89.9447284182 0.7214667389 0.3904168878
0.7210445225 0.3908241914 1.5473116574 -0.7642306600 89.9983240299 89.9944111396 89.9944111396 0.7210445225 0.3908241914
0.7212361806 0.3906619045 1.5486532639 -0.7653666685 89.9895559341 89.9938805548 89.9895559341 0.7212361806 0.3906619045
0.7207769133 0.3911080776 1.5454383932 -0.7622434566 89.9830819770 89.9937222371 89.9830819770 0.7207769133 0.3911080776
0.7211818942 0.3907298931 1.5482732592 -0.7648907486 89.9944404681 89.9934149489 89.9934149489 0.7211818942 0.3907298931
0.7210923469 0.3908162378 1.5476464286 -0.7642863352 89.9990517971 89.9933933024 89.9933933024 0.7210923469 0.3908162378
0.7210926157 0.3908172673 1.5476483102 -0.7642791287 89.9990402385 89.9933568770 89.9933568770 0.7210926157 0.3908172673
0.7206782108 0.3912316932 1.5447474755 -0.7613781478 89.9753165418 89.9930037608 89.9753165418 0.7206782108 0.3912316932
0.7219680613 0.3897842992 1.5537764290 -0.7715099055 89.6969495295 89.9928203700 89.6969495295 0.7219680613 0.3897842992
0.7210455331 0.3908922056 1.5473187317 -0.7637545605 89.9979843945 89.9924952747 89.9924952747 0.7210455331 0.3908922056
0.7210702002 0.3908718110 1.5474914014 -0.7638973232 89.9987471270 89.9923918359 89.9923918359 0.7210702002 0.3908718110
0.7210465035 0.3908959223 1.5473255247 -0.7637285441 89.9979920056 89.9923557585 89.9923557585 0.7210465035 0.3908959223
0.7209856200 0.3909707972 1.5468993399 -0.7632044196 89.9952975712 89.9918766614 89.9918766614 0.7209856200 0.3909707972
0.7210523490 0.3909183094 1.5473664427 -0.7635718341 89.9980386799 89.9914868537 89.9914868537 0.7210523490 0.3909183094
0.7214942778 0.3905223575 1.5504599443 -0.7663434973 89.9335034244 89.9904451084 89.9335034244 0.7214942778 0.3905223575
0.7210302022 0.3909738826 1.5472114156 -0.7631828221 89.9969798898 89.9903752877 89.9903752877 0.7210302022 0.3909738826
0.7211198534 0.3909215834 1.5478389735 -0.7635489162 89.9975007254 89.9891207779 89.9891207779 0.7211198534 0.3909215834
0.7206372015 0.3914168297 1.5444604102 -0.7600821919 89.9691303984 89.9886194718 89.9691303984 0.7206372015 0.3914168297
0.7209734075 0.3911760662 1.5468138527 -0.7617675368 89.9928101269 89.9848707882 89.9848707882 0.7209734075 0.3911760662
0.7207640809 0.3898142850 1.5453485662 -0.7713000050 89.9697630705 89.9832315615 89.9697630705 0.7207640809 0.3898142850
0.7211066367 0.3911262234 1.5477464568 -0.7621164361 89.9972505156 89.9810408694 89.9810408694 0.7211066367 0.3911262234
0.7212829511 0.3910655149 1.5489806578 -0.7625413960 89.9783660319 89.9748103516 89.9748103516 0.7212829511 0.3910655149
0.7211341755 0.3912316932 1.5479392287 -0.7613781478 89.9949123576 89.9740797744 89.9740797744 0.7211341755 0.3912316932
0.7206131711 0.3917889025 1.5442921979 -0.7574776826 89.9593044537 89.9733554029 89.9593044537 0.7206131711 0.3917889025
