# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7970950668 0.6105140937 2.0796654676 0.7735986557 89.9995110185 89.9991015073 89.9991015073 0.7970950668 0.6105140937
0.1392845837 0.6824862498 -2.5250079141 1.2774037489 89.9973765492 89.9993565146 89.9973765492 0.1392845837 0.6824862498
0.1463735789 0.6471289790 -2.4753849474 1.0299028533 85.1757164852 86.5376276332 85.1757164852 0.1463735789 0.6471289790
0.7879307972 0.6383174900 2.0155155807 0.9682224302 86.1740850951 85.0539632733 85.0539632733 0.7879307972 0.6383174900
0.1311183053 0.7240282645 -2.5821718628 1.5681978515 83.8940728740 85.4111232314 83.8940728740 0.1311183053 0.7240282645
0.8096499105 0.5751151273 2.1675493735 0.5258058909 83.1036843600 82.6118098860 82.6118098860 0.8096499105 0.5751151273
0.1501139092 0.6968509626 -2.4492026359 1.3779567384 82.1601649852 72.6226046113 72.6226046113 0.1501139092 0.6968509626
0.1506476932 0.6077695844 -2.4454661478 0.7543870910 69.8396831419 83.6501666627 69.8396831419 0.1506476932 0.6077695844
0.1208604104 0.7685566504 -2.6539771274 1.8798965529 68.5200914526 70.3584893934 68.5200914526 0.1208604104 0.7685566504
0.7717681758 0.6768471142 1.9023772308 1.2379297995 67.3572493961 70.7181645261 67.3572493961 0.7717681758 0.6768471142
