# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.2672980922 0.3524231837 -1.6289133546 -1.0330377139 89.9998804143 89.9998802723 89.9998802723 0.2672980922 0.3524231837
0.2672980922 0.3524231837 -1.6289133546 -1.0330377139 89.9998804143 89.9998802723 89.9998802723 0.2672980922 0.3524231837
0.2672966021 0.3524231837 -1.6289237855 -1.0330377139 89.9998744573 89.9998776630 89.9998744573 0.2672966021 0.3524231837
0.2672964275 0.3524231837 -1.6289250074 -1.0330377139 89.9998737505 89.9998773552 89.9998737505 0.2672964275 0.3524231837
0.2672958068 0.3524231837 -1.6289293525 -1.0330377139 89.9998712222 89.9998762568 89.9998712222 0.2672958068 0.3524231837
0.2672956784 0.3524231837 -1.6289302512 -1.0330377139 89.9998706963 89.9998760289 89.9998706963 0.2672956784 0.3524231837
0.2672949002 0.3524231837 -1.6289356988 -1.0330377139 89.9998674870 89.9998746421 89.9998674870 0.2672949002 0.3524231837
0.2672992208 0.3524231837 -1.6289054544 -1.0330377139 89.9998848351 89.9998736974 89.9998736974 0.2672992208 0.3524231837
0.2672992299 0.3524231837 -1.6289053906 -1.0330377139 89.9998848704 89.9998736283 89.9998736283 0.2672992299 0.3524231837
0.2672992374 0.3524231837 -1.6289053385 -1.0330377139 89.9998848993 89.9998735717 89.9998735717 0.2672992374 0.3524231837
0.2672931108 0.3524231837 -1.6289482241 -1.0330377139 89.9998599679 89.9998714189 89.9998599679 0.2672931108 0.3524231837
0.2672930226 0.3524231837 -1.6289488418 -1.0330377139 89.9998595921 89.9998712587 89.9998595921 0.2672930226 0.3524231837
0.2672930135 0.3524231837 -1.6289489055 -1.0330377139 89.9998595533 89.9998712422 89.9998595533 0.2672930135 0.3524231837
0.2672903086 0.3524231837 -1.6289678399 -1.0330377139 89.9998478019 89.9998662733 89.9998478019 0.2672903086 0.3524231837
0.2672900586 0.3524231837 -1.6289695897 -1.0330377139 89.9998466936 89.9998658085 89.9998466936 0.2672900586 0.3524231837
0.2672886929 0.3524231837 -1.6289791499 -1.0330377139 89.9998405720 89.9998632519 89.9998405720 0.2672886929 0.3524231837
0.2672881118 0.3524231837 -1.6289832176 -1.0330377139 89.9998379335 89.9998621554 89.9998379335 0.2672881118 0.3524231837
0.2672879348 0.3524231837 -1.6289844565 -1.0330377139 89.9998371259 89.9998618204 89.9998371259 0.2672879348 0.3524231837
