# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.8178724298 0.2340500784 2.2251070089 -1.8616494515 50.4893480151 28.0399736370 28.0399736370 0.8178724298 0.2340500784
0.9187016373 0.9566456130 2.9309114613 3.1965192910 7.0247852807 11.0001659887 7.0247852807 0.9187016373 0.9566456130
0.6111592483 0.5034594379 0.7781147378 0.0242160653 34.0803047236 17.3312627973 17.3312627973 0.6111592483 0.5034594379
0.7671301136 0.2997427858 1.8699107949 -1.4018004992 6.9574266399 6.9574266399 6.9574266399 0.7671301136 0.2997427858
0.0633738940 0.6886316458 -3.0563827420 1.3204215208 6.9574266399 6.9574266399 6.9574266399 0.0633738940 0.6886316458
0.9636249329 0.9799508375 3.2453745306 3.3596558622 7.0247852807 11.0001659887 7.0247852807 0.9636249329 0.9799508375
0.6284886122 0.9294792835 0.8994202852 3.0063549848 8.5938468532 11.5646359348 8.5938468532 0.6284886122 0.9294792835
0.2722678324 0.3875155746 -1.5941251732 -0.7873909778 6.3045510789 6.9574266399 6.3045510789 0.2722678324 0.3875155746
0.1455433753 0.2850274671 -2.4811963727 -1.5048077305 6.3792792963 6.9574266399 6.3792792963 0.1455433753 0.2850274671
0.2586316274 0.5883564783 -1.6895786081 0.6184953481 42.6898840273 6.9574266399 6.9574266399 0.2586316274 0.5883564783
0.4107634193 0.5633899053 -0.6246560650 0.4437293368 6.9574266399 4.9409292090 4.9409292090 0.4107634193 0.5633899053
0.2586838649 0.7574254588 -1.6892129459 1.8019782119 6.9574266399 6.9574266399 6.9574266399 0.2586838649 0.7574254588
0.0745350912 0.8119613455 -2.9782543614 2.1837294182 6.9574266399 6.9574266399 6.9574266399 0.0745350912 0.8119613455
0.0603518803 0.0686109447 -3.0775368382 -3.0197233869 6.9574266399 6.9574266399 6.9574266399 0.0603518803 0.0686109447
0.8534553377 0.3408583234 2.4741873638 -1.1139917363 6.9574266399 6.9574266399 6.9574266399 0.8534553377 0.3408583234
0.6937517109 0.6843301920 1.3562619762 1.2903113440 6.9574266399 11.5646359348 6.9574266399 0.6937517109 0.6843301920
0.4203418038 0.1839052265 -0.5576073736 -2.2126634146 7.0617469216 25.5545218619 7.0617469216 0.4203418038 0.1839052265
0.3484076097 0.0152526263 -1.0611467321 -3.3932316159 20.7747234911 6.1812488173 6.1812488173 0.3484076097 0.0152526263
0.6091374206 0.9332139693 0.7639619444 3.0324977850 8.5938468532 11.5646359348 8.5938468532 0.6091374206 0.9332139693
0.8852157503 0.7139951730 2.6965102518 1.4979662113 6.9574266399 6.9574266399 6.9574266399 0.8852157503 0.7139951730
0.0910343023 0.8681104269 -2.8627598842 2.5767729883 6.9574266399 10.5442037503 6.9574266399 0.0910343023 0.8681104269
0.0465636555 0.1252564640 -3.1740544115 -2.6232047518 12.4444943905 24.2959465852 12.4444943905 0.0465636555 0.1252564640
0.2755745356 0.8779769431 -1.5709782507 2.6458386014 6.9574266399 6.9574266399 6.9574266399 0.2755745356 0.8779769431
0.0230700095 0.7903243056 -3.3385099337 2.0322701389 6.9574266399 6.9574266399 6.9574266399 0.0230700095 0.7903243056
0.1324331568 0.8089329494 -2.5729679021 2.1625306456 6.9574266399 6.9574266399 6.9574266399 0.1324331568 0.8089329494
0.3020524203 0.2041364223 -1.3856330579 -2.0710450441 6.3045510789 6.9574266399 6.3045510789 0.3020524203 0.2041364223
0.3340910907 0.9746767746 -1.1613623649 3.3227374223 6.9574266399 6.9574266399 6.9574266399 0.3340910907 0.9746767746
0.6598417645 0.0353946961 1.1188923518 -3.2522371275 6.9574266399 6.9574266399 6.9574266399 0.6598417645 0.0353946961
0.5301307346 0.6600331003 0.2109151424 1.1202317018 6.9574266399 6.0707269229 6.0707269229 0.5301307346 0.6600331003
0.2953317811 0.4669959624 -1.4326775324 -0.2310282629 6.2641173432 6.9574266399 6.2641173432 0.2953317811 0.4669959624
0.1290800858 0.0817036896 -2.5964393992 -2.9280741726 32.5128301069 6.9574266399 6.9574266399 0.1290800858 0.0817036896
0.6128307829 0.4589816098 0.7898154802 -0.2871287316 6.9574266399 6.9574266399 6.9574266399 0.6128307829 0.4589816098
0.4868189006 0.0983506677 -0.0922676957 -2.8115453261 6.9574266399 17.0488072257 6.9574266399 0.4868189006 0.0983506677
0.5726220370 0.0675027809 0.5083542588 -3.0274805339 46.9999031703 6.9574266399 6.9574266399 0.5726220370 0.0675027809
0.9112550905 0.3965944616 2.8787856334 -0.7238387686 6.9574266399 6.9574266399 6.9574266399 0.9112550905 0.3965944616
0.0863561172 0.5242126182 -2.8955071795 0.1694883271 43.0359411287 6.9574266399 6.9574266399 0.0863561172 0.5242126182
0.3196003937 0.6948416020 -1.2627972444 1.3638912143 6.9574266399 6.9574266399 6.9574266399 0.3196003937 0.6948416020
0.7576581768 0.5129270167 1.8036072373 0.0904891172 6.9574266399 6.9574266399 6.9574266399 0.7576581768 0.5129270167
0.5007274817 0.3135954690 0.0050923716 -1.3048317172 6.9574266399 15.0952441463 6.9574266399 0.5007274817 0.3135954690
0.8858955156 0.0735818305 2.7012686089 -2.9849271863 45.8459730955 6.9574266399 6.9574266399 0.8858955156 0.0735818305
0.4288763210 0.7362669955 -0.4978657532 1.6538689684 6.9574266399 5.9497181159 5.9497181159 0.4288763210 0.7362669955
0.0152517823 0.7577650291 -3.3932375238 1.8043552037 6.9574266399 6.9574266399 6.9574266399 0.0152517823 0.7577650291
0.5782159827 0.3280190174 0.5475118792 -1.2038668785 6.9574266399 6.9574266399 6.9574266399 0.5782159827 0.3280190174
0.3208172684 0.4312978170 -1.2542791213 -0.4809152807 6.9574266399 6.9574266399 6.9574266399 0.3208172684 0.4312978170
0.5916569951 0.5874806961 0.6415989659 0.6123648729 6.9574266399 6.9574266399 6.9574266399 0.5916569951 0.5874806961
0.3868271436 0.7018432968 -0.7922099947 1.4129030779 6.9574266399 13.7265857140 6.9574266399 0.3868271436 0.7018432968
0.1393312952 0.0658689303 -2.5246809339 -3.0389174876 6.9574266399 6.9574266399 6.9574266399 0.1393312952 0.0658689303
0.4136617420 0.6358553294 -0.6043678060 0.9509873058 6.9574266399 4.9409292090 4.9409292090 0.4136617420 0.6358553294
0.1558943077 0.5368501681 -2.4087398459 0.2579511765 6.9574266399 6.9574266399 6.9574266399 0.1558943077 0.5368501681
0.1165681715 0.5217454274 -2.6840227996 0.1522179919 6.9574266399 6.9574266399 6.9574266399 0.1165681715 0.5217454274
0.9473533076 0.2379013690 3.1314731535 -1.8346904169 6.9574266399 6.9574266399 6.9574266399 0.9473533076 0.2379013690
0.3653398780 0.4386718990 -0.9426208541 -0.4292967069 6.9574266399 6.9574266399 6.9574266399 0.3653398780 0.4386718990
0.4055668664 0.7021043357 -0.6610319352 1.4147303501 6.9574266399 4.9409292090 4.9409292090 0.4055668664 0.7021043357
0.4097323582 0.1199287363 -0.6318734928 -2.6604988456 7.2880758761 10.7190428441 7.2880758761 0.4097323582 0.1199287363
0.6429978323 0.5090604871 1.0009848260 0.0634234095 6.9574266399 6.9574266399 6.9574266399 0.6429978323 0.5090604871
0.5251444391 0.8172726828 0.1760110740 2.2209087794 19.2299649041 6.9162222479 6.9162222479 0.5251444391 0.8172726828
0.0421855677 0.7142656296 -3.2047010263 1.4998594071 6.9574266399 6.9574266399 6.9574266399 0.0421855677 0.7142656296
0.7176607445 0.2881197912 1.5236252116 -1.4831614615 6.9574266399 6.9574266399 6.9574266399 0.7176607445 0.2881197912
0.9320421472 0.7665933358 3.0242950303 1.8661533506 6.9574266399 12.2292933945 6.9574266399 0.9320421472 0.7665933358
0.7604337720 0.5363384639 1.8230364042 0.2543692471 6.9574266399 6.9574266399 6.9574266399 0.7604337720 0.5363384639
0.0263233989 0.7328619535 -3.3157362077 1.6300336744 6.9574266399 6.9574266399 6.9574266399 0.0263233989 0.7328619535
0.1201115531 0.2212512826 -2.6592191282 -1.9512410219 6.9574266399 6.9574266399 6.9574266399 0.1201115531 0.2212512826
0.0258102763 0.1557096485 -3.3193280659 -2.4100324604 6.9574266399 6.9574266399 6.9574266399 0.0258102763 0.1557096485
0.6878305008 0.7392183604 1.3148135055 1.6745285227 6.9574266399 11.5646359348 6.9574266399 0.6878305008 0.7392183604
0.9431614803 0.1245920429 3.1021303623 -2.6278556998 7.7369901419 6.9574266399 6.9574266399 0.9431614803 0.1245920429
0.5757316732 0.9458925581 0.5301217127 3.1212479065 8.5938468532 42.9183409244 8.5938468532 0.5757316732 0.9458925581
0.0150015339 0.2285979595 -3.3949892626 -1.8998142834 6.9574266399 6.9574266399 6.9574266399 0.0150015339 0.2285979595
0.6963257562 0.0666887481 1.3742802935 -3.0331787632 6.9574266399 6.9574266399 6.9574266399 0.6963257562 0.0666887481
0.2009026308 0.2257312739 -2.0936815845 -1.9198810829 6.2135329826 6.3066103434 6.2135329826 0.2009026308 0.2257312739
0.5805360424 0.1845983955 0.5637522970 -2.2078112314 7.8170472550 6.9574266399 6.9574266399 0.5805360424 0.1845983955
0.5296638248 0.6252946423 0.2076467739 0.8770624960 6.9574266399 6.0707269229 6.0707269229 0.5296638248 0.6252946423
0.6232329712 0.6240279889 0.8626307981 0.8681959226 6.9574266399 16.6056179475 6.9574266399 0.6232329712 0.6240279889
0.1431832958 0.1097791854 -2.4977169292 -2.7315457019 6.9574266399 6.9574266399 6.9574266399 0.1431832958 0.1097791854
0.6101355311 0.0822808571 0.7709487177 -2.9240340004 6.9574266399 6.9574266399 6.9574266399 0.6101355311 0.0822808571
0.4291236128 0.3611318519 -0.4961347103 -0.9720770368 6.9574266399 8.6172965056 6.9574266399 0.4291236128 0.3611318519
0.6303674277 0.0986874235 0.9125719936 -2.8091880355 6.9574266399 6.9574266399 6.9574266399 0.6303674277 0.0986874235
