# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7771198724 0.2332720892 1.9398391070 -1.8670953755 89.9835615785 89.9812932170 89.9812932170 0.7771198724 0.2332720892
0.9447954597 0.6512086632 3.1135682176 1.0584606427 89.9687246956 89.9602520030 89.9602520030 0.9447954597 0.6512086632
0.8909236751 0.8334943235 2.7364657255 2.3344602647 89.9516944502 89.9727887578 89.9516944502 0.8909236751 0.8334943235
0.1426108139 0.7682578114 -2.5017243030 1.8778046798 89.9063146249 89.9030526816 89.9030526816 0.1426108139 0.7682578114
0.7561461835 0.6484333131 1.7930232847 1.0390331916 89.5559658952 89.8668199714 89.5559658952 0.7561461835 0.6484333131
0.6148605103 0.5210791847 0.8040235722 0.1475542927 89.7394770455 89.5440514934 89.5440514934 0.6148605103 0.5210791847
0.3539040718 0.6547247362 -1.0226714976 1.0830731535 89.4901158659 89.8807872290 89.4901158659 0.3539040718 0.6547247362
0.6047654676 0.0410133892 0.7333582730 -3.2129062753 89.5138043664 89.4814563232 89.4814563232 0.6047654676 0.0410133892
0.7525619404 0.9483899669 1.7679335830 3.1387297686 89.6919894962 89.4796194837 89.4796194837 0.7525619404 0.9483899669
0.3336545858 0.2550637331 -1.1644178995 -1.7145538680 89.5056297259 88.1656855451 88.1656855451 0.3336545858 0.2550637331
0.6612641084 0.2763775523 1.1288487590 -1.5653571337 87.1512726254 89.1184005071 87.1512726254 0.6612641084 0.2763775523
0.6489985089 0.7740921617 1.0429895625 1.9186451321 89.2891008607 84.6215154758 84.6215154758 0.6489985089 0.7740921617
0.0663994248 0.5191208847 -3.0352040262 0.1338461927 89.7079075093 82.7257152056 82.7257152056 0.0663994248 0.5191208847
0.3034103857 0.8050347303 -1.3761273000 2.1352431119 84.5942899307 82.6612483450 82.6612483450 0.3034103857 0.8050347303
0.7773481646 0.1974425081 1.9414371519 -2.1179024431 78.3866294546 81.9380370455 78.3866294546 0.7773481646 0.1974425081
0.1401022099 0.7324132912 -2.5192845307 1.6268930384 78.7666429477 78.3626320983 78.3626320983 0.1401022099 0.7324132912
0.8901942933 0.8484607119 2.7313600532 2.4392249833 71.2669353751 83.3244174242 71.2669353751 0.8901942933 0.8484607119
0.9447724717 0.6121072902 3.1134073021 0.7847510316 70.4961241203 78.4230798778 70.4961241203 0.9447724717 0.6121072902
0.7510871181 0.9144804913 1.7576098269 2.9013634390 66.1534897636 74.0753748405 66.1534897636 0.7510871181 0.9144804913
