# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.5727741214 0.4116274683 0.5094188495 -0.6186077222 89.8639429927 89.9131111160 89.8639429927 0.5727741214 0.4116274683 0.1343690828
0.5727741214 0.4116274683 0.5094188495 -0.6186077222 89.8639429927 89.9131111160 89.8639429927 0.5727741214 0.4116274683 0.1343690828
0.5846860314 0.9034326293 0.5928022200 2.8240284054 88.7598675589 89.7193002839 88.7598675589 0.5846860314 0.9034326293 0.5961688763
0.5846860314 0.9034326293 0.5928022200 2.8240284054 88.7598675589 89.7193002839 88.7598675589 0.5846860314 0.9034326293 0.5961688763
0.3231592389 0.1273464842 -1.2378853280 -2.6085746106 89.4427762672 89.6747013966 89.4427762672 0.3231592389 0.1273464842 0.2082749775
0.3231592389 0.1273464842 -1.2378853280 -2.6085746106 89.4427762672 89.6747013966 89.4427762672 0.3231592389 0.1273464842 0.2082749775
0.9039949283 0.2148896693 2.8279644982 -1.9957723148 88.4281599558 89.2280035575 88.4281599558 0.9039949283 0.2148896693 0.6681698013
0.9039949283 0.2148896693 2.8279644982 -1.9957723148 88.4281599558 89.2280035575 88.4281599558 0.9039949283 0.2148896693 0.6681698013
0.3211083823 0.2999907709 -1.2522413241 -1.4000646037 89.4852344506 88.7890264842 88.7890264842 0.3211083823 0.2999907709 0.8410767556
0.3211083823 0.2999907709 -1.2522413241 -1.4000646037 89.4852344506 88.7890264842 88.7890264842 0.3211083823 0.2999907709 0.8410767556
0.5877625160 0.4237918219 0.6143376122 -0.5334572470 73.3351170286 88.6328347271 73.3351170286 0.5877625160 0.4237918219 0.1318143094
0.5872998910 0.4209005308 0.6110992371 -0.5536962846 73.6236621525 88.4388028306 73.6236621525 0.5872998910 0.4209005308 0.1356045552
0.5837892779 0.4142715866 0.5865249454 -0.6000988939 79.5668569982 88.3719328020 79.5668569982 0.5837892779 0.4142715866 0.1399117445
0.5828545937 0.4239273477 0.5799821558 -0.5325085661 79.3189208409 88.1932461748 79.3189208409 0.5828545937 0.4239273477 0.1297376081
0.5802512258 0.4142313501 0.5617585807 -0.6003805493 88.4935147645 88.1088433198 88.1088433198 0.5802512258 0.4142313501 0.1278518582
0.5820567075 0.4103504823 0.5743969522 -0.6275466241 85.2264740756 87.7326315760 85.2264740756 0.5820567075 0.4103504823 0.1359352474
0.5973390406 0.4285140894 0.6813732840 -0.5004013739 64.7850855115 87.5373649204 64.7850855115 0.5973390406 0.4285140894 0.1241843581
0.5791444543 0.4292085308 0.5540111804 -0.4955402847 75.7657279671 87.2878634040 75.7657279671 0.5791444543 0.4292085308 0.1327293008
0.5680764667 0.4160159090 0.4765352670 -0.5878886370 73.7958039197 87.2149678343 73.7958039197 0.5680764667 0.4160159090 0.1284090142
0.5764478203 0.4137933998 0.5351347418 -0.6034462016 87.4614436992 86.9249284897 86.9249284897 0.5764478203 0.4137933998 0.1229039604
0.5860494599 0.4125810106 0.6023462196 -0.6119329256 82.5879804841 86.8871628532 82.5879804841 0.5860494599 0.4125810106 0.1341867047
0.2934979017 0.8843937327 -1.4455146880 2.6907561292 75.1005202401 86.7011134185 75.1005202401 0.2934979017 0.8843937327 0.7921738136
0.2934979017 0.8843937327 -1.4455146880 2.6907561292 75.1005202401 86.7011134185 75.1005202401 0.2934979017 0.8843937327 0.7921738136
0.5799417597 0.4163356828 0.5595923176 -0.5856502205 86.5696228648 86.6140215871 86.5696228648 0.5799417597 0.4163356828 0.1232090074
0.5877625160 0.4116274683 0.6143376122 -0.6186077222 83.0191579479 86.3240261259 83.0191579479 0.5877625160 0.4116274683 0.1318143094
0.5846408914 0.4120775178 0.5924862400 -0.6154573752 76.8805399579 86.1776063271 76.8805399579 0.5846408914 0.4120775178 0.1442193986
0.5845792272 0.4305036036 0.5920545905 -0.4864747750 67.9610568263 85.7275558840 67.9610568263 0.5845792272 0.4305036036 0.1348608295
0.5882927756 0.4147344073 0.6180494291 -0.5968591492 73.4770549874 85.6731282052 73.4770549874 0.5882927756 0.4147344073 0.1412106429
0.5763048197 0.4178558908 0.5341337377 -0.5750087647 84.7372981953 85.6119528437 84.7372981953 0.5763048197 0.4178558908 0.1211746451
0.5946658164 0.4216395931 0.6626607145 -0.5485228482 59.8793113229 85.4822028812 59.8793113229 0.5946658164 0.4216395931 0.1424971518
0.5882214448 0.4286986694 0.6175501139 -0.4991093144 74.3844820474 85.3422799150 74.3844820474 0.5882214448 0.4286986694 0.1229260260
0.5641847710 0.4100859924 0.4492933971 -0.6293980535 85.5765271580 85.2052342169 85.2052342169 0.5641847710 0.4100859924 0.1437431707
0.5715119719 0.4214550393 0.5005838030 -0.5498147246 80.9933218900 85.0383593798 80.9933218900 0.5715119719 0.4214550393 0.1267359741
0.5864590771 0.4344252288 0.6052135398 -0.4590233983 62.7317725555 84.9123762091 62.7317725555 0.5864590771 0.4344252288 0.1343690828
0.5804892916 0.4209578117 0.5634250411 -0.5532953184 74.1628937223 84.8811685934 74.1628937223 0.5804892916 0.4209578117 0.1441592555
0.5668616811 0.4202010234 0.4680317676 -0.5585928361 83.6459308873 84.7320293688 83.6459308873 0.5668616811 0.4202010234 0.1379812294
0.5750306337 0.4221105067 0.5252144356 -0.5452264534 80.9180008670 84.6483340614 80.9180008670 0.5750306337 0.4221105067 0.1404472245
0.5702384336 0.4077712624 0.4916690355 -0.6456011631 78.6466900662 84.2343315816 78.6466900662 0.5702384336 0.4077712624 0.1518964396
0.5727741214 0.4116274683 0.5094188495 -0.6186077222 85.0108454828 84.2049059297 84.2049059297 0.5727741214 0.4116274683 0.1494144748
0.5879200065 0.4209987801 0.6154400458 -0.5530085396 82.6736770045 84.1023578284 82.6736770045 0.5879200065 0.4209987801 0.1188118957
0.5908942510 0.4175515444 0.6362597567 -0.5771391893 80.6851330051 83.9998038891 80.6851330051 0.5908942510 0.4175515444 0.1245166147
0.5691192726 0.4229367528 0.4838349082 -0.5394427305 85.0229164366 83.9968394098 83.9968394098 0.5691192726 0.4229367528 0.1369219530
0.5931706820 0.4194184851 0.6521947742 -0.5640706045 77.8266899823 83.9536402985 77.8266899823 0.5931706820 0.4194184851 0.1232435293
0.5928016787 0.4164349561 0.6496117511 -0.5849553071 64.3877827840 83.8809383370 64.3877827840 0.5928016787 0.4164349561 0.1444466495
0.5881899600 0.4104952071 0.6173297198 -0.6265335504 64.7664317450 83.7986040478 64.7664317450 0.5881899600 0.4104952071 0.1470185595
0.5845812259 0.4260385078 0.5920685810 -0.5177304457 64.3739997977 83.5142832364 64.3739997977 0.5845812259 0.4260385078 0.1455585840
0.5699496733 0.4134041445 0.4896477130 -0.6061709885 66.4781741384 83.4035678942 66.4781741384 0.5699496733 0.4134041445 0.1208134343
0.5914118858 0.4116274683 0.6398832005 -0.6186077222 76.5900024937 83.3728595515 76.5900024937 0.5914118858 0.4116274683 0.1343690828
0.5716685500 0.4305577679 0.5016798498 -0.4860956249 79.4856812030 83.2747242285 79.4856812030 0.5716685500 0.4305577679 0.1314438133
0.5863688567 0.4163617989 0.6045819972 -0.5854674079 86.2841598809 83.0975029002 83.0975029002 0.5863688567 0.4163617989 0.1225195836
0.8485513267 0.5221383944 2.4398592869 0.1549687609 23.0869022058 80.2250901607 23.0869022058 0.8485513267 0.5221383944 0.9126660926
0.6064398594 0.4526118113 0.7450790159 -0.3317173209 40.7439208611 79.5194558341 40.7439208611 0.6064398594 0.4526118113 0.1204623618
0.5404749909 0.3811824019 0.2833249364 -0.8317231868 23.0869022058 75.5604014074 23.0869022058 0.5404749909 0.3811824019 0.1190601083
0.5172362276 0.3580993487 0.1206535931 -0.9933045591 23.0869022058 74.8111201597 23.0869022058 0.5172362276 0.3580993487 0.1488438655
0.2878116489 0.1320631866 -1.4853184576 -2.5755576940 53.4193120226 73.1548162843 53.4193120226 0.2878116489 0.1320631866 0.2039876751
0.9192578622 0.2163022920 2.9348050353 -1.9858839560 23.4110954591 72.6108294448 23.4110954591 0.9192578622 0.2163022920 0.7733149910
0.5476017611 0.4155321533 0.3332123280 -0.5912749271 23.0869022058 72.1763673916 23.0869022058 0.5476017611 0.4155321533 0.1321399067
0.6084176037 0.4214047251 0.7589232260 -0.5501669246 36.4871251486 72.1711043468 36.4871251486 0.6084176037 0.4214047251 0.1602169036
0.8876387405 0.2313538194 2.7134711833 -1.8805232640 26.2200752245 71.2666995915 26.2200752245 0.8876387405 0.2313538194 0.5898327442
0.9203191631 0.2130496471 2.9422341420 -2.0086524706 23.0869022058 71.2326310253 23.0869022058 0.9203191631 0.2130496471 0.8011281906
0.5605620814 0.3942770454 0.4239345696 -0.7400606819 23.0869022058 71.1473023924 23.0869022058 0.5605620814 0.3942770454 0.1096147515
0.5421382125 0.4027129809 0.2949674875 -0.6810091338 23.0869022058 70.8344593869 23.0869022058 0.5421382125 0.4027129809 0.1550270960
0.5791444543 0.4588373415 0.5540111804 -0.2881386097 45.8999051410 70.1186355648 45.8999051410 0.5791444543 0.4588373415 0.1265719368
0.5915498505 0.4419554369 0.6408489537 -0.4063119419 58.7475805030 68.9337551841 58.7475805030 0.5915498505 0.4419554369 0.1017387195
0.5001265613 0.3454846626 0.0008859289 -1.0816073617 23.0869022058 68.4571459672 23.0869022058 0.5001265613 0.3454846626 0.1617445608
0.5887185339 0.4008975067 0.6210297372 -0.6937174529 23.0869022058 68.1208899848 23.0869022058 0.5887185339 0.4008975067 0.1655312256
0.6247546862 0.4584749585 0.8732828032 -0.2906752902 26.5265181080 66.6142245767 26.5265181080 0.6247546862 0.4584749585 0.1456517745
0.5293218475 0.4021708168 0.2052529323 -0.6848042824 23.0869022058 66.4924173911 23.0869022058 0.5293218475 0.4021708168 0.1231940577
0.5660539022 0.3910191699 0.4623773152 -0.7628658110 23.0869022058 65.3637142120 23.0869022058 0.5660539022 0.3910191699 0.1734958678
0.6110907706 0.4578191826 0.7776353944 -0.2952657216 40.6401887940 64.6099606408 40.6401887940 0.6110907706 0.4578191826 0.1025012537
0.6219298694 0.4842631016 0.8535090861 -0.1101582890 24.4827128351 64.1017040994 24.4827128351 0.6219298694 0.4842631016 0.1119166948
0.6101263947 0.4153209800 0.7708847628 -0.5927531397 69.7912954406 63.6989979248 63.6989979248 0.6101263947 0.4153209800 0.1138585903
0.5600211024 0.1238838813 0.4201477171 -2.6328128307 19.6091721409 63.6895809121 19.6091721409 0.5600211024 0.1238838813 0.8689438380
0.1908186874 0.6829908812 -2.1642691884 1.2809361685 23.0869022058 63.3557508326 23.0869022058 0.1908186874 0.6829908812 0.8593366376
0.5927263402 0.3797083812 0.6490843817 -0.8420413316 23.0869022058 60.3069341261 23.0869022058 0.5927263402 0.3797083812 0.1566217597
0.5673217515 0.4160808469 0.4712522608 -0.5874340716 69.3089173980 60.1758687237 60.1758687237 0.5673217515 0.4160808469 0.1724526307
0.1861406909 0.6596377465 -2.1970151638 1.1174642256 23.0869022058 59.7531373958 23.0869022058 0.1861406909 0.6596377465 0.9113623030
0.6253464380 0.4516485552 0.8774250662 -0.3384601138 24.2971360566 59.1348793646 24.2971360566 0.6253464380 0.4516485552 0.1654831175
0.5749478130 0.3611225091 0.5246346911 -0.9721424361 23.0869022058 58.2069943839 23.0869022058 0.5749478130 0.3611225091 0.1655712510
0.6477022865 0.4696416598 1.0339160055 -0.2125083814 27.3282394890 57.8874007935 27.3282394890 0.6477022865 0.4696416598 0.0869214110
0.3025287108 0.3445870407 -1.3822990246 -1.0878907150 34.9207586056 55.8243579356 34.9207586056 0.3025287108 0.3445870407 0.8846504965
0.1823844274 0.6334220111 -2.2233090082 0.9339540777 23.0869022058 48.0698999611 23.0869022058 0.1823844274 0.6334220111 0.9223842188
0.5627962379 0.1662934999 0.4395736655 -2.3359455004 19.6091721409 43.0153412695 19.6091721409 0.5627962379 0.1662934999 0.8403649902
0.8958091254 0.2600609595 2.7706638775 -1.6795732838 39.8814954632 34.0810132008 34.0810132008 0.8958091254 0.2600609595 0.7046046638
0.9087415177 0.2534866444 2.8611906242 -1.7255934889 23.0869022058 32.9949108745 23.0869022058 0.9087415177 0.2534866444 0.8017149188
0.5600703528 0.8526429775 0.4204924696 2.4685008426 23.0869022058 30.3638561229 23.0869022058 0.5600703528 0.8526429775 0.6597795611
0.3412413448 0.3487269985 -1.1113105865 -1.0589110107 40.4790504614 26.2251924433 26.2251924433 0.3412413448 0.3487269985 0.8281597503
0.3185223406 0.8782571966 -1.2703436160 2.6478003763 25.3077865635 26.0347855790 25.3077865635 0.3185223406 0.8782571966 0.8429324566
0.9430571936 0.2180401550 3.1014003552 -1.9737189149 44.6337398018 25.0697204985 25.0697204985 0.9430571936 0.2180401550 0.6172230635
0.2113488898 0.6660572541 -2.0205577712 1.1624007787 23.0869022058 24.6882235212 23.0869022058 0.2113488898 0.6660572541 0.9648653399
0.2876112892 0.0736725613 -1.4867209758 -2.9842920711 37.0889048121 23.8811061380 23.8811061380 0.2876112892 0.0736725613 0.1625975802
0.5089106229 0.9707832498 0.0623743605 3.2954827484 32.9769880552 23.0948464603 23.0948464603 0.5089106229 0.9707832498 0.6212892093
0.2841707088 0.2609042567 -1.5108050386 -1.6736702030 30.0722926479 23.0869022058 23.0869022058 0.2841707088 0.2609042567 0.7955178245
0.2587766647 0.8868824284 -1.6885633471 2.7081769987 36.4355945588 23.0869022058 23.0869022058 0.2587766647 0.8868824284 0.7797335726
0.3522801092 0.9458395774 -1.0340392355 3.1208770419 23.0869022058 23.0869022058 23.0869022058 0.3522801092 0.9458395774 0.8338078494
0.1584277512 0.1968724855 -2.3910057417 -2.1218926015 23.0869022058 23.0869022058 23.0869022058 0.1584277512 0.1968724855 0.2939237822
0.8364761255 0.2630556715 2.3553328785 -1.6586102998 23.0869022058 23.0869022058 23.0869022058 0.8364761255 0.2630556715 0.5989374953
0.8683944865 0.2507899509 2.5787614056 -1.7444703439 29.2020060002 23.0869022058 23.0869022058 0.8683944865 0.2507899509 0.6280100438
0.9110016828 0.1966875475 2.8770117795 -2.1231871673 23.0869022058 23.0869022058 23.0869022058 0.9110016828 0.1966875475 0.8309256074
0.8954222059 0.1954834722 2.7679554416 -2.1316156944 23.0869022058 23.0869022058 23.0869022058 0.8954222059 0.1954834722 0.7873263016
