# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.3461197805 0.3367034153 -1.0771615368 -1.1430760929 89.9435655371 89.0760820284 89.0760820284 0.3461197805 0.3367034153 0.8440863664
0.3461197805 0.3367034153 -1.0771615368 -1.1430760929 89.9435655371 89.0760820284 89.0760820284 0.3461197805 0.3367034153 0.8440863664
0.3461614762 0.3366911677 -1.0768696663 -1.1431618260 89.9360637782 89.0560455733 89.0560455733 0.3461614762 0.3366911677 0.8441559740
0.3458203289 0.3367913753 -1.0792576975 -1.1424603732 89.7920735541 89.2137786667 89.2137786667 0.3458203289 0.3367913753 0.8435864571
0.3430504811 0.3371365346 -1.0986466321 -1.1400442580 89.7487207235 87.8946881010 87.8946881010 0.3430504811 0.3371365346 0.8472941368
0.3457445184 0.3368136436 -1.0797883710 -1.1423044948 89.7200752841 89.2469066853 89.2469066853 0.3457445184 0.3368136436 0.8434598978
0.3455910021 0.3368587370 -1.0808629850 -1.1419888411 89.5553721287 89.3118403495 89.3118403495 0.3455910021 0.3368587370 0.8432036151
0.3454033711 0.3369138511 -1.0821764022 -1.1416030420 89.3418995770 89.3553560026 89.3418995770 0.3454033711 0.3369138511 0.8428903808
0.5832392952 0.0849767659 0.5826750663 -2.9051626385 89.0940970958 88.7796450533 88.7796450533 0.5832392952 0.0849767659 0.3430433913
0.5832392952 0.0849767659 0.5826750663 -2.9051626385 89.0940970958 88.7796450533 88.7796450533 0.5832392952 0.0849767659 0.3430433913
0.3454033711 0.3369138511 -1.0821764022 -1.1416030420 88.8289487212 88.9200864789 88.8289487212 0.3454033711 0.3369138511 0.8416247876
0.3504088370 0.3339894792 -1.0471381411 -1.1620736459 88.3064643402 74.3637512646 74.3637512646 0.3504088370 0.3339894792 0.8402713455
0.3446452660 0.3371365346 -1.0874831380 -1.1400442580 88.1336838291 89.3365891788 88.1336838291 0.3446452660 0.3371365346 0.8416247876
0.3375274389 0.3366447445 -1.1373079277 -1.1434867883 88.1084930216 63.0241108596 63.0241108596 0.3375274389 0.3366447445 0.8577464385
0.3386128450 0.3340178790 -1.1297100849 -1.1618748472 87.4064701932 71.8737612420 71.8737612420 0.3386128450 0.3340178790 0.8548809962
0.3412270918 0.3297513733 -1.1114103577 -1.1917403869 86.8700289403 84.3525434632 84.3525434632 0.3412270918 0.3297513733 0.8472020325
0.2074245213 0.7144666210 -2.0480283507 1.5012663469 86.6759645209 18.5765568269 18.5765568269 0.2074245213 0.7144666210 0.6812317762
0.2074245213 0.7144666210 -2.0480283507 1.5012663469 86.6759645209 18.5765568269 18.5765568269 0.2074245213 0.7144666210 0.6812317762
0.3541150110 0.3367569794 -1.0211949232 -1.1427011441 86.5643094509 56.0509442489 56.0509442489 0.3541150110 0.3367569794 0.8319083462
0.3499611325 0.3405410489 -1.0502720727 -1.1162126580 86.4723832926 72.0681964068 72.0681964068 0.3499611325 0.3405410489 0.8323386908
0.3399123939 0.3305278217 -1.1206132428 -1.1863052483 86.4317239216 82.0890492962 82.0890492962 0.3399123939 0.3305278217 0.8484193243
0.3430504811 0.3287148701 -1.0986466321 -1.1989959096 86.1163360539 86.0788663326 86.0788663326 0.3430504811 0.3287148701 0.8468607264
0.3430504811 0.3287148701 -1.0986466321 -1.1989959096 86.0025462972 85.6700095220 85.6700095220 0.3430504811 0.3287148701 0.8475325125
0.7311163975 0.6770808819 1.6178147825 1.2395661732 85.8000101296 88.5606289139 85.8000101296 0.7311163975 0.6770808819 0.7737105390
0.7311163975 0.6770808819 1.6178147825 1.2395661732 85.8000101296 88.5606289139 85.8000101296 0.7311163975 0.6770808819 0.7737105390
0.0834024079 0.3186161963 -2.9161831449 -1.2696866262 85.7662041289 64.9920410435 64.9920410435 0.0834024079 0.3186161963 0.2852165120
0.0834024079 0.3186161963 -2.9161831449 -1.2696866262 85.7662041289 64.9920410435 64.9920410435 0.0834024079 0.3186161963 0.2852165120
0.3459500900 0.3287148701 -1.0783493700 -1.1989959096 85.4358559239 84.8215109555 84.8215109555 0.3459500900 0.3287148701 0.8468607264
0.3571616820 0.3376697349 -0.9998682260 -1.1363118555 84.8640434914 44.8929523842 44.8929523842 0.3571616820 0.3376697349 0.8280369952
0.3370889336 0.3285716772 -1.1403774645 -1.1999982593 84.6213594830 65.2719791600 65.2719791600 0.3370889336 0.3285716772 0.8586603834
0.3305994108 0.3313204516 -1.1858041247 -1.1807568388 84.0842185539 34.2615180411 34.2615180411 0.3305994108 0.3313204516 0.8743407655
0.0504248532 0.2519488765 -3.1470260274 -1.7363578645 83.9546089885 87.2494050810 83.9546089885 0.0504248532 0.2519488765 0.6987874498
0.0504248532 0.2519488765 -3.1470260274 -1.7363578645 83.9546089885 87.2494050810 83.9546089885 0.0504248532 0.2519488765 0.6987874498
0.3448012662 0.3322789387 -1.0863911365 -1.1740474289 83.8606003155 84.6190733865 83.8606003155 0.3448012662 0.3322789387 0.8558439262
0.3534374725 0.3452423796 -1.0259376923 -1.0833033430 83.7906810453 68.5671175981 68.5671175981 0.3534374725 0.3452423796 0.8386903353
0.3459500900 0.3315361287 -1.0783493700 -1.1792470989 83.4719370902 81.7515621002 81.7515621002 0.3459500900 0.3315361287 0.8373408377
0.3350188942 0.3404319623 -1.1548677404 -1.1169762637 83.1103775324 51.0559420572 51.0559420572 0.3350188942 0.3404319623 0.8594463317
0.3528811132 0.3470154948 -1.0298322073 -1.0708915367 82.9540426006 70.1802531781 70.1802531781 0.3528811132 0.3470154948 0.8406455974
0.9478004449 0.7492794972 3.1346031146 1.7449564806 82.8352990591 87.1010797063 82.8352990591 0.9478004449 0.7492794972 0.0904874096
0.9478004449 0.7492794972 3.1346031146 1.7449564806 82.8352990591 87.1010797063 82.8352990591 0.9478004449 0.7492794972 0.0904874096
0.3573562167 0.3336187715 -0.9985064828 -1.1646685996 82.8146708221 42.9132328940 42.9132328940 0.3573562167 0.3336187715 0.8289187445
0.3445321436 0.3337153338 -1.0882749945 -1.1639926633 82.6147646679 84.5665118307 82.6147646679 0.3445321436 0.3337153338 0.8567561189
0.3454033711 0.3270268677 -1.0821764022 -1.2108119261 82.5885538249 82.9460464629 82.5885538249 0.3454033711 0.3270268677 0.8509024622
0.3335522163 0.3427325721 -1.1651344862 -1.1008719955 82.3069697932 50.9592554160 50.9592554160 0.3335522163 0.3427325721 0.8535999863
0.3324307235 0.3356306676 -1.1729849358 -1.1505853265 82.0762780077 47.2094137672 47.2094137672 0.3324307235 0.3356306676 0.8599346504
0.3424418069 0.3240044621 -1.1029073516 -1.2319687655 81.7689628524 80.9666092190 80.9666092190 0.3424418069 0.3240044621 0.8479945624
0.3454033711 0.3332443017 -1.0821764022 -1.1672898879 81.6573846508 85.4440856607 81.6573846508 0.3454033711 0.3332443017 0.8566540009
0.3439981514 0.3384116989 -1.0920129400 -1.1311181080 81.1766821746 81.1013241143 81.1013241143 0.3439981514 0.3384116989 0.8574285922
0.3453323029 0.3316586758 -1.0826738799 -1.1783892695 81.0262135990 83.5506363240 81.0262135990 0.3453323029 0.3316586758 0.8576865778
0.3304997149 0.3294276761 -1.1865019957 -1.1940062671 79.9470359501 40.3734456193 40.3734456193 0.3304997149 0.3294276761 0.8665248287
0.5272360266 0.5671602330 0.1906521863 0.4701216311 79.8691184657 16.9875041725 16.9875041725 0.5272360266 0.5671602330 0.2274337529
0.1029272726 0.3339931654 -2.7795090920 -1.1620478419 79.6392625837 18.5765568269 18.5765568269 0.1029272726 0.3339931654 0.2270126911
0.0576160953 0.8678758648 -3.0966873331 2.5751310539 72.6647807280 18.5765568269 18.5765568269 0.0576160953 0.8678758648 0.0774106596
0.3908724736 0.6186720033 -0.7638926848 0.8307040228 70.8314299748 18.5765568269 18.5765568269 0.3908724736 0.6186720033 0.7629111119
0.9632045581 0.8533724018 3.2424319064 2.4736068128 68.9352889478 18.5765568269 18.5765568269 0.9632045581 0.8533724018 0.6203107016
0.5217296663 0.5355070652 0.1521076641 0.2485494564 64.1140190201 16.9875041725 16.9875041725 0.5217296663 0.5355070652 0.2438399044
0.3715196501 0.3484902750 -0.8993624490 -1.0605680752 57.2598722441 18.5766165715 18.5766165715 0.3715196501 0.3484902750 0.7856692989
0.3384790652 0.3599196872 -1.1306465437 -0.9805621895 52.6782276260 51.6183694025 51.6183694025 0.3384790652 0.3599196872 0.8350818420
0.3076194019 0.3252556261 -1.3466641870 -1.2232106174 52.1074566661 18.5765568269 18.5765568269 0.3076194019 0.3252556261 0.8987719709
0.3882697304 0.3365877928 -0.7821118870 -1.1438854506 51.9210737492 18.5765568269 18.5765568269 0.3882697304 0.3365877928 0.7767192692
0.3129977532 0.3480722874 -1.3090157275 -1.0634939884 50.1770283115 18.5765568269 18.5765568269 0.3129977532 0.3480722874 0.8797460910
0.3202864258 0.3161618213 -1.2579950196 -1.2868672508 50.1758393379 30.4784051168 30.4784051168 0.3202864258 0.3161618213 0.8592358515
0.3426656684 0.3627162645 -1.1013403211 -0.9609861488 48.6522075081 54.4474910200 48.6522075081 0.3426656684 0.3627162645 0.8549195239
0.3442660235 0.3134140665 -1.0901378353 -1.3061015342 47.5374446827 41.8658532854 41.8658532854 0.3442660235 0.3134140665 0.8844586503
0.3367382358 0.3020805315 -1.1428323497 -1.3854362798 47.2121239269 41.7504499729 41.7504499729 0.3367382358 0.3020805315 0.8609263615
0.3504511119 0.3134120440 -1.0468422167 -1.3061156922 45.9222389983 35.7117814554 35.7117814554 0.3504511119 0.3134120440 0.8156989101
0.3616659777 0.3682398044 -0.9683381558 -0.9223213692 45.4721206606 40.6593694668 40.6593694668 0.3616659777 0.3682398044 0.8412531829
0.3661641236 0.3167009566 -0.9368511347 -1.2830933041 45.3756618124 30.2935503391 30.2935503391 0.3661641236 0.3167009566 0.8494290418
0.3205019742 0.3513243713 -1.2564861803 -1.0407294007 44.3042092294 18.5765568269 18.5765568269 0.3205019742 0.3513243713 0.8968048848
0.3038874524 0.3187795480 -1.3727878335 -1.2685431640 43.8081249153 18.5765568269 18.5765568269 0.3038874524 0.3187795480 0.8817665936
0.5641541808 0.0739196593 0.4490792657 -2.9825623850 42.1639865935 70.9563704862 42.1639865935 0.5641541808 0.0739196593 0.3297332205
0.5610557301 0.1258724866 0.4273901107 -2.6188925939 39.7430929020 21.8769609445 21.8769609445 0.5610557301 0.1258724866 0.3384451390
0.1073966394 0.3261815110 -2.7482235245 -1.2167294231 34.6417123239 59.3509898480 34.6417123239 0.1073966394 0.3261815110 0.2970514218
0.1905359026 0.6784425455 -2.1662486816 1.2490978187 34.2925215675 18.5765568269 18.5765568269 0.1905359026 0.6784425455 0.7282751833
0.9101339852 0.8640669855 2.8709378966 2.5484688985 27.8848147931 18.5765568269 18.5765568269 0.9101339852 0.8640669855 0.6104130682
0.5654642011 0.0378473330 0.4582494078 -3.2350686687 26.1161115839 21.5952735725 21.5952735725 0.5654642011 0.0378473330 0.3499035734
0.1941195378 0.6860350875 -2.1411632352 1.3022456126 25.3119605765 18.5765568269 18.5765568269 0.1941195378 0.6860350875 0.6323989982
0.0738104282 0.3542897310 -2.9833270027 -1.0199718829 23.2601234359 18.5765568269 18.5765568269 0.0738104282 0.3542897310 0.3375193454
