# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.3273365511 0.8222751500 -1.2086441420 2.2559260501 89.7350377745 88.6699570251 88.6699570251 0.3273365511 0.8222751500 0.1581298420
0.3273365511 0.8222751500 -1.2086441420 2.2559260501 89.7350377745 88.6699570251 88.6699570251 0.3273365511 0.8222751500 0.1581298420
0.2882373733 0.0627100307 -1.4823383868 -3.0610297851 89.5023903694 89.8858788281 89.5023903694 0.2882373733 0.0627100307 0.8886331481
0.2882373733 0.0627100307 -1.4823383868 -3.0610297851 89.5023903694 89.8858788281 89.5023903694 0.2882373733 0.0627100307 0.8886331481
0.3237099614 0.8208499517 -1.2340302700 2.2459496621 89.4982955968 89.1335808101 89.1335808101 0.3237099614 0.8208499517 0.1701641367
0.7490767678 0.1799869427 1.7435373743 -2.2400914009 89.4909197042 79.5198434937 79.5198434937 0.7490767678 0.1799869427 0.5222640183
0.7490767678 0.1799869427 1.7435373743 -2.2400914009 89.4909197042 79.5198434937 79.5198434937 0.7490767678 0.1799869427 0.5222640183
0.4014756601 0.8505136938 -0.6896703794 2.4535958566 89.4867347157 88.3053343512 88.3053343512 0.4014756601 0.8505136938 0.7276616994
0.4014756601 0.8505136938 -0.6896703794 2.4535958566 89.4867347157 88.3053343512 88.3053343512 0.4014756601 0.8505136938 0.7276616994
0.4606292897 0.4942540562 -0.2755949718 -0.0402216064 89.4359697436 89.4549504649 89.4359697436 0.4606292897 0.4942540562 0.5701090216
0.4606292897 0.4942540562 -0.2755949718 -0.0402216064 89.4359697436 89.4549504649 89.4359697436 0.4606292897 0.4942540562 0.5701090216
0.3177633995 0.8273298942 -1.2756562036 2.2913092592 89.3659093296 87.0110268172 87.0110268172 0.3177633995 0.8273298942 0.1672073372
0.3179744420 0.8251192333 -1.2741789062 2.2758346331 89.3073022849 88.1102615807 88.1102615807 0.3179744420 0.8251192333 0.1727182949
0.3261395500 0.8266676708 -1.2170231502 2.2866736953 89.2639930888 88.4933516404 88.4933516404 0.3261395500 0.8266676708 0.1500548795
0.3180905153 0.8239033698 -1.2733663927 2.2673235888 89.2513046164 88.1846701836 88.1846701836 0.3180905153 0.8239033698 0.1757493217
0.3179744420 0.8251192333 -1.2741789062 2.2758346331 89.2491326341 87.7575147333 87.7575147333 0.3179744420 0.8251192333 0.1625197580
0.4403448401 0.3363340367 -0.4175861195 -1.1456617429 89.1404901299 82.1681737178 82.1681737178 0.4403448401 0.3363340367 0.5618677052
