# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.3768266972 0.4074450048 -0.8622131198 -0.6478849664 0.0022488164 0.2284756725 0.0022488164 0.3768266972 0.4074450048 0.5233128199
0.0117290432 0.0528970931 -3.4178966975 -3.1297203486 0.0022488164 0.0100814860 0.0022488164 0.0117290432 0.0528970931 0.2877274985
0.9745438754 0.6816711065 3.3218071279 1.2716977457 0.0027340363 0.0228049246 0.0027340363 0.9745438754 0.6816711065 0.4749128151
0.8512485600 0.6806219330 2.4587399203 1.2643535307 0.0027340363 0.0228049246 0.0027340363 0.8512485600 0.6806219330 0.4883537402
0.8255024283 0.0400461245 2.2785169983 -3.2196771286 0.0034451073 0.2210087367 0.0034451073 0.8255024283 0.0400461245 0.4250459638
0.8430900565 0.2569929058 2.4016303953 -1.7010496597 0.1962836380 0.2210087367 0.1962836380 0.8430900565 0.2569929058 0.5111826279
0.3765849089 0.2075232150 -0.8639056377 -2.0473374950 0.0022488164 0.0491690070 0.0022488164 0.3765849089 0.2075232150 0.9217346725
0.6172054136 0.2486234663 0.8204378950 -1.7596357357 0.0034451073 0.2210087367 0.0034451073 0.6172054136 0.2486234663 0.4576974953
0.3683582348 0.6655326648 -0.9214923564 1.1587286539 0.0059757658 0.0228049246 0.0059757658 0.3683582348 0.6655326648 0.1303715284
0.5147952927 0.5313552889 0.1035670492 0.2194870226 0.0027340363 0.2210087367 0.0027340363 0.5147952927 0.5313552889 0.3842834078
0.7662217547 0.4599299102 1.8635522827 -0.2804906284 0.0019747006 0.0491690070 0.0019747006 0.7662217547 0.4599299102 0.8449517249
0.7392772357 0.5464677732 1.6749406498 0.3252744121 0.0027340363 0.2210087367 0.0027340363 0.7392772357 0.5464677732 0.4843021424
0.3634479384 0.8641157722 -0.9558644314 2.5488104053 0.0059757658 0.0319362859 0.0059757658 0.3634479384 0.8641157722 0.6338560150
0.5632494700 0.8615312875 0.4427462903 2.5307190126 0.0023505445 1.6625216710 0.0023505445 0.5632494700 0.8615312875 0.7503902603
0.7728785271 0.0322761753 1.9101496894 -3.2740667728 0.0034451073 0.2210087367 0.0034451073 0.7728785271 0.0322761753 0.1759905505
0.8090424583 0.6543888081 2.1632972079 1.0807216567 0.0019747006 2.4500428490 0.0019747006 0.8090424583 0.6543888081 0.8401667997
0.1225408383 0.0456356474 -2.6422141317 -3.1805504680 0.0022488164 0.0100814860 0.0022488164 0.1225408383 0.0456356474 0.7388618319
0.4261245822 0.7793948779 -0.5171279245 1.9557641455 0.6023983065 0.0228049246 0.0228049246 0.4261245822 0.7793948779 0.4084539436
0.5548714405 0.7267167184 0.3841000834 1.5870170286 0.0019747006 0.0228049246 0.0019747006 0.5548714405 0.7267167184 0.5940188030
0.4991508804 0.7135420603 -0.0059438369 1.4947944222 0.0027340363 0.0228049246 0.0027340363 0.4991508804 0.7135420603 0.0234488697
0.0823203210 0.8067116983 -2.9237577531 2.1469818879 0.0059757658 0.0027972283 0.0027972283 0.0823203210 0.8067116983 0.4571823820
0.0821176112 0.1218994208 -2.9251767213 -2.6467040542 0.0022488164 0.0100814860 0.0022488164 0.0821176112 0.1218994208 0.6508689349
0.0500727188 0.1538307718 -3.1494909683 -2.4231845976 0.0022488164 0.0027972283 0.0022488164 0.0500727188 0.1538307718 0.3330839142
0.9767783204 0.5241544368 3.3374482425 0.1690810574 0.0019747006 0.0491690070 0.0019747006 0.9767783204 0.5241544368 0.9655181997
0.5224006833 0.3531772500 0.1568047829 -1.0277592498 0.0045753273 0.2210087367 0.0045753273 0.5224006833 0.3531772500 0.2732461614
0.5110805159 0.3145291397 0.0775636110 -1.2982960224 0.0034451073 0.0491690070 0.0034451073 0.5110805159 0.3145291397 0.8769824128
0.5663925285 0.5711106380 0.4647476992 0.4977744662 0.0031718892 0.2210087367 0.0031718892 0.5663925285 0.5711106380 0.2618507610
0.7877863682 0.0682678900 2.0145045772 -3.0221247702 0.0034451073 0.2210087367 0.0034451073 0.7877863682 0.0682678900 0.2776049100
0.6477083233 0.5293847658 1.0339582631 0.2056933606 0.0027340363 0.2210087367 0.0027340363 0.6477083233 0.5293847658 0.0568507573
0.2988666798 0.5725923753 -1.4079332415 0.5081466270 0.0059757658 2.8870274260 0.0059757658 0.2988666798 0.5725923753 0.7823969908
0.2474154451 0.4283563991 -1.7680918843 -0.5015052064 0.0022488164 15.5435544248 0.0022488164 0.2474154451 0.4283563991 0.2968436154
0.1308213653 0.3615887834 -2.5842504432 -0.9688785164 0.0022488164 0.0172920820 0.0022488164 0.1308213653 0.3615887834 0.1321869013
0.0934883377 0.0902212446 -2.8455816363 -2.8684512880 0.0022488164 0.0100814860 0.0022488164 0.0934883377 0.0902212446 0.2342575326
0.4619047533 0.3798106374 -0.2666667268 -0.8413255385 0.0027340363 0.2210087367 0.0027340363 0.4619047533 0.3798106374 0.1009932715
0.9460316545 0.3924057899 3.1222215815 -0.7531594710 0.0019747006 0.0491690070 0.0019747006 0.9460316545 0.3924057899 0.7071385420
0.3246446573 0.0839212715 -1.2274873992 -2.9125510997 0.8195398960 0.0100814860 0.0100814860 0.3246446573 0.0839212715 0.4941494934
0.2647131958 0.2897302800 -1.6470076295 -1.4718880401 0.0022527922 0.0027972283 0.0022527922 0.2647131958 0.2897302800 0.5342276737
0.2025178482 0.8847533183 -2.0823750623 2.6932732284 0.0059757658 0.0027972283 0.0027972283 0.2025178482 0.8847533183 0.0112932498
0.5172614598 0.2035782208 0.1208302183 -2.0749524542 0.0034451073 1.1135742156 0.0034451073 0.5172614598 0.2035782208 0.2058304696
0.3105667578 0.2370434459 -1.3260326952 -1.8406958784 0.0022488164 0.0245015269 0.0022488164 0.3105667578 0.2370434459 0.1696412514
0.6088386143 0.8678451384 0.7618703003 2.5749159691 5.6739025179 0.2733160079 0.2733160079 0.6088386143 0.8678451384 0.4718635245
0.6729246862 0.0396093291 1.2104728037 -3.2227346961 0.0034451073 0.0572608737 0.0034451073 0.6729246862 0.0396093291 0.7004905518
0.1735414789 0.9223347006 -2.2852096480 2.9563429039 0.0059757658 2.8167910341 0.0059757658 0.1735414789 0.9223347006 0.7666514214
0.4670942495 0.0432854777 -0.2303402532 -3.1970016564 0.0034451073 0.0491690070 0.0034451073 0.4670942495 0.0432854777 0.5566317456
0.1449050686 0.7983708859 -2.4856645198 2.0885962016 0.0059757658 0.0053051429 0.0053051429 0.1449050686 0.7983708859 0.0111654586
0.3704552742 0.2651362227 -0.9068130807 -1.6440464414 0.0022488164 2.9223754451 0.0022488164 0.3704552742 0.2651362227 0.3246769745
0.3378510477 0.3881223697 -1.1350426661 -0.7831434121 0.0022488164 0.2434991999 0.0022488164 0.3378510477 0.3881223697 0.4965036872
0.0444777473 0.0735874281 -3.1886557688 -2.9848880035 0.0022488164 0.0100814860 0.0022488164 0.0444777473 0.0735874281 0.7194587451
0.4688375222 0.2945240066 -0.2181373449 -1.4383319541 0.0034451073 0.2210087367 0.0034451073 0.4688375222 0.2945240066 0.1570246608
0.2180469300 0.9983504364 -1.9736714900 3.4884530551 0.0059757658 0.0027972283 0.0027972283 0.2180469300 0.9983504364 0.1089171622
