# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.5742632990 0.8348665172 0.5198430929 2.3440656202 88.7103619389 90.7231181920 88.7103619389 0.5742632990 0.8348665172 0.3799847102
0.5742632990 0.8348665172 0.5198430929 2.3440656202 88.7103619389 90.7231181920 88.7103619389 0.5742632990 0.8348665172 0.3799847102
0.5744821467 0.8337328366 0.5213750271 2.3361298564 88.6948140041 90.7810786266 88.6948140041 0.5744821467 0.8337328366 0.3802692532
0.5741955824 0.8326158156 0.5193690766 2.3283107092 88.6564814852 90.2459899271 88.6564814852 0.5741955824 0.8326158156 0.3797836625
0.5732241492 0.8328507356 0.5125690445 2.3299551492 88.6563390553 90.3224102462 88.6563390553 0.5732241492 0.8328507356 0.3797981230
0.5729643714 0.8333923082 0.5107505997 2.3337461576 88.6529917208 90.5232332892 88.6529917208 0.5729643714 0.8333923082 0.3804996942
0.5729643714 0.8339028645 0.5107505997 2.3373200516 88.6504982632 90.7565317759 88.6504982632 0.5729643714 0.8339028645 0.3804698733
0.5733275786 0.8342378052 0.5132930504 2.3396646361 88.6447433729 90.8510118027 88.6447433729 0.5733275786 0.8342378052 0.3805896326
0.5735184163 0.8329896106 0.5146289143 2.3309272743 88.6410035897 90.3574366469 88.6410035897 0.5735184163 0.8329896106 0.3802699011
0.5741955824 0.8329896106 0.5193690766 2.3309272743 88.6396918792 90.4127383377 88.6396918792 0.5741955824 0.8329896106 0.3802699011
0.5748355043 0.8329896106 0.5238485300 2.3309272743 88.6382987206 90.4617370071 88.6382987206 0.5748355043 0.8329896106 0.3802699011
0.5731459750 0.8338844942 0.5120218251 2.3371914594 88.6374571116 90.7284437525 88.6374571116 0.5731459750 0.8338844942 0.3807805524
0.5736662582 0.8348665172 0.5156638076 2.3440656202 88.6350975825 90.7208389901 88.6350975825 0.5736662582 0.8348665172 0.3805116193
0.5719570169 0.8329896106 0.5036991186 2.3309272743 88.6246097168 90.2158720807 88.6246097168 0.5719570169 0.8329896106 0.3802699011
0.5738231411 0.8322574331 0.5167619874 2.3258020320 88.6177052837 89.9011316421 88.6177052837 0.5738231411 0.8322574331 0.3798520954
0.5744004251 0.8321236296 0.5208029757 2.3248654074 88.6153067382 89.9287323084 88.6153067382 0.5744004251 0.8321236296 0.3795028043
0.5732136916 0.8327005380 0.5124958413 2.3289037661 88.5966917265 90.0845780555 88.5966917265 0.5732136916 0.8327005380 0.3804261082
0.5741583382 0.8330066696 0.5191083677 2.3310466872 88.5961611552 90.3511058976 88.5961611552 0.5741583382 0.8330066696 0.3806721668
0.5721386206 0.8333634056 0.5049703440 2.3335438395 88.5949265171 90.4022402669 88.5949265171 0.5721386206 0.8333634056 0.3807561396
0.5745680237 0.8323031036 0.5219761659 2.3261217254 88.5929250947 89.9676468428 88.5929250947 0.5745680237 0.8323031036 0.3800940487
0.5716522922 0.8332110943 0.5015660456 2.3324776601 88.5927602677 90.3223124875 88.5927602677 0.5716522922 0.8332110943 0.3803962873
0.5736605512 0.8323099833 0.5156238587 2.3261698832 88.5852615936 89.9833909064 88.5852615936 0.5736605512 0.8323099833 0.3793858310
0.5741955824 0.8345641215 0.5193690766 2.3419488505 88.5847768945 90.5371178862 88.5847768945 0.5741955824 0.8345641215 0.3816646225
0.5717521742 0.8333429216 0.5022652195 2.3334004510 88.5796270827 90.4685140172 88.5796270827 0.5717521742 0.8333429216 0.3800789812
0.5728157866 0.8332421106 0.5097105063 2.3326947745 88.5665913592 90.3138929147 88.5665913592 0.5728157866 0.8332421106 0.3811276794
0.5724293403 0.8327371106 0.5070053818 2.3291597741 88.5646374978 90.1719547783 88.5646374978 0.5724293403 0.8327371106 0.3794121227
0.5729643714 0.8322574331 0.5107505997 2.3258020320 88.5564233242 89.8004355677 88.5564233242 0.5729643714 0.8322574331 0.3798520954
0.5729643714 0.8324640241 0.5107505997 2.3272481685 88.5549138874 89.8214413551 88.5549138874 0.5729643714 0.8324640241 0.3805539141
0.5731459750 0.8327005380 0.5120218251 2.3289037661 88.5509078145 89.9994807109 88.5509078145 0.5731459750 0.8327005380 0.3807805524
0.5754267934 0.8317414161 0.5279875535 2.3221899126 88.5466744983 89.5715822843 88.5466744983 0.5754267934 0.8317414161 0.3799501695
0.5719570169 0.8332421106 0.5036991186 2.3326947745 88.5451082032 90.2356522997 88.5451082032 0.5719570169 0.8332421106 0.3811276794
0.5722872053 0.8336692379 0.5060104374 2.3356846655 88.5369733020 90.5324009462 88.5369733020 0.5722872053 0.8336692379 0.3811539712
0.5750543520 0.8313625496 0.5253804643 2.3195378469 88.5288527091 89.2074743677 88.5288527091 0.5750543520 0.8313625496 0.3793414440
0.5719570169 0.8325982356 0.5036991186 2.3281876490 88.5168839619 89.7275945618 88.5168839619 0.5719570169 0.8325982356 0.3809488442
0.5741955824 0.8315691405 0.5193690766 2.3209839835 88.5160239800 89.1883132125 88.5160239800 0.5741955824 0.8315691405 0.3800432627
0.5734366947 0.8325724269 0.5140568629 2.3280069885 88.5141983464 89.8864652364 88.5141983464 0.5734366947 0.8325724269 0.3809221739
0.5729643714 0.8321438081 0.5107505997 2.3250066569 88.5067261775 89.7143307609 88.5067261775 0.5729643714 0.8321438081 0.3794660952
0.5741955824 0.8316150496 0.5193690766 2.3213053471 88.4983046290 89.1940545420 88.4983046290 0.5741955824 0.8316150496 0.3801992224
0.5717754133 0.8322244406 0.5024278933 2.3255710839 88.4972428480 89.4519823484 88.4972428480 0.5717754133 0.8322244406 0.3804626056
0.5759131217 0.8312236745 0.5313918519 2.3185657218 88.4960598573 89.0978149648 88.4960598573 0.5759131217 0.8312236745 0.3788696659
0.5735184163 0.8321749515 0.5146289143 2.3252246603 88.4949077595 89.5666132591 88.4949077595 0.5735184163 0.8321749515 0.3807101212
0.5715845756 0.8338844942 0.5010920293 2.3371914594 88.4883046065 90.5944485891 88.4883046065 0.5715845756 0.8338844942 0.3807805524
0.5741955824 0.8367554789 0.5193690766 2.3572883526 88.4828938305 89.2428291387 88.4828938305 0.5741955824 0.8367554789 0.3795604523
0.5748727484 0.8364021680 0.5241092389 2.3548151759 88.4757900864 89.4747755851 88.4757900864 0.5748727484 0.8364021680 0.3797513722
0.5733368127 0.8315691405 0.5133576890 2.3209839835 88.4747956624 89.0599164356 88.4747956624 0.5733368127 0.8315691405 0.3800432627
0.5729643714 0.8318660581 0.5107505997 2.3230624067 88.4650756329 89.4444194699 88.4650756329 0.5729643714 0.8318660581 0.3796272137
0.5709829814 0.8329896106 0.4968808698 2.3309272743 88.4609586623 90.1172155515 88.4609586623 0.5709829814 0.8329896106 0.3802699011
0.5754267934 0.8307201660 0.5279875535 2.3150411621 88.4531436304 88.4204683402 88.4204683402 0.5754267934 0.8307201660 0.3796885710
0.5741955824 0.8313625496 0.5193690766 2.3195378469 88.4523517425 89.0176831839 88.4523517425 0.5741955824 0.8313625496 0.3793414440
0.5741955824 0.8318216405 0.5193690766 2.3227514837 88.4105998181 89.2188958265 88.4105998181 0.5741955824 0.8318216405 0.3809010410
0.2489826956 0.5538676921 -1.7571211311 0.3770738448 87.0491000916 89.2894086916 87.0491000916 0.2489826956 0.5538676921 0.2298155203
0.5717278872 0.8292038220 0.5020952104 2.3044267543 76.8542163264 56.7631243015 56.7631243015 0.5717278872 0.8292038220 0.3541978777
0.5623348837 0.8318216405 0.4363441862 2.3227514837 75.5596620772 75.5598190684 75.5596620772 0.5623348837 0.8318216405 0.3995107557
0.5913633032 0.8297550923 0.6395431225 2.3082856460 75.5456048029 80.0276207693 75.5456048029 0.5913633032 0.8297550923 0.3676672478
0.5829261137 0.8251011247 0.5804827959 2.2757078730 75.2584500070 58.8576616150 58.8576616150 0.5829261137 0.8251011247 0.3966222572
0.2806853944 0.0785200679 -1.5352022390 -2.9503595249 65.5327204408 0.0100814860 0.0100814860 0.2806853944 0.0785200679 0.4111109434
